map,scenid,tcost,distance,expect,steps,access,r,itype
dr_slavers,0,898,8.07107,5.65685,6,4,4,backward
dr_slavers,1,734.8,9.82843,5.41421,9,2,4,backward
dr_slavers,2,822.4,9.41421,7.41421,9,3,4,backward
dr_slavers,3,559.4,8.24264,4.82843,7,2,4,backward
dr_slavers,4,449,5.41421,5.41421,5,2,4,backward
dr_slavers,5,465.6,5.41421,5.41421,5,1,4,backward
dr_slavers,6,380.4,4,4,4,1,4,backward
dr_slavers,7,655.6,7.24264,6.41421,6,3,4,backward
dr_slavers,8,728.4,7,5.82843,7,3,4,backward
dr_slavers,9,485,6,6,6,2,4,backward
dr_slavers,10,772.8,12.8995,11.8995,10,4,4,backward
dr_slavers,11,462.8,9.82843,9.82843,9,2,4,backward
dr_slavers,12,502.6,8.82843,8.82843,8,2,4,backward
dr_slavers,13,745.2,17.8284,11.8284,17,2,4,backward
dr_slavers,14,792.8,11.2426,10.6569,10,4,4,backward
dr_slavers,15,506.6,11.4853,11.4853,9,1,4,backward
dr_slavers,16,723.2,12.8284,8.41421,12,4,4,backward
dr_slavers,17,563,9.41421,9.41421,9,2,4,backward
dr_slavers,18,557.4,12.6569,8.41421,11,2,4,backward
dr_slavers,19,583,11.4142,8.82843,11,2,4,backward
dr_slavers,20,973.6,15.4142,12.4142,15,7,4,backward
dr_slavers,21,987.8,18.8995,13.8995,16,4,4,backward
dr_slavers,22,684.2,15.2426,13.4853,14,2,4,backward
dr_slavers,23,684.4,15.8284,12.4142,15,2,4,backward
dr_slavers,24,639.2,15.3137,12.8995,12,4,4,backward
dr_slavers,25,1137.2,15.8284,15.8284,15,7,4,backward
dr_slavers,26,1039.2,15.0711,15.0711,13,4,4,backward
dr_slavers,27,693.8,16.8995,12.6569,14,2,4,backward
dr_slavers,28,732,12.3137,12.3137,9,4,4,backward
dr_slavers,29,765.8,15.4853,12.3137,13,4,4,backward
dr_slavers,30,761.8,21.3848,19.1421,16,5,4,backward
dr_slavers,31,671.2,19.8284,16.6569,19,2,4,backward
dr_slavers,32,1289,19.5563,19.5563,15,10,4,backward
dr_slavers,33,1200.4,23.7279,18.7279,20,7,4,backward
dr_slavers,34,713.8,23.2132,19.5563,17,2,4,backward
