map,scenid,tcost,distance,expect,steps,access,r,itype
dr_slavers,0,399.4,8.07107,5.65685,6,0,4,forward
dr_slavers,1,572.8,11.2426,5.41421,10,4,4,forward
dr_slavers,2,552.4,9.41421,7.41421,9,6,4,forward
dr_slavers,3,219.8,8.24264,4.82843,7,0,4,forward
dr_slavers,4,140,5.41421,5.41421,5,0,4,forward
dr_slavers,5,186,5.41421,5.41421,5,0,4,forward
dr_slavers,6,135.2,4,4,4,0,4,forward
dr_slavers,7,193.8,7.24264,6.41421,6,0,4,forward
dr_slavers,8,199.6,7,5.82843,7,0,4,forward
dr_slavers,9,187.6,6,6,6,1,4,forward
dr_slavers,10,304.2,12.8995,11.8995,10,1,4,forward
dr_slavers,11,212,9.82843,9.82843,9,0,4,forward
dr_slavers,12,210.4,8.82843,8.82843,8,0,4,forward
dr_slavers,13,369,16.8284,11.8284,16,0,4,forward
dr_slavers,14,257,11.2426,10.6569,10,0,4,forward
dr_slavers,15,366.8,11.4853,11.4853,9,1,4,forward
dr_slavers,16,574.8,12.8284,8.41421,12,11,4,forward
dr_slavers,17,280.2,9.41421,9.41421,9,0,4,forward
dr_slavers,18,183.8,12.6569,8.41421,11,0,4,forward
dr_slavers,19,242.2,11.4142,8.82843,11,0,4,forward
dr_slavers,20,808.6,15.4142,12.4142,15,11,4,forward
dr_slavers,21,313.6,16.8995,13.8995,14,0,4,forward
dr_slavers,22,352.2,15.2426,13.4853,14,0,4,forward
dr_slavers,23,360.6,15.8284,12.4142,15,1,4,forward
dr_slavers,24,290.8,16.7279,12.8995,13,0,4,forward
dr_slavers,25,718.6,15.8284,15.8284,15,6,4,forward
dr_slavers,26,620,15.0711,15.0711,13,8,4,forward
dr_slavers,27,309,16.8995,12.6569,14,0,4,forward
dr_slavers,28,498.4,12.3137,12.3137,9,2,4,forward
dr_slavers,29,603.4,15.4853,12.3137,13,4,4,forward
dr_slavers,30,787.6,21.3848,19.1421,16,7,4,forward
dr_slavers,31,348.6,19.8284,16.6569,19,0,4,forward
dr_slavers,32,628,19.5563,19.5563,15,4,4,forward
dr_slavers,33,777.6,22.7279,18.7279,19,6,4,forward
dr_slavers,34,334.8,23.2132,19.5563,17,0,4,forward
dr_slavers,35,505.4,20.2426,19.4142,19,2,4,forward
dr_slavers,36,511.4,20.4142,17.8284,20,2,4,forward
dr_slavers,37,544,19.2426,18.4142,18,3,4,forward
dr_slavers,38,319.2,17.1421,17.1421,13,0,4,forward
dr_slavers,39,577.4,22.3848,17.9706,17,2,4,forward
dr_slavers,40,407.6,23.2132,20.799,17,0,4,forward
dr_slavers,41,627.2,20.8995,20.8995,18,9,4,forward
dr_slavers,42,950.8,22.7279,22.1421,19,12,4,forward
dr_slavers,43,434.4,28.2132,23.2132,22,0,4,forward
dr_slavers,44,1030.8,23.3137,23.3137,20,13,4,forward
dr_slavers,45,638.4,25.6569,23.4142,24,4,4,forward
dr_slavers,46,475.2,22.6569,21.8284,21,0,4,forward
dr_slavers,47,749.8,30.5563,23.4853,26,17,4,forward
dr_slavers,48,868.4,28.799,23.1421,23,6,4,forward
dr_slavers,49,474,27.5563,23.7279,23,0,4,forward
dr_slavers,50,1379.6,30.4142,27.4142,30,14,4,forward
dr_slavers,51,539.6,27.4853,27.4853,25,1,4,forward
dr_slavers,52,1177,29.3137,26.4853,26,19,4,forward
dr_slavers,53,730,25.2132,25.2132,19,7,4,forward
dr_slavers,54,958.4,30.2132,27.1421,24,10,4,forward
dr_slavers,55,649,26.8995,26.8995,24,8,4,forward
dr_slavers,56,800.4,27.2426,27.2426,26,16,4,forward
dr_slavers,57,700,27.5563,26.9706,23,4,4,forward
dr_slavers,58,966.4,29.7279,27.4853,26,18,4,forward
dr_slavers,59,621.4,26.9706,26.9706,22,4,4,forward
dr_slavers,60,474.2,28.8284,28.8284,28,0,4,forward
dr_slavers,61,831.8,29.3848,28.5563,24,9,4,forward
dr_slavers,62,394.8,31.8995,31.3137,29,0,4,forward
dr_slavers,63,51891.8,32.8995,31.8995,30,24,4,forward
dr_slavers,64,1299.8,30.0711,29.0711,28,24,4,forward
dr_slavers,65,869.6,31.6274,31.6274,25,6,4,forward
dr_slavers,66,1157.8,28.4853,28.4853,26,21,4,forward
dr_slavers,67,904.4,31.2426,30.4142,30,26,4,forward
dr_slavers,68,1590,34.7279,30.7279,31,28,4,forward
dr_slavers,69,1053.2,33.2426,31.2426,32,14,4,forward
dr_slavers,70,1362.8,35.8284,35.8284,35,29,4,forward
dr_slavers,71,1079.2,34.6274,34.6274,28,19,4,forward
dr_slavers,72,1263.6,40.1421,33.4853,36,26,4,forward
dr_slavers,73,1200,39.4853,33.8284,37,16,4,forward
dr_slavers,74,636.6,39.0711,32.4142,37,0,4,forward
dr_slavers,75,1014.2,34.4558,34.4558,27,15,4,forward
dr_slavers,76,859.8,35.4142,32.8284,35,8,4,forward
dr_slavers,77,851.4,32.0416,32.0416,25,13,4,forward
dr_slavers,78,789.6,32.8701,32.8701,25,13,4,forward
dr_slavers,79,788.4,35.0711,33.8995,33,8,4,forward
dr_slavers,80,965.8,39.6569,38.4853,38,12,4,forward
dr_slavers,81,1057,39.799,38.9706,34,19,4,forward
dr_slavers,82,643.6,41.3553,37.3553,31,0,4,forward
dr_slavers,83,1263,39.2426,38.2426,38,30,4,forward
dr_slavers,84,2029.4,38.8284,37.8284,38,38,4,forward
dr_slavers,85,1444.8,41.6274,39.6274,35,22,4,forward
dr_slavers,86,1233.8,45.6985,39.0416,37,17,4,forward
dr_slavers,87,1221.2,40.8995,38.7279,38,27,4,forward
dr_slavers,88,1238.4,36.5563,36.5563,32,24,4,forward
dr_slavers,89,1368.4,41.0711,37.0711,39,26,4,forward
dr_slavers,90,1286,42.6274,41.2132,36,28,4,forward
dr_slavers,91,1346,43.3137,43.3137,40,28,4,forward
dr_slavers,92,1695.8,43.4558,42.8701,36,30,4,forward
dr_slavers,93,1544.6,43.3137,42.1421,40,33,4,forward
dr_slavers,94,914.6,46.4853,42.4853,44,2,4,forward
dr_slavers,95,1378.6,42.3137,42.3137,39,32,4,forward
dr_slavers,96,1111.6,41.8995,40.7279,39,28,4,forward
dr_slavers,97,1036,41.1127,41.1127,32,9,4,forward
dr_slavers,98,1604.2,41.3137,41.3137,38,25,4,forward
dr_slavers,99,685.6,43.8701,43.0416,36,1,4,forward
dr_slavers,100,1542.2,46.8995,45.7279,44,34,4,forward
dr_slavers,101,1613.8,45.4853,45.4853,43,28,4,forward
dr_slavers,102,1399.2,46.8701,45.1127,39,29,4,forward
dr_slavers,103,1526.8,44.799,44.799,39,26,4,forward
dr_slavers,104,1929.2,48.3137,46.3137,45,42,4,forward
dr_slavers,105,803.2,48.8406,47.1838,36,2,4,forward
dr_slavers,106,1158.2,53.9411,46.8701,44,21,4,forward
dr_slavers,107,711.6,47.4142,45.6569,47,0,4,forward
dr_slavers,108,1256.2,45.3137,45.3137,42,28,4,forward
dr_slavers,109,790.8,47.2548,47.2548,34,4,4,forward
dr_slavers,110,2170.4,51.6569,51.6569,50,44,4,forward
dr_slavers,111,1180.6,56.0711,50.4142,54,19,4,forward
dr_slavers,112,979,50.5269,48.7696,41,5,4,forward
dr_slavers,113,1690.2,51.3137,51.3137,48,41,4,forward
dr_slavers,114,1684.4,54.1421,50.4853,50,41,4,forward
dr_slavers,115,1964,52.1421,49.1421,48,42,4,forward
dr_slavers,116,1860.2,50.5563,50.5563,46,34,4,forward
dr_slavers,117,1203,54.5563,49.7279,50,15,4,forward
dr_slavers,118,714.4,54.4264,50.7696,42,1,4,forward
dr_slavers,119,1672.8,52.7279,51.8995,49,43,4,forward
dr_slavers,120,1679.6,54.0711,52.8995,52,44,4,forward
dr_slavers,121,1374,57.5563,53.1421,53,43,4,forward
dr_slavers,122,1526.8,52.2132,52.2132,46,41,4,forward
dr_slavers,123,2141.4,56.8284,54.8284,56,48,4,forward
dr_slavers,124,1125.8,54.8701,52.8701,47,14,4,forward
dr_slavers,125,1169,54.4558,54.4558,47,17,4,forward
dr_slavers,126,1999.4,57.4853,55.7279,55,42,4,forward
dr_slavers,127,772.6,53.4975,53.4975,39,4,4,forward
dr_slavers,128,1507.4,55.3848,55.3848,50,42,4,forward
dr_slavers,129,1888.6,53.5563,53.5563,49,35,4,forward
dr_slavers,130,1787.4,59.8701,59.8701,52,41,4,forward
dr_slavers,131,2326.8,62.7279,59.8995,59,46,4,forward
dr_slavers,132,1601.4,59.3137,56.7279,56,42,4,forward
dr_slavers,133,1453.2,59.1127,58.1127,50,23,4,forward
dr_slavers,134,1841.6,56.4142,56.4142,56,38,4,forward
dr_slavers,135,1041.4,60.7696,59.3553,50,21,4,forward
dr_slavers,136,2107.8,58.0711,58.0711,56,52,4,forward
dr_slavers,137,1830,57.5269,57.5269,48,38,4,forward
dr_slavers,138,1469.8,60.9117,59.9117,46,18,4,forward
dr_slavers,139,1663.2,58.9117,56.9117,44,25,4,forward
dr_slavers,140,2199,61.8284,61,61,58,4,forward
dr_slavers,141,1784,61.0711,61.0711,59,48,4,forward
dr_slavers,142,1443.2,60.3137,60.3137,57,13,4,forward
dr_slavers,143,1770.6,60.7696,60.7696,50,40,4,forward
dr_slavers,144,1503,64.4853,63.8995,62,9,4,forward
dr_slavers,145,1974,65.1421,63.7279,61,53,4,forward
dr_slavers,146,2132,65.0416,63.2843,58,45,4,forward
dr_slavers,147,1718.2,64.8995,62.3137,62,52,4,forward
dr_slavers,148,2111,63.7279,62.7279,60,50,4,forward
dr_slavers,149,1974.8,66.9706,61.3137,62,51,4,forward
dr_slavers,150,2092.4,66.8701,64.0416,59,43,4,forward
dr_slavers,151,2131.4,68.5269,66.7696,59,48,4,forward
dr_slavers,152,2683.6,67.4853,67.4853,65,60,4,forward
dr_slavers,153,2244.2,71.2843,64.2132,63,37,4,forward
dr_slavers,154,1962,69.6569,67.6569,68,53,4,forward
dr_slavers,155,1989.6,66.6569,65.8284,65,49,4,forward
dr_slavers,156,1624.4,66.0711,64.8995,64,53,4,forward
dr_slavers,157,1317,70.8701,66.0416,63,36,4,forward
dr_slavers,158,2381.8,70.5563,66.0711,66,63,4,forward
dr_slavers,159,2082,66.9411,65.9411,57,43,4,forward
dr_slavers,160,2547.2,72.0416,69.0416,65,59,4,forward
dr_slavers,161,2147.2,72.8995,68.6569,70,56,4,forward
dr_slavers,162,1906.4,73.3137,69.4853,70,49,4,forward
dr_slavers,163,2196.2,72.4853,70.4853,70,54,4,forward
dr_slavers,164,2308.4,69.3848,68.3848,64,59,4,forward
dr_slavers,165,2210.8,71.0711,71.0711,69,66,4,forward
dr_slavers,166,2081.8,72.2548,69.2548,59,28,4,forward
dr_slavers,167,2663.2,73.1421,69.7279,69,69,4,forward
dr_slavers,168,2201.6,75.5563,71.5563,71,64,4,forward
dr_slavers,169,2034.8,71.4853,69.7279,69,58,4,forward
dr_slavers,170,2165,73.4853,72.4853,71,63,4,forward
dr_slavers,171,2590,80.6569,75.6569,79,77,4,forward
dr_slavers,172,3003.6,74.2426,72.2426,73,68,4,forward
dr_slavers,173,2111.6,77.6569,75.0711,76,68,4,forward
dr_slavers,174,2372.2,78.3848,74.1421,73,67,4,forward
dr_slavers,175,2030.6,74.1838,74.1838,63,41,4,forward
dr_slavers,176,1501.8,74.2426,72.8284,73,48,4,forward
dr_slavers,177,1900.6,74.8701,74.2843,67,53,4,forward
dr_slavers,178,2368.2,76.8995,74.0711,74,52,4,forward
dr_slavers,179,3050.8,77.2132,75.799,71,65,4,forward
dr_slavers,180,2206,83.3137,79.4853,80,48,4,forward
dr_slavers,181,2371.2,76.0416,76.0416,69,55,4,forward
dr_slavers,182,2427.2,82.1421,79.8995,78,62,4,forward
dr_slavers,183,2500.8,80.9706,77.9706,76,69,4,forward
dr_slavers,184,2371.2,78.8701,76.0416,71,49,4,forward
dr_slavers,185,2540.2,79.1421,79.1421,75,65,4,forward
dr_slavers,186,2782.6,78.0711,77.0711,76,72,4,forward
dr_slavers,187,2120.2,85.5563,78.8995,81,53,4,forward
dr_slavers,188,2621,82.8995,78.6569,80,71,4,forward
dr_slavers,189,2072.4,79.3137,79.3137,76,68,4,forward
dr_slavers,190,2387,84.3137,83.7279,81,73,4,forward
dr_slavers,191,2555.4,88.4853,82.6569,86,81,4,forward
dr_slavers,192,3002,82.8701,82.8701,75,69,4,forward
dr_slavers,193,1914.6,84.8284,81.4142,84,65,4,forward
dr_slavers,194,2627.2,86.1127,83.1127,77,60,4,forward
dr_slavers,195,1908,83.3848,80.5563,78,68,4,forward
dr_slavers,196,3169,83.6274,83.6274,77,75,4,forward
dr_slavers,197,2833.2,82.1421,80.9706,78,69,4,forward
dr_slavers,198,2986.4,84.2426,80.2426,83,80,4,forward
dr_slavers,199,1818,81.8701,80.2132,74,54,4,forward
dr_slavers,200,2507.6,86.9411,86.9411,77,68,4,forward
dr_slavers,201,2602.8,89.1421,86.0711,85,76,4,forward
dr_slavers,202,2625,89.9117,85.0833,75,66,4,forward
dr_slavers,203,2776,91.0416,87.9706,84,77,4,forward
dr_slavers,204,2992.8,85.3137,85.3137,82,71,4,forward
dr_slavers,205,2962.6,92.598,86.3553,81,66,4,forward
dr_slavers,206,2556.6,91.4558,85.799,84,69,4,forward
dr_slavers,207,2242.4,89.2132,86.2132,83,77,4,forward
dr_slavers,208,2828.8,87.4558,85.799,80,72,4,forward
dr_slavers,209,2536.8,85.6274,85.6274,79,65,4,forward
dr_slavers,210,2585.4,88.4853,88.4853,86,79,4,forward
dr_slavers,211,2884.6,88.799,88.799,83,77,4,forward
dr_slavers,212,2438,91.3137,88.8995,88,86,4,forward
dr_slavers,213,3344,90.8995,90.8995,88,88,4,forward
dr_slavers,214,3160.6,95.4558,91.6274,88,63,4,forward
dr_slavers,215,2437.4,91.799,88.9706,86,78,4,forward
dr_slavers,216,3043.6,91.8284,88.8284,91,77,4,forward
dr_slavers,217,2660.6,90.3848,89.799,85,63,4,forward
dr_slavers,218,2703.8,88.2132,88.2132,82,67,4,forward
dr_slavers,219,2030.4,89.9706,89.9706,85,46,4,forward
dr_slavers,220,3351.6,97.1127,95.3553,88,78,4,forward
dr_slavers,221,3622.4,97.2132,95.5563,91,79,4,forward
dr_slavers,222,2997.2,94.9706,94.9706,90,81,4,forward
dr_slavers,223,2312.6,102.012,94.9411,90,67,4,forward
dr_slavers,224,3248.2,97.2132,95.799,91,83,4,forward
dr_slavers,225,2981.8,98.3553,94.3553,88,70,4,forward
dr_slavers,226,2385.8,95.1838,95.1838,84,71,4,forward
dr_slavers,227,2238.6,98.3553,94.6985,88,76,4,forward
dr_slavers,228,2823.6,95.3553,92.3553,85,62,4,forward
dr_slavers,229,3186,93.5563,93.5563,89,75,4,forward
dr_slavers,230,2429.8,103.527,99.5269,94,86,4,forward
dr_slavers,231,2855,99.4558,96.6274,92,82,4,forward
dr_slavers,232,2907,99.2843,98.4558,91,72,4,forward
dr_slavers,233,3131.6,99.6274,98.6274,93,91,4,forward
dr_slavers,234,3375,100.799,99.6274,95,88,4,forward
dr_slavers,235,2840,99.3137,98.7279,96,91,4,forward
dr_slavers,236,3386.2,96.0416,96.0416,89,76,4,forward
dr_slavers,237,3413.2,100.385,96.3848,95,91,4,forward
dr_slavers,238,2701.8,98.8995,98.8995,96,90,4,forward
dr_slavers,239,2550.4,98.7279,98.1421,95,66,4,forward
dr_slavers,240,3140.8,103.213,102.627,97,91,4,forward
dr_slavers,241,2456.2,102.213,101.213,96,79,4,forward
dr_slavers,242,2789.6,103.284,103.284,95,78,4,forward
dr_slavers,243,3448,103.385,103.385,98,92,4,forward
dr_slavers,244,2791.8,100.971,100.385,96,90,4,forward
dr_slavers,245,3268.8,101.899,101.899,99,91,4,forward
dr_slavers,246,2965,102.87,102.87,95,77,4,forward
dr_slavers,247,3359.4,105.284,103.87,97,90,4,forward
dr_slavers,248,2628.8,101.154,101.154,85,66,4,forward
dr_slavers,249,3380,102.728,100.728,99,92,4,forward
dr_slavers,250,3322.6,107.385,107.385,102,84,4,forward
dr_slavers,251,2862.4,110.426,106.77,98,90,4,forward
dr_slavers,252,2371,105.941,104.527,96,72,4,forward
dr_slavers,253,3720.2,105.941,105.941,96,89,4,forward
dr_slavers,254,3625,107.698,107.698,99,90,4,forward
dr_slavers,255,3437.4,109.941,105.698,100,93,4,forward
dr_slavers,256,3448.6,109.87,107.284,102,92,4,forward
dr_slavers,257,3541.2,108.527,106.113,99,93,4,forward
dr_slavers,258,3373,108.941,104.941,99,90,4,forward
dr_slavers,259,3947.2,110.556,107.485,106,97,4,forward
dr_slavers,260,3733.8,113.971,110.142,109,101,4,forward
dr_slavers,261,2519.4,111.255,109.497,98,80,4,forward
dr_slavers,262,3233,110.627,110.627,104,95,4,forward
dr_slavers,263,3150.2,112.87,108.87,105,97,4,forward
dr_slavers,264,3593.6,110.012,110.012,98,89,4,forward
dr_slavers,265,3555,110.698,110.698,102,99,4,forward
dr_slavers,266,3196.8,110.698,108.698,102,85,4,forward
dr_slavers,267,2362.8,111.941,108.113,102,73,4,forward
dr_slavers,268,3233.6,111.456,109.213,104,89,4,forward
dr_slavers,269,2770.4,114.184,110.184,103,75,4,forward
dr_slavers,270,4030,119.284,115.456,111,103,4,forward
dr_slavers,271,3426.6,117.012,115.012,105,94,4,forward
dr_slavers,272,3409,114.87,114.87,107,98,4,forward
dr_slavers,273,3410.6,113.87,113.87,106,82,4,forward
dr_slavers,274,3754,116.485,115.314,114,108,4,forward
dr_slavers,275,3414.4,113.485,113.485,111,105,4,forward
dr_slavers,276,3411.2,118.77,115.941,108,95,4,forward
dr_slavers,277,2706,116.77,114.77,106,76,4,forward
dr_slavers,278,3432.8,117.113,115.941,108,99,4,forward
dr_slavers,279,3054.6,112.669,112.669,99,87,4,forward
dr_slavers,280,2770,116.426,116.426,104,94,4,forward
dr_slavers,281,3528.4,121.728,119.728,118,98,4,forward
dr_slavers,282,3455,125.456,118.385,118,109,4,forward
dr_slavers,283,2817.6,122.071,117.828,120,86,4,forward
dr_slavers,284,3058.4,118.142,118.142,114,101,4,forward
dr_slavers,285,4188,124.485,118.657,122,115,4,forward
dr_slavers,286,3243.6,117.314,117.314,114,98,4,forward
dr_slavers,287,3967.2,119.569,117.912,103,95,4,forward
dr_slavers,288,2973.8,119.042,118.213,112,85,4,forward
dr_slavers,289,3109.4,120.142,116.314,116,98,4,forward
dr_slavers,290,3324.6,121.941,121.941,112,101,4,forward
dr_slavers,291,2673.6,126.527,120.87,117,83,4,forward
dr_slavers,292,2758.4,124.213,121.385,118,107,4,forward
dr_slavers,293,3156.4,121.142,121.142,117,106,4,forward
dr_slavers,294,2567.8,125.87,123.87,118,106,4,forward
dr_slavers,295,4381,121.598,120.598,110,103,4,forward
dr_slavers,296,3086.4,122.284,121.698,114,91,4,forward
dr_slavers,297,4145.4,124.728,123.728,121,97,4,forward
dr_slavers,298,3531,120.627,120.627,114,106,4,forward
dr_slavers,299,3761.2,121.983,120.811,105,90,4,forward
dr_slavers,300,3514.4,128.485,124.485,126,97,4,forward
dr_slavers,301,3819.8,132.083,127.841,118,106,4,forward
dr_slavers,302,3585.4,125.113,125.113,116,90,4,forward
dr_slavers,303,3719.8,132.87,126.627,125,113,4,forward
dr_slavers,304,3756.6,130.042,127.042,123,117,4,forward
dr_slavers,305,3959.2,127.426,126.012,115,104,4,forward
dr_slavers,306,3348.8,131.184,126.941,120,93,4,forward
dr_slavers,307,3216.8,128.225,125.054,110,83,4,forward
dr_slavers,308,4302.4,126.627,126.627,120,116,4,forward
dr_slavers,309,3966.2,125.385,125.385,120,110,4,forward
dr_slavers,310,3643.6,134.456,131.456,127,117,4,forward
dr_slavers,311,4538,131.87,131.87,124,116,4,forward
