map,scenid,tcost,distance,expect,steps,access,r,itype
ht_0_hightown,0,577,6,6,6,0,2,forward
ht_0_hightown,1,341.8,5.82843,5.82843,5,0,2,forward
ht_0_hightown,2,368.6,5,5,5,0,2,forward
ht_0_hightown,3,430.4,8,7.41421,8,0,2,forward
ht_0_hightown,4,415.8,6.65685,6.65685,5,0,2,forward
ht_0_hightown,5,354.4,6.24264,6.24264,5,0,2,forward
ht_0_hightown,6,297,4.41421,4.41421,4,0,2,forward
ht_0_hightown,7,325.6,7.24264,5.82843,6,0,2,forward
ht_0_hightown,8,353,6.82843,6.82843,6,0,2,forward
ht_0_hightown,9,338.8,8.07107,5.24264,6,0,2,forward
ht_0_hightown,10,647.8,10.4142,9,10,5,2,forward
ht_0_hightown,11,587.6,10.8995,10.8995,8,0,2,forward
ht_0_hightown,12,581,10.6569,10.6569,9,0,2,forward
ht_0_hightown,13,484.6,10.6569,10.6569,9,0,2,forward
ht_0_hightown,14,872.8,11.4853,10.0711,9,4,2,forward
ht_0_hightown,15,580.2,9.82843,8.41421,9,1,2,forward
ht_0_hightown,16,975,11,10,11,7,2,forward
ht_0_hightown,17,809,10.6569,10.0711,9,5,2,forward
ht_0_hightown,18,628,11.8995,11.8995,9,1,2,forward
ht_0_hightown,19,734.6,11.4142,10,11,4,2,forward
ht_0_hightown,20,689,15.6569,14.2426,14,0,2,forward
ht_0_hightown,21,678,14.3137,14.3137,11,1,2,forward
ht_0_hightown,22,645.2,12.8284,12.8284,12,0,2,forward
ht_0_hightown,23,825.8,16.4142,15,16,3,2,forward
ht_0_hightown,24,600.8,14.8284,14.8284,14,0,2,forward
ht_0_hightown,25,596.4,15,14.4142,15,0,2,forward
ht_0_hightown,26,581.2,13.8284,13.8284,13,2,2,forward
ht_0_hightown,27,745.4,16.4142,15.4142,16,5,2,forward
ht_0_hightown,28,966.8,12.6569,12.6569,11,6,2,forward
ht_0_hightown,29,867,15.1421,15.1421,11,0,2,forward
ht_0_hightown,30,554,17,17,17,0,2,forward
ht_0_hightown,31,1030.8,16.8995,16.3137,14,3,2,forward
ht_0_hightown,32,595.6,18.0711,16.6569,16,0,2,forward
ht_0_hightown,33,2042.6,18.4142,17.4142,18,14,2,forward
ht_0_hightown,34,1502.4,19.8995,19.3137,17,13,2,forward
ht_0_hightown,35,881.8,19.4853,19.4853,17,1,2,forward
ht_0_hightown,36,1190.6,17.1421,17.1421,13,6,2,forward
ht_0_hightown,37,1174.4,18.8995,18.3137,16,8,2,forward
ht_0_hightown,38,1275.8,17.8284,17.2426,17,10,2,forward
ht_0_hightown,39,654.6,19.4142,19.4142,19,0,2,forward
ht_0_hightown,40,2057.8,23.3137,21.3137,20,18,2,forward
ht_0_hightown,41,1113.6,25.6569,23.6569,24,6,2,forward
ht_0_hightown,42,951.4,24.2426,22.2426,23,0,2,forward
ht_0_hightown,43,1475,21.8284,21.8284,21,15,2,forward
ht_0_hightown,44,1058,24.5563,23.1421,20,2,2,forward
ht_0_hightown,45,867.8,23.3137,23.3137,20,7,2,forward
ht_0_hightown,46,1369.4,20.7279,20.7279,17,9,2,forward
ht_0_hightown,47,1262.4,23.4142,23.4142,23,10,2,forward
ht_0_hightown,48,1231.8,23,23,23,3,2,forward
