map,scenid,tcost,distance,expect,steps,access,r,itype
ht_0_hightown_a2,0,730.4,4,4,4,1,4,backward
ht_0_hightown_a2,1,575.8,5,5,5,1,4,backward
ht_0_hightown_a2,2,708.2,8.41421,7.24264,8,2,4,backward
ht_0_hightown_a2,3,770.6,7.65685,4.82843,6,3,4,backward
ht_0_hightown_a2,4,854,7.82843,7.82843,7,5,4,backward
ht_0_hightown_a2,5,679.6,9.24264,6.41421,8,3,4,backward
ht_0_hightown_a2,6,629,7.41421,4.24264,7,2,4,backward
ht_0_hightown_a2,7,546.4,7.41421,5.65685,7,2,4,backward
ht_0_hightown_a2,8,562.2,5.82843,4.41421,5,2,4,backward
ht_0_hightown_a2,9,674.4,5,4.41421,5,2,4,backward
ht_0_hightown_a2,10,914.2,11.8284,8.82843,11,3,4,backward
ht_0_hightown_a2,11,888.8,16.6569,11,15,2,4,backward
ht_0_hightown_a2,12,942.4,11,11,11,4,4,backward
ht_0_hightown_a2,13,840.8,9.24264,8.07107,8,4,4,backward
ht_0_hightown_a2,14,812.8,9.48528,8.07107,7,4,4,backward
ht_0_hightown_a2,15,778.4,11.8284,11.8284,11,2,4,backward
ht_0_hightown_a2,16,1034.4,9,9,9,4,4,backward
ht_0_hightown_a2,17,663.8,9.07107,9.07107,7,1,4,backward
ht_0_hightown_a2,18,752.6,10.4142,9.82843,10,2,4,backward
ht_0_hightown_a2,19,699.4,13.8284,9.82843,13,2,4,backward
ht_0_hightown_a2,20,782.4,12.0711,12.0711,10,3,4,backward
ht_0_hightown_a2,21,800,18.2426,15.6569,17,2,4,backward
ht_0_hightown_a2,22,1056.8,16.8995,13.8995,14,3,4,backward
ht_0_hightown_a2,23,1026.4,14.4853,14.4853,12,2,4,backward
ht_0_hightown_a2,24,1100.8,15.6569,14.2426,14,5,4,backward
ht_0_hightown_a2,25,1118.8,19.2426,14.8284,18,4,4,backward
ht_0_hightown_a2,26,1264.2,15.8284,15.8284,15,6,4,backward
ht_0_hightown_a2,27,1207.6,20.0711,15.8284,18,7,4,backward
ht_0_hightown_a2,28,929.2,14.7279,13.8995,11,4,4,backward
ht_0_hightown_a2,29,1140.8,16.0711,14.4142,14,4,4,backward
ht_0_hightown_a2,30,878.6,18.4142,18.4142,18,2,4,backward
ht_0_hightown_a2,31,1672.2,22.4853,19.3137,20,6,4,backward
ht_0_hightown_a2,32,951,18.0711,18.0711,16,4,4,backward
