map,scenid,tcost,distance,expect,steps,access,r,itype
ht_0_hightown_a2,0,341,4,4,4,0,4,forward
ht_0_hightown_a2,1,300.8,5,5,5,0,4,forward
ht_0_hightown_a2,2,335.8,8.41421,7.24264,8,0,4,forward
ht_0_hightown_a2,3,362.8,7.65685,4.82843,6,0,4,forward
ht_0_hightown_a2,4,739.6,7.82843,7.82843,7,5,4,forward
ht_0_hightown_a2,5,257.8,9.24264,6.41421,8,0,4,forward
ht_0_hightown_a2,6,268.6,7.41421,4.24264,7,0,4,forward
ht_0_hightown_a2,7,341,7.41421,5.65685,7,1,4,forward
ht_0_hightown_a2,8,239.4,5.82843,4.41421,5,0,4,forward
ht_0_hightown_a2,9,224.2,5,4.41421,5,0,4,forward
ht_0_hightown_a2,10,546.4,10.8284,8.82843,10,2,4,forward
ht_0_hightown_a2,11,558.6,16.6569,11,15,0,4,forward
ht_0_hightown_a2,12,603.8,11,11,11,5,4,forward
ht_0_hightown_a2,13,382.8,9.24264,8.07107,8,0,4,forward
ht_0_hightown_a2,14,362,9.48528,8.07107,7,0,4,forward
ht_0_hightown_a2,15,452,11.8284,11.8284,11,1,4,forward
ht_0_hightown_a2,16,312.2,9,9,9,0,4,forward
ht_0_hightown_a2,17,407.6,9.07107,9.07107,7,0,4,forward
ht_0_hightown_a2,18,462,10.4142,9.82843,10,0,4,forward
ht_0_hightown_a2,19,591.2,11.8284,9.82843,11,2,4,forward
ht_0_hightown_a2,20,319.4,12.0711,12.0711,10,0,4,forward
ht_0_hightown_a2,21,536.8,18.2426,15.6569,17,0,4,forward
ht_0_hightown_a2,22,588.4,15.8995,13.8995,13,0,4,forward
ht_0_hightown_a2,23,603.8,14.4853,14.4853,12,1,4,forward
ht_0_hightown_a2,24,586.8,15.6569,14.2426,14,2,4,forward
ht_0_hightown_a2,25,908.8,19.6569,14.8284,18,4,4,forward
ht_0_hightown_a2,26,511.2,15.8284,15.8284,15,0,4,forward
ht_0_hightown_a2,27,1059.2,20.0711,15.8284,18,8,4,forward
ht_0_hightown_a2,28,520.4,14.7279,13.8995,11,1,4,forward
ht_0_hightown_a2,29,1163.6,16.0711,14.4142,14,10,4,forward
ht_0_hightown_a2,30,608.8,18.4142,18.4142,18,3,4,forward
ht_0_hightown_a2,31,1304.6,22.4853,19.3137,20,14,4,forward
ht_0_hightown_a2,32,524,18.0711,18.0711,16,0,4,forward
ht_0_hightown_a2,33,623.6,16.0711,16.0711,14,0,4,forward
ht_0_hightown_a2,34,1079,23.0711,17.4142,21,9,4,forward
ht_0_hightown_a2,35,958.8,22.0711,17.2426,20,14,4,forward
ht_0_hightown_a2,36,726.4,19.0711,17.6569,17,0,4,forward
ht_0_hightown_a2,37,839,17.2426,16.6569,16,8,4,forward
ht_0_hightown_a2,38,675.4,18.2426,18.2426,17,0,4,forward
ht_0_hightown_a2,39,531.8,21.4853,19.7279,19,0,4,forward
ht_0_hightown_a2,40,1041,22.8284,20.2426,22,11,4,forward
ht_0_hightown_a2,41,745.4,23.3137,21.3137,20,1,4,forward
ht_0_hightown_a2,42,749.6,26.4853,22.4853,24,1,4,forward
ht_0_hightown_a2,43,580.4,22,22,22,1,4,forward
ht_0_hightown_a2,44,1093.6,25.5563,21.3137,21,8,4,forward
ht_0_hightown_a2,45,1169.6,24.5563,21.5563,20,8,4,forward
ht_0_hightown_a2,46,891.4,26.4558,23.799,19,0,4,forward
ht_0_hightown_a2,47,719.4,25.3137,22.3137,22,0,4,forward
ht_0_hightown_a2,48,1194.4,24.0711,20.8995,22,9,4,forward
ht_0_hightown_a2,49,764.2,22.2426,22.2426,21,1,4,forward
ht_0_hightown_a2,50,1315.4,26.6569,25.8284,25,16,4,forward
ht_0_hightown_a2,51,1132.8,27.0711,25.6569,25,4,4,forward
ht_0_hightown_a2,52,1074.2,24.8995,24.0711,22,18,4,forward
ht_0_hightown_a2,53,682,27.8284,25,27,0,4,forward
ht_0_hightown_a2,54,1677.4,27.6569,24.8284,26,22,4,forward
ht_0_hightown_a2,55,899.8,32.6985,27.8701,24,3,4,forward
ht_0_hightown_a2,56,931.2,25.6274,25.6274,19,2,4,forward
ht_0_hightown_a2,57,1009.6,24,24,24,12,4,forward
ht_0_hightown_a2,58,849.2,28.4853,27.8995,26,8,4,forward
ht_0_hightown_a2,59,834.4,27.0711,27.0711,25,13,4,forward
ht_0_hightown_a2,60,714.8,33.0711,29.8995,31,10,4,forward
ht_0_hightown_a2,61,1320.6,37.5563,30.8995,33,21,4,forward
ht_0_hightown_a2,62,1593.8,30.4142,30.4142,30,24,4,forward
ht_0_hightown_a2,63,1541,33.799,30.6274,28,16,4,forward
ht_0_hightown_a2,64,1555.8,31.6569,29.2426,30,27,4,forward
ht_0_hightown_a2,65,1429.8,34.799,31.799,29,14,4,forward
ht_0_hightown_a2,66,1058.4,31.6569,28.6569,30,7,4,forward
ht_0_hightown_a2,67,1213.6,29.7279,28.0711,26,14,4,forward
ht_0_hightown_a2,68,1040,30.4558,29.2843,23,6,4,forward
ht_0_hightown_a2,69,838.6,36.6985,31.0416,28,6,4,forward
ht_0_hightown_a2,70,935.2,35.6985,35.6985,27,4,4,forward
ht_0_hightown_a2,71,1007.8,35.4853,35.4853,33,29,4,forward
ht_0_hightown_a2,72,1735.6,39.1421,34.3137,35,30,4,forward
ht_0_hightown_a2,73,2018.4,38.4853,35.2426,36,29,4,forward
ht_0_hightown_a2,74,1556.8,32.9706,32.3848,28,22,4,forward
ht_0_hightown_a2,75,1132.6,34.0711,34.0711,32,7,4,forward
ht_0_hightown_a2,76,1624.8,36.4558,34.6985,29,11,4,forward
ht_0_hightown_a2,77,1662.8,34.7279,34.7279,31,23,4,forward
ht_0_hightown_a2,78,1274,35.5563,35.5563,31,11,4,forward
ht_0_hightown_a2,79,1681.6,36.8995,35.2426,34,23,4,forward
ht_0_hightown_a2,80,1283.4,39.8701,38.1127,32,15,4,forward
ht_0_hightown_a2,81,1453.8,40.3137,37.1421,37,2,4,forward
ht_0_hightown_a2,82,1990,46.5563,39.4853,42,27,4,forward
ht_0_hightown_a2,83,1477.2,40.2426,39.4142,39,32,4,forward
ht_0_hightown_a2,84,1579.4,42.8995,39.2426,40,25,4,forward
ht_0_hightown_a2,85,1264.8,41.9411,39.1127,32,7,4,forward
ht_0_hightown_a2,86,1250.8,37.5563,36.9706,33,24,4,forward
ht_0_hightown_a2,87,1541.2,39.6274,37.2132,33,18,4,forward
ht_0_hightown_a2,88,1389.8,37.5563,36.9706,33,16,4,forward
ht_0_hightown_a2,89,1680.6,40.3137,36.3137,37,30,4,forward
ht_0_hightown_a2,90,1701.8,43.4142,43.4142,43,15,4,forward
ht_0_hightown_a2,91,1405.6,46.7696,42.1838,36,12,4,forward
ht_0_hightown_a2,92,1977.8,47.3137,42.4853,44,32,4,forward
ht_0_hightown_a2,93,1751.8,42.0416,41.5563,35,24,4,forward
ht_0_hightown_a2,94,1528.2,44.0711,42.3137,42,8,4,forward
ht_0_hightown_a2,95,1817.2,44.2843,40.4558,36,27,4,forward
ht_0_hightown_a2,96,1861.4,44.2132,41.6274,38,29,4,forward
ht_0_hightown_a2,97,1757.8,43.2426,41.2426,42,9,4,forward
ht_0_hightown_a2,98,1607.2,42.7279,42.7279,39,29,4,forward
ht_0_hightown_a2,99,1501.6,43.6274,43.0416,37,16,4,forward
ht_0_hightown_a2,100,2167.2,44.6569,44.6569,43,37,4,forward
ht_0_hightown_a2,101,1586.8,48.6274,47.2132,42,25,4,forward
ht_0_hightown_a2,102,1888.6,46.2426,45.2426,45,39,4,forward
ht_0_hightown_a2,103,2148.8,50.799,44.9706,45,39,4,forward
ht_0_hightown_a2,104,1769,45.6274,44.0416,39,27,4,forward
ht_0_hightown_a2,105,1897,47.9411,47.3553,38,15,4,forward
ht_0_hightown_a2,106,1959.4,48.4853,47.4853,46,37,4,forward
ht_0_hightown_a2,107,1785.8,48.1838,47.598,37,10,4,forward
ht_0_hightown_a2,108,1864.4,52.2843,45.4558,44,38,4,forward
ht_0_hightown_a2,109,1654.6,45.0416,45.0416,38,24,4,forward
