map,scenid,tcost,distance,expect,steps,access,r,itype
ht_0_hightown_a3,0,329.2,4.82843,4.82843,4,0,0,forward
ht_0_hightown_a3,1,365,7.82843,7.82843,7,0,0,forward
ht_0_hightown_a3,2,198.8,4.82843,4.82843,4,0,0,forward
ht_0_hightown_a3,3,315,7.07107,7.07107,5,0,0,forward
ht_0_hightown_a3,4,176.4,5.41421,5.41421,5,0,0,forward
ht_0_hightown_a3,5,180.4,4.41421,4.41421,4,0,0,forward
ht_0_hightown_a3,6,287.6,7,7,7,0,0,forward
ht_0_hightown_a3,7,334.2,4.82843,4.82843,4,1,0,forward
ht_0_hightown_a3,8,726.8,7.41421,7.41421,7,5,0,forward
ht_0_hightown_a3,9,272.4,4.82843,4.82843,4,0,0,forward
ht_0_hightown_a3,10,826,11.8284,11.8284,11,4,0,forward
ht_0_hightown_a3,11,709.4,9.65685,9.65685,8,2,0,forward
ht_0_hightown_a3,12,371.4,9.41421,9.41421,9,0,0,forward
ht_0_hightown_a3,13,309.4,8.82843,8.82843,8,0,0,forward
ht_0_hightown_a3,14,642,11.4142,11.4142,11,2,0,forward
ht_0_hightown_a3,15,280.6,8.41421,8.41421,8,0,0,forward
ht_0_hightown_a3,16,298.8,10.8995,10.8995,8,0,0,forward
ht_0_hightown_a3,17,539.6,11.2426,11.2426,10,0,0,forward
ht_0_hightown_a3,18,312.2,8.48528,8.48528,6,0,0,forward
ht_0_hightown_a3,19,388.2,9.48528,9.48528,7,1,0,forward
ht_0_hightown_a3,20,678.6,14.0711,14.0711,12,2,0,forward
ht_0_hightown_a3,21,360.4,12.7279,12.7279,9,0,0,forward
ht_0_hightown_a3,22,870.4,13.0711,13.0711,11,5,0,forward
ht_0_hightown_a3,23,423.4,12.6569,12.6569,11,0,0,forward
ht_0_hightown_a3,24,427,14.3137,14.3137,11,0,0,forward
ht_0_hightown_a3,25,883.8,14.3137,14.3137,11,6,0,forward
ht_0_hightown_a3,26,882.6,13,13,13,11,0,forward
