map,scenid,tcost,distance,expect,steps,access,r,itype
ht_0_hightown_n,0,404,5.24264,5.24264,4,0,2,forward
ht_0_hightown_n,1,478.4,6.82843,4,6,1,2,forward
ht_0_hightown_n,2,328.8,5.82843,4.41421,5,1,2,forward
ht_0_hightown_n,3,394,5.82843,5,5,1,2,forward
ht_0_hightown_n,4,403.8,7.82843,7.82843,7,2,2,forward
ht_0_hightown_n,5,309.4,6.24264,4.82843,5,0,2,forward
ht_0_hightown_n,6,382.4,7.24264,7.24264,6,0,2,forward
ht_0_hightown_n,7,267.8,4.82843,4.82843,4,0,2,forward
ht_0_hightown_n,8,601.8,8.07107,7.24264,6,2,2,forward
ht_0_hightown_n,9,421.6,7.65685,7.65685,6,0,2,forward
ht_0_hightown_n,10,500.2,9.82843,9.82843,9,0,2,forward
ht_0_hightown_n,11,736.2,12.4853,9.65685,10,2,2,forward
ht_0_hightown_n,12,494,12.2426,11.6569,11,0,2,forward
ht_0_hightown_n,13,400.6,11,10.4142,11,0,2,forward
ht_0_hightown_n,14,439.4,9.82843,8.41421,9,0,2,forward
ht_0_hightown_n,15,467.6,12.8995,10.8995,10,0,2,forward
ht_0_hightown_n,16,462.6,8.82843,8.82843,8,0,2,forward
ht_0_hightown_n,17,509.8,14.4853,11.6569,12,0,2,forward
ht_0_hightown_n,18,591.2,9.65685,9.65685,8,4,2,forward
ht_0_hightown_n,19,543,12.0711,11.4853,10,0,2,forward
ht_0_hightown_n,20,1061.2,16.6569,15.6569,15,9,2,forward
ht_0_hightown_n,21,1098,15.2426,14.2426,14,11,2,forward
ht_0_hightown_n,22,671.8,14.3137,14.3137,11,0,2,forward
ht_0_hightown_n,23,562.2,14.7279,13.3137,11,0,2,forward
ht_0_hightown_n,24,701.8,15.7279,15.1421,12,0,2,forward
ht_0_hightown_n,25,366.6,16.8995,15.8995,14,0,2,forward
ht_0_hightown_n,26,465.2,14.2426,12.8284,13,0,2,forward
