map,scenid,tcost,distance,expect,steps,access,r,itype
ht_0_hightown_n,0,857.4,8.65685,5.24264,7,2,8,backward
ht_0_hightown_n,1,1023,14.0711,4,12,3,8,backward
ht_0_hightown_n,2,766.4,11.6569,4.41421,10,2,8,backward
ht_0_hightown_n,3,1008.6,11.0711,5,9,5,8,backward
ht_0_hightown_n,4,857.8,9,7.82843,9,4,8,backward
ht_0_hightown_n,5,763.4,17.5563,4.82843,13,2,8,backward
ht_0_hightown_n,6,695.6,9,7.24264,9,2,8,backward
ht_0_hightown_n,7,535.6,8.24264,4.82843,7,2,8,backward
ht_0_hightown_n,8,781.2,11.4853,7.24264,9,2,8,backward
ht_0_hightown_n,9,1073,17.4853,7.65685,15,5,8,backward
ht_0_hightown_n,10,640.6,9.82843,9.82843,9,2,8,backward
ht_0_hightown_n,11,1217.4,17.3137,9.65685,14,7,8,backward
ht_0_hightown_n,12,903,19.6569,11.6569,18,2,8,backward
ht_0_hightown_n,13,619.6,10.4142,10.4142,10,2,8,backward
ht_0_hightown_n,14,932.6,14.3137,8.41421,11,3,8,backward
ht_0_hightown_n,15,1148.2,19.8995,10.8995,17,6,8,backward
ht_0_hightown_n,16,818.4,10.4853,8.82843,8,3,8,backward
ht_0_hightown_n,17,1203.2,19.0711,11.6569,17,3,8,backward
ht_0_hightown_n,18,1084.2,15.4142,9.65685,15,7,8,backward
ht_0_hightown_n,19,994,14.4853,11.4853,12,5,8,backward
ht_0_hightown_n,20,1271,25.5563,15.6569,21,4,8,backward
ht_0_hightown_n,21,935.8,14.2426,14.2426,13,3,8,backward
ht_0_hightown_n,22,1285.4,16.0711,14.3137,14,5,8,backward
ht_0_hightown_n,23,903.6,15.6569,13.3137,14,2,8,backward
ht_0_hightown_n,24,1303.2,23.7279,15.1421,20,3,8,backward
ht_0_hightown_n,25,751.8,18.3137,15.8995,15,4,8,backward
ht_0_hightown_n,26,1041.6,19.8995,12.8284,17,5,8,backward
ht_0_hightown_n,27,1432.6,27.3137,15.4142,24,4,8,backward
ht_0_hightown_n,28,751.6,15.7279,15.1421,12,2,8,backward
ht_0_hightown_n,29,760.6,22.0711,12.6569,20,3,8,backward
ht_0_hightown_n,30,1008.8,20.6569,19.4853,19,3,8,backward
ht_0_hightown_n,31,1203.6,20.1421,18.3848,16,5,8,backward
ht_0_hightown_n,32,1239.2,23.8995,19.8995,21,4,8,backward
ht_0_hightown_n,33,1225.2,19.9706,19.9706,15,4,8,backward
ht_0_hightown_n,34,1135.4,21.2426,17.4853,20,4,8,backward
ht_0_hightown_n,35,903.2,18.6569,18.0711,17,3,8,backward
ht_0_hightown_n,36,652.8,17.1421,17.1421,13,3,8,backward
ht_0_hightown_n,37,1150.2,21.8995,19.8995,19,2,8,backward
ht_0_hightown_n,38,1170.4,16.8995,16.8995,14,5,8,backward
ht_0_hightown_n,39,929.6,24.8995,16.8995,22,2,8,backward
ht_0_hightown_n,40,1373,24.8284,23.6569,24,7,8,backward
ht_0_hightown_n,41,1025,25.6569,23.3137,24,2,8,backward
ht_0_hightown_n,42,1109,24.6274,23.6274,18,4,8,backward
ht_0_hightown_n,43,1453.2,22.2426,21.0711,21,8,8,backward
ht_0_hightown_n,44,1317,23.5563,21.799,19,4,8,backward
ht_0_hightown_n,45,1035.2,26.3137,23.9706,23,4,8,backward
ht_0_hightown_n,46,1524.2,23.7279,22.5563,20,9,8,backward
ht_0_hightown_n,47,1275.6,23.8995,22.7279,21,4,8,backward
ht_0_hightown_n,48,1256.4,23.799,22.3848,18,7,8,backward
ht_0_hightown_n,49,2010.6,27.6569,22.8284,26,15,8,backward
ht_0_hightown_n,50,1578.6,26.4853,24.1421,24,7,8,backward
ht_0_hightown_n,51,1924.4,38.9706,27.6569,34,13,8,backward
ht_0_hightown_n,52,1032.4,28.4142,25.8284,28,5,8,backward
ht_0_hightown_n,53,1508.6,30.7279,25.7279,27,13,8,backward
ht_0_hightown_n,54,1554,28.8284,25.3137,28,8,8,backward
ht_0_hightown_n,55,1438.4,24.5563,24.5563,20,11,8,backward
ht_0_hightown_n,56,1223.4,30.5563,27.1421,26,4,8,backward
ht_0_hightown_n,57,1518,36.7279,25.8995,33,4,8,backward
ht_0_hightown_n,58,1450.2,27.8995,27.0711,25,6,8,backward
ht_0_hightown_n,59,1505,34.5563,25.0711,30,8,8,backward
ht_0_hightown_n,60,1178.6,41.5563,31.5563,37,8,8,backward
ht_0_hightown_n,61,1250.8,29.3137,29.3137,26,5,8,backward
ht_0_hightown_n,62,1458,33.8284,28.0711,33,4,8,backward
ht_0_hightown_n,63,1567.4,38.5269,30.4558,29,6,8,backward
ht_0_hightown_n,64,1095.2,28.4142,28.4142,28,1,8,backward
ht_0_hightown_n,65,1160.2,32.6985,28.4558,24,7,8,backward
ht_0_hightown_n,66,977.6,38.6569,31.2426,37,4,8,backward
ht_0_hightown_n,67,1801.4,30.8284,30,30,13,8,backward
ht_0_hightown_n,68,1266.6,28.8284,28.8284,28,2,8,backward
ht_0_hightown_n,69,2022.8,38.5563,31.7279,34,18,8,backward
ht_0_hightown_n,70,1735.8,38.4558,34.2132,31,10,8,backward
ht_0_hightown_n,71,1476.4,37.9411,34.6274,28,7,8,backward
ht_0_hightown_n,72,1627.8,34.2132,32.4558,28,7,8,backward
ht_0_hightown_n,73,1230.8,34.4558,34.4558,27,2,8,backward
ht_0_hightown_n,74,1524,49.5563,35.5563,45,3,8,backward
ht_0_hightown_n,75,1491,35.9706,35.9706,31,7,8,backward
ht_0_hightown_n,76,1415.2,33.8701,32.1127,26,5,8,backward
ht_0_hightown_n,77,1266.4,33.5563,32.3848,29,10,8,backward
ht_0_hightown_n,78,1628.4,35.5563,33.2132,31,11,8,backward
ht_0_hightown_n,79,1736.2,47.4142,33.4142,47,2,8,backward
ht_0_hightown_n,80,1018.2,36.799,36.2132,31,6,8,backward
ht_0_hightown_n,81,1547.4,39.9411,36.9411,30,6,8,backward
ht_0_hightown_n,82,1394.8,43.2426,36.8284,42,4,8,backward
ht_0_hightown_n,83,2040.6,41.2426,37,40,14,8,backward
ht_0_hightown_n,84,1622.4,40.6985,39.0416,32,12,8,backward
ht_0_hightown_n,85,1525.4,44.4558,37.4558,37,13,8,backward
ht_0_hightown_n,86,1173,38.8701,38.2843,31,7,8,backward
ht_0_hightown_n,87,1217.2,37.6569,37.6569,36,9,8,backward
ht_0_hightown_n,88,1454.2,38.8995,37.2426,36,4,8,backward
ht_0_hightown_n,89,1723.4,40.7696,36.9411,30,13,8,backward
ht_0_hightown_n,90,1981.2,44.6274,42.9706,38,11,8,backward
ht_0_hightown_n,91,1433.4,49.1421,41.2426,45,7,8,backward
ht_0_hightown_n,92,2137.4,52.8995,42.6569,50,5,8,backward
ht_0_hightown_n,93,1755.8,46.4853,42.2426,44,5,8,backward
ht_0_hightown_n,94,1464.6,40.3848,40.3848,35,4,8,backward
ht_0_hightown_n,95,1728.6,43.9706,42.799,39,10,8,backward
ht_0_hightown_n,96,1782.6,55.1838,41.1838,44,8,8,backward
ht_0_hightown_n,97,2109,45.1127,43.1127,36,18,8,backward
ht_0_hightown_n,98,1395.4,51.1127,42.6274,42,9,8,backward
ht_0_hightown_n,99,2080.2,44.6985,41.2843,36,15,8,backward
ht_0_hightown_n,100,1790.6,52.4558,47.8701,45,11,8,backward
ht_0_hightown_n,101,2215.2,47.799,47.799,42,17,8,backward
ht_0_hightown_n,102,1729.4,49.2132,45.2132,43,4,8,backward
ht_0_hightown_n,103,1519.4,45.8701,45.8701,38,3,8,backward
ht_0_hightown_n,104,2065.2,51.8995,44.6569,49,20,8,backward
ht_0_hightown_n,105,2171,49.0416,45.6274,42,13,8,backward
ht_0_hightown_n,106,1549.6,46.9706,45.5563,42,10,8,backward
ht_0_hightown_n,107,1758.8,45.6985,45.1127,37,17,8,backward
ht_0_hightown_n,108,978.8,47.6569,45.2426,46,4,8,backward
ht_0_hightown_n,109,1500.8,44.3137,44.3137,41,3,8,backward
ht_0_hightown_n,110,1185.4,54.3848,48.7279,49,4,8,backward
ht_0_hightown_n,111,2126,58.9706,50.5563,54,7,8,backward
ht_0_hightown_n,112,2963.4,53.0416,51.0416,46,35,8,backward
ht_0_hightown_n,113,1923.2,54.8284,50.7279,54,4,8,backward
ht_0_hightown_n,114,1791.4,51.6569,51.6569,50,3,8,backward
ht_0_hightown_n,115,2067.8,58.5563,51.1421,54,3,8,backward
ht_0_hightown_n,116,1731.2,50.0416,48.8701,43,16,8,backward
