map,scenid,tcost,distance,expect,steps,access,r,itype
ht_bartrand_n,0,2342.2,86.0833,6.24264,72,44,64,backward
ht_bartrand_n,1,962.6,38.0416,5.41421,31,10,64,backward
ht_bartrand_n,2,1180.2,30.8995,6.82843,28,7,64,backward
ht_bartrand_n,3,1086.6,44.6274,7.41421,38,6,64,backward
ht_bartrand_n,4,1296.8,105.497,5.41421,91,22,64,backward
ht_bartrand_n,5,1212.8,42.6274,5.24264,36,14,64,backward
ht_bartrand_n,6,1023.4,60.0833,5.24264,46,16,64,backward
ht_bartrand_n,7,1789.2,85.2548,6.82843,72,46,64,backward
ht_bartrand_n,8,1575,82.9117,7.07107,68,42,64,backward
ht_bartrand_n,9,817,32.3137,6.65685,29,4,64,backward
ht_bartrand_n,10,427,11.4142,9.41421,11,2,64,backward
ht_bartrand_n,11,5022.2,71.669,8.24264,58,37,64,backward
ht_bartrand_n,12,505,27.4853,9.24264,25,6,64,backward
ht_bartrand_n,13,828.4,21.8995,8.65685,19,9,64,backward
ht_bartrand_n,14,1455.2,76.4264,8.07107,64,42,64,backward
ht_bartrand_n,15,1623.6,60.4264,10.2426,48,13,64,backward
ht_bartrand_n,16,1242,59.6985,9.48528,51,30,64,backward
ht_bartrand_n,17,547.6,18.8995,9.07107,16,6,64,backward
ht_bartrand_n,18,1521.4,57.9706,10.4142,53,43,64,backward
ht_bartrand_n,19,480.8,12.8284,9.65685,12,3,64,backward
ht_bartrand_n,20,1463.2,76.2843,12.3137,68,44,64,backward
ht_bartrand_n,21,639.4,40.0416,14.4142,33,4,64,backward
ht_bartrand_n,22,1043.2,39.2132,14.4853,33,12,64,backward
ht_bartrand_n,23,535.8,33.799,15.6569,28,4,64,backward
ht_bartrand_n,24,945.8,56.3553,15.6569,46,22,64,backward
ht_bartrand_n,25,1100.6,65.9411,13.4853,56,32,64,backward
ht_bartrand_n,26,1018,49.2843,13.3137,41,16,64,backward
ht_bartrand_n,27,1293,51.2843,14.2426,43,24,64,backward
ht_bartrand_n,28,858.2,31.3137,13,28,7,64,backward
ht_bartrand_n,29,1985.2,77.2548,13.2426,64,19,64,backward
ht_bartrand_n,30,640.2,26.8995,19.7279,24,4,64,backward
ht_bartrand_n,31,929.4,60.5269,18.5563,51,11,64,backward
ht_bartrand_n,32,1500.8,79.4975,17.0711,65,35,64,backward
ht_bartrand_n,33,1982.4,69.7696,17.0711,59,32,64,backward
ht_bartrand_n,34,892.6,35.3137,19.5563,32,6,64,backward
ht_bartrand_n,35,1453.6,97.7696,19.8284,87,22,64,backward
ht_bartrand_n,36,1684.6,87.3553,16.0711,77,45,64,backward
ht_bartrand_n,37,1235.8,66.8701,18.6569,59,34,64,backward
ht_bartrand_n,38,1279.8,85.397,16.8284,68,28,64,backward
ht_bartrand_n,39,1003.6,50.7279,19.6569,47,17,64,backward
ht_bartrand_n,40,1651,106.083,21.8995,92,29,64,backward
ht_bartrand_n,41,696.4,27.8284,22.8284,27,3,64,backward
ht_bartrand_n,42,843.6,58.4558,21.7279,51,4,64,backward
ht_bartrand_n,43,1441,94.8406,20,82,41,64,backward
ht_bartrand_n,44,1002.8,47.4853,20.6569,45,17,64,backward
ht_bartrand_n,45,832.8,54.7696,21.4853,44,17,64,backward
ht_bartrand_n,46,1050.6,37.4142,22,37,3,64,backward
ht_bartrand_n,47,684.8,40.5563,23.8284,36,6,64,backward
ht_bartrand_n,48,922.4,51.2132,22.8995,45,10,64,backward
ht_bartrand_n,49,769.8,55.3848,21.3848,50,5,64,backward
ht_bartrand_n,50,1336.6,74.4558,27.799,67,30,64,backward
ht_bartrand_n,51,927.6,56.2843,27.4853,48,13,64,backward
ht_bartrand_n,52,940.2,66.1127,25.8284,57,25,64,backward
ht_bartrand_n,53,1384.2,76.9117,25.8284,62,39,64,backward
ht_bartrand_n,54,1159,82.2843,24.9706,74,19,64,backward
ht_bartrand_n,55,548.6,26.0711,26.0711,24,3,64,backward
ht_bartrand_n,56,591.8,25.3137,25.3137,22,5,64,backward
ht_bartrand_n,57,856.2,47.8701,27.9706,40,22,64,backward
ht_bartrand_n,58,532.4,26.4853,24.7279,24,5,64,backward
ht_bartrand_n,59,471.2,27.5563,27.5563,23,4,64,backward
ht_bartrand_n,60,1224.2,51.2843,31.0416,43,11,64,backward
ht_bartrand_n,61,759.8,47.5563,29.6569,43,3,64,backward
ht_bartrand_n,62,893.6,41.8701,28.9706,34,7,64,backward
ht_bartrand_n,63,715.6,58.8701,30.4853,51,6,64,backward
ht_bartrand_n,64,1600.4,87.397,28.1421,70,35,64,backward
ht_bartrand_n,65,543.8,31.1421,31.1421,27,4,64,backward
ht_bartrand_n,66,1349.4,83.2132,30.799,77,6,64,backward
ht_bartrand_n,67,876.6,48.0416,28.2426,41,8,64,backward
ht_bartrand_n,68,1219.6,61.6985,28.2426,53,22,64,backward
ht_bartrand_n,69,1650.6,85.4975,31.5563,71,15,64,backward
ht_bartrand_n,70,1103,68.4975,33.2843,54,24,64,backward
ht_bartrand_n,71,1016.2,57.3553,33.3137,47,17,64,backward
ht_bartrand_n,72,1007.6,55.6274,33.1421,49,7,64,backward
ht_bartrand_n,73,651.6,35.0416,35.0416,28,11,64,backward
ht_bartrand_n,74,853.8,81.5563,35.5563,77,7,64,backward
ht_bartrand_n,75,1958,83.6985,32.1421,75,19,64,backward
ht_bartrand_n,76,697.8,76.9706,32.9706,72,5,64,backward
ht_bartrand_n,77,757.8,34.8995,34.8995,32,6,64,backward
ht_bartrand_n,78,615.8,39.6569,33.8284,38,9,64,backward
ht_bartrand_n,79,503.2,32.2132,32.2132,26,4,64,backward
ht_bartrand_n,80,2464.2,120.983,38.5563,104,58,64,backward
ht_bartrand_n,81,1830,93.3259,38.3137,78,20,64,backward
ht_bartrand_n,82,686.4,37.0711,36.2426,35,4,64,backward
ht_bartrand_n,83,679.6,39.6274,38.2132,33,5,64,backward
ht_bartrand_n,84,1266.2,76.0833,38.4558,62,26,64,backward
ht_bartrand_n,85,1531.6,73.8995,39.8995,71,4,64,backward
ht_bartrand_n,86,1710,101.083,37.6274,87,36,64,backward
ht_bartrand_n,87,1263.8,77.598,37.0416,66,31,64,backward
ht_bartrand_n,88,1200.2,76.9828,38.1421,60,28,64,backward
ht_bartrand_n,89,1773.6,66.4558,38.0711,59,20,64,backward
ht_bartrand_n,90,1416.2,79.4558,42.1421,72,12,64,backward
ht_bartrand_n,91,777.6,44.6274,42.2843,38,4,64,backward
ht_bartrand_n,92,2213.4,99.8406,42.9706,87,28,64,backward
ht_bartrand_n,93,1550,68.9706,40.8995,64,13,64,backward
ht_bartrand_n,94,908.6,53.9411,41.8995,44,12,64,backward
ht_bartrand_n,95,748,40.3848,40.3848,35,4,64,backward
ht_bartrand_n,96,1129.4,123.255,41.2132,110,19,64,backward
ht_bartrand_n,97,1054.6,63.1127,40.4853,54,9,64,backward
ht_bartrand_n,98,1682.8,89.3848,43.1421,84,11,64,backward
ht_bartrand_n,99,1048.2,70.799,42.5563,65,11,64,backward
ht_bartrand_n,100,881.2,46.1421,46.1421,42,6,64,backward
ht_bartrand_n,101,1857.8,101.355,46.3848,91,18,64,backward
ht_bartrand_n,102,652.8,77.2132,45.2132,71,6,64,backward
ht_bartrand_n,103,1225,80.5269,44.3848,71,24,64,backward
ht_bartrand_n,104,1465.6,87.0416,44.8995,80,15,64,backward
ht_bartrand_n,105,863,91.7696,46.2132,81,16,64,backward
ht_bartrand_n,106,887,50.2132,46.5563,44,14,64,backward
ht_bartrand_n,107,1011.8,70.1838,47.6985,59,23,64,backward
ht_bartrand_n,108,1079,45.1421,44.5563,41,7,64,backward
ht_bartrand_n,109,981.6,48.4853,47.6569,46,5,64,backward
ht_bartrand_n,110,1243.8,80.9411,50.4558,71,19,64,backward
ht_bartrand_n,111,1492.2,106.397,50.2132,89,30,64,backward
ht_bartrand_n,112,1352.6,73.5269,48.8701,64,11,64,backward
ht_bartrand_n,113,1320.2,53.8701,51.0416,46,21,64,backward
ht_bartrand_n,114,871.4,80.6985,48.6985,72,11,64,backward
ht_bartrand_n,115,1335.4,93.3553,50.7696,83,23,64,backward
ht_bartrand_n,116,1290,54.3137,50.6569,51,16,64,backward
ht_bartrand_n,117,1691,122.154,48.3137,106,19,64,backward
ht_bartrand_n,118,1294.6,102.154,49.2843,86,19,64,backward
ht_bartrand_n,119,1105.2,51.2843,49.8701,43,18,64,backward
ht_bartrand_n,120,1214.8,71.2843,53.3848,63,12,64,backward
ht_bartrand_n,121,891.2,54.1838,54.1838,43,10,64,backward
ht_bartrand_n,122,987.4,52.4853,52.4853,50,6,64,backward
ht_bartrand_n,123,1956.4,87.0416,55.3848,80,24,64,backward
ht_bartrand_n,124,1212.8,54.1421,52.1421,50,14,64,backward
ht_bartrand_n,125,933.4,53.3848,53.3848,48,5,64,backward
ht_bartrand_n,126,1023,55.3848,55.3848,50,23,64,backward
ht_bartrand_n,127,937.4,87.1838,55.1838,76,19,64,backward
ht_bartrand_n,128,1578,86.1127,55.9706,77,23,64,backward
ht_bartrand_n,129,1288.4,74.2843,55.5563,66,6,64,backward
ht_bartrand_n,130,1875.8,88.8701,58.0416,81,25,64,backward
ht_bartrand_n,131,1757.6,103.698,58.4853,95,19,64,backward
ht_bartrand_n,132,1126.2,57.8995,57.0711,55,10,64,backward
ht_bartrand_n,133,936,61.0416,57.3848,54,12,64,backward
ht_bartrand_n,134,823,61.7696,56.6985,51,12,64,backward
ht_bartrand_n,135,3072.2,89.3553,57.6985,79,25,64,backward
ht_bartrand_n,136,1009.6,58.4558,58.4558,51,6,64,backward
ht_bartrand_n,137,2014.6,83.9411,58.8701,74,25,64,backward
ht_bartrand_n,138,1039.4,63.7696,59.2843,53,9,64,backward
ht_bartrand_n,139,1477.4,64.1127,59.5269,55,21,64,backward
ht_bartrand_n,140,940.2,63.3848,63.3848,58,11,64,backward
ht_bartrand_n,141,1230.4,95.8406,61.2132,83,23,64,backward
ht_bartrand_n,142,877,69.1421,61.3848,65,11,64,backward
ht_bartrand_n,143,1881.8,132.296,62.2132,112,43,64,backward
ht_bartrand_n,144,1243.8,82.3553,63.598,72,6,64,backward
ht_bartrand_n,145,1474.4,74.8995,60.3137,72,7,64,backward
ht_bartrand_n,146,1881.8,94.1127,62.799,85,26,64,backward
ht_bartrand_n,147,903.8,62.4975,62.4975,48,10,64,backward
ht_bartrand_n,148,912,62.9411,62.9411,53,12,64,backward
ht_bartrand_n,149,1605.6,119.497,62.8995,105,38,64,backward
ht_bartrand_n,150,1484.4,100.598,65.3848,89,15,64,backward
ht_bartrand_n,151,2737.2,138.983,65.1127,122,64,64,backward
ht_bartrand_n,152,1394.6,114.669,64.3137,101,33,64,backward
ht_bartrand_n,153,2313.8,108.497,67.7696,94,36,64,backward
ht_bartrand_n,154,1641.2,163.853,67.3259,139,30,64,backward
ht_bartrand_n,155,2058.6,113.941,67.6985,104,28,64,backward
ht_bartrand_n,156,1353.4,86.2548,67.7696,73,18,64,backward
ht_bartrand_n,157,985.6,75.8701,67.5269,68,15,64,backward
ht_bartrand_n,158,1303.4,87.7401,66.1838,72,22,64,backward
ht_bartrand_n,159,1819.8,93.2548,64.9706,80,24,64,backward
ht_bartrand_n,160,1119.2,82.799,68.4558,77,14,64,backward
ht_bartrand_n,161,1521.2,73.0416,69.6274,66,23,64,backward
ht_bartrand_n,162,1838.8,101.355,71.2132,91,24,64,backward
ht_bartrand_n,163,1630,105.669,71.2843,92,23,64,backward
ht_bartrand_n,164,1208,93.2254,70.397,75,19,64,backward
ht_bartrand_n,165,1078.8,71.1127,71.1127,62,6,64,backward
ht_bartrand_n,166,1100,90.598,71.8701,79,7,64,backward
ht_bartrand_n,167,1182.6,72.8701,71.6985,65,7,64,backward
ht_bartrand_n,168,1943.8,135.64,69.9706,117,47,64,backward
ht_bartrand_n,169,1142.8,68.3553,68.3553,58,12,64,backward
ht_bartrand_n,170,1166.4,86.7401,72.9411,71,21,64,backward
ht_bartrand_n,171,2081.2,128.527,72.6274,119,24,64,backward
ht_bartrand_n,172,893.6,86.8406,72.7696,74,18,64,backward
ht_bartrand_n,173,2541,150.912,75.2548,136,35,64,backward
ht_bartrand_n,174,1922.4,134.468,72.3848,115,48,64,backward
ht_bartrand_n,175,2305.6,104.627,75.5563,98,30,64,backward
ht_bartrand_n,176,1200.6,73.799,72.9706,68,10,64,backward
ht_bartrand_n,177,1672.6,94.1838,73.8406,83,24,64,backward
ht_bartrand_n,178,1473,121.355,75.4975,111,10,64,backward
ht_bartrand_n,179,792.2,74.9117,74.9117,60,12,64,backward
ht_bartrand_n,180,2988.2,154.054,76.8701,135,77,64,backward
ht_bartrand_n,181,2045.4,108.255,78.1127,95,33,64,backward
ht_bartrand_n,182,2252.8,148.74,79.7696,133,32,64,backward
ht_bartrand_n,183,1691.6,113.497,79.1127,99,25,64,backward
ht_bartrand_n,184,1156,76.3553,76.3553,66,19,64,backward
ht_bartrand_n,185,2221,139.912,78.9411,125,45,64,backward
ht_bartrand_n,186,1279.4,79.2843,77.5269,71,8,64,backward
ht_bartrand_n,187,1656.4,114.669,77.0122,101,26,64,backward
ht_bartrand_n,188,1646.8,77.2843,76.4558,69,28,64,backward
ht_bartrand_n,189,1335.6,76.1127,76.1127,67,22,64,backward
ht_bartrand_n,190,1653,113.799,82.3848,108,21,64,backward
ht_bartrand_n,191,1425.8,86.799,83.0416,81,7,64,backward
ht_bartrand_n,192,2553,132.154,83.598,116,52,64,backward
ht_bartrand_n,193,1525,115.669,81.2843,102,19,64,backward
ht_bartrand_n,194,1113,84.2843,80.6274,76,19,64,backward
ht_bartrand_n,195,1991,104.698,81.2843,96,25,64,backward
ht_bartrand_n,196,1423,86.0122,82.3553,74,25,64,backward
ht_bartrand_n,197,1676.2,87.5269,83.7696,78,22,64,backward
ht_bartrand_n,198,2060.2,124.012,81.1838,112,27,64,backward
ht_bartrand_n,199,2142.8,149.468,82.6985,130,42,64,backward
ht_bartrand_n,200,2040,126.74,86.8701,111,43,64,backward
ht_bartrand_n,201,1875.6,104.698,84.8701,96,24,64,backward
