map,scenid,tcost,distance,expect,steps,access,r,itype
ht_brothel_n,0,1368.8,35.0711,6.24264,33,18,32,forward
ht_brothel_n,1,1487.2,30.6569,5.24264,29,40,32,forward
ht_brothel_n,2,1084.4,22.0711,6.24264,20,21,32,forward
ht_brothel_n,3,548.2,27.0416,7.24264,20,5,32,forward
ht_brothel_n,4,642.4,14.0711,7.65685,12,8,32,forward
ht_brothel_n,5,682.2,17.8995,6,15,8,32,forward
ht_brothel_n,6,1051.8,34.8995,7.07107,32,30,32,forward
ht_brothel_n,7,576.8,18.4853,5.82843,16,11,32,forward
ht_brothel_n,8,420.2,11.4853,5.65685,9,4,32,forward
ht_brothel_n,9,416,13.2426,6.65685,12,1,32,forward
ht_brothel_n,10,381.8,12.8284,11.6569,12,1,32,forward
ht_brothel_n,11,497.4,24.7279,9.07107,21,11,32,forward
ht_brothel_n,12,989.4,23.6569,8.41421,22,26,32,forward
ht_brothel_n,13,845.2,24.8284,10.4142,24,28,32,forward
ht_brothel_n,14,1136.6,45.9706,9.24264,41,48,32,forward
ht_brothel_n,15,666.8,33.8995,8.82843,31,27,32,forward
ht_brothel_n,16,762.4,21.6569,11.3137,20,11,32,forward
ht_brothel_n,17,1625,53.6569,8,52,43,32,forward
ht_brothel_n,18,656.6,21.3137,8,18,6,32,forward
ht_brothel_n,19,697,29.2132,8.24264,23,6,32,forward
ht_brothel_n,20,1258.6,40.3848,15.4142,35,33,32,forward
ht_brothel_n,21,996.4,34.6569,12.8284,33,25,32,forward
ht_brothel_n,22,1311.6,39.0711,13.8284,37,39,32,forward
ht_brothel_n,23,514.4,15.4142,15.4142,15,11,32,forward
ht_brothel_n,24,619,21.0711,12.4142,19,11,32,forward
ht_brothel_n,25,887.2,24.5563,15.4853,20,15,32,forward
ht_brothel_n,26,683,25.3137,13.3137,22,19,32,forward
ht_brothel_n,27,1056.6,32.3848,12.7279,27,32,32,forward
ht_brothel_n,28,355.2,19.1421,15.4853,15,2,32,forward
ht_brothel_n,29,867.8,30.3137,13.4853,27,12,32,forward
ht_brothel_n,30,1429.8,41.7279,16.0711,38,46,32,forward
ht_brothel_n,31,1640.4,61.3848,17.0711,56,39,32,forward
ht_brothel_n,32,1706,46.0711,18.2426,44,57,32,forward
ht_brothel_n,33,970.4,37.3848,16.2426,32,20,32,forward
ht_brothel_n,34,1247.6,46.6569,16.4142,45,43,32,forward
ht_brothel_n,35,1003.4,47.3848,16.2426,42,26,32,forward
ht_brothel_n,36,516.4,19.8995,19.8995,17,5,32,forward
ht_brothel_n,37,1202.8,37.0711,18.8284,35,26,32,forward
ht_brothel_n,38,1397,39.9706,17.2426,35,46,32,forward
ht_brothel_n,39,543.8,16.8284,16.2426,16,12,32,forward
ht_brothel_n,40,768.8,33.0711,21.6569,31,25,32,forward
ht_brothel_n,41,601.6,22.8284,22.8284,22,17,32,forward
ht_brothel_n,42,954.6,39.4853,21.6569,37,33,32,forward
ht_brothel_n,43,1579.8,51.3848,22.5563,46,48,32,forward
ht_brothel_n,44,708.6,25.3137,22.4853,22,16,32,forward
ht_brothel_n,45,811.4,29.2426,23.2426,28,25,32,forward
ht_brothel_n,46,1550.2,54.4558,22.6569,47,59,32,forward
ht_brothel_n,47,1340,38.0711,23.8284,36,45,32,forward
ht_brothel_n,48,998,42.7279,23.7279,39,35,32,forward
ht_brothel_n,49,1686.2,64.9706,23.6569,60,58,32,forward
ht_brothel_n,50,1585.8,57.799,25.0711,52,33,32,forward
ht_brothel_n,51,934,32.4853,27.6569,30,18,32,forward
ht_brothel_n,52,1134.4,34.4853,26.0711,32,38,32,forward
ht_brothel_n,53,1380.4,48.1421,27.5563,44,32,32,forward
ht_brothel_n,54,717.4,34.5563,24.799,30,12,32,forward
ht_brothel_n,55,648.2,25.8995,25.3137,23,17,32,forward
ht_brothel_n,56,641.4,27.1421,27.1421,23,11,32,forward
ht_brothel_n,57,1676.4,56.3848,26.4853,51,61,32,forward
ht_brothel_n,58,736.4,37.9706,26.1421,33,26,32,forward
ht_brothel_n,59,681,26.9706,26.9706,22,14,32,forward
ht_brothel_n,60,1428.2,56.6985,30.799,48,33,32,forward
ht_brothel_n,61,1063.2,42.4853,29.8284,40,22,32,forward
ht_brothel_n,62,688,31.5563,30.7279,27,14,32,forward
ht_brothel_n,63,649.8,30.9706,30.9706,26,22,32,forward
ht_brothel_n,64,1801,75.1127,31.799,66,63,32,forward
ht_brothel_n,65,602,30.0711,30.0711,28,12,32,forward
ht_brothel_n,66,1825.4,57.2843,29.7279,49,49,32,forward
ht_brothel_n,67,1392.6,50.0416,29.8995,43,36,32,forward
ht_brothel_n,68,646.2,29.8995,28.2426,27,12,32,forward
ht_brothel_n,69,1161.4,52.4558,28.1421,45,31,32,forward
ht_brothel_n,70,995.4,33.8284,33.8284,33,29,32,forward
ht_brothel_n,71,1490.8,61.1127,33.799,52,38,32,forward
ht_brothel_n,72,795.2,37.1421,32.2132,33,17,32,forward
ht_brothel_n,73,1100,47.4142,32,47,39,32,forward
ht_brothel_n,74,2320.6,70.799,34.8995,65,82,32,forward
ht_brothel_n,75,2165,82.3848,33.5563,77,61,32,forward
