map,scenid,tcost,distance,expect,steps,access,r,itype
ht_chantry,0,649.2,6.65685,5.65685,5,0,2,forward
ht_chantry,1,398,4.82843,4.82843,4,0,2,forward
ht_chantry,2,689.2,6.24264,6.24264,5,2,2,forward
ht_chantry,3,414,6.24264,5.65685,5,0,2,forward
ht_chantry,4,608,7,6,7,1,2,forward
ht_chantry,5,629.8,7.65685,4.82843,6,1,2,forward
ht_chantry,6,438.8,8.07107,6.65685,6,0,2,forward
ht_chantry,7,349.8,6.24264,6.24264,5,0,2,forward
ht_chantry,8,711,7.82843,7,7,1,2,forward
ht_chantry,9,592.8,6.82843,6.82843,6,2,2,forward
ht_chantry,10,1153.4,10.2426,8.82843,9,6,2,forward
ht_chantry,11,895.6,8.82843,8.82843,8,2,2,forward
ht_chantry,12,1096,11.2426,11.2426,10,7,2,forward
ht_chantry,13,754.8,9.65685,9.65685,8,3,2,forward
ht_chantry,14,544.6,12.3137,11.4853,9,0,2,forward
ht_chantry,15,919.6,11.0711,11.0711,9,2,2,forward
ht_chantry,16,631.4,9.89949,9.89949,7,1,2,forward
ht_chantry,17,516.8,11.4853,9.48528,9,0,2,forward
ht_chantry,18,796.6,9.82843,9,9,2,2,forward
ht_chantry,19,479.4,11.6569,11.6569,10,0,2,forward
ht_chantry,20,784.4,12.8284,12.2426,12,4,2,forward
ht_chantry,21,1026.6,15.7279,15.7279,12,3,2,forward
ht_chantry,22,582.8,13.4142,12.8284,13,0,2,forward
ht_chantry,23,535,14.1421,13.3137,10,0,2,forward
ht_chantry,24,1149.4,14.8284,14.8284,14,13,2,forward
ht_chantry,25,781.8,14.4853,14.4853,12,1,2,forward
ht_chantry,26,1000.8,15.8995,15.8995,13,3,2,forward
ht_chantry,27,706,12.3137,12.3137,9,2,2,forward
ht_chantry,28,826.2,13.2426,13.2426,12,2,2,forward
ht_chantry,29,1063.8,15.3137,15.3137,12,4,2,forward
ht_chantry,30,1484.8,17.7279,17.7279,14,8,2,forward
ht_chantry,31,1992.4,17.8284,16.4142,17,14,2,forward
ht_chantry,32,1284.8,17.6569,16.6569,16,6,2,forward
ht_chantry,33,784.8,21.4853,18.6569,19,0,2,forward
ht_chantry,34,1074.2,17,16.4142,17,4,2,forward
ht_chantry,35,1538.6,18.7279,17.7279,15,10,2,forward
ht_chantry,36,828.8,19.3848,16.5563,14,2,2,forward
ht_chantry,37,828.6,17.8995,16.4853,15,2,2,forward
ht_chantry,38,1788.4,16.8284,16.8284,16,13,2,forward
ht_chantry,39,804.2,20.1421,19.1421,16,1,2,forward
ht_chantry,40,1472.8,22.1421,20.7279,18,11,2,forward
ht_chantry,41,3039.2,26.2426,23.4142,25,19,2,forward
ht_chantry,42,2141.2,20.8284,20.8284,20,19,2,forward
ht_chantry,43,1728.8,22.3137,20.8995,19,9,2,forward
ht_chantry,44,1335.4,24.2426,21.4142,23,5,2,forward
ht_chantry,45,1829.2,22.4142,22.4142,22,19,2,forward
ht_chantry,46,2337.2,24.2426,23.6569,23,19,2,forward
ht_chantry,47,2158.2,22.8284,21.4142,22,16,2,forward
ht_chantry,48,2039.2,24.8995,23.8995,22,18,2,forward
ht_chantry,49,1181.2,21.0711,21.0711,19,4,2,forward
ht_chantry,50,1931.6,26.3137,24.8995,23,19,2,forward
ht_chantry,51,2390,28.4853,27.8995,26,22,2,forward
ht_chantry,52,1905.4,26.6569,26.0711,25,20,2,forward
ht_chantry,53,1150.8,28.3848,27.799,23,10,2,forward
ht_chantry,54,1740.2,27.6274,26.2132,21,9,2,forward
ht_chantry,55,1999.2,24.9706,24.9706,20,14,2,forward
ht_chantry,56,1585.4,28.3848,26.9706,23,8,2,forward
ht_chantry,57,1692,25.6569,25.6569,24,21,2,forward
ht_chantry,58,1623.8,24.0711,24.0711,22,15,2,forward
ht_chantry,59,2392.6,26.6569,26.0711,25,20,2,forward
ht_chantry,60,1869,29.9706,29.3848,25,12,2,forward
ht_chantry,61,2868,31.1421,30.5563,27,24,2,forward
ht_chantry,62,2021.8,31.3848,31.3848,26,15,2,forward
ht_chantry,63,2968,31.799,30.3848,26,24,2,forward
ht_chantry,64,1971.2,32.5563,31.5563,28,18,2,forward
ht_chantry,65,2406.2,30.8284,28,30,24,2,forward
ht_chantry,66,2385,29.8995,29.8995,27,23,2,forward
ht_chantry,67,1808.8,31.4853,31.4853,29,21,2,forward
ht_chantry,68,1692.6,29.7279,29.1421,26,15,2,forward
ht_chantry,69,2250,29.3137,29.3137,26,21,2,forward
ht_chantry,70,1435,33.7279,33.7279,30,21,2,forward
ht_chantry,71,2234,34.4142,34.4142,34,14,2,forward
ht_chantry,72,2350.6,37.3137,35.8995,34,21,2,forward
ht_chantry,73,2072.4,34.9706,34.1421,30,24,2,forward
ht_chantry,74,2140,35.8995,35.8995,33,30,2,forward
ht_chantry,75,2532.2,35.7279,35.7279,32,21,2,forward
ht_chantry,76,2182.4,34.0416,34.0416,27,14,2,forward
ht_chantry,77,2430.6,34.9706,34.9706,30,20,2,forward
ht_chantry,78,2608.6,34.4853,34.4853,32,29,2,forward
ht_chantry,79,3279.2,35.6569,34.6569,34,29,2,forward
ht_chantry,80,3124.2,40.2426,39.4142,39,31,2,forward
ht_chantry,81,1899.4,39.2843,38.6985,31,14,2,forward
ht_chantry,82,3050.2,38.1421,37.1421,34,32,2,forward
ht_chantry,83,3759.8,40.2426,39.6569,39,36,2,forward
ht_chantry,84,2240.8,37.4853,37.4853,35,22,2,forward
ht_chantry,85,2498.6,36.8701,36.8701,29,15,2,forward
ht_chantry,86,2968,38.6274,38.6274,32,27,2,forward
ht_chantry,87,2988.4,38.3137,38.3137,35,28,2,forward
ht_chantry,88,2064.8,38.8284,38.2426,38,10,2,forward
ht_chantry,89,2570,39.5269,38.1127,30,27,2,forward
ht_chantry,90,3472,45.0711,43.6569,43,37,2,forward
ht_chantry,91,3581.8,41.2426,40.6569,40,27,2,forward
ht_chantry,92,3011.4,43.8995,43.8995,41,34,2,forward
ht_chantry,93,2369.6,41.2843,40.2843,33,17,2,forward
ht_chantry,94,2248.2,42.4558,42.4558,35,16,2,forward
ht_chantry,95,2915.6,44.8995,43.8995,42,32,2,forward
ht_chantry,96,4142.4,41.2426,41.2426,40,34,2,forward
ht_chantry,97,3387,45.6274,43.6274,39,29,2,forward
ht_chantry,98,2544.4,45.3553,42.5269,35,16,2,forward
ht_chantry,99,3520.8,40.799,40.799,35,32,2,forward
ht_chantry,100,2595.8,47.2843,44.4558,39,24,2,forward
ht_chantry,101,3492,47.8995,47.3137,45,38,2,forward
ht_chantry,102,3396.6,45.1421,44.5563,41,34,2,forward
ht_chantry,103,3326.6,45.8995,44.4853,43,36,2,forward
ht_chantry,104,3168.2,46.3137,45.3137,43,38,2,forward
ht_chantry,105,3465.6,48.0711,47.2426,46,36,2,forward
ht_chantry,106,3397.4,46.4853,46.4853,44,39,2,forward
ht_chantry,107,6575.6,50.2132,47.3848,44,38,2,forward
ht_chantry,108,2679.6,49.598,47.598,38,26,2,forward
ht_chantry,109,2987,44.8284,44.2426,44,38,2,forward
ht_chantry,110,3159.8,49.5563,49.5563,45,39,2,forward
ht_chantry,111,4155.6,51.6569,50.6569,50,46,2,forward
ht_chantry,112,3160.6,49.5563,48.5563,45,24,2,forward
ht_chantry,113,3218.4,48.7279,48.7279,45,38,2,forward
ht_chantry,114,3322.8,52.5563,51.7279,48,36,2,forward
ht_chantry,115,3886.6,50.7279,50.7279,47,41,2,forward
ht_chantry,116,3460.4,52.0711,51.2426,50,45,2,forward
ht_chantry,117,3248.6,48.8995,48.3137,46,41,2,forward
ht_chantry,118,3912.2,50.2426,50.2426,49,45,2,forward
ht_chantry,119,3368.2,51.6274,50.6274,45,40,2,forward
ht_chantry,120,2371,55.3553,54.3553,45,40,2,forward
ht_chantry,121,3550.4,54.6569,53.6569,53,43,2,forward
ht_chantry,122,4309.4,54.2426,53.0711,53,48,2,forward
ht_chantry,123,3408.2,53.0416,52.2132,46,36,2,forward
ht_chantry,124,3634.8,56.1421,55.5563,52,41,2,forward
ht_chantry,125,3575.4,54.8701,53.4558,47,37,2,forward
