map,scenid,tcost,distance,expect,steps,access,r,itype
ht_chantry_n,0,527.2,10.4142,4.41421,10,2,16,backward
ht_chantry_n,1,765.8,27.6569,4.82843,26,4,16,backward
ht_chantry_n,2,699.4,22.6569,4,21,4,16,backward
ht_chantry_n,3,303.8,6.82843,6.24264,6,2,16,backward
ht_chantry_n,4,730.8,17.8995,6.82843,15,8,16,backward
ht_chantry_n,5,523,16.8995,5.82843,14,2,16,backward
ht_chantry_n,6,314.2,8.24264,4.24264,7,2,16,backward
ht_chantry_n,7,325,9.48528,7,7,2,16,backward
ht_chantry_n,8,569.2,23.6569,4.41421,22,2,16,backward
ht_chantry_n,9,785.8,26.3848,7,21,10,16,backward
ht_chantry_n,10,498.2,14.6569,11.6569,13,2,16,backward
ht_chantry_n,11,1072,30.7279,9,27,10,16,backward
ht_chantry_n,12,446,11.8284,10.0711,11,2,16,backward
ht_chantry_n,13,520,12.2426,11.6569,11,4,16,backward
ht_chantry_n,14,730.6,25.4853,9.65685,23,6,16,backward
ht_chantry_n,15,675.6,29.2426,10.2426,28,3,16,backward
ht_chantry_n,16,990.8,21.4853,8.48528,19,7,16,backward
ht_chantry_n,17,319.6,9.82843,9.24264,9,2,16,backward
ht_chantry_n,18,477.8,21.3137,9.41421,18,6,16,backward
ht_chantry_n,19,556.4,27.3848,8.41421,22,2,16,backward
ht_chantry_n,20,832.8,16.6569,14.8995,15,8,16,backward
ht_chantry_n,21,612.4,16.2426,15.4142,15,4,16,backward
ht_chantry_n,22,474.4,18.0711,15.4853,16,4,16,backward
ht_chantry_n,23,424.8,14.8995,12.6569,12,2,16,backward
ht_chantry_n,24,613.6,20.8284,13.3137,20,4,16,backward
ht_chantry_n,25,638.8,19.7279,12.3137,16,5,16,backward
ht_chantry_n,26,452.4,22.7279,12.8284,19,2,16,backward
ht_chantry_n,27,720.6,37.1127,15.8995,28,5,16,backward
ht_chantry_n,28,569.8,15.8995,13.0711,13,4,16,backward
ht_chantry_n,29,966.4,36.9706,15.3137,32,11,16,backward
ht_chantry_n,30,794,35.799,18.5563,30,4,16,backward
ht_chantry_n,31,721.4,34.0416,17.4142,27,4,16,backward
ht_chantry_n,32,906,26.6569,16.4142,25,11,16,backward
ht_chantry_n,33,559.2,16.8995,16.8995,14,6,16,backward
ht_chantry_n,34,1598.4,32.4853,17.2426,30,22,16,backward
ht_chantry_n,35,737.6,18.3137,18.3137,15,9,16,backward
ht_chantry_n,36,1407,34.3137,17.0711,31,18,16,backward
ht_chantry_n,37,1015,33.8995,19.8995,31,12,16,backward
ht_chantry_n,38,440.6,18.0711,16.4142,16,2,16,backward
ht_chantry_n,39,510.8,18.0711,17.2426,16,4,16,backward
ht_chantry_n,40,748.2,26.2426,22.7279,25,5,16,backward
ht_chantry_n,41,1147.6,42.2132,22.4142,36,10,16,backward
ht_chantry_n,42,1211.6,35.1421,22.1421,31,15,16,backward
ht_chantry_n,43,797.6,43.6985,23.8995,35,2,16,backward
ht_chantry_n,44,593.4,21.6569,20.2426,20,4,16,backward
ht_chantry_n,45,785,20.0711,20.0711,18,8,16,backward
ht_chantry_n,46,1337.2,33.1421,21.8995,29,17,16,backward
ht_chantry_n,47,561.8,24.7279,22.9706,21,4,16,backward
ht_chantry_n,48,831,23.6569,21.6569,22,7,16,backward
ht_chantry_n,49,1007.2,36.3137,23.7279,33,8,16,backward
ht_chantry_n,50,799.6,28.6569,26.6569,27,5,16,backward
ht_chantry_n,51,901.2,32.1421,26.1421,28,9,16,backward
ht_chantry_n,52,1147.8,38.0711,27.6569,36,13,16,backward
ht_chantry_n,53,725.2,27.8995,27.8995,25,7,16,backward
ht_chantry_n,54,1225,39.9706,26.7279,35,15,16,backward
ht_chantry_n,55,1133.4,42.1421,25.4142,38,6,16,backward
ht_chantry_n,56,818.4,43.2843,27.1421,35,7,16,backward
ht_chantry_n,57,691,27.8995,27.8995,25,4,16,backward
ht_chantry_n,58,921.4,35.6569,24.7279,34,6,16,backward
ht_chantry_n,59,568.8,25.4853,25.4853,23,2,16,backward
