map,scenid,tcost,distance,expect,steps,access,r,itype
ht_chantry_n,0,199,4.41421,4.41421,4,0,0,forward
ht_chantry_n,1,139.8,4.82843,4.82843,4,0,0,forward
ht_chantry_n,2,110.6,4,4,4,0,0,forward
ht_chantry_n,3,118,6.24264,6.24264,5,0,0,forward
ht_chantry_n,4,152.2,6.82843,6.82843,6,0,0,forward
ht_chantry_n,5,250,5.82843,5.82843,5,1,0,forward
ht_chantry_n,6,115.6,4.24264,4.24264,3,0,0,forward
ht_chantry_n,7,391,7,7,7,4,0,forward
ht_chantry_n,8,117.2,4.41421,4.41421,4,0,0,forward
ht_chantry_n,9,145.6,7,7,7,0,0,forward
ht_chantry_n,10,339.4,11.6569,11.6569,10,1,0,forward
ht_chantry_n,11,177,9,9,9,0,0,forward
ht_chantry_n,12,516.6,10.0711,10.0711,8,3,0,forward
ht_chantry_n,13,400,11.6569,11.6569,10,5,0,forward
ht_chantry_n,14,145.6,9.65685,9.65685,8,0,0,forward
ht_chantry_n,15,338.4,10.2426,10.2426,9,5,0,forward
ht_chantry_n,16,205.8,8.48528,8.48528,6,0,0,forward
ht_chantry_n,17,131.8,9.24264,9.24264,8,0,0,forward
ht_chantry_n,18,407.6,9.41421,9.41421,9,6,0,forward
ht_chantry_n,19,136,8.41421,8.41421,8,0,0,forward
ht_chantry_n,20,922.6,14.8995,14.8995,12,9,0,forward
ht_chantry_n,21,653.2,15.4142,15.4142,15,7,0,forward
ht_chantry_n,22,439,15.4853,15.4853,13,8,0,forward
ht_chantry_n,23,447.4,12.6569,12.6569,11,8,0,forward
ht_chantry_n,24,220,13.3137,13.3137,10,1,0,forward
ht_chantry_n,25,214.4,12.3137,12.3137,9,0,0,forward
ht_chantry_n,26,198,12.8284,12.8284,12,0,0,forward
ht_chantry_n,27,198.2,15.8995,15.8995,13,0,0,forward
ht_chantry_n,28,536.2,13.0711,13.0711,11,7,0,forward
ht_chantry_n,29,228,15.3137,15.3137,12,1,0,forward
ht_chantry_n,30,286.2,18.5563,18.5563,14,1,0,forward
