map,scenid,tcost,distance,expect,steps,access,r,itype
ht_keep,0,366.2,7,5.82843,7,0,4,forward
ht_keep,1,226,8.24264,7.65685,7,0,4,forward
ht_keep,2,226.2,8.24264,4,7,0,4,forward
ht_keep,3,652.8,11.2426,7.82843,10,8,4,forward
ht_keep,4,386.6,8.82843,7.41421,8,3,4,forward
ht_keep,5,308.2,12.0711,6.41421,10,0,4,forward
ht_keep,6,208.4,7.82843,4.41421,7,0,4,forward
ht_keep,7,343,10.2426,7.41421,9,1,4,forward
ht_keep,8,250.8,6.82843,6.82843,6,1,4,forward
ht_keep,9,250,6.24264,6.24264,5,1,4,forward
ht_keep,10,624.6,12.8284,9.65685,12,5,4,forward
ht_keep,11,697.8,14.2426,10.2426,13,8,4,forward
ht_keep,12,220.4,9.24264,9.24264,8,0,4,forward
ht_keep,13,374,12.2426,10.8284,11,1,4,forward
ht_keep,14,235,9.24264,9.24264,8,0,4,forward
ht_keep,15,317.4,13.4853,9.24264,11,0,4,forward
ht_keep,16,246.2,13.7279,11.4853,10,0,4,forward
ht_keep,17,221,12.4853,11.3137,10,0,4,forward
ht_keep,18,216.4,10.0711,9.48528,8,0,4,forward
ht_keep,19,255.8,10.4853,9.65685,8,0,4,forward
ht_keep,20,409.4,14.8995,14.8995,12,0,4,forward
ht_keep,21,362,15.5563,12.7279,11,2,4,forward
ht_keep,22,515.6,13.2426,13.2426,12,8,4,forward
ht_keep,23,319.4,16.0711,15.4853,14,0,4,forward
ht_keep,24,525,19.9706,12.8995,15,3,4,forward
ht_keep,25,358.8,18.0711,14.8995,16,0,4,forward
ht_keep,26,554,17.5563,15.5563,13,3,4,forward
ht_keep,27,408.2,17.8995,15.0711,15,0,4,forward
ht_keep,28,543.2,16.6569,14.6569,15,3,4,forward
ht_keep,29,794,16.0711,14.0711,14,8,4,forward
ht_keep,30,446.8,18.8284,17.4142,18,2,4,forward
ht_keep,31,688.8,19.0711,19.0711,17,9,4,forward
ht_keep,32,698.6,19.8284,17.2426,19,9,4,forward
ht_keep,33,948.2,20.1421,18.9706,16,8,4,forward
ht_keep,34,483,16.6569,16.6569,15,5,4,forward
ht_keep,35,618.2,23.5563,19.3137,19,9,4,forward
ht_keep,36,828,19.6569,16.4853,18,15,4,forward
ht_keep,37,529.2,19.7279,17.7279,16,4,4,forward
ht_keep,38,668.6,18.4853,18.4853,16,7,4,forward
ht_keep,39,587.8,18.4853,18.4853,16,6,4,forward
