map,scenid,tcost,distance,expect,steps,access,r,itype
ht_keep,0,288.8,5.82843,5.82843,5,0,0,forward
ht_keep,1,209.2,7.65685,7.65685,6,0,0,forward
ht_keep,2,120.8,4,4,4,0,0,forward
ht_keep,3,557,7.82843,7.82843,7,5,0,forward
ht_keep,4,248.4,7.41421,7.41421,7,3,0,forward
ht_keep,5,208.8,6.41421,6.41421,6,0,0,forward
ht_keep,6,155.8,4.41421,4.41421,4,0,0,forward
ht_keep,7,297,7.41421,7.41421,7,1,0,forward
ht_keep,8,255.8,6.82843,6.82843,6,3,0,forward
ht_keep,9,226.6,6.24264,6.24264,5,1,0,forward
ht_keep,10,580.2,9.65685,9.65685,8,4,0,forward
ht_keep,11,484.8,10.2426,10.2426,9,5,0,forward
ht_keep,12,238.4,9.24264,9.24264,8,0,0,forward
ht_keep,13,209,10.8284,10.8284,10,0,0,forward
ht_keep,14,233.8,9.24264,9.24264,8,0,0,forward
ht_keep,15,245.6,9.24264,9.24264,8,0,0,forward
ht_keep,16,216.8,11.4853,11.4853,9,0,0,forward
ht_keep,17,190.4,11.3137,11.3137,8,0,0,forward
ht_keep,18,191.8,9.48528,9.48528,7,0,0,forward
ht_keep,19,218.6,9.65685,9.65685,8,0,0,forward
ht_keep,20,264.2,14.8995,14.8995,12,0,0,forward
ht_keep,21,225.2,12.7279,12.7279,9,1,0,forward
ht_keep,22,529.4,13.2426,13.2426,12,7,0,forward
ht_keep,23,314.4,15.4853,15.4853,13,0,0,forward
ht_keep,24,339,12.8995,12.8995,10,0,0,forward
ht_keep,25,199.6,14.8995,14.8995,12,0,0,forward
ht_keep,26,272.8,15.5563,15.5563,11,0,0,forward
ht_keep,27,316.4,15.0711,15.0711,13,0,0,forward
ht_keep,28,397.4,14.6569,14.6569,13,2,0,forward
ht_keep,29,433,14.0711,14.0711,12,4,0,forward
ht_keep,30,342.2,17.4142,17.4142,17,2,0,forward
ht_keep,31,601,19.0711,19.0711,17,9,0,forward
ht_keep,32,566,17.2426,17.2426,16,8,0,forward
ht_keep,33,966.8,18.9706,18.9706,14,8,0,forward
ht_keep,34,393.2,16.6569,16.6569,15,5,0,forward
ht_keep,35,435.8,19.3137,19.3137,16,7,0,forward
ht_keep,36,667.2,16.4853,16.4853,14,10,0,forward
ht_keep,37,472.4,17.7279,17.7279,14,3,0,forward
ht_keep,38,595.4,18.4853,18.4853,16,8,0,forward
ht_keep,39,555.4,18.4853,18.4853,16,6,0,forward
ht_keep,40,417.6,21.2132,21.2132,15,1,0,forward
ht_keep,41,574.2,23.8995,23.8995,21,4,0,forward
ht_keep,42,822.8,21.7279,21.7279,18,9,0,forward
ht_keep,43,506.2,21.4142,21.4142,21,14,0,forward
ht_keep,44,330.2,22.2132,22.2132,16,1,0,forward
ht_keep,45,767.2,22.6569,22.6569,21,12,0,forward
ht_keep,46,638.2,21.2426,21.2426,20,12,0,forward
ht_keep,47,656.6,21.4853,21.4853,19,11,0,forward
ht_keep,48,762.4,22.2132,22.2132,16,6,0,forward
ht_keep,49,805.4,23.8284,23.8284,23,18,0,forward
ht_keep,50,1280.8,27.7279,27.7279,24,17,0,forward
ht_keep,51,1098.4,27.6569,27.6569,26,23,0,forward
ht_keep,52,763,25.3137,25.3137,22,16,0,forward
ht_keep,53,745.8,24.6569,24.6569,23,17,0,forward
ht_keep,54,860.2,25.7279,25.7279,22,15,0,forward
ht_keep,55,781.4,27.9706,27.9706,23,18,0,forward
ht_keep,56,689.6,26.0711,26.0711,24,12,0,forward
ht_keep,57,620,24.5563,24.5563,20,8,0,forward
ht_keep,58,688.6,27.2426,27.2426,26,19,0,forward
ht_keep,59,1055.2,27.799,27.799,22,16,0,forward
ht_keep,60,796.4,28.3137,28.3137,25,16,0,forward
ht_keep,61,879.6,29.2132,29.2132,23,15,0,forward
ht_keep,62,984.6,30.0416,30.0416,23,12,0,forward
ht_keep,63,670.2,29.3848,29.3848,24,13,0,forward
ht_keep,64,1212.2,31.1421,31.1421,27,25,0,forward
ht_keep,65,784.4,29.5563,29.5563,25,15,0,forward
ht_keep,66,742.6,30.6274,30.6274,24,14,0,forward
ht_keep,67,986.4,29.8995,29.8995,27,18,0,forward
ht_keep,68,845.4,28.0711,28.0711,26,19,0,forward
ht_keep,69,1182.4,28.1421,28.1421,24,18,0,forward
ht_keep,70,1113,32.3848,32.3848,27,16,0,forward
ht_keep,71,1060,35.2426,35.2426,34,22,0,forward
ht_keep,72,766.2,33.8995,33.8995,31,17,0,forward
ht_keep,73,1091.2,33.0711,33.0711,31,26,0,forward
ht_keep,74,1032.2,32.3137,32.3137,29,26,0,forward
ht_keep,75,923,33.8995,33.8995,31,20,0,forward
ht_keep,76,1187.4,35.7279,35.7279,32,26,0,forward
ht_keep,77,966.6,33.7279,33.7279,30,23,0,forward
ht_keep,78,831.4,32.7279,32.7279,29,23,0,forward
ht_keep,79,893.6,35.9706,35.9706,31,18,0,forward
ht_keep,80,1032,36.3848,36.3848,31,21,0,forward
ht_keep,81,984.6,39.1421,39.1421,35,27,0,forward
ht_keep,82,1299.8,37.3137,37.3137,34,28,0,forward
ht_keep,83,1133.4,37.3137,37.3137,34,29,0,forward
ht_keep,84,1242,36.799,36.799,31,28,0,forward
ht_keep,85,1119,38.4558,38.4558,31,21,0,forward
ht_keep,86,914.2,39.4558,39.4558,32,25,0,forward
ht_keep,87,1095.4,38.9706,38.9706,34,23,0,forward
ht_keep,88,1030.8,38.6985,38.6985,30,22,0,forward
ht_keep,89,1493,37.799,37.799,32,28,0,forward
ht_keep,90,1051,43.6274,43.6274,37,28,0,forward
ht_keep,91,1126.2,41.1421,41.1421,37,28,0,forward
ht_keep,92,1212,41.4558,41.4558,34,23,0,forward
ht_keep,93,1453.6,41.0711,41.0711,39,36,0,forward
ht_keep,94,1367.4,41.4853,41.4853,39,38,0,forward
ht_keep,95,1242.6,43.8995,43.8995,41,38,0,forward
ht_keep,96,1142,42.3848,42.3848,37,31,0,forward
ht_keep,97,963.6,41.6985,41.6985,33,25,0,forward
ht_keep,98,1561.6,40.9706,40.9706,36,29,0,forward
ht_keep,99,931.6,41.7696,41.7696,31,22,0,forward
ht_keep,100,957.6,44.3553,44.3553,34,21,0,forward
ht_keep,101,1279.2,46.6274,46.6274,40,32,0,forward
ht_keep,102,1131.8,44.4853,44.4853,42,36,0,forward
ht_keep,103,1393,46.4853,46.4853,44,37,0,forward
ht_keep,104,1267.6,45.5563,45.5563,41,29,0,forward
ht_keep,105,1752.8,45.3137,45.3137,42,32,0,forward
ht_keep,106,1197.8,45.1421,45.1421,41,32,0,forward
ht_keep,107,1180.2,47.799,47.799,42,37,0,forward
ht_keep,108,1240.4,46.4853,46.4853,44,41,0,forward
ht_keep,109,1342.4,45.6985,45.6985,37,27,0,forward
ht_keep,110,1397,48.6274,48.6274,42,29,0,forward
ht_keep,111,1578.6,49.8701,49.8701,42,38,0,forward
ht_keep,112,1403.8,49.9706,49.9706,45,36,0,forward
ht_keep,113,1394.2,48.5563,48.5563,44,40,0,forward
ht_keep,114,1340.6,51.9706,51.9706,47,37,0,forward
ht_keep,115,1157,49.0416,49.0416,42,33,0,forward
ht_keep,116,1649.4,49.2132,49.2132,43,40,0,forward
ht_keep,117,1188.6,50.2426,50.2426,49,44,0,forward
ht_keep,118,1042,49.5269,49.5269,40,29,0,forward
ht_keep,119,1445.6,49.1838,49.1838,38,30,0,forward
ht_keep,120,1093.4,53.799,53.799,48,35,0,forward
ht_keep,121,1654.6,55.2426,55.2426,54,48,0,forward
ht_keep,122,1587.4,53.799,53.799,48,41,0,forward
ht_keep,123,1579.6,52.3137,52.3137,49,41,0,forward
ht_keep,124,1110.2,54.3137,54.3137,51,33,0,forward
ht_keep,125,1911.4,52.3553,52.3553,42,34,0,forward
ht_keep,126,1230,52.9411,52.9411,43,27,0,forward
ht_keep,127,1396,55.7279,55.7279,52,47,0,forward
ht_keep,128,1976.6,54.9706,54.9706,50,49,0,forward
ht_keep,129,2081,54.7696,54.7696,44,38,0,forward
ht_keep,130,1762.6,58.6274,58.6274,52,44,0,forward
ht_keep,131,1364.6,56.9706,56.9706,52,45,0,forward
ht_keep,132,1652,57.6274,57.6274,51,40,0,forward
ht_keep,133,1829,58.4558,58.4558,51,41,0,forward
ht_keep,134,1156,56.4558,56.4558,49,35,0,forward
ht_keep,135,1332.2,58.3553,58.3553,48,37,0,forward
ht_keep,136,1655.8,57.2132,57.2132,51,45,0,forward
ht_keep,137,1296.6,57.3553,57.3553,47,34,0,forward
ht_keep,138,1612.2,59.6274,59.6274,53,51,0,forward
ht_keep,139,1158.4,58.0416,58.0416,51,43,0,forward
ht_keep,140,1510.6,61.1421,61.1421,57,49,0,forward
ht_keep,141,1725.2,61.5563,61.5563,57,51,0,forward
ht_keep,142,1603.8,63.4264,63.4264,51,39,0,forward
ht_keep,143,2020.4,60.2843,60.2843,52,49,0,forward
ht_keep,144,1910.6,61.7696,61.7696,51,45,0,forward
ht_keep,145,1608.4,61.2843,61.2843,53,41,0,forward
ht_keep,146,1135,61.8701,61.8701,54,40,0,forward
ht_keep,147,1417.2,60.1421,60.1421,56,53,0,forward
ht_keep,148,1514.2,63.4558,63.4558,56,49,0,forward
ht_keep,149,1382.8,63.799,63.799,58,52,0,forward
ht_keep,150,1689,64.6274,64.6274,58,46,0,forward
ht_keep,151,1549.4,64.9706,64.9706,60,58,0,forward
ht_keep,152,2147,67.2132,67.2132,61,55,0,forward
ht_keep,153,2134,66.9117,66.9117,52,45,0,forward
ht_keep,154,1562.6,64.6985,64.6985,56,50,0,forward
ht_keep,155,2273,65.1127,65.1127,56,46,0,forward
ht_keep,156,1773.6,65.0833,65.0833,51,44,0,forward
ht_keep,157,1435.6,65.8701,65.8701,58,46,0,forward
ht_keep,158,1658,67.8995,67.8995,65,57,0,forward
ht_keep,159,1699.8,66.799,66.799,61,51,0,forward
ht_keep,160,1893.8,71.8284,71.8284,71,50,0,forward
ht_keep,161,1502.2,68.0416,68.0416,61,47,0,forward
ht_keep,162,1522.6,71.6274,71.6274,65,57,0,forward
ht_keep,163,2402.4,69.0711,69.0711,67,62,0,forward
ht_keep,164,1565.8,68.2843,68.2843,60,51,0,forward
ht_keep,165,1953.2,71.8701,71.8701,64,56,0,forward
ht_keep,166,1964.8,69.598,69.598,58,46,0,forward
ht_keep,167,2069.8,71.6985,71.6985,63,55,0,forward
ht_keep,168,1915.8,70.3848,70.3848,65,62,0,forward
ht_keep,169,1763.8,71.6274,71.6274,65,61,0,forward
ht_keep,170,1814.8,72.799,72.799,67,56,0,forward
ht_keep,171,1370.6,74.4975,74.4975,60,45,0,forward
ht_keep,172,1965.6,74.3848,74.3848,69,61,0,forward
ht_keep,173,1966,74.2132,74.2132,68,64,0,forward
ht_keep,174,1805.6,74.8701,74.8701,67,49,0,forward
ht_keep,175,1849.4,72.2843,72.2843,64,55,0,forward
ht_keep,176,1616.8,73.799,73.799,68,53,0,forward
ht_keep,177,1763.4,72.8406,72.8406,60,45,0,forward
ht_keep,178,2304.4,75.6985,75.6985,67,58,0,forward
ht_keep,179,1687.6,72.3137,72.3137,69,63,0,forward
ht_keep,180,1933.8,77.8995,77.8995,75,71,0,forward
ht_keep,181,1943.8,79.4264,79.4264,67,54,0,forward
ht_keep,182,2266.8,79.0711,79.0711,77,68,0,forward
ht_keep,183,2012.4,78.2843,78.2843,70,62,0,forward
ht_keep,184,1354.4,77.2548,77.2548,64,54,0,forward
ht_keep,185,1839,77.4558,77.4558,70,67,0,forward
ht_keep,186,1525.4,78.1838,78.1838,67,55,0,forward
ht_keep,187,1978.4,76.2132,76.2132,70,63,0,forward
ht_keep,188,2566.8,79.9706,79.9706,75,70,0,forward
ht_keep,189,2051,78.5563,78.5563,74,72,0,forward
ht_keep,190,2176.8,83.2132,83.2132,77,71,0,forward
ht_keep,191,1923.6,80.3553,80.3553,70,58,0,forward
ht_keep,192,2784,81.5269,81.5269,72,64,0,forward
ht_keep,193,1891.8,81.0416,81.0416,74,63,0,forward
ht_keep,194,2416,81.0416,81.0416,74,68,0,forward
ht_keep,195,1966.2,80.669,80.669,67,56,0,forward
ht_keep,196,1893.2,80.4853,80.4853,78,72,0,forward
ht_keep,197,2077.6,83.7279,83.7279,80,72,0,forward
ht_keep,198,2131.2,80.6985,80.6985,72,66,0,forward
ht_keep,199,1755.2,83.6274,83.6274,77,73,0,forward
ht_keep,200,2444.8,87.8406,87.8406,75,68,0,forward
ht_keep,201,2195.6,84.6985,84.6985,76,70,0,forward
ht_keep,202,2128.6,85.4558,85.4558,78,73,0,forward
ht_keep,203,7010,84.6985,84.6985,76,66,0,forward
ht_keep,204,2009.6,84.1838,84.1838,73,62,0,forward
ht_keep,205,2099,86.4975,86.4975,72,61,0,forward
ht_keep,206,1789.4,86.2548,86.2548,73,63,0,forward
ht_keep,207,1946.6,85.598,85.598,74,64,0,forward
ht_keep,208,2336.2,86.7279,86.7279,83,66,0,forward
ht_keep,209,2066.2,87.0711,87.0711,85,78,0,forward
ht_keep,210,2634.2,90.8406,90.8406,78,68,0,forward
ht_keep,211,4962,88.0711,88.0711,86,80,0,forward
ht_keep,212,2357.6,89.0711,89.0711,87,83,0,forward
ht_keep,213,2706.4,90.8406,90.8406,78,73,0,forward
ht_keep,214,2245.8,91.7696,91.7696,81,77,0,forward
ht_keep,215,2482.2,91.1421,91.1421,87,81,0,forward
ht_keep,216,2537.6,90.799,90.799,85,80,0,forward
ht_keep,217,2359.6,89.4558,89.4558,82,73,0,forward
ht_keep,218,2590,90.7401,90.7401,75,68,0,forward
ht_keep,219,2181.2,91.7696,91.7696,81,66,0,forward
ht_keep,220,2266.6,92.1127,92.1127,83,77,0,forward
ht_keep,221,2221.6,94.4558,94.4558,87,74,0,forward
ht_keep,222,2341.4,93.2548,93.2548,80,70,0,forward
ht_keep,223,2245.4,92.4264,92.4264,80,68,0,forward
ht_keep,224,2518.2,95.0416,95.0416,88,83,0,forward
ht_keep,225,2481.6,95.0711,95.0711,93,83,0,forward
ht_keep,226,2114,94.3553,94.3553,84,77,0,forward
ht_keep,227,2470,95.9411,95.9411,86,76,0,forward
ht_keep,228,2437,95.0416,95.0416,88,77,0,forward
ht_keep,229,2189.4,93.8406,93.8406,81,73,0,forward
ht_keep,230,2616.2,97.3553,97.3553,87,71,0,forward
ht_keep,231,2435.8,99.2132,99.2132,93,88,0,forward
ht_keep,232,2401.4,97.4558,97.4558,90,84,0,forward
ht_keep,233,2291.8,99.669,99.669,86,72,0,forward
ht_keep,234,2479.6,98.6985,98.6985,90,79,0,forward
ht_keep,235,2491.2,97.9411,97.9411,88,81,0,forward
ht_keep,236,2370.8,98.8995,98.8995,96,89,0,forward
ht_keep,237,2239,96.0833,96.0833,82,77,0,forward
ht_keep,238,2370.4,99.669,99.669,86,77,0,forward
ht_keep,239,2587,98.7279,98.7279,95,78,0,forward
