map,scenid,tcost,distance,expect,steps,access,r,itype
ht_keep_n,0,559.6,15.0711,6.24264,13,2,32,backward
ht_keep_n,1,501.4,15.4853,6.41421,13,2,32,backward
ht_keep_n,2,525.2,11.6569,4.82843,10,5,32,backward
ht_keep_n,3,985,26.5563,7,22,6,32,backward
ht_keep_n,4,433.4,14.4853,6.65685,12,2,32,backward
ht_keep_n,5,957,33.6569,4.41421,32,4,32,backward
ht_keep_n,6,1062.4,38.0416,6,31,9,32,backward
ht_keep_n,7,857,37.0711,7.07107,35,2,32,backward
ht_keep_n,8,826.6,34.4142,6.41421,34,2,32,backward
ht_keep_n,9,860,28.1421,5.24264,24,3,32,backward
ht_keep_n,10,818.8,20.2426,10.8284,19,6,32,backward
ht_keep_n,11,1049.8,33.799,10.6569,28,5,32,backward
ht_keep_n,12,1408.8,58.9706,11.8284,54,5,32,backward
ht_keep_n,13,1084.8,43.3848,9.89949,38,14,32,backward
ht_keep_n,14,1267.2,45.1421,11.6569,41,7,32,backward
ht_keep_n,15,865.6,34.8995,8.24264,32,6,32,backward
ht_keep_n,16,1487.8,59.5563,9.24264,55,14,32,backward
ht_keep_n,17,1118.8,52.7279,11.8995,49,3,32,backward
ht_keep_n,18,1186.2,58.1421,10.8284,54,2,32,backward
ht_keep_n,19,763.2,29.3137,9.41421,26,5,32,backward
ht_keep_n,20,747.8,33.1421,12.0711,29,5,32,backward
ht_keep_n,21,875.2,25.3848,14.2426,20,9,32,backward
ht_keep_n,22,887.6,32.2132,12.4142,26,6,32,backward
ht_keep_n,23,469,21.3848,13.8284,16,2,32,backward
ht_keep_n,24,659.8,26.4853,15.6569,24,4,32,backward
ht_keep_n,25,734.4,23.5563,12.8284,19,5,32,backward
ht_keep_n,26,913.2,27.8995,13.0711,25,10,32,backward
ht_keep_n,27,584.6,15.8995,13.0711,13,3,32,backward
ht_keep_n,28,559.2,12.2426,12.2426,11,5,32,backward
ht_keep_n,29,782.2,38.2132,14.0711,32,5,32,backward
ht_keep_n,30,787,39.799,17.2426,34,3,32,backward
ht_keep_n,31,1060.2,50.2132,19.8284,44,6,32,backward
ht_keep_n,32,975.4,36.9706,19.0711,32,10,32,backward
ht_keep_n,33,1136,36.4853,17.5563,34,11,32,backward
ht_keep_n,34,527.6,29.9706,18.6569,25,2,32,backward
ht_keep_n,35,617.8,19.7279,19.7279,16,4,32,backward
ht_keep_n,36,1078,55.9411,19.6569,46,11,32,backward
ht_keep_n,37,549.8,20.7279,18.9706,17,2,32,backward
ht_keep_n,38,1139.8,42.4558,17.1421,35,9,32,backward
ht_keep_n,39,971.4,47.2132,17.0711,41,3,32,backward
ht_keep_n,40,870.4,47.5563,23.2132,43,4,32,backward
ht_keep_n,41,1536.8,65.0416,22.3848,58,14,32,backward
ht_keep_n,42,841.8,23.8995,20.2426,21,7,32,backward
ht_keep_n,43,625.8,31.5563,22.2426,27,3,32,backward
ht_keep_n,44,1624.8,53.799,21.2426,48,10,32,backward
ht_keep_n,45,672,23.6569,23.0711,22,7,32,backward
ht_keep_n,46,753.4,29.7279,23.3848,26,4,32,backward
ht_keep_n,47,1658.8,52.8995,20.0711,50,21,32,backward
ht_keep_n,48,1066.6,34.2426,22.2426,33,12,32,backward
ht_keep_n,49,1418.8,51.8701,22.7279,44,15,32,backward
ht_keep_n,50,778.6,28.2426,25.4142,27,8,32,backward
ht_keep_n,51,472.4,27.8995,26.8995,25,3,32,backward
