map,scenid,tcost,distance,expect,steps,access,r,itype
ht_mansion2,0,1805.6,34.0711,6.41421,32,26,16,forward
ht_mansion2,1,1244.2,24.1421,5.65685,20,16,16,forward
ht_mansion2,2,554.6,19.8995,6.24264,17,2,16,forward
ht_mansion2,3,860.8,26.4142,4.41421,26,21,16,forward
ht_mansion2,4,659.2,23.6569,7,22,0,16,forward
ht_mansion2,5,411.2,9,6.65685,9,3,16,forward
ht_mansion2,6,130.4,5.24264,5.24264,4,0,16,forward
ht_mansion2,7,424,20.9706,4.82843,16,0,16,forward
ht_mansion2,8,793.6,27.799,7.41421,22,10,16,forward
ht_mansion2,9,432.2,16.4853,6.82843,14,3,16,forward
ht_mansion2,10,730.4,17.6569,10.4142,16,15,16,forward
ht_mansion2,11,476.8,12.4853,11.4853,10,4,16,forward
ht_mansion2,12,277.2,9.24264,9.24264,8,0,16,forward
ht_mansion2,13,561.6,10.8284,10.2426,10,4,16,forward
ht_mansion2,14,439.4,23.9706,8.41421,19,6,16,forward
ht_mansion2,15,950.8,19,11,19,23,16,forward
ht_mansion2,16,341.6,15.4853,8.41421,13,0,16,forward
ht_mansion2,17,408.6,21.7279,8.41421,18,4,16,forward
ht_mansion2,18,395.8,19.4853,8.48528,17,0,16,forward
ht_mansion2,19,253.4,10,8.82843,10,0,16,forward
ht_mansion2,20,472.4,18.6569,12,17,5,16,forward
ht_mansion2,21,891.4,22.1421,14.0711,18,10,16,forward
ht_mansion2,22,622.4,15.2426,14.0711,14,7,16,forward
ht_mansion2,23,902,18.8995,15.8995,16,8,16,forward
ht_mansion2,24,287.6,15.8284,14.0711,15,0,16,forward
ht_mansion2,25,270,18.1421,13.3137,14,0,16,forward
ht_mansion2,26,1403.2,37.4853,15.7279,35,22,16,forward
ht_mansion2,27,308.4,15.7279,14.0711,12,1,16,forward
ht_mansion2,28,1018.4,31.3137,14.8284,28,20,16,forward
ht_mansion2,29,1004.4,27.8284,12.8284,27,17,16,forward
ht_mansion2,30,641.4,20.0711,19.2426,18,8,16,forward
ht_mansion2,31,745.4,25.5563,16.7279,21,11,16,forward
ht_mansion2,32,718.2,18.2426,17.6569,17,11,16,forward
ht_mansion2,33,362,18.3137,16.5563,15,1,16,forward
ht_mansion2,34,598.2,18.4853,17.0711,16,6,16,forward
ht_mansion2,35,787.4,19.0711,17.0711,17,13,16,forward
ht_mansion2,36,639.8,17.8284,17,17,10,16,forward
