map,scenid,tcost,distance,expect,steps,access,r,itype
ht_mansion2b,0,941.4,15.6569,6.82843,14,2,8,backward
ht_mansion2b,1,632.8,12.8995,7.41421,10,2,8,backward
ht_mansion2b,2,682.8,8.82843,7.41421,8,3,8,backward
ht_mansion2b,3,514.2,8.24264,7.41421,7,2,8,backward
ht_mansion2b,4,593.4,9.82843,7.82843,9,2,8,backward
ht_mansion2b,5,931,12.0711,6.24264,10,5,8,backward
ht_mansion2b,6,723.4,12.0711,5,10,5,8,backward
ht_mansion2b,7,796,10.0711,7.65685,8,4,8,backward
ht_mansion2b,8,722.8,14.8995,6.82843,12,2,8,backward
ht_mansion2b,9,586.8,6,5,6,3,8,backward
ht_mansion2b,10,841.2,20.0711,10.0711,18,4,8,backward
ht_mansion2b,11,554.8,10.6569,9.82843,9,2,8,backward
ht_mansion2b,12,641.2,14.6569,8.65685,13,3,8,backward
ht_mansion2b,13,565.4,11.2426,8.07107,10,3,8,backward
ht_mansion2b,14,823.2,13.6569,11.0711,12,4,8,backward
ht_mansion2b,15,858.8,17,10,17,2,8,backward
ht_mansion2b,16,478.2,9.65685,9.07107,8,2,8,backward
ht_mansion2b,17,885.2,14.8284,10.8284,14,4,8,backward
ht_mansion2b,18,998,17.4142,11.8995,17,7,8,backward
ht_mansion2b,19,433.8,8.41421,8.41421,8,1,8,backward
ht_mansion2b,20,636.6,14.0711,12.4142,12,3,8,backward
ht_mansion2b,21,722.4,17.1421,15.4853,13,2,8,backward
ht_mansion2b,22,742.4,15.6569,14.8284,14,3,8,backward
ht_mansion2b,23,456.4,12.2426,12.2426,11,2,8,backward
ht_mansion2b,24,1098.6,26.9706,14.2426,22,5,8,backward
ht_mansion2b,25,1008.2,21.0711,14.7279,19,4,8,backward
ht_mansion2b,26,709.8,17.8284,12.0711,17,2,8,backward
ht_mansion2b,27,898.6,14.6569,13.8284,13,5,8,backward
ht_mansion2b,28,809,17.7279,15.1421,14,4,8,backward
ht_mansion2b,29,881.4,12.4142,12.4142,12,5,8,backward
ht_mansion2b,30,1093,21.4853,19.7279,19,8,8,backward
ht_mansion2b,31,1384.8,25.0711,16.0711,23,11,8,backward
ht_mansion2b,32,947.2,22.8284,16.4853,22,3,8,backward
ht_mansion2b,33,1056.8,31.8995,19.8995,29,4,8,backward
ht_mansion2b,34,1041.8,22.3848,19.8995,17,6,8,backward
ht_mansion2b,35,819.6,23.2426,19.2426,22,2,8,backward
ht_mansion2b,36,777.6,19.1421,18.3137,15,3,8,backward
ht_mansion2b,37,693.6,16.8995,16.8995,14,4,8,backward
ht_mansion2b,38,879.8,19.3848,19.3848,14,5,8,backward
ht_mansion2b,39,1033.8,18.2426,17.6569,17,5,8,backward
ht_mansion2b,40,1345.2,23.9706,23.9706,19,12,8,backward
ht_mansion2b,41,1003.8,31.6569,23.6569,30,2,8,backward
ht_mansion2b,42,1108.6,23.8995,21.8995,21,7,8,backward
ht_mansion2b,43,920.6,23.4853,20.6569,21,7,8,backward
ht_mansion2b,44,997.6,22.8284,21.6569,22,5,8,backward
ht_mansion2b,45,1131.6,35.2426,22.8284,34,5,8,backward
ht_mansion2b,46,1082.8,25.4853,20.5563,23,8,8,backward
ht_mansion2b,47,911,23.6569,22.4853,22,5,8,backward
ht_mansion2b,48,1151.6,25.0711,23.6569,23,14,8,backward
ht_mansion2b,49,969.4,26.8284,23.8995,26,3,8,backward
ht_mansion2b,50,1273.8,34.2132,24.2132,28,5,8,backward
ht_mansion2b,51,1201.8,36.1421,26.2426,32,9,8,backward
ht_mansion2b,52,905.4,28.8284,25.4142,28,2,8,backward
ht_mansion2b,53,950.2,29.6569,24.7279,28,2,8,backward
ht_mansion2b,54,861.4,29.2426,26.3137,28,5,8,backward
ht_mansion2b,55,978.4,28.3137,26.3137,25,5,8,backward
ht_mansion2b,56,1184.6,34.799,26.3137,29,5,8,backward
ht_mansion2b,57,1144.8,26.799,24.799,21,8,8,backward
ht_mansion2b,58,908.6,27.2132,26.6274,21,5,8,backward
ht_mansion2b,59,1307.4,25.8995,24.1421,23,9,8,backward
ht_mansion2b,60,1359.8,31.0711,31.0711,29,10,8,backward
ht_mansion2b,61,1269.6,33.4853,31.1421,31,5,8,backward
ht_mansion2b,62,1203.2,30.7279,28.9706,27,9,8,backward
ht_mansion2b,63,1180.8,37.8995,29.4142,35,3,8,backward
ht_mansion2b,64,955,30,30,30,2,8,backward
ht_mansion2b,65,1048.8,28.9706,28.9706,24,7,8,backward
ht_mansion2b,66,1137.4,36.6274,30.9706,30,10,8,backward
ht_mansion2b,67,1083,28.4853,28.4853,26,4,8,backward
ht_mansion2b,68,921.2,30.7279,30.1421,27,4,8,backward
ht_mansion2b,69,1005.8,32.9706,28.1421,28,3,8,backward
ht_mansion2b,70,1006,36.4853,35.8995,34,2,8,backward
ht_mansion2b,71,1640.8,45.3848,33.1421,40,15,8,backward
ht_mansion2b,72,1693,42.7279,32.7279,39,17,8,backward
