map,scenid,tcost,distance,expect,steps,access,r,itype
ht_mansion2b,0,870.2,13.6569,6.82843,12,4,8,forward
ht_mansion2b,1,375.8,11.8995,7.41421,9,0,8,forward
ht_mansion2b,2,376,8.82843,7.41421,8,2,8,forward
ht_mansion2b,3,205.6,8.24264,7.41421,7,0,8,forward
ht_mansion2b,4,283.6,8.82843,7.82843,8,0,8,forward
ht_mansion2b,5,609,11.0711,6.24264,9,2,8,forward
ht_mansion2b,6,483.6,12.0711,5,10,3,8,forward
ht_mansion2b,7,338.8,11.4853,7.65685,9,0,8,forward
ht_mansion2b,8,392.4,16.3137,6.82843,13,0,8,forward
ht_mansion2b,9,204.6,6,5,6,0,8,forward
ht_mansion2b,10,626,20.0711,10.0711,18,4,8,forward
ht_mansion2b,11,273,10.6569,9.82843,9,0,8,forward
ht_mansion2b,12,408.2,11.6569,8.65685,10,0,8,forward
ht_mansion2b,13,253,11.2426,8.07107,10,0,8,forward
ht_mansion2b,14,589,12.6569,11.0711,11,5,8,forward
ht_mansion2b,15,711,17,10,17,3,8,forward
ht_mansion2b,16,257.8,9.65685,9.07107,8,0,8,forward
ht_mansion2b,17,576.2,14.8284,10.8284,14,4,8,forward
ht_mansion2b,18,525.6,17.4142,11.8995,17,1,8,forward
ht_mansion2b,19,266,8.41421,8.41421,8,0,8,forward
ht_mansion2b,20,333.8,14.0711,12.4142,12,0,8,forward
ht_mansion2b,21,494.2,17.1421,15.4853,13,1,8,forward
ht_mansion2b,22,407.2,15.6569,14.8284,14,0,8,forward
ht_mansion2b,23,467.6,12.2426,12.2426,11,3,8,forward
ht_mansion2b,24,939.4,26.9706,14.2426,22,10,8,forward
ht_mansion2b,25,510.4,21.0711,14.7279,19,0,8,forward
ht_mansion2b,26,491.2,17.8284,12.0711,17,1,8,forward
ht_mansion2b,27,475.6,14.6569,13.8284,13,3,8,forward
ht_mansion2b,28,325.2,17.7279,15.1421,14,0,8,forward
ht_mansion2b,29,685.2,12.4142,12.4142,12,10,8,forward
ht_mansion2b,30,708.6,21.4853,19.7279,19,7,8,forward
ht_mansion2b,31,1010,25.0711,16.0711,23,11,8,forward
ht_mansion2b,32,748.4,22.8284,16.4853,22,10,8,forward
ht_mansion2b,33,990.8,29.8995,19.8995,27,13,8,forward
ht_mansion2b,34,651.6,22.3848,19.8995,17,5,8,forward
ht_mansion2b,35,603.4,21.2426,19.2426,20,0,8,forward
ht_mansion2b,36,682.2,19.1421,18.3137,15,5,8,forward
ht_mansion2b,37,450.8,16.8995,16.8995,14,2,8,forward
ht_mansion2b,38,605.4,19.3848,19.3848,14,3,8,forward
ht_mansion2b,39,729.6,18.2426,17.6569,17,6,8,forward
ht_mansion2b,40,1381.6,23.9706,23.9706,19,17,8,forward
ht_mansion2b,41,656.8,31.6569,23.6569,30,0,8,forward
ht_mansion2b,42,1046.8,23.8995,21.8995,21,16,8,forward
