map,scenid,tcost,distance,expect,steps,access,r,itype
ht_mansion2b,0,1722.2,6.82843,6.82843,6,4,0,backward
ht_mansion2b,1,829.2,7.41421,7.41421,7,1,0,backward
ht_mansion2b,2,1007.2,7.41421,7.41421,7,2,0,backward
ht_mansion2b,3,858.2,7.41421,7.41421,7,1,0,backward
ht_mansion2b,4,816.2,7.82843,7.82843,7,1,0,backward
ht_mansion2b,5,1194.2,6.24264,6.24264,5,3,0,backward
ht_mansion2b,6,655,5,5,5,1,0,backward
ht_mansion2b,7,1032.4,7.65685,7.65685,6,2,0,backward
ht_mansion2b,8,859.6,6.82843,6.82843,6,1,0,backward
ht_mansion2b,9,993,5,5,5,2,0,backward
ht_mansion2b,10,1137.4,10.0711,10.0711,8,3,0,backward
ht_mansion2b,11,1023.2,9.82843,9.82843,9,1,0,backward
ht_mansion2b,12,903.8,8.65685,8.65685,7,1,0,backward
ht_mansion2b,13,1042.4,8.07107,8.07107,6,3,0,backward
ht_mansion2b,14,1221.6,11.0711,11.0711,9,4,0,backward
ht_mansion2b,15,1015.2,10,10,10,1,0,backward
ht_mansion2b,16,790.6,9.07107,9.07107,7,1,0,backward
ht_mansion2b,17,1116.2,10.8284,10.8284,10,3,0,backward
ht_mansion2b,18,1687.8,11.8995,11.8995,9,6,0,backward
ht_mansion2b,19,866.8,8.41421,8.41421,8,1,0,backward
ht_mansion2b,20,983.2,12.4142,12.4142,12,1,0,backward
ht_mansion2b,21,1187.4,15.4853,15.4853,13,1,0,backward
ht_mansion2b,22,1579.6,14.8284,14.8284,14,2,0,backward
ht_mansion2b,23,1453.2,12.2426,12.2426,11,5,0,backward
ht_mansion2b,24,1757.6,14.2426,14.2426,13,4,0,backward
ht_mansion2b,25,1321.8,14.7279,14.7279,11,2,0,backward
ht_mansion2b,26,995.4,12.0711,12.0711,10,1,0,backward
ht_mansion2b,27,1309.8,13.8284,13.8284,13,3,0,backward
ht_mansion2b,28,1363,15.1421,15.1421,11,4,0,backward
ht_mansion2b,29,1862.4,12.4142,12.4142,12,6,0,backward
ht_mansion2b,30,2243.8,19.7279,19.7279,16,6,0,backward
ht_mansion2b,31,1701.4,16.0711,16.0711,14,5,0,backward
ht_mansion2b,32,1205.8,16.4853,16.4853,14,2,0,backward
ht_mansion2b,33,1355.8,19.8995,19.8995,17,1,0,backward
ht_mansion2b,34,1633.6,19.8995,19.8995,17,3,0,backward
ht_mansion2b,35,1728.2,19.2426,19.2426,18,2,0,backward
ht_mansion2b,36,1286.4,18.3137,18.3137,15,1,0,backward
ht_mansion2b,37,1214,16.8995,16.8995,14,2,0,backward
ht_mansion2b,38,1835.6,19.3848,19.3848,14,6,0,backward
ht_mansion2b,39,2045.2,17.6569,17.6569,16,6,0,backward
ht_mansion2b,40,1915,23.9706,23.9706,19,5,0,backward
ht_mansion2b,41,1550.6,23.6569,23.6569,22,1,0,backward
ht_mansion2b,42,2076.6,21.8995,21.8995,19,7,0,backward
ht_mansion2b,43,1387.4,20.6569,20.6569,19,3,0,backward
ht_mansion2b,44,2379.2,21.6569,21.6569,20,9,0,backward
ht_mansion2b,45,1732.8,22.8284,22.8284,22,2,0,backward
ht_mansion2b,46,1647.6,20.5563,20.5563,16,5,0,backward
ht_mansion2b,47,1689.6,22.4853,22.4853,20,5,0,backward
ht_mansion2b,48,1704.2,23.6569,23.6569,22,5,0,backward
ht_mansion2b,49,1831,23.8995,23.8995,21,4,0,backward
ht_mansion2b,50,1708.6,24.2132,24.2132,18,4,0,backward
ht_mansion2b,51,2836.6,26.2426,26.2426,25,12,0,backward
ht_mansion2b,52,1677,25.4142,25.4142,25,1,0,backward
ht_mansion2b,53,1566.2,24.7279,24.7279,21,1,0,backward
ht_mansion2b,54,1560,26.3137,26.3137,23,5,0,backward
ht_mansion2b,55,1619.4,26.3137,26.3137,23,2,0,backward
ht_mansion2b,56,1900.2,26.3137,26.3137,23,3,0,backward
ht_mansion2b,57,2113.2,24.799,24.799,19,6,0,backward
ht_mansion2b,58,1440.8,26.6274,26.6274,20,4,0,backward
ht_mansion2b,59,2548.6,24.1421,24.1421,20,11,0,backward
ht_mansion2b,60,2662.8,31.0711,31.0711,29,11,0,backward
ht_mansion2b,61,2252.4,31.1421,31.1421,27,3,0,backward
ht_mansion2b,62,2486.8,28.9706,28.9706,24,17,0,backward
ht_mansion2b,63,1900,29.4142,29.4142,29,1,0,backward
ht_mansion2b,64,1762,30,30,30,1,0,backward
ht_mansion2b,65,2239.8,28.9706,28.9706,24,6,0,backward
ht_mansion2b,66,2304.2,30.9706,30.9706,26,8,0,backward
ht_mansion2b,67,2085.8,28.4853,28.4853,26,3,0,backward
