map,scenid,tcost,distance,expect,steps,access,r,itype
ht_mansion_n,0,1371.8,30.8284,6.82843,30,33,16,forward
ht_mansion_n,1,934.6,18.0711,5.41421,16,15,16,forward
ht_mansion_n,2,1054.4,16.2426,5.41421,15,22,16,forward
ht_mansion_n,3,854.2,24.0711,5.41421,22,8,16,forward
ht_mansion_n,4,379.8,19.9706,4.41421,15,0,16,forward
ht_mansion_n,5,542.6,16.8995,7.82843,14,5,16,forward
ht_mansion_n,6,196.8,7.65685,7.65685,6,0,16,forward
ht_mansion_n,7,275.8,8.48528,5.65685,6,0,16,forward
ht_mansion_n,8,312.6,11.6569,4,10,0,16,forward
ht_mansion_n,9,447.6,15.6569,4.82843,14,0,16,forward
ht_mansion_n,10,424.4,11.2426,10.0711,10,4,16,forward
ht_mansion_n,11,453.2,17.7279,9.82843,14,1,16,forward
ht_mansion_n,12,286.2,17.1421,10.0711,13,0,16,forward
ht_mansion_n,13,283.8,12.4853,11.6569,10,0,16,forward
ht_mansion_n,14,532.6,21.4853,11.2426,19,2,16,forward
ht_mansion_n,15,317.2,18.8995,11.8284,16,0,16,forward
ht_mansion_n,16,349.4,13.4853,11,11,1,16,forward
ht_mansion_n,17,768.8,15.8995,8.07107,13,9,16,forward
ht_mansion_n,18,1042.8,22.7279,8.82843,19,18,16,forward
ht_mansion_n,19,318,9.24264,9.24264,8,3,16,forward
ht_mansion_n,20,710.2,18.0711,12.0711,16,7,16,forward
ht_mansion_n,21,667.8,25.0711,12.7279,23,7,16,forward
ht_mansion_n,22,576.6,25.8995,14.8995,23,1,16,forward
ht_mansion_n,23,968.6,27.4853,14.8284,25,14,16,forward
ht_mansion_n,24,636.4,17.6569,13.4142,16,5,16,forward
ht_mansion_n,25,617,15.6569,15.6569,14,10,16,forward
ht_mansion_n,26,767.6,19.2426,15.6569,18,14,16,forward
ht_mansion_n,27,948.4,31.2132,13.8995,25,14,16,forward
ht_mansion_n,28,460.8,16.5563,13.0711,12,1,16,forward
ht_mansion_n,29,691.8,22.4853,12.4853,20,8,16,forward
ht_mansion_n,30,698.6,28.5563,19.1421,24,14,16,forward
ht_mansion_n,31,513.8,21.3137,17.8995,18,7,16,forward
ht_mansion_n,32,607.2,18.2426,16.8284,17,4,16,forward
ht_mansion_n,33,965,27.7279,17.7279,24,15,16,forward
ht_mansion_n,34,577.2,25.2132,17.0711,19,3,16,forward
ht_mansion_n,35,610.8,22.0711,17.9706,20,6,16,forward
ht_mansion_n,36,690.8,23.8995,18.8995,21,9,16,forward
ht_mansion_n,37,897,33.8995,19.3137,31,11,16,forward
ht_mansion_n,38,1022.4,26.2426,19.0711,25,13,16,forward
ht_mansion_n,39,724.6,26.3137,19.8284,23,9,16,forward
ht_mansion_n,40,697.8,28.4142,20.799,28,5,16,forward
ht_mansion_n,41,781.6,32.3137,22.4142,29,6,16,forward
ht_mansion_n,42,675,30.4558,22.6569,23,3,16,forward
ht_mansion_n,43,856.6,24.4853,22.1421,22,13,16,forward
ht_mansion_n,44,1121,37.1421,23.1421,33,18,16,forward
ht_mansion_n,45,875,35.4558,23.9706,28,15,16,forward
ht_mansion_n,46,905.4,28.3137,20.8995,25,12,16,forward
ht_mansion_n,47,567,21.3137,21.3137,18,9,16,forward
ht_mansion_n,48,800.6,25.9706,23.4853,21,15,16,forward
ht_mansion_n,49,773.8,25.9706,21.5563,21,14,16,forward
ht_mansion_n,50,903.2,30.2426,27.8995,29,23,16,forward
ht_mansion_n,51,1126.2,52.9411,26.0711,43,20,16,forward
