map,scenid,tcost,distance,expect,steps,access,r,itype
ht_mansion_n,0,753.4,12.0711,6.82843,10,5,4,backward
ht_mansion_n,1,433.8,5.41421,5.41421,5,2,4,backward
ht_mansion_n,2,486.6,6.24264,5.41421,5,2,4,backward
ht_mansion_n,3,446.8,9.07107,5.41421,7,3,4,backward
ht_mansion_n,4,301.8,4.41421,4.41421,4,1,4,backward
ht_mansion_n,5,639.8,9.24264,7.82843,8,6,4,backward
ht_mansion_n,6,369,7.65685,7.65685,6,1,4,backward
ht_mansion_n,7,562.4,8.48528,5.65685,6,4,4,backward
ht_mansion_n,8,286.2,6.82843,4,6,2,4,backward
ht_mansion_n,9,376.4,6,4.82843,6,2,4,backward
ht_mansion_n,10,467.8,11.2426,10.0711,10,4,4,backward
ht_mansion_n,11,648.2,9.82843,9.82843,9,4,4,backward
ht_mansion_n,12,689.8,17.1421,10.0711,13,6,4,backward
ht_mansion_n,13,679.2,12.2426,11.6569,11,5,4,backward
ht_mansion_n,14,575,17.2426,11.2426,16,2,4,backward
ht_mansion_n,15,505.4,11.8284,11.8284,11,4,4,backward
ht_mansion_n,16,445.6,14.0711,11,12,2,4,backward
ht_mansion_n,17,371.8,8.65685,8.07107,7,2,4,backward
ht_mansion_n,18,541.2,10.4853,8.82843,8,4,4,backward
ht_mansion_n,19,666.2,14.4853,9.24264,12,5,4,backward
ht_mansion_n,20,658.6,15.0711,12.0711,13,5,4,backward
ht_mansion_n,21,489.2,13.8995,12.7279,11,3,4,backward
ht_mansion_n,22,479.2,16.0711,14.8995,14,3,4,backward
ht_mansion_n,23,881.4,19.8284,14.8284,19,9,4,backward
ht_mansion_n,24,526,14.8284,13.4142,14,3,4,backward
ht_mansion_n,25,765.4,17.6569,15.6569,16,8,4,backward
ht_mansion_n,26,809,17.0711,15.6569,15,7,4,backward
ht_mansion_n,27,672.8,16.8995,13.8995,14,5,4,backward
ht_mansion_n,28,591.6,13.6569,13.0711,12,4,4,backward
ht_mansion_n,29,546,18.4853,12.4853,16,3,4,backward
ht_mansion_n,30,658,19.7279,19.1421,16,6,4,backward
ht_mansion_n,31,389.6,17.8995,17.8995,15,3,4,backward
ht_mansion_n,32,584.2,16.8284,16.8284,16,3,4,backward
ht_mansion_n,33,696.4,18.8995,17.7279,16,6,4,backward
ht_mansion_n,34,513.4,17.0711,17.0711,15,2,4,backward
ht_mansion_n,35,654.8,19.7279,17.9706,16,4,4,backward
ht_mansion_n,36,650.4,23.1421,18.8995,19,4,4,backward
ht_mansion_n,37,623.6,22.1421,19.3137,18,4,4,backward
ht_mansion_n,38,878.2,21.0711,19.0711,19,6,4,backward
ht_mansion_n,39,875,24.0711,19.8284,22,8,4,backward
ht_mansion_n,40,606.6,21.3848,20.799,16,3,4,backward
ht_mansion_n,41,1005.6,28.0711,22.4142,26,8,4,backward
ht_mansion_n,42,684,22.6569,22.6569,21,4,4,backward
ht_mansion_n,43,715,24.3848,22.1421,19,7,4,backward
ht_mansion_n,44,765.2,25.1421,23.1421,21,5,4,backward
ht_mansion_n,45,789,26.3848,23.9706,21,3,4,backward
ht_mansion_n,46,737.6,20.8995,20.8995,18,7,4,backward
ht_mansion_n,47,571.2,21.3137,21.3137,18,5,4,backward
ht_mansion_n,48,644.4,23.4853,23.4853,21,5,4,backward
ht_mansion_n,49,645.6,25.799,21.5563,20,4,4,backward
ht_mansion_n,50,872.2,30.4853,27.8995,28,6,4,backward
ht_mansion_n,51,1003.8,30.3137,26.0711,27,7,4,backward
ht_mansion_n,52,1179.6,30.4142,25.4142,30,19,4,backward
ht_mansion_n,53,1029.6,29.0711,26.0711,27,11,4,backward
ht_mansion_n,54,705.6,25.8995,25.8995,23,3,4,backward
ht_mansion_n,55,1002.2,27.7279,25.4853,24,10,4,backward
ht_mansion_n,56,733.4,27.2132,26.3848,21,6,4,backward
ht_mansion_n,57,847.2,30.3848,24.3848,25,7,4,backward
ht_mansion_n,58,841.2,25.6569,25.0711,24,4,4,backward
ht_mansion_n,59,954.2,29.0711,26.2426,27,9,4,backward
ht_mansion_n,60,672.4,30.0711,30.0711,28,2,4,backward
