map,scenid,tcost,distance,expect,steps,access,r,itype
ht_store,0,1933.4,17.4853,7.65685,15,12,16,forward
ht_store,1,1570.6,22.5563,5,18,9,16,forward
ht_store,2,932.8,13.4853,4.41421,11,5,16,forward
ht_store,3,1345.6,13.6569,5.82843,12,5,16,forward
ht_store,4,1035,16.4853,6.82843,14,6,16,forward
ht_store,5,1125.4,25.799,4.24264,20,4,16,forward
ht_store,6,1389.6,10.4142,4,10,10,16,forward
ht_store,7,1587.8,26.3848,7.41421,21,12,16,forward
ht_store,8,854.4,13.4853,7.65685,11,1,16,forward
ht_store,9,1476,24.5563,6.41421,20,12,16,forward
ht_store,10,1263.8,22.3137,9.48528,19,10,16,forward
ht_store,11,985.6,17.7279,8.65685,14,4,16,forward
ht_store,12,939.6,14.0711,8.41421,12,6,16,forward
ht_store,13,1398.4,20.0711,9.82843,18,13,16,forward
ht_store,14,1977.6,27.4142,8.41421,27,19,16,forward
ht_store,15,1018.6,17.6569,11.4142,16,5,16,forward
ht_store,16,930,15.8995,10.8995,13,2,16,forward
ht_store,17,1511.4,24.4853,8.41421,22,8,16,forward
ht_store,18,1715.6,22.4853,8.65685,20,17,16,forward
ht_store,19,1480,26.9706,10.8284,22,8,16,forward
ht_store,20,1266,15.2426,12.4142,14,11,16,forward
ht_store,21,1380,26.3848,13.6569,21,8,16,forward
ht_store,22,1363.8,20.6569,14.8995,19,12,16,forward
ht_store,23,1430,19.2426,14.2426,18,11,16,forward
ht_store,24,1648.4,23.9706,12.6569,19,10,16,forward
ht_store,25,1313.4,18.8284,13.8995,18,10,16,forward
ht_store,26,1723,38.9411,13.4853,29,12,16,forward
ht_store,27,2029.6,31.1421,12.8995,27,21,16,forward
ht_store,28,1458.4,20.2426,13.6569,19,16,16,forward
ht_store,29,1029.8,20.9706,15.7279,16,4,16,forward
ht_store,30,2295.6,37.5563,18.5563,33,23,16,forward
ht_store,31,1020,16.6569,16.0711,15,9,16,forward
ht_store,32,1447.8,24.7279,19.4142,21,11,16,forward
ht_store,33,2503,37.6569,17,36,23,16,forward
ht_store,34,1332.2,19.6569,16.8284,18,14,16,forward
ht_store,35,1939.8,30.6569,16.7279,29,16,16,forward
ht_store,36,1462.4,24.8995,16.4142,22,13,16,forward
ht_store,37,1997.8,39.0416,19.2426,32,20,16,forward
ht_store,38,1198,20.2426,19.6569,19,10,16,forward
ht_store,39,1905.6,33.3848,18.0711,28,19,16,forward
ht_store,40,1970,39.9706,22.4142,35,24,16,forward
ht_store,41,1807,36.3848,22.2426,31,22,16,forward
ht_store,42,1033.4,21.7279,21.7279,18,5,16,forward
ht_store,43,2195.8,39.8701,22.7279,32,22,16,forward
ht_store,44,2115.6,31.6569,22.4853,30,24,16,forward
ht_store,45,2069.6,43.8701,22.8995,36,18,16,forward
ht_store,46,1872.4,37.9706,22.6569,33,24,16,forward
ht_store,47,1383.8,23.2426,22.6569,22,11,16,forward
ht_store,48,1379.2,25.2426,21.1421,24,9,16,forward
ht_store,49,1494.8,24.3137,20.0711,21,13,16,forward
ht_store,50,1751.2,31.2132,27.799,25,14,16,forward
ht_store,51,1108.2,24.7279,24.7279,21,2,16,forward
ht_store,52,1744.8,34.799,24.3137,29,16,16,forward
ht_store,53,1778.4,30,27.0711,30,9,16,forward
ht_store,54,2190,37.6274,26.2132,31,25,16,forward
ht_store,55,1997.8,38.6274,24.8995,32,14,16,forward
ht_store,56,1610.6,36.0416,27.5563,29,18,16,forward
ht_store,57,1360.4,26.5563,24.5563,22,12,16,forward
ht_store,58,2027.4,27.2426,26.2426,26,23,16,forward
ht_store,59,1147.2,26.5563,26.5563,22,3,16,forward
ht_store,60,1716.6,34.7279,28.3137,31,23,16,forward
ht_store,61,1718,36.7279,29.6569,33,23,16,forward
ht_store,62,2056.8,32.7279,28.9706,29,21,16,forward
ht_store,63,1339.8,30.799,30.799,25,7,16,forward
ht_store,64,1715.2,32.2132,28.799,26,15,16,forward
ht_store,65,1789.8,36.5563,28.0711,32,22,16,forward
ht_store,66,1775.2,32.7279,28.9706,29,21,16,forward
ht_store,67,2391.6,36.8284,31.5563,36,26,16,forward
ht_store,68,1405.8,29.5563,29.5563,25,19,16,forward
ht_store,69,1895.6,40.4558,29.1421,33,20,16,forward
