map,scenid,tcost,distance,expect,steps,access,r,itype
ht_store,0,981.6,7.65685,7.65685,6,1,2,backward
ht_store,1,870.2,7.82843,5,7,3,2,backward
ht_store,2,734.2,5.82843,4.41421,5,2,2,backward
ht_store,3,716.8,6.41421,5.82843,6,2,2,backward
ht_store,4,754.8,6.82843,6.82843,6,3,2,backward
ht_store,5,672.2,6.24264,4.24264,5,4,2,backward
ht_store,6,724.6,5,4,5,3,2,backward
ht_store,7,765,8.82843,7.41421,8,3,2,backward
ht_store,8,637.6,8.24264,7.65685,7,2,2,backward
ht_store,9,822.8,7.41421,6.41421,7,3,2,backward
ht_store,10,752.4,9.48528,9.48528,7,3,2,backward
ht_store,11,748.2,8.65685,8.65685,7,4,2,backward
ht_store,12,624.6,8.41421,8.41421,8,1,2,backward
ht_store,13,960.6,11.8284,9.82843,11,2,2,backward
ht_store,14,860,9.82843,8.41421,9,2,2,backward
ht_store,15,919.4,12,11.4142,12,2,2,backward
ht_store,16,887,11.4853,10.8995,9,3,2,backward
ht_store,17,834.8,8.41421,8.41421,8,3,2,backward
ht_store,18,603.2,8.65685,8.65685,7,1,2,backward
ht_store,19,853.2,11.6569,10.8284,10,4,2,backward
ht_store,20,984.4,12.4142,12.4142,12,1,2,backward
ht_store,21,1039,15.0711,13.6569,13,4,2,backward
ht_store,22,1434.8,16.8995,14.8995,14,9,2,backward
ht_store,23,1026.8,14.8284,14.2426,14,2,2,backward
ht_store,24,1061.6,15.4853,12.6569,13,6,2,backward
ht_store,25,1003.4,13.8995,13.8995,11,4,2,backward
ht_store,26,1184.8,16.3137,13.4853,13,8,2,backward
ht_store,27,924.4,12.8995,12.8995,10,3,2,backward
ht_store,28,1083.6,13.6569,13.6569,12,6,2,backward
ht_store,29,1201.2,17.1421,15.7279,13,4,2,backward
ht_store,30,1117.8,18.5563,18.5563,14,3,2,backward
ht_store,31,1337,16.6569,16.0711,15,7,2,backward
ht_store,32,1319.8,19.4142,19.4142,19,2,2,backward
ht_store,33,1289.8,18.4142,17,18,2,2,backward
ht_store,34,1149.2,16.8284,16.8284,16,2,2,backward
ht_store,35,1082,16.7279,16.7279,13,4,2,backward
ht_store,36,1247.4,17.8284,16.4142,17,2,2,backward
ht_store,37,1208,19.2426,19.2426,18,1,2,backward
ht_store,38,1260.6,19.6569,19.6569,18,3,2,backward
ht_store,39,1250.8,18.0711,18.0711,16,6,2,backward
ht_store,40,1578.2,24.4142,22.4142,24,2,2,backward
ht_store,41,835.8,23.2426,22.2426,22,4,2,backward
ht_store,42,1449.8,21.7279,21.7279,18,7,2,backward
ht_store,43,1309,24.1421,22.7279,20,6,2,backward
ht_store,44,1487.2,22.4853,22.4853,20,5,2,backward
ht_store,45,1493,24.3137,22.8995,21,3,2,backward
ht_store,46,778.4,22.6569,22.6569,21,3,2,backward
ht_store,47,1393.6,22.6569,22.6569,21,1,2,backward
ht_store,48,1297.8,21.1421,21.1421,17,4,2,backward
ht_store,49,1395.6,21.4853,20.0711,19,5,2,backward
ht_store,50,1631.6,27.799,27.799,22,5,2,backward
ht_store,51,1360.6,25.3137,24.7279,22,4,2,backward
ht_store,52,1499.6,24.3137,24.3137,21,3,2,backward
ht_store,53,1660.6,27.6569,27.0711,26,3,2,backward
ht_store,54,1544.6,28.799,26.2132,23,6,2,backward
ht_store,55,1469,24.8995,24.8995,22,3,2,backward
ht_store,56,1418,27.5563,27.5563,23,4,2,backward
ht_store,57,1214.4,24.5563,24.5563,20,6,2,backward
ht_store,58,1631.6,26.2426,26.2426,25,2,2,backward
ht_store,59,1376,26.5563,26.5563,22,6,2,backward
ht_store,60,1664.8,29.7279,28.3137,26,3,2,backward
ht_store,61,1715.4,29.6569,29.6569,28,3,2,backward
ht_store,62,1707.8,28.9706,28.9706,24,6,2,backward
ht_store,63,1720.6,31.3848,30.799,26,7,2,backward
ht_store,64,1606.2,28.799,28.799,23,5,2,backward
ht_store,65,1595.8,28.0711,28.0711,26,3,2,backward
ht_store,66,1608.8,28.9706,28.9706,24,6,2,backward
ht_store,67,1790.8,32.1421,31.5563,28,4,2,backward
ht_store,68,1501.2,29.5563,29.5563,25,2,2,backward
ht_store,69,1686.6,31.5563,29.1421,27,8,2,backward
