map,scenid,tcost,distance,expect,steps,access,r,itype
lt_0_lowtown,0,1746.2,21.0711,4.41421,19,8,32,backward
lt_0_lowtown,1,1985.6,55.0711,5.24264,53,2,32,backward
lt_0_lowtown,2,1312.6,32.8701,4.24264,25,5,32,backward
lt_0_lowtown,3,983.8,17.7279,6.82843,14,6,32,backward
lt_0_lowtown,4,369,4.82843,4.82843,4,1,32,backward
lt_0_lowtown,5,1259.4,27.1421,7.24264,23,3,32,backward
lt_0_lowtown,6,1276.8,21.8995,4.41421,19,5,32,backward
lt_0_lowtown,7,1506.6,25.6569,6.65685,24,5,32,backward
lt_0_lowtown,8,829.4,11.0711,7.41421,9,4,32,backward
lt_0_lowtown,9,570.4,10.4853,4.82843,8,2,32,backward
lt_0_lowtown,10,1854.6,55.598,9.24264,44,17,32,backward
lt_0_lowtown,11,1671,56.9706,11.8284,52,6,32,backward
lt_0_lowtown,12,1249.8,28.3137,9.24264,25,3,32,backward
lt_0_lowtown,13,1161,25.1421,8.82843,21,2,32,backward
lt_0_lowtown,14,1857.8,50.9706,9.65685,46,13,32,backward
lt_0_lowtown,15,1665,54.7279,11.4853,51,4,32,backward
lt_0_lowtown,16,1393.2,38.7279,11.0711,35,3,32,backward
lt_0_lowtown,17,748.4,24.0711,9.65685,22,2,32,backward
lt_0_lowtown,18,1016,36.9706,11.8995,32,12,32,backward
lt_0_lowtown,19,1269.8,36.8995,9.07107,34,4,32,backward
lt_0_lowtown,20,1981.6,51.3553,14.2426,41,15,32,backward
lt_0_lowtown,21,1109,38.5563,13.7279,34,2,32,backward
lt_0_lowtown,22,1203.6,31.0416,12.4853,24,8,32,backward
lt_0_lowtown,23,1068.4,26.7279,12.8284,23,2,32,backward
lt_0_lowtown,24,1852.6,46.6985,13.8284,38,9,32,backward
lt_0_lowtown,25,980.6,23.3137,13.4142,20,2,32,backward
lt_0_lowtown,26,1222.2,23.3137,14.3137,20,3,32,backward
lt_0_lowtown,27,1511.6,52.3848,12.2426,47,10,32,backward
lt_0_lowtown,28,2007.2,42.1421,15.1421,38,12,32,backward
lt_0_lowtown,29,1256.2,39.0416,15,32,2,32,backward
lt_0_lowtown,30,1603.2,51.0416,19.9706,44,11,32,backward
lt_0_lowtown,31,1480.4,51.0122,18.4853,39,5,32,backward
lt_0_lowtown,32,1460.2,39.1421,19.8995,35,4,32,backward
lt_0_lowtown,33,1166.6,61.0833,18.6569,47,4,32,backward
lt_0_lowtown,34,1192,22.6569,19.2426,21,5,32,backward
lt_0_lowtown,35,1302,38.3848,16.3137,33,10,32,backward
lt_0_lowtown,36,1518.2,48.8284,18.4142,48,3,32,backward
lt_0_lowtown,37,740.8,22.8284,18.2426,22,3,32,backward
lt_0_lowtown,38,1752.2,41.0711,17.5563,39,7,32,backward
lt_0_lowtown,39,1433.8,29.4142,17.4142,29,4,32,backward
lt_0_lowtown,40,5138.6,65.7696,21.7279,55,9,32,backward
lt_0_lowtown,41,790.6,38.9706,20.2426,34,3,32,backward
lt_0_lowtown,42,893.2,50.8406,23.9706,38,6,32,backward
lt_0_lowtown,43,1997.4,55.1127,22.2426,46,13,32,backward
lt_0_lowtown,44,1026.8,22.2426,21.4142,21,4,32,backward
lt_0_lowtown,45,914.2,41.8701,21.4853,34,3,32,backward
lt_0_lowtown,46,2115.6,69.6985,20.4853,61,13,32,backward
lt_0_lowtown,47,1317.6,52.1421,23.7279,48,8,32,backward
lt_0_lowtown,48,1389.2,48.4558,22.4142,41,4,32,backward
lt_0_lowtown,49,2723.6,58.0122,22.4853,46,15,32,backward
lt_0_lowtown,50,901.6,37.7279,25.4853,34,2,32,backward
lt_0_lowtown,51,993,34.799,27.7279,29,4,32,backward
lt_0_lowtown,52,1018,49.1127,26.5563,40,6,32,backward
lt_0_lowtown,53,2425.8,58.8995,24.0711,56,4,32,backward
lt_0_lowtown,54,1945.8,51.2843,27.3848,43,11,32,backward
lt_0_lowtown,55,2717.4,59.799,27.5563,54,19,32,backward
lt_0_lowtown,56,1062.4,31.3137,25.4558,28,9,32,backward
lt_0_lowtown,57,1262.4,29.6569,25.4142,28,4,32,backward
lt_0_lowtown,58,4204,43.2843,24.1421,35,10,32,backward
