map,scenid,tcost,distance,expect,steps,access,r,itype
lt_0_lowtown,0,1081.8,18.0711,4.41421,16,18,64,forward
lt_0_lowtown,1,3988.8,102.385,5.24264,97,93,64,forward
lt_0_lowtown,2,2999,65.4264,4.24264,53,49,64,forward
lt_0_lowtown,3,579.2,17.7279,6.82843,14,2,64,forward
lt_0_lowtown,4,1760.6,50.0711,4.82843,48,58,64,forward
lt_0_lowtown,5,908.4,26.5563,7.24264,22,8,64,forward
lt_0_lowtown,6,1455.2,38.5563,4.41421,34,30,64,forward
lt_0_lowtown,7,671.4,17.6569,6.65685,16,3,64,forward
lt_0_lowtown,8,712.6,24.8995,7.41421,22,3,64,forward
lt_0_lowtown,9,355.2,11.8995,4.82843,9,2,64,forward
lt_0_lowtown,10,2109.4,57.7696,9.24264,47,28,64,forward
lt_0_lowtown,11,1815.2,64.799,11.8284,59,52,64,forward
lt_0_lowtown,12,2182.6,50.3848,9.24264,45,67,64,forward
lt_0_lowtown,13,612.6,26.9706,8.82843,22,1,64,forward
lt_0_lowtown,14,1714.6,41.9706,9.65685,37,40,64,forward
lt_0_lowtown,15,1236.2,45.1421,11.4853,41,33,64,forward
lt_0_lowtown,16,2562,69.1543,11.0711,53,38,64,forward
lt_0_lowtown,17,654.2,23.4853,9.65685,21,13,64,forward
lt_0_lowtown,18,1420.4,39.3848,11.8995,34,20,64,forward
lt_0_lowtown,19,2180.2,57.4558,9.07107,50,47,64,forward
lt_0_lowtown,20,381.2,17.3137,14.2426,14,4,64,forward
lt_0_lowtown,21,917.4,28.5563,13.7279,24,19,64,forward
lt_0_lowtown,22,2754.6,68.4264,12.4853,56,64,64,forward
lt_0_lowtown,23,749.6,26.7279,12.8284,23,5,64,forward
lt_0_lowtown,24,1795.8,59.3553,13.8284,49,35,64,forward
lt_0_lowtown,25,1558.6,50.3848,13.4142,45,53,64,forward
lt_0_lowtown,26,552.6,20.3137,14.3137,17,4,64,forward
lt_0_lowtown,27,2459.2,96.8701,12.2426,89,81,64,forward
lt_0_lowtown,28,893.4,31.1421,15.1421,27,4,64,forward
lt_0_lowtown,29,2176.8,85.4264,15,73,38,64,forward
lt_0_lowtown,30,2919.2,112.539,19.9706,91,60,64,forward
