map,scenid,tcost,distance,expect,steps,access,r,itype
lt_0_lowtown_a2,0,2004,43.799,7.24264,38,8,32,backward
lt_0_lowtown_a2,1,1795.4,44.8995,5.82843,42,16,32,backward
lt_0_lowtown_a2,2,1159.8,29.8995,6.24264,27,2,32,backward
lt_0_lowtown_a2,3,1019.2,15.8995,6.82843,13,4,32,backward
lt_0_lowtown_a2,4,887.2,28.6274,5.41421,22,4,32,backward
lt_0_lowtown_a2,5,605.8,21.6569,6.82843,20,3,32,backward
lt_0_lowtown_a2,6,634.2,26.3848,7.41421,21,3,32,backward
lt_0_lowtown_a2,7,1375.6,39.4853,7.65685,37,8,32,backward
lt_0_lowtown_a2,8,520.2,13.6569,6.82843,12,2,32,backward
lt_0_lowtown_a2,9,841,25.9706,6.65685,21,2,32,backward
lt_0_lowtown_a2,10,1410.4,35.8284,8.82843,35,5,32,backward
lt_0_lowtown_a2,11,1718,33.4558,11.4853,26,10,32,backward
lt_0_lowtown_a2,12,2192.6,49.2843,11.8995,41,15,32,backward
lt_0_lowtown_a2,13,944.6,30.2426,8.41421,29,4,32,backward
lt_0_lowtown_a2,14,1389.4,38.1421,10,34,7,32,backward
lt_0_lowtown_a2,15,1218.8,26.799,8.41421,21,8,32,backward
lt_0_lowtown_a2,16,1161,27.3137,10.8995,24,4,32,backward
lt_0_lowtown_a2,17,1476.6,37.3848,10.8284,32,3,32,backward
lt_0_lowtown_a2,18,1045,22.3137,8.65685,19,6,32,backward
lt_0_lowtown_a2,19,1610.8,46.8284,11.8284,46,11,32,backward
lt_0_lowtown_a2,20,1376.2,29.8284,15,29,17,32,backward
lt_0_lowtown_a2,21,1224.4,41.2132,15.2426,35,5,32,backward
lt_0_lowtown_a2,22,915.6,16.4142,13.4142,16,4,32,backward
lt_0_lowtown_a2,23,1821.8,37.799,13.0711,32,20,32,backward
lt_0_lowtown_a2,24,743.2,26.7279,14.2426,23,6,32,backward
lt_0_lowtown_a2,25,1350.2,50.3848,14.2426,45,3,32,backward
lt_0_lowtown_a2,26,540.6,43.2843,12.6569,35,3,32,backward
lt_0_lowtown_a2,27,906,17.2426,14.8995,16,4,32,backward
lt_0_lowtown_a2,28,818,25.3848,15.2426,20,4,32,backward
lt_0_lowtown_a2,29,1358.8,41.6569,13.6569,40,2,32,backward
lt_0_lowtown_a2,30,1222.8,52.0416,18.3848,45,8,32,backward
lt_0_lowtown_a2,31,1069,23.8995,17.4142,21,8,32,backward
lt_0_lowtown_a2,32,773.8,22.4142,18.6569,22,4,32,backward
lt_0_lowtown_a2,33,1023.4,41.1421,16.6569,37,6,32,backward
lt_0_lowtown_a2,34,1632.8,57.6274,18.1421,51,8,32,backward
lt_0_lowtown_a2,35,1315.4,36.1421,18.4142,32,18,32,backward
lt_0_lowtown_a2,36,1982.6,60.5563,17.1421,56,17,32,backward
lt_0_lowtown_a2,37,1188.8,54.8701,18,47,8,32,backward
lt_0_lowtown_a2,38,804.6,27.799,18.1421,22,3,32,backward
lt_0_lowtown_a2,39,1906,56.3848,16.3137,51,12,32,backward
lt_0_lowtown_a2,40,656,31.7279,21.7279,28,3,32,backward
lt_0_lowtown_a2,41,1764.2,68.1838,23.2426,57,19,32,backward
lt_0_lowtown_a2,42,930,39.6985,23.799,31,5,32,backward
lt_0_lowtown_a2,43,1385.8,45.4853,20.8284,43,4,32,backward
lt_0_lowtown_a2,44,1262,40.4558,22.3137,33,3,32,backward
lt_0_lowtown_a2,45,1177,28.2132,23.799,22,10,32,backward
lt_0_lowtown_a2,46,1299.2,28.8284,20.9706,28,6,32,backward
lt_0_lowtown_a2,47,1041.2,27.6569,22.9706,26,2,32,backward
lt_0_lowtown_a2,48,1633.4,54.8701,20.2426,47,9,32,backward
lt_0_lowtown_a2,49,1379.8,44.6274,21.5563,38,4,32,backward
lt_0_lowtown_a2,50,1290.4,62.6985,25.3848,54,8,32,backward
lt_0_lowtown_a2,51,1289.4,46.2843,26.9706,38,7,32,backward
lt_0_lowtown_a2,52,1366.4,67.1127,27.799,58,11,32,backward
lt_0_lowtown_a2,53,902.2,36.7279,26.8284,33,6,32,backward
lt_0_lowtown_a2,54,819.6,30.8284,25.5563,30,4,32,backward
lt_0_lowtown_a2,55,833.8,32.9706,27.3137,28,8,32,backward
lt_0_lowtown_a2,56,1542.8,46.3553,24.5563,36,9,32,backward
lt_0_lowtown_a2,57,946,27.2426,25.8284,26,7,32,backward
lt_0_lowtown_a2,58,920.2,32.4853,25.3137,30,4,32,backward
lt_0_lowtown_a2,59,1005.6,41.799,27.799,36,5,32,backward
lt_0_lowtown_a2,60,1455.6,64.4264,31.6569,52,4,32,backward
lt_0_lowtown_a2,61,968.4,47.1127,30.2843,38,10,32,backward
lt_0_lowtown_a2,62,1463,59.0416,31.4142,52,6,32,backward
lt_0_lowtown_a2,63,948.4,28.8995,28.3137,26,6,32,backward
lt_0_lowtown_a2,64,1184.8,56.1421,28.4853,52,11,32,backward
lt_0_lowtown_a2,65,1104.4,36.6569,31.3848,35,7,32,backward
lt_0_lowtown_a2,66,1034.8,45.799,31.4142,40,2,32,backward
lt_0_lowtown_a2,67,1351.8,44.2426,31.2426,43,13,32,backward
lt_0_lowtown_a2,68,676.4,32.8995,31.2426,30,2,32,backward
lt_0_lowtown_a2,69,1457.6,47.6985,28.1421,39,8,32,backward
