map,scenid,tcost,distance,expect,steps,access,r,itype
lt_0_lowtown_a2,0,410,10.0711,7.24264,8,0,8,forward
lt_0_lowtown_a2,1,310.2,11.0711,5.82843,9,0,8,forward
lt_0_lowtown_a2,2,318.8,13.0711,6.24264,11,0,8,forward
lt_0_lowtown_a2,3,222,6.82843,6.82843,6,0,8,forward
lt_0_lowtown_a2,4,549,12.6569,5.41421,11,4,8,forward
lt_0_lowtown_a2,5,264.6,12.4853,6.82843,10,0,8,forward
lt_0_lowtown_a2,6,261.2,11.8995,7.41421,9,0,8,forward
lt_0_lowtown_a2,7,342.2,8.24264,7.65685,7,1,8,forward
lt_0_lowtown_a2,8,370.4,13.6569,6.82843,12,2,8,forward
lt_0_lowtown_a2,9,339.2,10.0711,6.65685,8,0,8,forward
lt_0_lowtown_a2,10,595.2,20.4853,8.82843,18,1,8,forward
lt_0_lowtown_a2,11,628.8,22.9706,11.4853,18,1,8,forward
lt_0_lowtown_a2,12,495.6,18.7279,11.8995,15,0,8,forward
lt_0_lowtown_a2,13,506,16.0711,8.41421,14,7,8,forward
lt_0_lowtown_a2,14,330.4,16.4853,10,14,0,8,forward
lt_0_lowtown_a2,15,457.8,10.6569,8.41421,9,2,8,forward
lt_0_lowtown_a2,16,402.4,11.8995,10.8995,9,0,8,forward
lt_0_lowtown_a2,17,393.6,14.2426,10.8284,13,1,8,forward
lt_0_lowtown_a2,18,279.8,8.65685,8.65685,7,0,8,forward
lt_0_lowtown_a2,19,318.4,11.8284,11.8284,11,0,8,forward
lt_0_lowtown_a2,20,407.4,16.6569,15,15,1,8,forward
lt_0_lowtown_a2,21,427.2,16.4142,15.2426,16,0,8,forward
lt_0_lowtown_a2,22,628.6,16.2426,13.4142,15,9,8,forward
lt_0_lowtown_a2,23,589.8,15.8995,13.0711,13,2,8,forward
lt_0_lowtown_a2,24,280.6,15.0711,14.2426,13,0,8,forward
lt_0_lowtown_a2,25,459.6,25.5563,14.2426,21,0,8,forward
lt_0_lowtown_a2,26,382.4,23.4853,12.6569,21,0,8,forward
lt_0_lowtown_a2,27,528.2,17.2426,14.8995,16,1,8,forward
lt_0_lowtown_a2,28,768.2,17.2426,15.2426,16,10,8,forward
lt_0_lowtown_a2,29,468.4,14.8284,13.6569,14,3,8,forward
lt_0_lowtown_a2,30,715,25.0416,18.3848,18,5,8,forward
lt_0_lowtown_a2,31,798.6,18.8284,17.4142,18,12,8,forward
lt_0_lowtown_a2,32,745,22.4142,18.6569,22,13,8,forward
lt_0_lowtown_a2,33,414.8,21.2426,16.6569,20,1,8,forward
lt_0_lowtown_a2,34,694.6,26.3848,18.1421,21,2,8,forward
lt_0_lowtown_a2,35,1088.4,32.5563,18.4142,28,14,8,forward
lt_0_lowtown_a2,36,590,25.9706,17.1421,21,0,8,forward
lt_0_lowtown_a2,37,438.4,22.2426,18,21,0,8,forward
lt_0_lowtown_a2,38,273.6,18.1421,18.1421,14,0,8,forward
lt_0_lowtown_a2,39,523,23.3848,16.3137,18,0,8,forward
lt_0_lowtown_a2,40,1040.6,28.7279,21.7279,25,12,8,forward
lt_0_lowtown_a2,41,529,23.2426,23.2426,22,3,8,forward
lt_0_lowtown_a2,42,862,23.799,23.799,18,11,8,forward
lt_0_lowtown_a2,43,1010.2,27.4853,20.8284,25,17,8,forward
lt_0_lowtown_a2,44,958,25.1421,22.3137,21,6,8,forward
lt_0_lowtown_a2,45,941.2,28.2132,23.799,22,6,8,forward
lt_0_lowtown_a2,46,453.2,20.9706,20.9706,16,0,8,forward
lt_0_lowtown_a2,47,698.4,22.9706,22.9706,18,9,8,forward
lt_0_lowtown_a2,48,428.2,20.2426,20.2426,19,0,8,forward
lt_0_lowtown_a2,49,514.8,21.5563,21.5563,17,1,8,forward
lt_0_lowtown_a2,50,551.2,27.6274,25.3848,21,5,8,forward
lt_0_lowtown_a2,51,997.8,26.9706,26.9706,22,10,8,forward
lt_0_lowtown_a2,52,941,30.799,27.799,25,7,8,forward
lt_0_lowtown_a2,53,649.4,29.0711,26.8284,27,1,8,forward
lt_0_lowtown_a2,54,526,25.5563,25.5563,21,1,8,forward
lt_0_lowtown_a2,55,798.2,31.2132,27.3137,25,11,8,forward
lt_0_lowtown_a2,56,820.4,26.5563,24.5563,22,6,8,forward
lt_0_lowtown_a2,57,1183,27.2426,25.8284,26,21,8,forward
lt_0_lowtown_a2,58,954.8,28.3137,25.3137,25,14,8,forward
lt_0_lowtown_a2,59,681.6,27.799,27.799,22,4,8,forward
lt_0_lowtown_a2,60,546,32.2426,31.6569,31,0,8,forward
lt_0_lowtown_a2,61,735.2,31.6985,30.2843,23,5,8,forward
lt_0_lowtown_a2,62,1083.6,39.8995,31.4142,37,14,8,forward
lt_0_lowtown_a2,63,1028.2,32.3137,28.3137,29,22,8,forward
lt_0_lowtown_a2,64,920.4,34.1421,28.4853,30,17,8,forward
lt_0_lowtown_a2,65,1097.6,32.5563,31.3848,28,17,8,forward
lt_0_lowtown_a2,66,1104.8,35.4142,31.4142,35,8,8,forward
lt_0_lowtown_a2,67,853.8,39.2426,31.2426,38,2,8,forward
lt_0_lowtown_a2,68,714.6,43.9706,31.2426,39,4,8,forward
lt_0_lowtown_a2,69,1456.6,34.1421,28.1421,30,28,8,forward
lt_0_lowtown_a2,70,1193.4,38.8284,35.0711,38,21,8,forward
lt_0_lowtown_a2,71,1137,33.6569,32.4853,32,23,8,forward
lt_0_lowtown_a2,72,883.8,34.8995,32.4142,32,3,8,forward
lt_0_lowtown_a2,73,529.4,33.0711,33.0711,31,0,8,forward
