map,scenid,tcost,distance,expect,steps,access,r,itype
lt_0_lowtown_a2,0,508.8,7.24264,7.24264,6,0,0,forward
lt_0_lowtown_a2,1,270.8,5.82843,5.82843,5,0,0,forward
lt_0_lowtown_a2,2,277.4,6.24264,6.24264,5,0,0,forward
lt_0_lowtown_a2,3,297,6.82843,6.82843,6,0,0,forward
lt_0_lowtown_a2,4,211.6,5.41421,5.41421,5,0,0,forward
lt_0_lowtown_a2,5,234.2,6.82843,6.82843,6,0,0,forward
lt_0_lowtown_a2,6,291,7.41421,7.41421,7,0,0,forward
lt_0_lowtown_a2,7,321.6,7.65685,7.65685,6,1,0,forward
lt_0_lowtown_a2,8,263.6,6.82843,6.82843,6,0,0,forward
lt_0_lowtown_a2,9,239.4,6.65685,6.65685,5,0,0,forward
lt_0_lowtown_a2,10,352.2,8.82843,8.82843,8,0,0,forward
lt_0_lowtown_a2,11,602.8,11.4853,11.4853,9,1,0,forward
lt_0_lowtown_a2,12,475,11.8995,11.8995,9,0,0,forward
lt_0_lowtown_a2,13,235.6,8.41421,8.41421,8,0,0,forward
lt_0_lowtown_a2,14,312.6,10,10,10,0,0,forward
lt_0_lowtown_a2,15,574.6,8.41421,8.41421,8,3,0,forward
lt_0_lowtown_a2,16,432,10.8995,10.8995,8,0,0,forward
lt_0_lowtown_a2,17,436.4,10.8284,10.8284,10,1,0,forward
lt_0_lowtown_a2,18,338.8,8.65685,8.65685,7,0,0,forward
lt_0_lowtown_a2,19,423.2,11.8284,11.8284,11,0,0,forward
lt_0_lowtown_a2,20,607.8,15,15,15,2,0,forward
lt_0_lowtown_a2,21,421.8,15.2426,15.2426,14,0,0,forward
lt_0_lowtown_a2,22,863.4,13.4142,13.4142,13,9,0,forward
lt_0_lowtown_a2,23,710.4,13.0711,13.0711,11,3,0,forward
lt_0_lowtown_a2,24,332.6,14.2426,14.2426,13,0,0,forward
lt_0_lowtown_a2,25,436.4,14.2426,14.2426,13,0,0,forward
lt_0_lowtown_a2,26,438.6,12.6569,12.6569,11,0,0,forward
lt_0_lowtown_a2,27,536.8,14.8995,14.8995,12,0,0,forward
lt_0_lowtown_a2,28,911.2,15.2426,15.2426,14,9,0,forward
lt_0_lowtown_a2,29,741.8,13.6569,13.6569,12,6,0,forward
lt_0_lowtown_a2,30,512,18.3848,18.3848,13,1,0,forward
lt_0_lowtown_a2,31,1140.4,17.4142,17.4142,17,12,0,forward
lt_0_lowtown_a2,32,630.8,18.6569,18.6569,17,10,0,forward
lt_0_lowtown_a2,33,344,16.6569,16.6569,15,0,0,forward
lt_0_lowtown_a2,34,704.6,18.1421,18.1421,14,2,0,forward
lt_0_lowtown_a2,35,1181,18.4142,18.4142,18,13,0,forward
lt_0_lowtown_a2,36,483.4,17.1421,17.1421,13,0,0,forward
lt_0_lowtown_a2,37,563.6,18,18,18,0,0,forward
lt_0_lowtown_a2,38,356.2,18.1421,18.1421,14,0,0,forward
lt_0_lowtown_a2,39,644.8,16.3137,16.3137,13,0,0,forward
lt_0_lowtown_a2,40,827.2,21.7279,21.7279,18,8,0,forward
lt_0_lowtown_a2,41,670.4,23.2426,23.2426,22,3,0,forward
lt_0_lowtown_a2,42,1140.4,23.799,23.799,18,11,0,forward
lt_0_lowtown_a2,43,1046.8,20.8284,20.8284,20,14,0,forward
lt_0_lowtown_a2,44,1085.2,22.3137,22.3137,19,5,0,forward
lt_0_lowtown_a2,45,842.8,23.799,23.799,18,5,0,forward
lt_0_lowtown_a2,46,591.4,20.9706,20.9706,16,0,0,forward
lt_0_lowtown_a2,47,1105.4,22.9706,22.9706,18,12,0,forward
lt_0_lowtown_a2,48,652.2,20.2426,20.2426,19,1,0,forward
lt_0_lowtown_a2,49,540.2,21.5563,21.5563,17,1,0,forward
lt_0_lowtown_a2,50,755.4,25.3848,25.3848,20,6,0,forward
lt_0_lowtown_a2,51,1313.6,26.9706,26.9706,22,13,0,forward
lt_0_lowtown_a2,52,1171,27.799,27.799,22,6,0,forward
lt_0_lowtown_a2,53,1346.6,26.8284,26.8284,26,14,0,forward
lt_0_lowtown_a2,54,776.8,25.5563,25.5563,21,3,0,forward
lt_0_lowtown_a2,55,1063.6,27.3137,27.3137,24,22,0,forward
lt_0_lowtown_a2,56,1060.6,24.5563,24.5563,20,6,0,forward
lt_0_lowtown_a2,57,1442.4,25.8284,25.8284,25,21,0,forward
lt_0_lowtown_a2,58,967.4,25.3137,25.3137,22,12,0,forward
lt_0_lowtown_a2,59,937.6,27.799,27.799,22,3,0,forward
lt_0_lowtown_a2,60,1172.4,31.6569,31.6569,30,19,0,forward
lt_0_lowtown_a2,61,720.6,30.2843,30.2843,22,2,0,forward
lt_0_lowtown_a2,62,970.2,31.4142,31.4142,31,1,0,forward
lt_0_lowtown_a2,63,1127,28.3137,28.3137,25,20,0,forward
lt_0_lowtown_a2,64,1230,28.4853,28.4853,26,18,0,forward
lt_0_lowtown_a2,65,1323.2,31.3848,31.3848,26,14,0,forward
lt_0_lowtown_a2,66,1172.4,31.4142,31.4142,31,5,0,forward
lt_0_lowtown_a2,67,795.2,31.2426,31.2426,30,0,0,forward
lt_0_lowtown_a2,68,961.4,31.2426,31.2426,30,2,0,forward
lt_0_lowtown_a2,69,1209.6,28.1421,28.1421,24,21,0,forward
lt_0_lowtown_a2,70,1644,35.0711,35.0711,33,24,0,forward
lt_0_lowtown_a2,71,1352.6,32.4853,32.4853,30,23,0,forward
lt_0_lowtown_a2,72,1047.6,32.4142,32.4142,32,4,0,forward
lt_0_lowtown_a2,73,587.6,33.0711,33.0711,31,0,0,forward
lt_0_lowtown_a2,74,1523.2,34.2426,34.2426,33,21,0,forward
lt_0_lowtown_a2,75,731.6,34.799,34.799,29,2,0,forward
lt_0_lowtown_a2,76,1338.6,34.2132,34.2132,28,12,0,forward
lt_0_lowtown_a2,77,1689.2,34.8284,34.8284,34,31,0,forward
lt_0_lowtown_a2,78,941.2,32.9706,32.9706,28,2,0,forward
lt_0_lowtown_a2,79,1885.8,35.6569,35.6569,34,31,0,forward
lt_0_lowtown_a2,80,1528.8,39.2132,39.2132,33,15,0,forward
lt_0_lowtown_a2,81,1833.2,39.2132,39.2132,33,23,0,forward
lt_0_lowtown_a2,82,1060.6,37.5269,37.5269,28,6,0,forward
lt_0_lowtown_a2,83,1708,36.8995,36.8995,34,30,0,forward
lt_0_lowtown_a2,84,1566.6,38.4558,38.4558,31,15,0,forward
lt_0_lowtown_a2,85,1456.8,36.8701,36.8701,29,15,0,forward
lt_0_lowtown_a2,86,2155,39.1421,39.1421,35,21,0,forward
lt_0_lowtown_a2,87,1458.2,39.0711,39.0711,37,35,0,forward
lt_0_lowtown_a2,88,1013.6,39.5269,39.5269,30,4,0,forward
lt_0_lowtown_a2,89,1228.8,37.5269,37.5269,28,4,0,forward
lt_0_lowtown_a2,90,1165.2,41.7279,41.7279,38,16,0,forward
lt_0_lowtown_a2,91,1951,42.5563,42.5563,38,25,0,forward
lt_0_lowtown_a2,92,2181,43.4853,43.4853,41,33,0,forward
lt_0_lowtown_a2,93,1759.6,41.0711,41.0711,39,35,0,forward
lt_0_lowtown_a2,94,1629.6,42.9706,42.9706,38,23,0,forward
lt_0_lowtown_a2,95,1541.4,40.3553,40.3553,30,12,0,forward
lt_0_lowtown_a2,96,1510.4,40.4853,40.4853,38,34,0,forward
lt_0_lowtown_a2,97,1715.8,41.3137,41.3137,38,21,0,forward
lt_0_lowtown_a2,98,1225.8,41.7279,41.7279,38,22,0,forward
lt_0_lowtown_a2,99,1397.6,42,42,42,21,0,forward
lt_0_lowtown_a2,100,2122,45.8995,45.8995,43,40,0,forward
lt_0_lowtown_a2,101,1573.6,44.8995,44.8995,42,27,0,forward
lt_0_lowtown_a2,102,1932.2,46.0416,46.0416,39,33,0,forward
lt_0_lowtown_a2,103,2171.4,45.8995,45.8995,43,27,0,forward
lt_0_lowtown_a2,104,1534.6,46.3553,46.3553,36,20,0,forward
lt_0_lowtown_a2,105,1819.2,45.8995,45.8995,43,28,0,forward
lt_0_lowtown_a2,106,2440.6,47.3848,47.3848,42,39,0,forward
lt_0_lowtown_a2,107,2146.4,46.5563,46.5563,42,36,0,forward
lt_0_lowtown_a2,108,2215.8,46.4853,46.4853,44,32,0,forward
lt_0_lowtown_a2,109,2120.8,46.5563,46.5563,42,27,0,forward
lt_0_lowtown_a2,110,1591.2,50.8284,50.8284,50,37,0,forward
lt_0_lowtown_a2,111,1840.4,51.3553,51.3553,41,26,0,forward
lt_0_lowtown_a2,112,1981,49.4264,49.4264,37,17,0,forward
lt_0_lowtown_a2,113,1925.8,49.7279,49.7279,46,32,0,forward
lt_0_lowtown_a2,114,1772.6,49.6985,49.6985,41,31,0,forward
lt_0_lowtown_a2,115,1959.4,49.799,49.799,44,34,0,forward
lt_0_lowtown_a2,116,1820,49.0711,49.0711,47,40,0,forward
lt_0_lowtown_a2,117,1634.6,48.6274,48.6274,42,32,0,forward
lt_0_lowtown_a2,118,2359.6,48.4142,48.4142,48,44,0,forward
lt_0_lowtown_a2,119,1799.4,48.5269,48.5269,39,27,0,forward
lt_0_lowtown_a2,120,2715.8,53.3848,53.3848,48,37,0,forward
lt_0_lowtown_a2,121,2229.2,53.3553,53.3553,43,19,0,forward
lt_0_lowtown_a2,122,1873.6,55.4558,55.4558,48,21,0,forward
lt_0_lowtown_a2,123,2703.2,53.5563,53.5563,49,44,0,forward
lt_0_lowtown_a2,124,2338.6,52.8701,52.8701,45,28,0,forward
lt_0_lowtown_a2,125,1675.2,55.0833,55.0833,41,16,0,forward
lt_0_lowtown_a2,126,1831.6,54.5563,54.5563,50,39,0,forward
lt_0_lowtown_a2,127,1919.8,54.1127,54.1127,45,33,0,forward
lt_0_lowtown_a2,128,2412.8,53.4558,53.4558,46,37,0,forward
lt_0_lowtown_a2,129,2293.2,55.7279,55.7279,52,36,0,forward
lt_0_lowtown_a2,130,2347.4,57.8701,57.8701,50,38,0,forward
lt_0_lowtown_a2,131,2989.2,56.5269,56.5269,47,39,0,forward
lt_0_lowtown_a2,132,2789,58.6985,58.6985,50,37,0,forward
lt_0_lowtown_a2,133,2433.2,59.4558,59.4558,52,45,0,forward
lt_0_lowtown_a2,134,2319.4,59.8701,59.8701,52,33,0,forward
lt_0_lowtown_a2,135,1495.6,59.8284,59.8284,59,25,0,forward
lt_0_lowtown_a2,136,2031.2,56.8701,56.8701,49,22,0,forward
lt_0_lowtown_a2,137,2191,59.5563,59.5563,55,44,0,forward
lt_0_lowtown_a2,138,2580.8,58.4558,58.4558,51,39,0,forward
lt_0_lowtown_a2,139,2369,56.0416,56.0416,49,42,0,forward
lt_0_lowtown_a2,140,2614.2,60.2132,60.2132,54,50,0,forward
lt_0_lowtown_a2,141,2184,63.2548,63.2548,50,32,0,forward
lt_0_lowtown_a2,142,3109.4,60.6569,60.6569,59,55,0,forward
lt_0_lowtown_a2,143,2131.2,61.6274,61.6274,55,36,0,forward
lt_0_lowtown_a2,144,1984,61.4558,61.4558,54,45,0,forward
lt_0_lowtown_a2,145,2119.2,61.5269,61.5269,52,34,0,forward
lt_0_lowtown_a2,146,2934,62.8995,62.8995,60,58,0,forward
lt_0_lowtown_a2,147,2737.6,61.0122,61.0122,49,35,0,forward
lt_0_lowtown_a2,148,2109.2,61.799,61.799,56,49,0,forward
lt_0_lowtown_a2,149,2053.4,62.598,62.598,51,40,0,forward
lt_0_lowtown_a2,150,2390.4,64.9117,64.9117,50,29,0,forward
lt_0_lowtown_a2,151,2625.2,66.6985,66.6985,58,45,0,forward
lt_0_lowtown_a2,152,3060.6,67.0833,67.0833,53,36,0,forward
lt_0_lowtown_a2,153,3074.4,66.2843,66.2843,58,49,0,forward
lt_0_lowtown_a2,154,3528.6,65.2132,65.2132,59,55,0,forward
lt_0_lowtown_a2,155,1264.6,66.2426,66.2426,65,4,0,forward
lt_0_lowtown_a2,156,2065.6,65.4558,65.4558,58,49,0,forward
lt_0_lowtown_a2,157,2980,65.5269,65.5269,56,42,0,forward
lt_0_lowtown_a2,158,2254.8,64.0122,64.0122,52,41,0,forward
lt_0_lowtown_a2,159,2271.4,66.9411,66.9411,57,42,0,forward
lt_0_lowtown_a2,160,2201.4,69.2843,69.2843,61,41,0,forward
lt_0_lowtown_a2,161,3027.6,69.8701,69.8701,62,48,0,forward
lt_0_lowtown_a2,162,2519.6,70.4558,70.4558,63,52,0,forward
lt_0_lowtown_a2,163,2441.8,70.9411,70.9411,61,58,0,forward
lt_0_lowtown_a2,164,3202.4,71.4264,71.4264,59,48,0,forward
lt_0_lowtown_a2,165,3293.8,70.1838,70.1838,59,40,0,forward
lt_0_lowtown_a2,166,2134.4,71.3553,71.3553,61,43,0,forward
lt_0_lowtown_a2,167,2982.2,70.8701,70.8701,63,58,0,forward
lt_0_lowtown_a2,168,2127.2,70.9411,70.9411,61,43,0,forward
lt_0_lowtown_a2,169,2077.4,69.6985,69.6985,61,56,0,forward
lt_0_lowtown_a2,170,3376.8,73.9706,73.9706,69,58,0,forward
lt_0_lowtown_a2,171,2029.4,75.2843,75.2843,67,53,0,forward
lt_0_lowtown_a2,172,1648.8,75.1838,75.1838,64,42,0,forward
