map,scenid,tcost,distance,expect,steps,access,r,itype
lt_0_lowtown_a2_n,0,2405.8,81.799,4.24264,76,4,64,backward
lt_0_lowtown_a2_n,1,745.2,18.3137,7,15,2,64,backward
lt_0_lowtown_a2_n,2,1547.4,57.6274,5.82843,51,10,64,backward
lt_0_lowtown_a2_n,3,967.6,17.4853,4,15,4,64,backward
lt_0_lowtown_a2_n,4,1086.4,47.8995,7.41421,45,2,64,backward
lt_0_lowtown_a2_n,5,1672.4,95.799,5.41421,90,4,64,backward
lt_0_lowtown_a2_n,6,2307,53.4853,7.65685,51,22,64,backward
lt_0_lowtown_a2_n,7,994.8,33.8284,5,33,7,64,backward
lt_0_lowtown_a2_n,8,834,38.6274,5.41421,32,4,64,backward
lt_0_lowtown_a2_n,9,1947.8,45.2426,5.41421,44,6,64,backward
lt_0_lowtown_a2_n,10,2479.4,73.7696,11.4853,63,15,64,backward
lt_0_lowtown_a2_n,11,2447.4,74.8112,11.4142,57,18,64,backward
lt_0_lowtown_a2_n,12,802,34.3848,9.82843,29,4,64,backward
lt_0_lowtown_a2_n,13,1329,31.2426,8.24264,30,10,64,backward
lt_0_lowtown_a2_n,14,1636,56.8995,11.8995,54,18,64,backward
lt_0_lowtown_a2_n,15,1659.8,59.0416,8.65685,52,11,64,backward
lt_0_lowtown_a2_n,16,815.4,27.5563,9.07107,23,3,64,backward
lt_0_lowtown_a2_n,17,453.4,24.7279,8.48528,21,2,64,backward
lt_0_lowtown_a2_n,18,685.6,17.8995,9.07107,15,2,64,backward
lt_0_lowtown_a2_n,19,1066.4,36.5563,8.24264,32,11,64,backward
lt_0_lowtown_a2_n,20,1262.4,59.598,12.2426,48,9,64,backward
lt_0_lowtown_a2_n,21,1855.6,56.0416,14.3137,49,6,64,backward
lt_0_lowtown_a2_n,22,508.4,20.799,15.1421,15,4,64,backward
lt_0_lowtown_a2_n,23,1724.8,55.1127,12.8995,46,11,64,backward
lt_0_lowtown_a2_n,24,1554.4,62.8995,13.0711,60,18,64,backward
lt_0_lowtown_a2_n,25,1023.4,47.7279,15.0711,44,7,64,backward
lt_0_lowtown_a2_n,26,798,21.6569,12.4853,20,3,64,backward
lt_0_lowtown_a2_n,27,2137.2,78.1127,15.2426,69,23,64,backward
lt_0_lowtown_a2_n,28,698.4,15.8284,12.0711,15,5,64,backward
lt_0_lowtown_a2_n,29,2862,95.9706,14.2426,91,24,64,backward
lt_0_lowtown_a2_n,30,1868.4,51.1127,18.9706,42,13,64,backward
lt_0_lowtown_a2_n,31,1795,89.2843,18.8284,81,23,64,backward
