map,scenid,tcost,distance,expect,steps,access,r,itype
lt_0_lowtown_a2_n,0,721.6,12.0711,4.24264,10,2,8,forward
lt_0_lowtown_a2_n,1,420,13.4853,7,11,0,8,forward
lt_0_lowtown_a2_n,2,359.8,12.0711,5.82843,10,1,8,forward
lt_0_lowtown_a2_n,3,269.2,8.24264,4,7,0,8,forward
lt_0_lowtown_a2_n,4,240.2,8.82843,7.41421,8,0,8,forward
lt_0_lowtown_a2_n,5,319.4,12.0711,5.41421,10,1,8,forward
lt_0_lowtown_a2_n,6,885.6,20.4853,7.65685,18,10,8,forward
lt_0_lowtown_a2_n,7,371,9.07107,5,7,2,8,forward
lt_0_lowtown_a2_n,8,390,11.2426,5.41421,10,2,8,forward
lt_0_lowtown_a2_n,9,192.2,5.41421,5.41421,5,0,8,forward
lt_0_lowtown_a2_n,10,304,12.4853,11.4853,10,0,8,forward
lt_0_lowtown_a2_n,11,314.4,11.4142,11.4142,11,0,8,forward
lt_0_lowtown_a2_n,12,205.6,11.2426,9.82843,10,0,8,forward
lt_0_lowtown_a2_n,13,593.6,11.2426,8.24264,10,4,8,forward
lt_0_lowtown_a2_n,14,329,13.0711,11.8995,11,0,8,forward
lt_0_lowtown_a2_n,15,435.8,15.4853,8.65685,13,3,8,forward
lt_0_lowtown_a2_n,16,259.4,12.4853,9.07107,10,0,8,forward
lt_0_lowtown_a2_n,17,271.4,14.2426,8.48528,13,0,8,forward
lt_0_lowtown_a2_n,18,496.4,14.8995,9.07107,12,0,8,forward
lt_0_lowtown_a2_n,19,295.4,12.4853,8.24264,10,0,8,forward
lt_0_lowtown_a2_n,20,866.8,18.6569,12.2426,17,9,8,forward
lt_0_lowtown_a2_n,21,769.6,20.3137,14.3137,17,6,8,forward
lt_0_lowtown_a2_n,22,414,22.2132,15.1421,16,0,8,forward
lt_0_lowtown_a2_n,23,515,15.8995,12.8995,13,1,8,forward
lt_0_lowtown_a2_n,24,513.4,13.8995,13.0711,11,3,8,forward
lt_0_lowtown_a2_n,25,605.2,16.2426,15.0711,15,8,8,forward
lt_0_lowtown_a2_n,26,599,17.0711,12.4853,15,4,8,forward
lt_0_lowtown_a2_n,27,709.8,26.1421,15.2426,22,10,8,forward
