map,scenid,tcost,distance,expect,steps,access,r,itype
lt_0_lowtown_a2_n,0,939,4.24264,4.24264,3,1,0,backward
lt_0_lowtown_a2_n,1,917.4,7,7,7,1,0,backward
lt_0_lowtown_a2_n,2,1085.4,5.82843,5.82843,5,3,0,backward
lt_0_lowtown_a2_n,3,659.8,4,4,4,1,0,backward
lt_0_lowtown_a2_n,4,765.8,7.41421,7.41421,7,1,0,backward
lt_0_lowtown_a2_n,5,814,5.41421,5.41421,5,2,0,backward
lt_0_lowtown_a2_n,6,987.6,7.65685,7.65685,6,2,0,backward
lt_0_lowtown_a2_n,7,999.2,5,5,5,1,0,backward
lt_0_lowtown_a2_n,8,542.8,5.41421,5.41421,5,1,0,backward
lt_0_lowtown_a2_n,9,636.4,5.41421,5.41421,5,1,0,backward
lt_0_lowtown_a2_n,10,1001.4,11.4853,11.4853,9,1,0,backward
lt_0_lowtown_a2_n,11,1130,11.4142,11.4142,11,2,0,backward
lt_0_lowtown_a2_n,12,694.2,9.82843,9.82843,9,1,0,backward
lt_0_lowtown_a2_n,13,1118,8.24264,8.24264,7,2,0,backward
lt_0_lowtown_a2_n,14,980.2,11.8995,11.8995,9,3,0,backward
lt_0_lowtown_a2_n,15,983.2,8.65685,8.65685,7,3,0,backward
lt_0_lowtown_a2_n,16,938.2,9.07107,9.07107,7,3,0,backward
lt_0_lowtown_a2_n,17,687.8,8.48528,8.48528,6,1,0,backward
lt_0_lowtown_a2_n,18,767.6,9.07107,9.07107,7,1,0,backward
lt_0_lowtown_a2_n,19,867.8,8.24264,8.24264,7,2,0,backward
lt_0_lowtown_a2_n,20,1417.6,12.2426,12.2426,11,2,0,backward
lt_0_lowtown_a2_n,21,1185.8,14.3137,14.3137,11,2,0,backward
lt_0_lowtown_a2_n,22,1245.4,15.1421,15.1421,11,2,0,backward
lt_0_lowtown_a2_n,23,1003.4,12.8995,12.8995,10,2,0,backward
lt_0_lowtown_a2_n,24,1166.6,13.0711,13.0711,11,3,0,backward
lt_0_lowtown_a2_n,25,1127.6,15.0711,15.0711,13,2,0,backward
lt_0_lowtown_a2_n,26,1301,12.4853,12.4853,10,3,0,backward
lt_0_lowtown_a2_n,27,1069.6,15.2426,15.2426,14,3,0,backward
lt_0_lowtown_a2_n,28,1036,12.0711,12.0711,10,2,0,backward
lt_0_lowtown_a2_n,29,1423.4,14.2426,14.2426,13,2,0,backward
lt_0_lowtown_a2_n,30,1521.2,18.9706,18.9706,14,1,0,backward
lt_0_lowtown_a2_n,31,1583,18.8284,18.8284,18,3,0,backward
lt_0_lowtown_a2_n,32,1454.2,16.1421,16.1421,12,3,0,backward
lt_0_lowtown_a2_n,33,1674.6,19.0711,19.0711,17,4,0,backward
lt_0_lowtown_a2_n,34,1312.8,19.8284,19.8284,19,1,0,backward
lt_0_lowtown_a2_n,35,1433,17.4142,17.4142,17,1,0,backward
lt_0_lowtown_a2_n,36,1425.2,18.2426,18.2426,17,1,0,backward
lt_0_lowtown_a2_n,37,1937.8,19.4853,19.4853,17,5,0,backward
lt_0_lowtown_a2_n,38,1136.6,16.0711,16.0711,14,1,0,backward
lt_0_lowtown_a2_n,39,1268.6,19.6569,19.6569,18,1,0,backward
lt_0_lowtown_a2_n,40,1774.8,21.3848,21.3848,16,7,0,backward
lt_0_lowtown_a2_n,41,1726.8,22.8284,22.8284,22,4,0,backward
lt_0_lowtown_a2_n,42,1732,21.8995,21.8995,19,3,0,backward
lt_0_lowtown_a2_n,43,1477.4,22.6569,22.6569,21,1,0,backward
lt_0_lowtown_a2_n,44,1265.2,22.2132,22.2132,16,1,0,backward
lt_0_lowtown_a2_n,45,1563,22.8284,22.8284,22,1,0,backward
lt_0_lowtown_a2_n,46,1957.4,23.799,23.799,18,7,0,backward
lt_0_lowtown_a2_n,47,1104,20.7279,20.7279,17,1,0,backward
lt_0_lowtown_a2_n,48,1731,22.1421,22.1421,18,2,0,backward
lt_0_lowtown_a2_n,49,1827,23.6569,23.6569,22,5,0,backward
lt_0_lowtown_a2_n,50,1822.8,27.5563,27.5563,23,5,0,backward
lt_0_lowtown_a2_n,51,1401,27.5563,27.5563,23,3,0,backward
lt_0_lowtown_a2_n,52,1187.6,27.4142,27.4142,27,2,0,backward
lt_0_lowtown_a2_n,53,2052.2,24.0711,24.0711,22,7,0,backward
lt_0_lowtown_a2_n,54,2300.6,27.0711,27.0711,25,8,0,backward
lt_0_lowtown_a2_n,55,1707.2,25.8995,25.8995,23,6,0,backward
lt_0_lowtown_a2_n,56,1546.6,25,25,25,1,0,backward
lt_0_lowtown_a2_n,57,1246.8,25.5563,25.5563,21,1,0,backward
lt_0_lowtown_a2_n,58,1818.2,25.5563,25.5563,21,2,0,backward
lt_0_lowtown_a2_n,59,1683.8,25.799,25.799,20,5,0,backward
lt_0_lowtown_a2_n,60,2278.6,30.4558,30.4558,23,4,0,backward
lt_0_lowtown_a2_n,61,1759,30.3137,30.3137,27,3,0,backward
