map,scenid,tcost,distance,expect,steps,access,r,itype
lt_0_lowtown_a3_n_c,0,821.8,15.8995,7.41421,13,2,16,backward
lt_0_lowtown_a3_n_c,1,934.4,26.6274,6.82843,20,2,16,backward
lt_0_lowtown_a3_n_c,2,449.2,20.3848,6.65685,15,2,16,backward
lt_0_lowtown_a3_n_c,3,1496.4,27.5563,7.82843,23,11,16,backward
lt_0_lowtown_a3_n_c,4,528,28.0416,4.41421,21,2,16,backward
lt_0_lowtown_a3_n_c,5,411.2,5.41421,5.41421,5,1,16,backward
lt_0_lowtown_a3_n_c,6,847.2,16.2426,6.24264,15,4,16,backward
lt_0_lowtown_a3_n_c,7,1052.8,28.2132,6,22,4,16,backward
lt_0_lowtown_a3_n_c,8,514.8,11.0711,7.65685,9,2,16,backward
lt_0_lowtown_a3_n_c,9,836.2,10.8284,6.41421,10,6,16,backward
lt_0_lowtown_a3_n_c,10,1144,31.4558,8.82843,24,8,16,backward
lt_0_lowtown_a3_n_c,11,957.8,25.1421,10,21,4,16,backward
lt_0_lowtown_a3_n_c,12,726.8,28.8995,9.48528,26,2,16,backward
lt_0_lowtown_a3_n_c,13,924,17.6569,8.65685,16,5,16,backward
lt_0_lowtown_a3_n_c,14,1059.6,20.6569,9.82843,19,4,16,backward
lt_0_lowtown_a3_n_c,15,1072.4,27.1421,11.3137,23,11,16,backward
lt_0_lowtown_a3_n_c,16,937.4,28.5563,9.48528,24,2,16,backward
lt_0_lowtown_a3_n_c,17,1375.6,34.2426,11.4142,33,2,16,backward
lt_0_lowtown_a3_n_c,18,809.6,11,11,11,4,16,backward
lt_0_lowtown_a3_n_c,19,1097.2,22.8284,10.4142,22,6,16,backward
lt_0_lowtown_a3_n_c,20,1278.6,23.8995,13.4142,21,5,16,backward
lt_0_lowtown_a3_n_c,21,871.6,23.3137,13.4142,20,2,16,backward
lt_0_lowtown_a3_n_c,22,671.2,16.5563,14.0711,12,2,16,backward
lt_0_lowtown_a3_n_c,23,573.6,13.2426,13.2426,12,3,16,backward
lt_0_lowtown_a3_n_c,24,714.4,17.6569,15.4142,16,2,16,backward
lt_0_lowtown_a3_n_c,25,1259,38.3848,14.6569,33,3,16,backward
lt_0_lowtown_a3_n_c,26,708,17.1421,12.6569,13,3,16,backward
lt_0_lowtown_a3_n_c,27,774.2,14.4853,14.4853,12,7,16,backward
lt_0_lowtown_a3_n_c,28,745,17.6569,12,16,3,16,backward
lt_0_lowtown_a3_n_c,29,1304.8,30.1421,15.6569,26,8,16,backward
lt_0_lowtown_a3_n_c,30,834,24.6569,17.8284,23,2,16,backward
lt_0_lowtown_a3_n_c,31,1011.4,20.6569,19.4853,19,3,16,backward
lt_0_lowtown_a3_n_c,32,948.6,26.5563,19.1421,22,4,16,backward
lt_0_lowtown_a3_n_c,33,1231.6,35.1421,19.8284,31,11,16,backward
lt_0_lowtown_a3_n_c,34,636.4,19.4142,18.2426,19,2,16,backward
lt_0_lowtown_a3_n_c,35,740.2,22.0711,19.6569,20,3,16,backward
lt_0_lowtown_a3_n_c,36,924.2,37.0416,17.2426,30,2,16,backward
lt_0_lowtown_a3_n_c,37,682.8,22.4142,18.3137,22,2,16,backward
lt_0_lowtown_a3_n_c,38,765.4,17.8995,16.7279,15,5,16,backward
lt_0_lowtown_a3_n_c,39,1006.8,28.8995,16.8995,26,7,16,backward
lt_0_lowtown_a3_n_c,40,937.6,33.0416,22.3848,26,2,16,backward
lt_0_lowtown_a3_n_c,41,1140.4,30.7279,22.1421,27,8,16,backward
lt_0_lowtown_a3_n_c,42,1092.4,35.4558,20.3137,28,4,16,backward
lt_0_lowtown_a3_n_c,43,1219.2,25.1421,21.3137,21,11,16,backward
lt_0_lowtown_a3_n_c,44,684.8,28.0711,23.4853,26,2,16,backward
lt_0_lowtown_a3_n_c,45,929.2,27.1421,20.8995,23,7,16,backward
lt_0_lowtown_a3_n_c,46,811,24.0711,22.0711,22,2,16,backward
lt_0_lowtown_a3_n_c,47,1071.8,27.0416,21.799,20,3,16,backward
lt_0_lowtown_a3_n_c,48,861.8,21.8284,20.0711,21,4,16,backward
lt_0_lowtown_a3_n_c,49,1010.8,42.2132,23.799,36,5,16,backward
lt_0_lowtown_a3_n_c,50,1090.4,29.3848,25.6274,24,10,16,backward
lt_0_lowtown_a3_n_c,51,1134.4,40.4558,25.3137,33,2,16,backward
lt_0_lowtown_a3_n_c,52,1165.8,42.799,24.6569,37,9,16,backward
lt_0_lowtown_a3_n_c,53,1340.8,44.5269,27.3137,35,10,16,backward
lt_0_lowtown_a3_n_c,54,1255.6,43.6985,25.3137,35,8,16,backward
lt_0_lowtown_a3_n_c,55,923.2,29.8995,26.9706,27,6,16,backward
lt_0_lowtown_a3_n_c,56,1053.2,30.6569,27,29,4,16,backward
lt_0_lowtown_a3_n_c,57,1116.2,46.0416,27.8995,39,2,16,backward
lt_0_lowtown_a3_n_c,58,633.8,26.3137,26.3137,23,3,16,backward
lt_0_lowtown_a3_n_c,59,1049.4,34.8701,26.1421,27,3,16,backward
lt_0_lowtown_a3_n_c,60,974.8,35.2132,30.2426,29,3,16,backward
lt_0_lowtown_a3_n_c,61,745,29.6274,29.6274,23,4,16,backward
lt_0_lowtown_a3_n_c,62,781.2,29.8995,29.8995,27,2,16,backward
lt_0_lowtown_a3_n_c,63,1337.6,42.2843,28.6274,34,9,16,backward
lt_0_lowtown_a3_n_c,64,1313.2,33.2132,31.4558,27,7,16,backward
lt_0_lowtown_a3_n_c,65,834.4,32.1421,29.6569,28,7,16,backward
lt_0_lowtown_a3_n_c,66,1550,39.8995,28.4142,37,17,16,backward
lt_0_lowtown_a3_n_c,67,1264.6,49.0711,31.2426,47,2,16,backward
lt_0_lowtown_a3_n_c,68,961.2,34.5563,31.2426,30,2,16,backward
lt_0_lowtown_a3_n_c,69,1689.4,46.2132,29.2132,40,17,16,backward
lt_0_lowtown_a3_n_c,70,1162.6,39.799,35.6985,34,13,16,backward
lt_0_lowtown_a3_n_c,71,850.6,33.3137,32.7279,30,5,16,backward
lt_0_lowtown_a3_n_c,72,1225.8,40.5563,35.4853,36,3,16,backward
lt_0_lowtown_a3_n_c,73,1090.2,36.0711,35.2426,34,5,16,backward
lt_0_lowtown_a3_n_c,74,1138.8,37.6985,34.8701,29,8,16,backward
lt_0_lowtown_a3_n_c,75,1018.2,32.9706,32.3848,28,5,16,backward
lt_0_lowtown_a3_n_c,76,680.4,36.8995,33,34,3,16,backward
lt_0_lowtown_a3_n_c,77,767.6,36.3137,35.1421,33,5,16,backward
lt_0_lowtown_a3_n_c,78,1044.8,46.5269,35.5563,37,2,16,backward
lt_0_lowtown_a3_n_c,79,1160.2,37.4853,35.1421,35,4,16,backward
lt_0_lowtown_a3_n_c,80,1054.6,51.1838,38.4558,40,2,16,backward
lt_0_lowtown_a3_n_c,81,1001.2,39.8995,39.0711,37,6,16,backward
lt_0_lowtown_a3_n_c,82,1313.6,43.6569,37.799,42,6,16,backward
lt_0_lowtown_a3_n_c,83,1583.4,47.7279,36.8284,44,17,16,backward
lt_0_lowtown_a3_n_c,84,1270.4,39.4853,39.4853,37,11,16,backward
lt_0_lowtown_a3_n_c,85,1364.8,52.3137,39.6274,49,11,16,backward
lt_0_lowtown_a3_n_c,86,1091.2,43.2426,38.0711,42,9,16,backward
lt_0_lowtown_a3_n_c,87,932.6,37.0416,36.4558,30,2,16,backward
lt_0_lowtown_a3_n_c,88,738.8,40.0416,37.6985,33,2,16,backward
lt_0_lowtown_a3_n_c,89,1702.2,38.1421,38.1421,34,21,16,backward
lt_0_lowtown_a3_n_c,90,1060,45.9706,41.7279,41,2,16,backward
lt_0_lowtown_a3_n_c,91,1510.4,54.598,40.4558,43,9,16,backward
lt_0_lowtown_a3_n_c,92,1060.2,40.0711,40.0711,38,6,16,backward
lt_0_lowtown_a3_n_c,93,1300.8,48.9706,42.7279,44,9,16,backward
lt_0_lowtown_a3_n_c,94,1131.4,47.2843,41.4853,39,2,16,backward
lt_0_lowtown_a3_n_c,95,934.8,43.5563,41.2132,39,3,16,backward
lt_0_lowtown_a3_n_c,96,1267.8,51.4853,42.799,49,3,16,backward
lt_0_lowtown_a3_n_c,97,1445.6,42.9706,41.799,38,14,16,backward
lt_0_lowtown_a3_n_c,98,1391.8,50.3848,40.2843,45,7,16,backward
lt_0_lowtown_a3_n_c,99,1801,44.4853,41.3137,42,4,16,backward
lt_0_lowtown_a3_n_c,100,1140.6,52.1838,44.1127,41,7,16,backward
lt_0_lowtown_a3_n_c,101,931.2,44.6569,44.0711,43,6,16,backward
lt_0_lowtown_a3_n_c,102,1562.4,54.7696,46.6274,44,8,16,backward
lt_0_lowtown_a3_n_c,103,1325.6,59.2843,47.2843,51,12,16,backward
lt_0_lowtown_a3_n_c,104,1167,53,46.5563,53,4,16,backward
lt_0_lowtown_a3_n_c,105,1705.6,53.4558,47.4558,46,18,16,backward
lt_0_lowtown_a3_n_c,106,1362.8,45.5563,44.3848,41,2,16,backward
lt_0_lowtown_a3_n_c,107,1944.2,57.7696,44.6985,47,16,16,backward
lt_0_lowtown_a3_n_c,108,1125.4,52.4853,45.2132,50,4,16,backward
lt_0_lowtown_a3_n_c,109,1595.4,46.4558,44.2132,39,17,16,backward
lt_0_lowtown_a3_n_c,110,1105,50.598,49.4264,39,2,16,backward
lt_0_lowtown_a3_n_c,111,2018.8,70.9828,51.598,54,15,16,backward
lt_0_lowtown_a3_n_c,112,1687.2,63.7279,48.0711,60,15,16,backward
lt_0_lowtown_a3_n_c,113,1193.4,49.4558,49.4558,42,8,16,backward
lt_0_lowtown_a3_n_c,114,1581,70.6985,50.3137,62,12,16,backward
lt_0_lowtown_a3_n_c,115,1582,53.1421,50.6569,49,16,16,backward
lt_0_lowtown_a3_n_c,116,1359.8,52.3848,49.3137,47,2,16,backward
lt_0_lowtown_a3_n_c,117,1754,70.9411,48.3137,61,5,16,backward
lt_0_lowtown_a3_n_c,118,1314.8,48.7279,48.1421,45,3,16,backward
lt_0_lowtown_a3_n_c,119,1560.2,66.8406,49.5269,54,11,16,backward
lt_0_lowtown_a3_n_c,120,1545.8,57.3137,53.0711,54,13,16,backward
