map,scenid,tcost,distance,expect,steps,access,r,itype
lt_0_lowtown_a3_n_c,0,645,14.8995,7.41421,12,0,16,forward
lt_0_lowtown_a3_n_c,1,622.4,26.6274,6.82843,20,0,16,forward
lt_0_lowtown_a3_n_c,2,280,23.2132,6.65685,17,0,16,forward
lt_0_lowtown_a3_n_c,3,929,30.3848,7.82843,25,6,16,forward
lt_0_lowtown_a3_n_c,4,370.4,29.4558,4.41421,22,0,16,forward
lt_0_lowtown_a3_n_c,5,232.6,5.41421,5.41421,5,0,16,forward
lt_0_lowtown_a3_n_c,6,806.2,15.2426,6.24264,14,10,16,forward
lt_0_lowtown_a3_n_c,7,712,29.6274,6,23,1,16,forward
lt_0_lowtown_a3_n_c,8,339.6,11.0711,7.65685,9,0,16,forward
lt_0_lowtown_a3_n_c,9,412,10.8284,6.41421,10,1,16,forward
lt_0_lowtown_a3_n_c,10,601.8,31.4558,8.82843,24,0,16,forward
lt_0_lowtown_a3_n_c,11,772.8,25.1421,10,21,7,16,forward
lt_0_lowtown_a3_n_c,12,820,22.8995,9.48528,20,5,16,forward
lt_0_lowtown_a3_n_c,13,852.2,17.6569,8.65685,16,8,16,forward
lt_0_lowtown_a3_n_c,14,1261.6,21.6569,9.82843,20,26,16,forward
lt_0_lowtown_a3_n_c,15,496.6,19.7279,11.3137,16,0,16,forward
lt_0_lowtown_a3_n_c,16,674.8,28.5563,9.48528,24,0,16,forward
lt_0_lowtown_a3_n_c,17,1160.2,30.0711,11.4142,28,13,16,forward
lt_0_lowtown_a3_n_c,18,716.6,11,11,11,10,16,forward
lt_0_lowtown_a3_n_c,19,734.6,20.2426,10.4142,19,1,16,forward
lt_0_lowtown_a3_n_c,20,829.6,23.8995,13.4142,21,3,16,forward
lt_0_lowtown_a3_n_c,21,714.2,24.7279,13.4142,21,0,16,forward
lt_0_lowtown_a3_n_c,22,517.2,16.5563,14.0711,12,0,16,forward
lt_0_lowtown_a3_n_c,23,418.4,13.2426,13.2426,12,5,16,forward
lt_0_lowtown_a3_n_c,24,613.4,17.6569,15.4142,16,2,16,forward
lt_0_lowtown_a3_n_c,25,849.2,31.3848,14.6569,26,0,16,forward
lt_0_lowtown_a3_n_c,26,327.6,17.1421,12.6569,13,0,16,forward
lt_0_lowtown_a3_n_c,27,546.4,14.4853,14.4853,12,3,16,forward
lt_0_lowtown_a3_n_c,28,513.2,17.6569,12,16,0,16,forward
lt_0_lowtown_a3_n_c,29,1406.8,30.1421,15.6569,26,24,16,forward
lt_0_lowtown_a3_n_c,30,613.4,24.6569,17.8284,23,0,16,forward
lt_0_lowtown_a3_n_c,31,736.2,20.6569,19.4853,19,0,16,forward
lt_0_lowtown_a3_n_c,32,790.8,23.5563,19.1421,19,9,16,forward
lt_0_lowtown_a3_n_c,33,1207,35.1421,19.8284,31,23,16,forward
lt_0_lowtown_a3_n_c,34,404.6,19.4142,18.2426,19,0,16,forward
lt_0_lowtown_a3_n_c,35,797.2,22.0711,19.6569,20,19,16,forward
lt_0_lowtown_a3_n_c,36,673.6,37.0416,17.2426,30,0,16,forward
lt_0_lowtown_a3_n_c,37,429.2,22.4142,18.3137,22,0,16,forward
lt_0_lowtown_a3_n_c,38,457.6,17.8995,16.7279,15,1,16,forward
lt_0_lowtown_a3_n_c,39,970.6,28.8995,16.8995,26,11,16,forward
lt_0_lowtown_a3_n_c,40,688.4,33.0416,22.3848,26,0,16,forward
lt_0_lowtown_a3_n_c,41,704.4,30.7279,22.1421,27,7,16,forward
lt_0_lowtown_a3_n_c,42,817.4,35.4558,20.3137,28,2,16,forward
lt_0_lowtown_a3_n_c,43,989.4,26.5563,21.3137,22,9,16,forward
lt_0_lowtown_a3_n_c,44,660,28.0711,23.4853,26,6,16,forward
lt_0_lowtown_a3_n_c,45,672.2,25.1421,20.8995,21,15,16,forward
lt_0_lowtown_a3_n_c,46,675.2,23.0711,22.0711,21,1,16,forward
lt_0_lowtown_a3_n_c,47,890.2,28.4558,21.799,21,3,16,forward
lt_0_lowtown_a3_n_c,48,858.6,21.8284,20.0711,21,8,16,forward
lt_0_lowtown_a3_n_c,49,1318.2,35.6274,23.799,29,11,16,forward
lt_0_lowtown_a3_n_c,50,1068.8,29.3848,25.6274,24,17,16,forward
lt_0_lowtown_a3_n_c,51,1309,43.2843,25.3137,35,13,16,forward
lt_0_lowtown_a3_n_c,52,1428.4,42.799,24.6569,37,26,16,forward
lt_0_lowtown_a3_n_c,53,1107,42.5269,27.3137,33,6,16,forward
lt_0_lowtown_a3_n_c,54,888,43.6985,25.3137,35,2,16,forward
lt_0_lowtown_a3_n_c,55,993.6,29.8995,26.9706,27,14,16,forward
lt_0_lowtown_a3_n_c,56,720.8,30.6569,27,29,5,16,forward
lt_0_lowtown_a3_n_c,57,890.6,51.6985,27.8995,43,0,16,forward
lt_0_lowtown_a3_n_c,58,593.2,26.3137,26.3137,23,6,16,forward
lt_0_lowtown_a3_n_c,59,949.6,34.8701,26.1421,27,17,16,forward
lt_0_lowtown_a3_n_c,60,1163,35.2132,30.2426,29,11,16,forward
lt_0_lowtown_a3_n_c,61,1121,29.6274,29.6274,23,12,16,forward
lt_0_lowtown_a3_n_c,62,642.4,29.8995,29.8995,27,1,16,forward
lt_0_lowtown_a3_n_c,63,729.6,42.2843,28.6274,34,0,16,forward
lt_0_lowtown_a3_n_c,64,1044.2,33.2132,31.4558,27,4,16,forward
lt_0_lowtown_a3_n_c,65,748.2,32.1421,29.6569,28,12,16,forward
lt_0_lowtown_a3_n_c,66,1475.2,39.8995,28.4142,37,31,16,forward
lt_0_lowtown_a3_n_c,67,952,48.8995,31.2426,46,0,16,forward
lt_0_lowtown_a3_n_c,68,815.2,34.5563,31.2426,30,3,16,forward
lt_0_lowtown_a3_n_c,69,1422.2,44.2132,29.2132,38,27,16,forward
lt_0_lowtown_a3_n_c,70,925.2,39.799,35.6985,34,14,16,forward
lt_0_lowtown_a3_n_c,71,1190,33.3137,32.7279,30,26,16,forward
lt_0_lowtown_a3_n_c,72,1195.8,40.5563,35.4853,36,22,16,forward
lt_0_lowtown_a3_n_c,73,1270.4,36.0711,35.2426,34,27,16,forward
lt_0_lowtown_a3_n_c,74,847.6,37.6985,34.8701,29,7,16,forward
lt_0_lowtown_a3_n_c,75,762.6,32.9706,32.3848,28,11,16,forward
lt_0_lowtown_a3_n_c,76,820.4,36.8995,33,34,12,16,forward
lt_0_lowtown_a3_n_c,77,1111,36.3137,35.1421,33,17,16,forward
lt_0_lowtown_a3_n_c,78,1079.2,46.5269,35.5563,37,13,16,forward
lt_0_lowtown_a3_n_c,79,1036.8,37.4853,35.1421,35,17,16,forward
lt_0_lowtown_a3_n_c,80,1121.8,52.598,38.4558,41,21,16,forward
lt_0_lowtown_a3_n_c,81,1471.6,39.8995,39.0711,37,34,16,forward
lt_0_lowtown_a3_n_c,82,1295.4,43.6569,37.799,42,28,16,forward
lt_0_lowtown_a3_n_c,83,1664.4,47.7279,36.8284,44,33,16,forward
lt_0_lowtown_a3_n_c,84,1313.8,39.4853,39.4853,37,22,16,forward
lt_0_lowtown_a3_n_c,85,1410.6,52.3137,39.6274,49,25,16,forward
lt_0_lowtown_a3_n_c,86,1210,43.2426,38.0711,42,28,16,forward
lt_0_lowtown_a3_n_c,87,719.4,37.0416,36.4558,30,2,16,forward
lt_0_lowtown_a3_n_c,88,1114.8,40.0416,37.6985,33,14,16,forward
lt_0_lowtown_a3_n_c,89,1417.2,38.1421,38.1421,34,23,16,forward
lt_0_lowtown_a3_n_c,90,755.8,45.9706,41.7279,41,0,16,forward
lt_0_lowtown_a3_n_c,91,1260.2,54.598,40.4558,43,17,16,forward
lt_0_lowtown_a3_n_c,92,885.4,40.0711,40.0711,38,23,16,forward
lt_0_lowtown_a3_n_c,93,1683.2,46.9706,42.7279,42,34,16,forward
lt_0_lowtown_a3_n_c,94,826.6,47.2843,41.4853,39,0,16,forward
lt_0_lowtown_a3_n_c,95,1030.6,43.5563,41.2132,39,20,16,forward
lt_0_lowtown_a3_n_c,96,943.6,51.4853,42.799,49,2,16,forward
lt_0_lowtown_a3_n_c,97,1529.4,42.9706,41.799,38,30,16,forward
lt_0_lowtown_a3_n_c,98,1423.4,50.3848,40.2843,45,22,16,forward
lt_0_lowtown_a3_n_c,99,1751.4,44.4853,41.3137,42,16,16,forward
lt_0_lowtown_a3_n_c,100,1363,59.2548,44.1127,46,21,16,forward
lt_0_lowtown_a3_n_c,101,1452,44.6569,44.0711,43,35,16,forward
lt_0_lowtown_a3_n_c,102,1930.8,54.7696,46.6274,44,29,16,forward
lt_0_lowtown_a3_n_c,103,1290.8,59.2843,47.2843,51,19,16,forward
lt_0_lowtown_a3_n_c,104,1262.2,53,46.5563,53,18,16,forward
lt_0_lowtown_a3_n_c,105,1661,53.4558,47.4558,46,30,16,forward
lt_0_lowtown_a3_n_c,106,1456.6,45.5563,44.3848,41,32,16,forward
lt_0_lowtown_a3_n_c,107,1969.2,56.3553,44.6985,46,47,16,forward
lt_0_lowtown_a3_n_c,108,1182,52.4853,45.2132,50,8,16,forward
lt_0_lowtown_a3_n_c,109,1393,46.4558,44.2132,39,24,16,forward
lt_0_lowtown_a3_n_c,110,1079.6,50.598,49.4264,39,10,16,forward
lt_0_lowtown_a3_n_c,111,2056.4,72.397,51.598,55,32,16,forward
lt_0_lowtown_a3_n_c,112,1175,63.7279,48.0711,60,3,16,forward
lt_0_lowtown_a3_n_c,113,1234.4,49.4558,49.4558,42,20,16,forward
lt_0_lowtown_a3_n_c,114,1816.8,66.6985,50.3137,58,35,16,forward
lt_0_lowtown_a3_n_c,115,1167,53.1421,50.6569,49,30,16,forward
lt_0_lowtown_a3_n_c,116,1130.4,52.3848,49.3137,47,6,16,forward
lt_0_lowtown_a3_n_c,117,1582.2,70.9411,48.3137,61,34,16,forward
lt_0_lowtown_a3_n_c,118,1339.4,48.7279,48.1421,45,18,16,forward
lt_0_lowtown_a3_n_c,119,1786.4,66.8406,49.5269,54,35,16,forward
lt_0_lowtown_a3_n_c,120,1782,57.3137,53.0711,54,40,16,forward
lt_0_lowtown_a3_n_c,121,1772,62.7279,55.3137,59,48,16,forward
lt_0_lowtown_a3_n_c,122,1593.6,60.5269,52.2843,51,40,16,forward
lt_0_lowtown_a3_n_c,123,2037.6,59.8284,53.8284,59,60,16,forward
lt_0_lowtown_a3_n_c,124,1236.8,66.4853,53,64,16,16,forward
lt_0_lowtown_a3_n_c,125,1645.2,59.1127,55.0122,50,34,16,forward
lt_0_lowtown_a3_n_c,126,1454.6,64.4853,53.4558,62,20,16,forward
lt_0_lowtown_a3_n_c,127,1649,64.6274,52,58,31,16,forward
lt_0_lowtown_a3_n_c,128,1365.6,55.2843,55.2843,47,36,16,forward
lt_0_lowtown_a3_n_c,129,1450.8,59.1421,53.4853,55,45,16,forward
lt_0_lowtown_a3_n_c,130,2436.6,61.6985,58.7696,53,40,16,forward
lt_0_lowtown_a3_n_c,131,2387.8,60.2132,57.2132,54,55,16,forward
lt_0_lowtown_a3_n_c,132,2002.4,77.5685,57.7696,61,32,16,forward
lt_0_lowtown_a3_n_c,133,2230.2,82.4975,58.5269,68,42,16,forward
lt_0_lowtown_a3_n_c,134,1767.8,60.8701,57.8701,53,33,16,forward
lt_0_lowtown_a3_n_c,135,2107.8,59.6274,58.4558,53,45,16,forward
lt_0_lowtown_a3_n_c,136,1749.6,57.8701,56.6985,50,38,16,forward
lt_0_lowtown_a3_n_c,137,1952,85.4264,58.9706,73,48,16,forward
lt_0_lowtown_a3_n_c,138,2298.2,77.1421,56.6569,73,64,16,forward
lt_0_lowtown_a3_n_c,139,2484.8,79.7696,58.5563,69,51,16,forward
lt_0_lowtown_a3_n_c,140,1473.8,67.2843,61.4853,59,37,16,forward
lt_0_lowtown_a3_n_c,141,1668.4,61.6985,60.5269,53,34,16,forward
lt_0_lowtown_a3_n_c,142,2019.2,78.3553,61.7696,68,43,16,forward
lt_0_lowtown_a3_n_c,143,1721,65.2548,61.0122,52,25,16,forward
lt_0_lowtown_a3_n_c,144,1928.4,72.3137,61.1421,69,50,16,forward
lt_0_lowtown_a3_n_c,145,1255.6,62.5563,60.2132,58,43,16,forward
lt_0_lowtown_a3_n_c,146,2247.8,61.0416,61.0416,54,50,16,forward
lt_0_lowtown_a3_n_c,147,1613.4,67.9411,63.4558,58,28,16,forward
lt_0_lowtown_a3_n_c,148,2435.8,79.2548,63.2548,66,52,16,forward
lt_0_lowtown_a3_n_c,149,1916.4,70.3137,60.3137,67,54,16,forward
lt_0_lowtown_a3_n_c,150,2579.4,85.3553,66.6274,75,53,16,forward
lt_0_lowtown_a3_n_c,151,1679.4,75.9411,67.9411,66,46,16,forward
lt_0_lowtown_a3_n_c,152,1851,65.0711,65.0711,63,55,16,forward
lt_0_lowtown_a3_n_c,153,2466.4,82.4975,64.1127,68,58,16,forward
lt_0_lowtown_a3_n_c,154,1389,74.3848,65.6569,69,33,16,forward
lt_0_lowtown_a3_n_c,155,2170.2,81.7279,67,78,73,16,forward
lt_0_lowtown_a3_n_c,156,2264.8,73.1838,67.3553,62,54,16,forward
