map,scenid,tcost,distance,expect,steps,access,r,itype
lt_0_lowtown_a3_n_c,0,475.6,7.41421,7.41421,7,0,0,forward
lt_0_lowtown_a3_n_c,1,342.6,6.82843,6.82843,6,0,0,forward
lt_0_lowtown_a3_n_c,2,174.8,6.65685,6.65685,5,0,0,forward
lt_0_lowtown_a3_n_c,3,617.2,7.82843,7.82843,7,4,0,forward
lt_0_lowtown_a3_n_c,4,142.4,4.41421,4.41421,4,0,0,forward
lt_0_lowtown_a3_n_c,5,362.6,5.41421,5.41421,5,0,0,forward
lt_0_lowtown_a3_n_c,6,682,6.24264,6.24264,5,4,0,forward
lt_0_lowtown_a3_n_c,7,309.6,6,6,6,0,0,forward
lt_0_lowtown_a3_n_c,8,309.4,7.65685,7.65685,6,0,0,forward
lt_0_lowtown_a3_n_c,9,274.2,6.41421,6.41421,6,0,0,forward
lt_0_lowtown_a3_n_c,10,320.8,8.82843,8.82843,8,0,0,forward
lt_0_lowtown_a3_n_c,11,538,10,10,10,0,0,forward
lt_0_lowtown_a3_n_c,12,443.6,9.48528,9.48528,7,1,0,forward
lt_0_lowtown_a3_n_c,13,363.8,8.65685,8.65685,7,0,0,forward
lt_0_lowtown_a3_n_c,14,684.2,9.82843,9.82843,9,3,0,forward
lt_0_lowtown_a3_n_c,15,379.4,11.3137,11.3137,8,0,0,forward
lt_0_lowtown_a3_n_c,16,415.8,9.48528,9.48528,7,0,0,forward
lt_0_lowtown_a3_n_c,17,738.6,11.4142,11.4142,11,5,0,forward
lt_0_lowtown_a3_n_c,18,930.6,11,11,11,9,0,forward
lt_0_lowtown_a3_n_c,19,572.2,10.4142,10.4142,10,0,0,forward
lt_0_lowtown_a3_n_c,20,911,13.4142,13.4142,13,4,0,forward
lt_0_lowtown_a3_n_c,21,598.6,13.4142,13.4142,13,0,0,forward
lt_0_lowtown_a3_n_c,22,716.2,14.0711,14.0711,12,1,0,forward
lt_0_lowtown_a3_n_c,23,780.8,13.2426,13.2426,12,9,0,forward
lt_0_lowtown_a3_n_c,24,762.8,15.4142,15.4142,15,0,0,forward
lt_0_lowtown_a3_n_c,25,555,14.6569,14.6569,13,0,0,forward
lt_0_lowtown_a3_n_c,26,396.4,12.6569,12.6569,11,0,0,forward
lt_0_lowtown_a3_n_c,27,609.6,14.4853,14.4853,12,4,0,forward
lt_0_lowtown_a3_n_c,28,517,12,12,12,0,0,forward
lt_0_lowtown_a3_n_c,29,878,15.6569,15.6569,14,11,0,forward
lt_0_lowtown_a3_n_c,30,724.6,17.8284,17.8284,17,0,0,forward
lt_0_lowtown_a3_n_c,31,810.6,19.4853,19.4853,17,0,0,forward
lt_0_lowtown_a3_n_c,32,1087.2,19.1421,19.1421,15,8,0,forward
lt_0_lowtown_a3_n_c,33,523.4,19.8284,19.8284,19,0,0,forward
lt_0_lowtown_a3_n_c,34,603.6,18.2426,18.2426,17,0,0,forward
lt_0_lowtown_a3_n_c,35,1042.4,19.6569,19.6569,18,17,0,forward
lt_0_lowtown_a3_n_c,36,673.8,17.2426,17.2426,16,0,0,forward
lt_0_lowtown_a3_n_c,37,500.2,18.3137,18.3137,15,0,0,forward
lt_0_lowtown_a3_n_c,38,497.6,16.7279,16.7279,13,0,0,forward
lt_0_lowtown_a3_n_c,39,1006.2,16.8995,16.8995,14,6,0,forward
lt_0_lowtown_a3_n_c,40,564,22.3848,22.3848,17,0,0,forward
lt_0_lowtown_a3_n_c,41,1242.6,22.1421,22.1421,18,7,0,forward
lt_0_lowtown_a3_n_c,42,570.2,20.3137,20.3137,17,0,0,forward
lt_0_lowtown_a3_n_c,43,587.4,21.3137,21.3137,18,0,0,forward
lt_0_lowtown_a3_n_c,44,863.6,23.4853,23.4853,21,7,0,forward
lt_0_lowtown_a3_n_c,45,931.4,20.8995,20.8995,18,15,0,forward
lt_0_lowtown_a3_n_c,46,860.4,22.0711,22.0711,20,0,0,forward
lt_0_lowtown_a3_n_c,47,1211.4,21.799,21.799,16,3,0,forward
lt_0_lowtown_a3_n_c,48,1066.2,20.0711,20.0711,18,7,0,forward
lt_0_lowtown_a3_n_c,49,1052.2,23.799,23.799,18,4,0,forward
lt_0_lowtown_a3_n_c,50,1148.2,25.6274,25.6274,19,9,0,forward
lt_0_lowtown_a3_n_c,51,1051,25.3137,25.3137,22,4,0,forward
lt_0_lowtown_a3_n_c,52,1527.2,24.6569,24.6569,23,19,0,forward
lt_0_lowtown_a3_n_c,53,1002.6,27.3137,27.3137,24,5,0,forward
lt_0_lowtown_a3_n_c,54,672.2,25.3137,25.3137,22,1,0,forward
lt_0_lowtown_a3_n_c,55,1417.8,26.9706,26.9706,22,11,0,forward
lt_0_lowtown_a3_n_c,56,1124.2,27,27,27,6,0,forward
lt_0_lowtown_a3_n_c,57,704.8,27.8995,27.8995,25,0,0,forward
lt_0_lowtown_a3_n_c,58,812.2,26.3137,26.3137,23,8,0,forward
lt_0_lowtown_a3_n_c,59,1248.2,26.1421,26.1421,22,21,0,forward
lt_0_lowtown_a3_n_c,60,1814,30.2426,30.2426,29,28,0,forward
lt_0_lowtown_a3_n_c,61,1738.6,29.6274,29.6274,23,13,0,forward
lt_0_lowtown_a3_n_c,62,922.8,29.8995,29.8995,27,0,0,forward
lt_0_lowtown_a3_n_c,63,647,28.6274,28.6274,22,0,0,forward
lt_0_lowtown_a3_n_c,64,1589.4,31.4558,31.4558,24,4,0,forward
lt_0_lowtown_a3_n_c,65,1418.6,29.6569,29.6569,28,23,0,forward
lt_0_lowtown_a3_n_c,66,993.4,28.4142,28.4142,28,9,0,forward
lt_0_lowtown_a3_n_c,67,746.2,31.2426,31.2426,30,0,0,forward
lt_0_lowtown_a3_n_c,68,1509.8,31.2426,31.2426,30,28,0,forward
lt_0_lowtown_a3_n_c,69,1306,29.2132,29.2132,23,14,0,forward
lt_0_lowtown_a3_n_c,70,1445.2,35.6985,35.6985,27,12,0,forward
lt_0_lowtown_a3_n_c,71,1443.4,32.7279,32.7279,29,25,0,forward
lt_0_lowtown_a3_n_c,72,2104.4,35.4853,35.4853,33,22,0,forward
lt_0_lowtown_a3_n_c,73,2050.4,35.2426,35.2426,34,29,0,forward
lt_0_lowtown_a3_n_c,74,1002,34.8701,34.8701,27,5,0,forward
lt_0_lowtown_a3_n_c,75,1720.4,32.3848,32.3848,27,20,0,forward
lt_0_lowtown_a3_n_c,76,922.8,33,33,33,13,0,forward
lt_0_lowtown_a3_n_c,77,1779.8,35.1421,35.1421,31,24,0,forward
lt_0_lowtown_a3_n_c,78,1676.8,35.5563,35.5563,31,18,0,forward
