map,scenid,tcost,distance,expect,steps,access,r,itype
lt_0_lowtown_docks,0,1780.2,5,5,5,1,0,backward
lt_0_lowtown_docks,1,698,4.41421,4.41421,4,1,0,backward
lt_0_lowtown_docks,2,746.2,5.41421,5.41421,5,1,0,backward
lt_0_lowtown_docks,3,906.2,6.65685,6.65685,5,1,0,backward
lt_0_lowtown_docks,4,1007.6,5.41421,5.41421,5,2,0,backward
lt_0_lowtown_docks,5,1005.4,7.65685,7.65685,6,1,0,backward
lt_0_lowtown_docks,6,827.8,6.65685,6.65685,5,1,0,backward
lt_0_lowtown_docks,7,724.2,5.24264,5.24264,4,1,0,backward
lt_0_lowtown_docks,8,789,5.82843,5.82843,5,1,0,backward
lt_0_lowtown_docks,9,629,5.41421,5.41421,5,1,0,backward
lt_0_lowtown_docks,10,1138.2,10.8284,10.8284,10,1,0,backward
lt_0_lowtown_docks,11,1459,11.6569,11.6569,10,2,0,backward
lt_0_lowtown_docks,12,1005.6,10.4853,10.4853,8,1,0,backward
lt_0_lowtown_docks,13,1168.8,10.4853,10.4853,8,2,0,backward
lt_0_lowtown_docks,14,1224.6,10.4853,10.4853,8,2,0,backward
lt_0_lowtown_docks,15,1156.4,11.8284,11.8284,11,1,0,backward
lt_0_lowtown_docks,16,1194.6,11.2426,11.2426,10,1,0,backward
lt_0_lowtown_docks,17,1092.6,10.2426,10.2426,9,1,0,backward
lt_0_lowtown_docks,18,1268,10.4853,10.4853,8,2,0,backward
lt_0_lowtown_docks,19,1164.2,10.8284,10.8284,10,4,0,backward
lt_0_lowtown_docks,20,1118.2,13.4142,13.4142,13,1,0,backward
lt_0_lowtown_docks,21,1271.6,15.1421,15.1421,11,2,0,backward
lt_0_lowtown_docks,22,1292,13.7279,13.7279,10,1,0,backward
lt_0_lowtown_docks,23,1536,15.1421,15.1421,11,2,0,backward
lt_0_lowtown_docks,24,1281.8,13.3137,13.3137,10,2,0,backward
lt_0_lowtown_docks,25,1626.2,14.4853,14.4853,12,5,0,backward
lt_0_lowtown_docks,26,1498.6,14.8284,14.8284,14,2,0,backward
lt_0_lowtown_docks,27,1484.8,15.2426,15.2426,14,3,0,backward
lt_0_lowtown_docks,28,1229.4,12,12,12,1,0,backward
lt_0_lowtown_docks,29,1522.4,12.0711,12.0711,10,3,0,backward
lt_0_lowtown_docks,30,1716.2,19.4853,19.4853,17,4,0,backward
lt_0_lowtown_docks,31,1799.2,17.4142,17.4142,17,6,0,backward
lt_0_lowtown_docks,32,1758.2,19.9706,19.9706,15,3,0,backward
lt_0_lowtown_docks,33,1618.8,19.5563,19.5563,15,1,0,backward
lt_0_lowtown_docks,34,1504.8,19.6569,19.6569,18,1,0,backward
lt_0_lowtown_docks,35,1630.4,18.4142,18.4142,18,1,0,backward
