map,scenid,tcost,distance,expect,steps,access,r,itype
lt_0_lowtown_docks_a3,0,915.4,14.3137,5.65685,11,4,16,backward
lt_0_lowtown_docks_a3,1,549,8,6.41421,8,3,16,backward
lt_0_lowtown_docks_a3,2,827.4,21.3137,6.24264,18,5,16,backward
lt_0_lowtown_docks_a3,3,742.6,17.2426,7.41421,16,4,16,backward
lt_0_lowtown_docks_a3,4,914.8,25.3848,5.41421,20,8,16,backward
lt_0_lowtown_docks_a3,5,893.8,21.6569,5.41421,20,3,16,backward
lt_0_lowtown_docks_a3,6,392.4,9.48528,6.41421,7,2,16,backward
lt_0_lowtown_docks_a3,7,921.8,20.4853,6.41421,18,2,16,backward
lt_0_lowtown_docks_a3,8,634,16.0711,4.82843,14,2,16,backward
lt_0_lowtown_docks_a3,9,257.2,7.41421,7.41421,7,2,16,backward
lt_0_lowtown_docks_a3,10,1133.2,38.4558,11.8284,31,3,16,backward
lt_0_lowtown_docks_a3,11,657.8,14.7279,8.07107,11,2,16,backward
lt_0_lowtown_docks_a3,12,722.4,27.0711,8.07107,25,2,16,backward
lt_0_lowtown_docks_a3,13,728.2,27.8995,8.24264,25,2,16,backward
lt_0_lowtown_docks_a3,14,678.8,15.6569,10.4853,14,4,16,backward
lt_0_lowtown_docks_a3,15,779.6,31.3137,10.4853,28,3,16,backward
lt_0_lowtown_docks_a3,16,886,33.3848,11.6569,28,5,16,backward
lt_0_lowtown_docks_a3,17,842.8,25.0416,8.07107,18,6,16,backward
lt_0_lowtown_docks_a3,18,525.2,19.0711,10.2426,17,4,16,backward
lt_0_lowtown_docks_a3,19,543.2,21.1421,10.8995,17,2,16,backward
lt_0_lowtown_docks_a3,20,1099.6,38.4853,12.4853,36,5,16,backward
lt_0_lowtown_docks_a3,21,554,14.3137,13.7279,11,4,16,backward
lt_0_lowtown_docks_a3,22,590.6,15.6569,15.6569,14,3,16,backward
lt_0_lowtown_docks_a3,23,693.8,28.5563,13.8995,24,2,16,backward
lt_0_lowtown_docks_a3,24,934,25.7279,15.4853,22,5,16,backward
lt_0_lowtown_docks_a3,25,636,12.4142,12.4142,12,3,16,backward
lt_0_lowtown_docks_a3,26,984.4,35.9706,15.2426,31,7,16,backward
lt_0_lowtown_docks_a3,27,427,15.7279,15.1421,12,2,16,backward
lt_0_lowtown_docks_a3,28,1236.6,35.8995,14.2426,33,5,16,backward
lt_0_lowtown_docks_a3,29,583,24.3137,12.4142,21,2,16,backward
lt_0_lowtown_docks_a3,30,699.4,20.4853,16,18,3,16,backward
lt_0_lowtown_docks_a3,31,608.2,20.4142,19.8284,20,2,16,backward
lt_0_lowtown_docks_a3,32,1129.4,45.3137,17.6569,42,3,16,backward
lt_0_lowtown_docks_a3,33,815.2,27.6569,19.8995,26,6,16,backward
lt_0_lowtown_docks_a3,34,752.4,27.6274,18.0711,21,3,16,backward
lt_0_lowtown_docks_a3,35,856.8,28.4853,18.8284,26,7,16,backward
lt_0_lowtown_docks_a3,36,922.4,41.6274,19,35,6,16,backward
lt_0_lowtown_docks_a3,37,944.4,27.0416,16.5563,20,6,16,backward
lt_0_lowtown_docks_a3,38,759.6,24.1421,17.4853,20,3,16,backward
lt_0_lowtown_docks_a3,39,868.4,23.6274,16,17,2,16,backward
lt_0_lowtown_docks_a3,40,636.6,26.0711,21.8284,24,5,16,backward
lt_0_lowtown_docks_a3,41,1170.6,39.4558,22.4853,32,8,16,backward
lt_0_lowtown_docks_a3,42,836.8,24.3137,23.7279,21,9,16,backward
lt_0_lowtown_docks_a3,43,627,22.9706,20.1421,18,3,16,backward
lt_0_lowtown_docks_a3,44,974.8,33.5563,20.2426,29,6,16,backward
lt_0_lowtown_docks_a3,45,1087.6,47.5563,23.5563,43,2,16,backward
lt_0_lowtown_docks_a3,46,1117.2,40.799,20.799,35,5,16,backward
lt_0_lowtown_docks_a3,47,1033.2,30.6569,21.8284,29,4,16,backward
lt_0_lowtown_docks_a3,48,745.2,21.6569,21.6569,20,2,16,backward
lt_0_lowtown_docks_a3,49,956.8,30.2132,23.1421,24,5,16,backward
lt_0_lowtown_docks_a3,50,1297.4,54.1838,27.3137,43,5,16,backward
lt_0_lowtown_docks_a3,51,919.2,38.3848,26.8701,33,3,16,backward
lt_0_lowtown_docks_a3,52,789.8,39.799,26.0711,34,8,16,backward
lt_0_lowtown_docks_a3,53,1074.8,41.2132,27.4558,35,7,16,backward
lt_0_lowtown_docks_a3,54,1366.4,36.3848,24.8995,31,8,16,backward
lt_0_lowtown_docks_a3,55,1067,39.6985,25.6569,31,6,16,backward
lt_0_lowtown_docks_a3,56,1240.8,39.2426,27,38,14,16,backward
lt_0_lowtown_docks_a3,57,1018.8,27.6569,27.6569,26,11,16,backward
lt_0_lowtown_docks_a3,58,825.2,31.8995,25.0711,29,5,16,backward
lt_0_lowtown_docks_a3,59,743.2,32.6569,27.9706,31,2,16,backward
lt_0_lowtown_docks_a3,60,786.8,34.3137,31.7279,31,4,16,backward
lt_0_lowtown_docks_a3,61,1289.4,45.3848,29.6274,40,10,16,backward
lt_0_lowtown_docks_a3,62,648.2,28.7279,28.7279,25,5,16,backward
lt_0_lowtown_docks_a3,63,1030,34.9706,31.799,30,7,16,backward
lt_0_lowtown_docks_a3,64,831.2,29.3848,29.3848,24,6,16,backward
lt_0_lowtown_docks_a3,65,830.8,28.4853,28.4853,26,5,16,backward
lt_0_lowtown_docks_a3,66,1320.6,47.5563,30.2426,43,8,16,backward
lt_0_lowtown_docks_a3,67,1279,48.1421,29.8995,44,9,16,backward
lt_0_lowtown_docks_a3,68,907.6,31.7279,31.7279,28,4,16,backward
lt_0_lowtown_docks_a3,69,1066.4,49.4558,28.2426,42,5,16,backward
lt_0_lowtown_docks_a3,70,991.2,37.4853,34.4142,35,2,16,backward
lt_0_lowtown_docks_a3,71,1286.8,57.0416,32,50,18,16,backward
lt_0_lowtown_docks_a3,72,1219,44.799,35.0416,39,9,16,backward
lt_0_lowtown_docks_a3,73,1242.8,42.0711,33.0711,40,6,16,backward
lt_0_lowtown_docks_a3,74,1002,35.8995,35.0711,33,2,16,backward
lt_0_lowtown_docks_a3,75,1019.4,40.799,35.8284,35,8,16,backward
lt_0_lowtown_docks_a3,76,1130.6,33,33,33,10,16,backward
lt_0_lowtown_docks_a3,77,907,40.4558,33.6274,33,8,16,backward
lt_0_lowtown_docks_a3,78,509.6,32.4853,32.4853,30,2,16,backward
lt_0_lowtown_docks_a3,79,1202.2,53.799,35.8284,48,16,16,backward
lt_0_lowtown_docks_a3,80,1208.2,47.1421,38.0711,43,8,16,backward
lt_0_lowtown_docks_a3,81,996,41.4558,39.6985,34,6,16,backward
lt_0_lowtown_docks_a3,82,1313.2,62.8701,37.9706,55,16,16,backward
lt_0_lowtown_docks_a3,83,1013,36.5563,36.5563,32,9,16,backward
lt_0_lowtown_docks_a3,84,778.2,39.1421,36.799,35,6,16,backward
lt_0_lowtown_docks_a3,85,1264,49.6985,37.3848,41,9,16,backward
lt_0_lowtown_docks_a3,86,1321.8,57.799,36.799,52,8,16,backward
lt_0_lowtown_docks_a3,87,1154.4,48.7696,37.7696,38,9,16,backward
lt_0_lowtown_docks_a3,88,1043.2,52.0416,39.6985,45,3,16,backward
