map,scenid,tcost,distance,expect,steps,access,r,itype
lt_0_lowtown_docks_a3,0,559.6,5.65685,5.65685,4,1,0,backward
lt_0_lowtown_docks_a3,1,375.6,6.41421,6.41421,6,1,0,backward
lt_0_lowtown_docks_a3,2,426,6.24264,6.24264,5,1,0,backward
lt_0_lowtown_docks_a3,3,320.2,7.41421,7.41421,7,1,0,backward
lt_0_lowtown_docks_a3,4,308.2,5.41421,5.41421,5,1,0,backward
lt_0_lowtown_docks_a3,5,256,5.41421,5.41421,5,1,0,backward
lt_0_lowtown_docks_a3,6,325.4,6.41421,6.41421,6,1,0,backward
lt_0_lowtown_docks_a3,7,395.4,6.41421,6.41421,6,1,0,backward
lt_0_lowtown_docks_a3,8,257.6,4.82843,4.82843,4,1,0,backward
lt_0_lowtown_docks_a3,9,371.4,7.41421,7.41421,7,1,0,backward
lt_0_lowtown_docks_a3,10,480,11.8284,11.8284,11,1,0,backward
lt_0_lowtown_docks_a3,11,309.8,8.07107,8.07107,6,1,0,backward
lt_0_lowtown_docks_a3,12,376,8.07107,8.07107,6,1,0,backward
lt_0_lowtown_docks_a3,13,445.4,8.24264,8.24264,7,2,0,backward
lt_0_lowtown_docks_a3,14,475.8,10.4853,10.4853,8,2,0,backward
lt_0_lowtown_docks_a3,15,413.8,10.4853,10.4853,8,1,0,backward
lt_0_lowtown_docks_a3,16,419.6,11.6569,11.6569,10,2,0,backward
lt_0_lowtown_docks_a3,17,330.8,8.07107,8.07107,6,1,0,backward
lt_0_lowtown_docks_a3,18,525.6,10.2426,10.2426,9,6,0,backward
lt_0_lowtown_docks_a3,19,366,10.8995,10.8995,8,2,0,backward
lt_0_lowtown_docks_a3,20,662.4,12.4853,12.4853,10,5,0,backward
lt_0_lowtown_docks_a3,21,611.4,13.7279,13.7279,10,3,0,backward
lt_0_lowtown_docks_a3,22,587.4,15.6569,15.6569,14,2,0,backward
lt_0_lowtown_docks_a3,23,612,13.8995,13.8995,11,3,0,backward
lt_0_lowtown_docks_a3,24,499.4,15.4853,15.4853,13,2,0,backward
lt_0_lowtown_docks_a3,25,622.4,12.4142,12.4142,12,5,0,backward
lt_0_lowtown_docks_a3,26,456.2,15.2426,15.2426,14,2,0,backward
lt_0_lowtown_docks_a3,27,434.4,15.1421,15.1421,11,1,0,backward
lt_0_lowtown_docks_a3,28,609.6,14.2426,14.2426,13,2,0,backward
lt_0_lowtown_docks_a3,29,421.8,12.4142,12.4142,12,1,0,backward
lt_0_lowtown_docks_a3,30,280.4,16,16,16,1,0,backward
lt_0_lowtown_docks_a3,31,703.2,19.8284,19.8284,19,4,0,backward
lt_0_lowtown_docks_a3,32,565.6,17.6569,17.6569,16,2,0,backward
lt_0_lowtown_docks_a3,33,697.2,19.8995,19.8995,17,7,0,backward
lt_0_lowtown_docks_a3,34,691.2,18.0711,18.0711,16,5,0,backward
lt_0_lowtown_docks_a3,35,653.6,18.8284,18.8284,18,5,0,backward
