map,scenid,tcost,distance,expect,steps,access,r,itype
lt_0_lowtown_docks_a3_n,0,348.2,4.24264,4.24264,3,0,2,forward
lt_0_lowtown_docks_a3_n,1,205,5.41421,4.41421,5,0,2,forward
lt_0_lowtown_docks_a3_n,2,211.4,8.07107,6.65685,6,0,2,forward
lt_0_lowtown_docks_a3_n,3,218.6,6.24264,6.24264,5,0,2,forward
lt_0_lowtown_docks_a3_n,4,219.8,9.65685,6.82843,8,0,2,forward
lt_0_lowtown_docks_a3_n,5,166,4.82843,4.82843,4,0,2,forward
lt_0_lowtown_docks_a3_n,6,200.4,8.82843,6,8,0,2,forward
lt_0_lowtown_docks_a3_n,7,153.6,5.41421,5.41421,5,0,2,forward
lt_0_lowtown_docks_a3_n,8,199.4,8.41421,7.82843,8,0,2,forward
lt_0_lowtown_docks_a3_n,9,120.8,9.65685,7.65685,8,0,2,forward
lt_0_lowtown_docks_a3_n,10,277.2,11.6569,11.6569,10,0,2,forward
lt_0_lowtown_docks_a3_n,11,290,11,10.4142,11,0,2,forward
lt_0_lowtown_docks_a3_n,12,419,12.0711,11.4853,10,1,2,forward
lt_0_lowtown_docks_a3_n,13,362.2,11.2426,9.24264,10,2,2,forward
lt_0_lowtown_docks_a3_n,14,313,11.4853,11.4853,9,0,2,forward
lt_0_lowtown_docks_a3_n,15,321.6,11.0711,9.07107,9,2,2,forward
lt_0_lowtown_docks_a3_n,16,230.4,9.65685,9.07107,8,0,2,forward
lt_0_lowtown_docks_a3_n,17,269.6,8.48528,8.48528,6,1,2,forward
lt_0_lowtown_docks_a3_n,18,492.4,11.2426,11.2426,10,5,2,forward
lt_0_lowtown_docks_a3_n,19,327.8,11.2426,10.2426,10,0,2,forward
lt_0_lowtown_docks_a3_n,20,471.2,15.6569,15.6569,14,3,2,forward
lt_0_lowtown_docks_a3_n,21,394,13.7279,12.3137,10,3,2,forward
lt_0_lowtown_docks_a3_n,22,261,13.8995,13.8995,11,0,2,forward
lt_0_lowtown_docks_a3_n,23,511.8,15.3137,15.3137,12,3,2,forward
lt_0_lowtown_docks_a3_n,24,292.4,14.2426,12.2426,13,1,2,forward
lt_0_lowtown_docks_a3_n,25,298.8,15.4853,13.4853,13,0,2,forward
lt_0_lowtown_docks_a3_n,26,299.6,13.0711,13.0711,11,0,2,forward
lt_0_lowtown_docks_a3_n,27,294.2,14.8995,13.8995,12,0,2,forward
lt_0_lowtown_docks_a3_n,28,716.4,15.2426,15.2426,14,9,2,forward
lt_0_lowtown_docks_a3_n,29,241.8,13.3137,13.3137,10,0,2,forward
lt_0_lowtown_docks_a3_n,30,540,19.9706,19.3848,15,3,2,forward
lt_0_lowtown_docks_a3_n,31,689.4,19.8284,19.8284,19,11,2,forward
lt_0_lowtown_docks_a3_n,32,322.4,19.7279,18.3137,16,0,2,forward
lt_0_lowtown_docks_a3_n,33,443,18.2426,18.2426,17,1,2,forward
lt_0_lowtown_docks_a3_n,34,423.2,18.8284,17.8284,18,0,2,forward
lt_0_lowtown_docks_a3_n,35,275.2,17.6569,17.0711,16,0,2,forward
lt_0_lowtown_docks_a3_n,36,463.4,19.2426,19.2426,18,2,2,forward
lt_0_lowtown_docks_a3_n,37,562.8,16.8284,16.8284,16,11,2,forward
lt_0_lowtown_docks_a3_n,38,647.2,17.4853,17.4853,15,7,2,forward
lt_0_lowtown_docks_a3_n,39,307.2,19.8995,19.8995,17,0,2,forward
lt_0_lowtown_docks_a3_n,40,792.8,22.2426,21.2426,21,17,2,forward
lt_0_lowtown_docks_a3_n,41,802.2,24.9706,23.5563,20,11,2,forward
