map,scenid,tcost,distance,expect,steps,access,r,itype
lt_0_lowtown_docks_n,0,746.4,14.3137,6.24264,11,2,16,backward
lt_0_lowtown_docks_n,1,1001.6,25.3137,6.65685,22,2,16,backward
lt_0_lowtown_docks_n,2,780,15.8284,7.82843,15,4,16,backward
lt_0_lowtown_docks_n,3,656.6,15.4853,5.82843,13,6,16,backward
lt_0_lowtown_docks_n,4,887.2,26.9706,7.65685,22,3,16,backward
lt_0_lowtown_docks_n,5,540.6,10.2426,7.82843,9,2,16,backward
lt_0_lowtown_docks_n,6,553.6,12.4853,6.65685,10,2,16,backward
lt_0_lowtown_docks_n,7,651.2,12.2426,5.41421,11,6,16,backward
lt_0_lowtown_docks_n,8,950.6,28.8995,7,26,4,16,backward
lt_0_lowtown_docks_n,9,859,26.8284,7.41421,26,4,16,backward
lt_0_lowtown_docks_n,10,683.8,15.8284,10.8995,15,3,16,backward
lt_0_lowtown_docks_n,11,1339,31.4853,10.4853,29,13,16,backward
lt_0_lowtown_docks_n,12,923.8,22.8995,8.07107,20,3,16,backward
lt_0_lowtown_docks_n,13,1102.4,24,9,24,4,16,backward
lt_0_lowtown_docks_n,14,600.2,14.6569,8.07107,13,6,16,backward
lt_0_lowtown_docks_n,15,649.2,13.4853,8.41421,11,2,16,backward
lt_0_lowtown_docks_n,16,520.8,14.3137,10.4142,11,2,16,backward
lt_0_lowtown_docks_n,17,655.4,10,8.24264,10,6,16,backward
lt_0_lowtown_docks_n,18,465.4,17.5563,11.4142,13,2,16,backward
lt_0_lowtown_docks_n,19,468.6,15.2426,8.07107,14,2,16,backward
lt_0_lowtown_docks_n,20,1291.6,28.3137,12.4142,25,17,16,backward
lt_0_lowtown_docks_n,21,722.4,16.9706,14.4853,12,3,16,backward
lt_0_lowtown_docks_n,22,811.8,20.2426,14.1421,19,5,16,backward
lt_0_lowtown_docks_n,23,1278.2,34.6274,13.4142,28,7,16,backward
lt_0_lowtown_docks_n,24,808,20.4142,14.7279,20,4,16,backward
lt_0_lowtown_docks_n,25,888.2,31.3137,15.8995,28,3,16,backward
lt_0_lowtown_docks_n,26,941.6,29.5563,14.3137,25,6,16,backward
lt_0_lowtown_docks_n,27,666.6,21.2426,13.4853,20,3,16,backward
lt_0_lowtown_docks_n,28,515.8,13.7279,13.7279,10,3,16,backward
lt_0_lowtown_docks_n,29,812.4,22.1421,15.1421,18,8,16,backward
lt_0_lowtown_docks_n,30,458.8,19.8995,18.4853,17,3,16,backward
lt_0_lowtown_docks_n,31,797.2,33.8995,18.4142,31,5,16,backward
lt_0_lowtown_docks_n,32,653.6,20.0711,18.4142,18,4,16,backward
lt_0_lowtown_docks_n,33,477.8,17.1421,16.3137,13,3,16,backward
lt_0_lowtown_docks_n,34,1131.4,47.8995,19.4853,45,4,16,backward
lt_0_lowtown_docks_n,35,707.2,29.7279,19.7279,26,4,16,backward
lt_0_lowtown_docks_n,36,666.6,17.2426,16.0711,16,2,16,backward
lt_0_lowtown_docks_n,37,861.2,24.8995,16.8995,22,6,16,backward
lt_0_lowtown_docks_n,38,1034.2,34.7279,18.8284,31,4,16,backward
lt_0_lowtown_docks_n,39,1300.8,26.7279,16.3137,23,21,16,backward
lt_0_lowtown_docks_n,40,730.8,22.9706,20.4853,18,4,16,backward
lt_0_lowtown_docks_n,41,570.8,21.7279,20.5563,18,2,16,backward
lt_0_lowtown_docks_n,42,1039.8,40.1421,22.3137,36,5,16,backward
lt_0_lowtown_docks_n,43,1370.8,37.2132,23.1421,31,5,16,backward
lt_0_lowtown_docks_n,44,625.8,29.2132,23.0711,23,2,16,backward
lt_0_lowtown_docks_n,45,799,29.9706,20.1421,25,5,16,backward
lt_0_lowtown_docks_n,46,560.8,23.3137,23.3137,20,3,16,backward
lt_0_lowtown_docks_n,47,675,25.9706,21.8284,21,4,16,backward
lt_0_lowtown_docks_n,48,636,23.1421,20.8995,19,3,16,backward
lt_0_lowtown_docks_n,49,885.4,24.6274,23.799,18,5,16,backward
lt_0_lowtown_docks_n,50,842,33.1421,25.2426,29,2,16,backward
lt_0_lowtown_docks_n,51,856.6,27.1421,27.1421,23,5,16,backward
lt_0_lowtown_docks_n,52,843,31.3137,25.4558,28,2,16,backward
lt_0_lowtown_docks_n,53,812.8,24.2426,24.2426,23,6,16,backward
lt_0_lowtown_docks_n,54,812.8,29.7279,25.6274,26,4,16,backward
lt_0_lowtown_docks_n,55,976.6,33.2426,26.0711,32,3,16,backward
lt_0_lowtown_docks_n,56,1243.4,49.5269,26.8995,40,4,16,backward
lt_0_lowtown_docks_n,57,961.2,26.7279,24.9706,23,6,16,backward
lt_0_lowtown_docks_n,58,1146.2,41.0416,27.4853,34,10,16,backward
lt_0_lowtown_docks_n,59,1017.2,31.6985,27.2132,23,3,16,backward
lt_0_lowtown_docks_n,60,1128.4,45.7279,30.0711,42,10,16,backward
lt_0_lowtown_docks_n,61,987,40.6274,30.6274,34,3,16,backward
lt_0_lowtown_docks_n,62,881,33.8995,28.2426,31,3,16,backward
lt_0_lowtown_docks_n,63,862.8,29.9706,29.9706,25,2,16,backward
lt_0_lowtown_docks_n,64,1039.2,46.3848,30.8284,41,4,16,backward
