map,scenid,tcost,distance,expect,steps,access,r,itype
lt_0_lowtown_docks_n,0,307.4,6.24264,6.24264,5,0,2,forward
lt_0_lowtown_docks_n,1,234.6,6.65685,6.65685,5,0,2,forward
lt_0_lowtown_docks_n,2,287.4,8.82843,7.82843,8,0,2,forward
lt_0_lowtown_docks_n,3,183.4,5.82843,5.82843,5,0,2,forward
lt_0_lowtown_docks_n,4,263.8,8.48528,7.65685,6,0,2,forward
lt_0_lowtown_docks_n,5,348.8,7.82843,7.82843,7,1,2,forward
lt_0_lowtown_docks_n,6,271.4,9.48528,6.65685,7,0,2,forward
lt_0_lowtown_docks_n,7,149,5.41421,5.41421,5,0,2,forward
lt_0_lowtown_docks_n,8,234.2,9.82843,7,9,0,2,forward
lt_0_lowtown_docks_n,9,196.6,10.2426,7.41421,9,0,2,forward
lt_0_lowtown_docks_n,10,375.2,10.8995,10.8995,8,1,2,forward
lt_0_lowtown_docks_n,11,392.4,11.4853,10.4853,9,2,2,forward
lt_0_lowtown_docks_n,12,329.8,9.07107,8.07107,7,0,2,forward
lt_0_lowtown_docks_n,13,280,11.8284,9,11,0,2,forward
lt_0_lowtown_docks_n,14,180.2,9.48528,8.07107,7,0,2,forward
lt_0_lowtown_docks_n,15,221.6,9.24264,8.41421,8,0,2,forward
lt_0_lowtown_docks_n,16,289.8,10.4142,10.4142,10,0,2,forward
lt_0_lowtown_docks_n,17,274.6,8.24264,8.24264,7,1,2,forward
lt_0_lowtown_docks_n,18,563.2,11.4142,11.4142,11,5,2,forward
lt_0_lowtown_docks_n,19,235.8,8.07107,8.07107,6,0,2,forward
lt_0_lowtown_docks_n,20,290.4,13,12.4142,13,0,2,forward
lt_0_lowtown_docks_n,21,385.4,15.3137,14.4853,12,0,2,forward
lt_0_lowtown_docks_n,22,590.2,15.1421,14.1421,11,4,2,forward
lt_0_lowtown_docks_n,23,472.2,13.4142,13.4142,13,10,2,forward
lt_0_lowtown_docks_n,24,422,14.7279,14.7279,11,1,2,forward
lt_0_lowtown_docks_n,25,435.6,16.4853,15.8995,14,0,2,forward
lt_0_lowtown_docks_n,26,372.8,15.3137,14.3137,12,0,2,forward
lt_0_lowtown_docks_n,27,496.2,13.4853,13.4853,11,1,2,forward
lt_0_lowtown_docks_n,28,557,15.3137,13.7279,12,4,2,forward
lt_0_lowtown_docks_n,29,315.4,16.1421,15.1421,12,0,2,forward
