map,scenid,tcost,distance,expect,steps,access,r,itype
lt_0_lowtown_docks_n,0,1163.6,6.24264,6.24264,5,1,0,backward
lt_0_lowtown_docks_n,1,1062,6.65685,6.65685,5,1,0,backward
lt_0_lowtown_docks_n,2,871,7.82843,7.82843,7,1,0,backward
lt_0_lowtown_docks_n,3,805.8,5.82843,5.82843,5,1,0,backward
lt_0_lowtown_docks_n,4,1144,7.65685,7.65685,6,2,0,backward
lt_0_lowtown_docks_n,5,845,7.82843,7.82843,7,1,0,backward
lt_0_lowtown_docks_n,6,753,6.65685,6.65685,5,1,0,backward
lt_0_lowtown_docks_n,7,611.4,5.41421,5.41421,5,1,0,backward
lt_0_lowtown_docks_n,8,972.2,7,7,7,2,0,backward
lt_0_lowtown_docks_n,9,802.6,7.41421,7.41421,7,1,0,backward
lt_0_lowtown_docks_n,10,1066,10.8995,10.8995,8,2,0,backward
lt_0_lowtown_docks_n,11,1412,10.4853,10.4853,8,5,0,backward
lt_0_lowtown_docks_n,12,1162,8.07107,8.07107,6,2,0,backward
lt_0_lowtown_docks_n,13,901.6,9,9,9,1,0,backward
lt_0_lowtown_docks_n,14,813.6,8.07107,8.07107,6,1,0,backward
lt_0_lowtown_docks_n,15,914.4,8.41421,8.41421,8,1,0,backward
lt_0_lowtown_docks_n,16,927.4,10.4142,10.4142,10,1,0,backward
lt_0_lowtown_docks_n,17,891.8,8.24264,8.24264,7,1,0,backward
lt_0_lowtown_docks_n,18,1144.6,11.4142,11.4142,11,2,0,backward
lt_0_lowtown_docks_n,19,838.6,8.07107,8.07107,6,1,0,backward
lt_0_lowtown_docks_n,20,1181.8,12.4142,12.4142,12,4,0,backward
lt_0_lowtown_docks_n,21,1216,14.4853,14.4853,12,1,0,backward
lt_0_lowtown_docks_n,22,1438.4,14.1421,14.1421,10,3,0,backward
lt_0_lowtown_docks_n,23,738.6,13.4142,13.4142,13,1,0,backward
lt_0_lowtown_docks_n,24,1093,14.7279,14.7279,11,2,0,backward
