map,scenid,tcost,distance,expect,steps,access,r,itype
lt_0_lowtown_docks_n,0,299.2,6.24264,6.24264,5,0,0,forward
lt_0_lowtown_docks_n,1,236.8,6.65685,6.65685,5,0,0,forward
lt_0_lowtown_docks_n,2,204,7.82843,7.82843,7,0,0,forward
lt_0_lowtown_docks_n,3,185.2,5.82843,5.82843,5,0,0,forward
lt_0_lowtown_docks_n,4,229.2,7.65685,7.65685,6,0,0,forward
lt_0_lowtown_docks_n,5,383,7.82843,7.82843,7,1,0,forward
lt_0_lowtown_docks_n,6,178.4,6.65685,6.65685,5,0,0,forward
lt_0_lowtown_docks_n,7,199.2,5.41421,5.41421,5,0,0,forward
lt_0_lowtown_docks_n,8,214.2,7,7,7,0,0,forward
lt_0_lowtown_docks_n,9,185.8,7.41421,7.41421,7,0,0,forward
lt_0_lowtown_docks_n,10,374.6,10.8995,10.8995,8,1,0,forward
lt_0_lowtown_docks_n,11,345.2,10.4853,10.4853,8,1,0,forward
lt_0_lowtown_docks_n,12,303.2,8.07107,8.07107,6,0,0,forward
lt_0_lowtown_docks_n,13,259.4,9,9,9,0,0,forward
lt_0_lowtown_docks_n,14,181.2,8.07107,8.07107,6,0,0,forward
lt_0_lowtown_docks_n,15,327.2,8.41421,8.41421,8,0,0,forward
lt_0_lowtown_docks_n,16,312,10.4142,10.4142,10,0,0,forward
lt_0_lowtown_docks_n,17,271.6,8.24264,8.24264,7,1,0,forward
lt_0_lowtown_docks_n,18,578,11.4142,11.4142,11,6,0,forward
lt_0_lowtown_docks_n,19,192.6,8.07107,8.07107,6,0,0,forward
lt_0_lowtown_docks_n,20,312,12.4142,12.4142,12,0,0,forward
lt_0_lowtown_docks_n,21,376.8,14.4853,14.4853,12,0,0,forward
lt_0_lowtown_docks_n,22,519,14.1421,14.1421,10,3,0,forward
lt_0_lowtown_docks_n,23,426.2,13.4142,13.4142,13,10,0,forward
lt_0_lowtown_docks_n,24,608,14.7279,14.7279,11,3,0,forward
lt_0_lowtown_docks_n,25,379.2,15.8995,15.8995,13,0,0,forward
lt_0_lowtown_docks_n,26,300.2,14.3137,14.3137,11,0,0,forward
lt_0_lowtown_docks_n,27,463,13.4853,13.4853,11,1,0,forward
lt_0_lowtown_docks_n,28,384.2,13.7279,13.7279,10,2,0,forward
lt_0_lowtown_docks_n,29,254,15.1421,15.1421,11,0,0,forward
lt_0_lowtown_docks_n,30,443.2,18.4853,18.4853,16,2,0,forward
lt_0_lowtown_docks_n,31,260.6,18.4142,18.4142,18,0,0,forward
lt_0_lowtown_docks_n,32,572.6,18.4142,18.4142,18,13,0,forward
lt_0_lowtown_docks_n,33,246.2,16.3137,16.3137,13,0,0,forward
lt_0_lowtown_docks_n,34,361,19.4853,19.4853,17,0,0,forward
lt_0_lowtown_docks_n,35,806.4,19.7279,19.7279,16,12,0,forward
lt_0_lowtown_docks_n,36,458,16.0711,16.0711,14,4,0,forward
lt_0_lowtown_docks_n,37,278.8,16.8995,16.8995,14,0,0,forward
lt_0_lowtown_docks_n,38,673.4,18.8284,18.8284,18,7,0,forward
lt_0_lowtown_docks_n,39,338.8,16.3137,16.3137,13,2,0,forward
