map,scenid,tcost,distance,expect,steps,access,r,itype
lt_0_lowtown_n,0,1242.4,13.2426,4.41421,12,7,32,backward
lt_0_lowtown_n,1,739.2,8.82843,4.24264,8,5,32,backward
lt_0_lowtown_n,2,1310.6,25.0711,6.65685,23,9,32,backward
lt_0_lowtown_n,3,1159.2,29.7279,7.65685,26,4,32,backward
lt_0_lowtown_n,4,1131.4,22.6569,6.65685,21,9,32,backward
lt_0_lowtown_n,5,1208,24.8995,5.41421,22,5,32,backward
lt_0_lowtown_n,6,1294.2,25.4853,4.41421,23,10,32,backward
lt_0_lowtown_n,7,992.2,30.6569,4,29,6,32,backward
lt_0_lowtown_n,8,541.8,9.65685,4.82843,8,4,32,backward
lt_0_lowtown_n,9,1136,42.598,7.24264,31,6,32,backward
lt_0_lowtown_n,10,1306.4,36.3137,8.24264,33,3,32,backward
lt_0_lowtown_n,11,1854.6,40.5269,10.8995,31,16,32,backward
lt_0_lowtown_n,12,898.4,24.3137,9.48528,21,2,32,backward
lt_0_lowtown_n,13,839,15.8284,8,15,2,32,backward
lt_0_lowtown_n,14,586.8,23.8995,9.89949,21,2,32,backward
lt_0_lowtown_n,15,1272.6,33.7279,10.8995,30,8,32,backward
lt_0_lowtown_n,16,839.4,19.3137,10.8284,16,4,32,backward
lt_0_lowtown_n,17,1422.4,31.5563,9.82843,27,9,32,backward
lt_0_lowtown_n,18,830.2,29.1421,9.48528,25,4,32,backward
lt_0_lowtown_n,19,1574.2,34.3848,10.2426,29,7,32,backward
lt_0_lowtown_n,20,1484,37.2843,13.4853,29,10,32,backward
lt_0_lowtown_n,21,1163.4,52.7696,13.0711,42,7,32,backward
lt_0_lowtown_n,22,1800.4,49.5563,13.8284,45,19,32,backward
lt_0_lowtown_n,23,1002.6,22.6569,12,21,7,32,backward
lt_0_lowtown_n,24,997,36.5563,13.4853,32,7,32,backward
lt_0_lowtown_n,25,982.6,25.4853,12.4853,23,6,32,backward
lt_0_lowtown_n,26,539.4,17.1421,15.7279,13,3,32,backward
lt_0_lowtown_n,27,1110.4,27.4142,14.4142,27,6,32,backward
lt_0_lowtown_n,28,1254.8,41.9706,12.8284,37,15,32,backward
lt_0_lowtown_n,29,784.8,37.5269,12.8995,28,5,32,backward
lt_0_lowtown_n,30,1289.6,32.7279,18.8284,29,7,32,backward
lt_0_lowtown_n,31,1406.8,47.799,18.4142,42,19,32,backward
lt_0_lowtown_n,32,1007.4,37.2132,16.6569,31,8,32,backward
lt_0_lowtown_n,33,1811.2,57.4264,17.2426,45,9,32,backward
lt_0_lowtown_n,34,1448.8,36.6569,19.6569,35,15,32,backward
lt_0_lowtown_n,35,675.4,37.6985,19.3137,29,3,32,backward
lt_0_lowtown_n,36,803.6,33.799,18.8284,28,7,32,backward
lt_0_lowtown_n,37,1027.6,24.3848,19.4142,19,7,32,backward
lt_0_lowtown_n,38,1382,31.8995,16.8284,29,4,32,backward
lt_0_lowtown_n,39,838.6,19.2426,19.2426,18,5,32,backward
lt_0_lowtown_n,40,1270.4,37.3137,20.2426,34,15,32,backward
lt_0_lowtown_n,41,890.8,23.8995,22.7279,21,6,32,backward
lt_0_lowtown_n,42,1389,39.1421,20.3137,35,10,32,backward
lt_0_lowtown_n,43,999.4,22.4853,21.4853,20,4,32,backward
lt_0_lowtown_n,44,1059.6,51.6274,23.4853,45,6,32,backward
lt_0_lowtown_n,45,1157.4,30.5563,23.4853,26,7,32,backward
lt_0_lowtown_n,46,707.8,24.8284,23.4142,24,6,32,backward
lt_0_lowtown_n,47,850.2,24.2426,23.4142,23,8,32,backward
lt_0_lowtown_n,48,1433.8,59.6985,20.3848,51,8,32,backward
lt_0_lowtown_n,49,1610.8,47.4558,21.4853,40,4,32,backward
lt_0_lowtown_n,50,742.6,27.7279,27.7279,24,2,32,backward
lt_0_lowtown_n,51,794.2,29.6569,27.8995,28,6,32,backward
lt_0_lowtown_n,52,713.4,26.3137,26.3137,23,3,32,backward
lt_0_lowtown_n,53,1249.6,44.0416,25.8995,37,6,32,backward
lt_0_lowtown_n,54,949.6,28.4853,25.4853,26,9,32,backward
lt_0_lowtown_n,55,1230.2,31.2426,26.4142,30,6,32,backward
lt_0_lowtown_n,56,1393.2,55.2132,24.9706,49,10,32,backward
lt_0_lowtown_n,57,1241.6,44.8995,24.8995,42,7,32,backward
lt_0_lowtown_n,58,1197,26.4853,25.8995,24,7,32,backward
lt_0_lowtown_n,59,1633.2,37.3137,25.4853,34,18,32,backward
lt_0_lowtown_n,60,1089.8,39.9411,28.7279,30,6,32,backward
lt_0_lowtown_n,61,6624,75.5563,30.5563,71,25,32,backward
lt_0_lowtown_n,62,1662,50.5563,29.0416,46,12,32,backward
lt_0_lowtown_n,63,1493,63.0416,29.4853,56,7,32,backward
lt_0_lowtown_n,64,471,28.4142,28.4142,28,3,32,backward
lt_0_lowtown_n,65,1621.4,61.799,30.799,56,16,32,backward
lt_0_lowtown_n,66,1456.4,64.3553,31.4853,54,11,32,backward
lt_0_lowtown_n,67,1340.6,43.3137,29.1421,40,14,32,backward
lt_0_lowtown_n,68,1760.6,62.0416,30.8284,55,7,32,backward
lt_0_lowtown_n,69,866,40.4853,31.0711,38,8,32,backward
lt_0_lowtown_n,70,1181.4,40.6569,35.2426,39,5,32,backward
lt_0_lowtown_n,71,1607.4,57.0416,32.1421,50,13,32,backward
lt_0_lowtown_n,72,1142.4,35.799,32.799,30,11,32,backward
lt_0_lowtown_n,73,988,37.4853,35.4853,35,6,32,backward
lt_0_lowtown_n,74,1206.6,59.8701,32.4142,52,8,32,backward
lt_0_lowtown_n,75,865.2,37.9706,32.1127,33,5,32,backward
lt_0_lowtown_n,76,1562.4,49.1421,35.0416,45,10,32,backward
lt_0_lowtown_n,77,1048.6,32.6569,32.6569,31,7,32,backward
lt_0_lowtown_n,78,1371.2,41.7279,34.6569,38,11,32,backward
lt_0_lowtown_n,79,1154.4,42.8284,34.8284,42,7,32,backward
lt_0_lowtown_n,80,2030.4,57.5563,38.0711,53,21,32,backward
lt_0_lowtown_n,81,1236.8,41.8284,37.8284,41,11,32,backward
lt_0_lowtown_n,82,1001.6,42.5563,39.2426,38,8,32,backward
