map,scenid,tcost,distance,expect,steps,access,r,itype
lt_backalley_n,0,3165.4,48.4558,5.24264,41,11,64,backward
lt_backalley_n,1,846.4,32.4558,4,25,6,64,backward
lt_backalley_n,2,926.2,33.3137,6.24264,30,2,64,backward
lt_backalley_n,3,1196.2,42.5269,4.24264,33,9,64,backward
lt_backalley_n,4,1484.6,64.4853,6.82843,62,3,64,backward
lt_backalley_n,5,766.2,23.7279,4.24264,20,2,64,backward
lt_backalley_n,6,1298,39.7279,4.41421,36,6,64,backward
lt_backalley_n,7,570.6,22.3137,4.24264,19,2,64,backward
lt_backalley_n,8,1426.6,57.799,6.41421,52,4,64,backward
lt_backalley_n,9,1132,41.2132,5.24264,35,3,64,backward
lt_backalley_n,10,1187,65.4975,8.65685,51,9,64,backward
lt_backalley_n,11,985.4,53.8406,8.82843,41,4,64,backward
lt_backalley_n,12,523.8,28.5563,11.8284,24,2,64,backward
lt_backalley_n,13,1021.6,50.5563,11.4142,46,4,64,backward
lt_backalley_n,14,2276,74.0416,8.07107,67,16,64,backward
lt_backalley_n,15,819.8,43.3137,10.0711,40,4,64,backward
lt_backalley_n,16,500,22.8995,8.07107,20,5,64,backward
lt_backalley_n,17,930.6,30.8284,10,30,2,64,backward
lt_backalley_n,18,1551.4,88.0122,9.82843,76,18,64,backward
lt_backalley_n,19,897.4,53.598,9.48528,42,5,64,backward
lt_backalley_n,20,1235.6,69.2548,13.3137,56,10,64,backward
lt_backalley_n,21,611,28.1421,14.8284,24,2,64,backward
lt_backalley_n,22,1685,88.6985,14.3137,80,22,64,backward
lt_backalley_n,23,1529.8,67.9411,13.6569,58,8,64,backward
lt_backalley_n,24,1121.4,61.9706,12.2426,57,2,64,backward
lt_backalley_n,25,1411.4,88.0833,15.2426,74,6,64,backward
lt_backalley_n,26,1463.4,67.8701,15.8995,60,8,64,backward
lt_backalley_n,27,1233,74.1127,13.6569,65,4,64,backward
lt_backalley_n,28,1953,83.2843,13.8284,75,10,64,backward
lt_backalley_n,29,1381.4,81.6985,13.4142,73,12,64,backward
lt_backalley_n,30,1227.6,71.3259,18.0711,56,10,64,backward
lt_backalley_n,31,467.6,18,17,18,3,64,backward
lt_backalley_n,32,496,44.8284,18.8284,44,2,64,backward
lt_backalley_n,33,860.8,61.669,19.2426,48,5,64,backward
lt_backalley_n,34,517,32.8701,18.7279,25,3,64,backward
lt_backalley_n,35,1833,96.1127,17.2426,87,29,64,backward
lt_backalley_n,36,1131.6,53.6985,19.6569,45,11,64,backward
lt_backalley_n,37,708.8,37.1421,16.8995,33,2,64,backward
lt_backalley_n,38,1386.6,64.799,19,59,14,64,backward
lt_backalley_n,39,850.4,33.799,16.7279,28,4,64,backward
lt_backalley_n,40,1603.8,77.0416,21.2132,70,19,64,backward
lt_backalley_n,41,1389.8,50.1421,23.4142,46,12,64,backward
lt_backalley_n,42,618.2,38.1127,23.9706,29,3,64,backward
lt_backalley_n,43,600,41.799,21.799,36,2,64,backward
lt_backalley_n,44,482.2,25.4853,23.1421,23,3,64,backward
lt_backalley_n,45,1109,51.799,23.0711,46,10,64,backward
lt_backalley_n,46,1783.2,91.4975,23.799,77,30,64,backward
lt_backalley_n,47,841.8,43.5563,21.3137,39,2,64,backward
lt_backalley_n,48,1818.4,81.6985,23.4853,73,18,64,backward
lt_backalley_n,49,646.6,50.8701,22.7279,43,5,64,backward
lt_backalley_n,50,1003.4,53.5269,24.6569,44,8,64,backward
lt_backalley_n,51,1177.4,60.9411,27.0711,51,11,64,backward
lt_backalley_n,52,935.2,79.799,26.4853,74,8,64,backward
lt_backalley_n,53,1014.6,47.3553,24.799,37,8,64,backward
lt_backalley_n,54,1955.2,81.9706,26.2426,77,29,64,backward
lt_backalley_n,55,2044.8,93.7696,24.4142,83,13,64,backward
lt_backalley_n,56,2140,89.1127,26.4142,80,14,64,backward
lt_backalley_n,57,607,31.9706,27.2426,27,2,64,backward
lt_backalley_n,58,845.2,43.799,27.3848,38,5,64,backward
lt_backalley_n,59,564.6,33.2843,26.0416,25,3,64,backward
lt_backalley_n,60,720.6,35.5563,31.3137,31,2,64,backward
lt_backalley_n,61,1526.8,69.6985,29.8284,61,18,64,backward
lt_backalley_n,62,694.4,48.6985,28.4558,40,6,64,backward
lt_backalley_n,63,1337.2,85.7401,31.8995,70,5,64,backward
lt_backalley_n,64,1731.8,122.368,28.5563,100,19,64,backward
lt_backalley_n,65,913.8,59.0122,31.8284,47,4,64,backward
lt_backalley_n,66,1830.6,81.3553,31.4853,71,18,64,backward
lt_backalley_n,67,401,32.8284,29.4142,32,4,64,backward
lt_backalley_n,68,2084.2,93.4558,29.7279,86,33,64,backward
lt_backalley_n,69,891.6,67.5269,31.7279,58,14,64,backward
lt_backalley_n,70,1687,104.426,33.2132,92,19,64,backward
lt_backalley_n,71,1116,63.2843,34.4142,55,2,64,backward
lt_backalley_n,72,806.8,57.2843,35.2843,49,7,64,backward
lt_backalley_n,73,1623,87.0833,32.8701,73,17,64,backward
lt_backalley_n,74,1594.6,121.196,34.3848,98,17,64,backward
lt_backalley_n,75,1524.8,68.6985,32.6569,60,7,64,backward
lt_backalley_n,76,1604.4,120.953,35.4558,99,18,64,backward
lt_backalley_n,77,951.6,51.3137,32,48,10,64,backward
lt_backalley_n,78,878.8,64.1543,35.5269,48,7,64,backward
lt_backalley_n,79,807.6,44.0711,32.8995,42,8,64,backward
lt_backalley_n,80,2001.2,96.2132,39.3137,90,30,64,backward
lt_backalley_n,81,766.8,40.9706,39.3137,36,8,64,backward
lt_backalley_n,82,716.6,40.799,39.3848,35,9,64,backward
lt_backalley_n,83,1402.2,83.669,38.0711,70,11,64,backward
lt_backalley_n,84,977,51.2843,38.4142,43,3,64,backward
lt_backalley_n,85,872.2,59.5269,39.4853,50,11,64,backward
lt_backalley_n,86,826,44.799,37.3848,39,7,64,backward
lt_backalley_n,87,1485.4,76.8701,38.799,69,6,64,backward
lt_backalley_n,88,1017.2,58.8701,37.8995,51,9,64,backward
lt_backalley_n,89,806,54.9706,36.2426,50,8,64,backward
lt_backalley_n,90,1114.4,83.5563,43.5563,79,14,64,backward
lt_backalley_n,91,1372,81.3848,41.3137,76,16,64,backward
lt_backalley_n,92,725.8,42.6274,42.6274,36,3,64,backward
lt_backalley_n,93,1041.8,85.7279,42.0711,82,12,64,backward
lt_backalley_n,94,880.2,45.6985,40.1421,37,11,64,backward
lt_backalley_n,95,1426.6,89.4975,42.9706,75,7,64,backward
lt_backalley_n,96,1462,73.8701,42.3137,66,17,64,backward
lt_backalley_n,97,1193.2,81.3848,43.3137,76,14,64,backward
lt_backalley_n,98,952.4,58.8701,43.3137,51,3,64,backward
lt_backalley_n,99,1149,63.2843,40.8995,55,3,64,backward
lt_backalley_n,100,1526.8,86.6985,46.2132,78,9,64,backward
lt_backalley_n,101,1482.6,99.3848,44.3137,94,14,64,backward
lt_backalley_n,102,1248.2,93.5391,45.4558,72,14,64,backward
lt_backalley_n,103,780,52.4853,45.6569,50,9,64,backward
lt_backalley_n,104,1065,80.5563,44.5563,76,14,64,backward
lt_backalley_n,105,1418.6,85.4264,46.8995,73,7,64,backward
lt_backalley_n,106,2424.2,118.527,46.3137,109,41,64,backward
lt_backalley_n,107,1012.2,67.397,44.4853,50,5,64,backward
lt_backalley_n,108,1007.4,58.8284,44,58,7,64,backward
lt_backalley_n,109,1858.8,115.012,44.7696,103,26,64,backward
lt_backalley_n,110,1558.4,86.2843,49.5563,78,10,64,backward
lt_backalley_n,111,705.8,48.6274,48.6274,42,6,64,backward
lt_backalley_n,112,995.8,54.9411,50.2132,45,10,64,backward
lt_backalley_n,113,1601.2,105.953,51.8701,84,10,64,backward
lt_backalley_n,114,1023.4,67.3848,51.2426,62,10,64,backward
lt_backalley_n,115,1200.6,68.5269,48.6274,59,11,64,backward
lt_backalley_n,116,762.2,54.0416,48.7696,47,4,64,backward
lt_backalley_n,117,912.2,52.2843,50.8701,44,12,64,backward
lt_backalley_n,118,2275,142.912,50.8284,128,36,64,backward
lt_backalley_n,119,1670.2,94.5685,50.8701,78,14,64,backward
lt_backalley_n,120,885.4,56.4264,52.669,44,8,64,backward
lt_backalley_n,121,1015.2,63.3137,53.2132,60,9,64,backward
lt_backalley_n,122,850.4,56.9706,53.5563,52,4,64,backward
lt_backalley_n,123,857.8,59.4558,53.598,52,7,64,backward
lt_backalley_n,124,1356.4,66.8701,55.5563,59,18,64,backward
lt_backalley_n,125,1084,67.4264,52.0711,55,4,64,backward
lt_backalley_n,126,1231.2,84.4264,53.1421,72,8,64,backward
lt_backalley_n,127,772.6,63.2843,53.3848,55,8,64,backward
lt_backalley_n,128,1805.2,92.8701,55.4558,85,25,64,backward
lt_backalley_n,129,1165.6,64.2132,55.4853,58,8,64,backward
lt_backalley_n,130,931.6,57.8701,57.8701,50,11,64,backward
lt_backalley_n,131,933.6,60.0122,56.2548,48,8,64,backward
lt_backalley_n,132,884.4,59.3848,59.3848,54,9,64,backward
lt_backalley_n,133,1833.6,115.083,56.6985,101,21,64,backward
lt_backalley_n,134,1029.8,67.2132,57.3137,61,7,64,backward
lt_backalley_n,135,1229,79.1127,56.2843,70,11,64,backward
lt_backalley_n,136,863.6,59.1421,59.1421,55,11,64,backward
lt_backalley_n,137,1030.4,60.0416,58.6274,53,9,64,backward
lt_backalley_n,138,1147.8,62.4853,59.5563,60,16,64,backward
lt_backalley_n,139,2022.8,108.569,56.7696,92,22,64,backward
lt_backalley_n,140,1631.8,101.113,63.3137,92,16,64,backward
lt_backalley_n,141,1204.2,92.6274,60.4853,86,17,64,backward
lt_backalley_n,142,1094.6,87.8701,60.1127,80,14,64,backward
lt_backalley_n,143,1789,125.698,63.5563,117,20,64,backward
lt_backalley_n,144,1669.8,117.468,63.1421,98,11,64,backward
lt_backalley_n,145,1202.2,88.397,61.799,71,8,64,backward
lt_backalley_n,146,1613,105.77,61.3848,95,11,64,backward
lt_backalley_n,147,1105.6,74.2132,61.1421,68,9,64,backward
lt_backalley_n,148,1092.8,65.2132,60.4853,59,3,64,backward
lt_backalley_n,149,1131.6,73.6985,63.799,65,7,64,backward
lt_backalley_n,150,957.6,66.799,65.0416,61,10,64,backward
lt_backalley_n,151,1252,70.1421,66.6274,66,11,64,backward
lt_backalley_n,152,1249.8,73.7279,67.6274,70,10,64,backward
lt_backalley_n,153,1357.6,90.5391,65.8701,69,11,64,backward
lt_backalley_n,154,1382.8,118.698,65.5269,110,22,64,backward
lt_backalley_n,155,2229,138.669,66.4853,125,39,64,backward
lt_backalley_n,156,1509.6,94.0833,65.2132,80,12,64,backward
lt_backalley_n,157,1762.6,135.811,67.3848,118,18,64,backward
lt_backalley_n,158,2065.2,160.024,65.9411,136,34,64,backward
lt_backalley_n,159,1798.4,112.77,66.2426,102,19,64,backward
lt_backalley_n,160,1379.2,84.5269,71.6274,75,7,64,backward
lt_backalley_n,161,1197,93.4558,69.9828,86,11,64,backward
lt_backalley_n,162,1261.2,82.2548,68.799,69,3,64,backward
lt_backalley_n,163,1807,136.841,69.5269,124,24,64,backward
lt_backalley_n,164,1321.6,99.8406,69.0122,87,28,64,backward
lt_backalley_n,165,1409.6,77.2843,71.4264,69,12,64,backward
lt_backalley_n,166,1537.2,99.8406,68.3848,87,12,64,backward
lt_backalley_n,167,1222.8,88.2132,71.2132,82,14,64,backward
lt_backalley_n,168,1159.4,89.9117,71.5563,75,8,64,backward
lt_backalley_n,169,1538.6,91.0416,68.4853,84,7,64,backward
lt_backalley_n,170,1023.2,75.2843,73.5269,67,11,64,backward
lt_backalley_n,171,1217.2,83.598,75.9828,72,16,64,backward
lt_backalley_n,172,1515.8,84.598,75.8701,73,17,64,backward
lt_backalley_n,173,2039,129.539,75.2132,108,17,64,backward
lt_backalley_n,174,1850.6,149.368,74.2548,127,25,64,backward
lt_backalley_n,175,1383.8,80.2843,73.2132,72,5,64,backward
lt_backalley_n,176,1264.8,104.941,73.5269,95,22,64,backward
lt_backalley_n,177,1874.8,123.74,75.2132,108,15,64,backward
lt_backalley_n,178,1289.8,76.8406,72.1127,64,13,64,backward
lt_backalley_n,179,1371,85.3848,72.8995,80,14,64,backward
lt_backalley_n,180,926.2,80.1838,78.7696,69,11,64,backward
lt_backalley_n,181,1279.8,79.6274,78.799,73,19,64,backward
lt_backalley_n,182,1653.4,85.6274,79.3848,79,22,64,backward
lt_backalley_n,183,2201.2,141.669,77.7279,128,36,64,backward
lt_backalley_n,184,1114,123.184,79.5269,112,14,64,backward
lt_backalley_n,185,1461.8,82.9411,78.2132,73,12,64,backward
lt_backalley_n,186,1492.4,92.0833,77.8995,78,7,64,backward
lt_backalley_n,187,1461.2,86.9411,76.5563,77,5,64,backward
lt_backalley_n,188,1045.4,79.2843,77.8701,71,11,64,backward
lt_backalley_n,189,1228,94.2965,77.9411,74,9,64,backward
lt_backalley_n,190,1949.4,122.426,80.5269,110,15,64,backward
lt_backalley_n,191,1876.2,144.669,81.3553,131,22,64,backward
lt_backalley_n,192,2392.4,167.468,82.6985,148,46,64,backward
lt_backalley_n,193,1702,135.539,81.2132,114,12,64,backward
lt_backalley_n,194,1505,134.184,83.9411,123,22,64,backward
lt_backalley_n,195,1468.2,85.2548,83.8406,72,18,64,backward
lt_backalley_n,196,2180.4,123.698,81.3137,115,34,64,backward
lt_backalley_n,197,737.8,81.3848,80.799,76,8,64,backward
lt_backalley_n,198,1019.2,81.4853,80.8995,79,6,64,backward
lt_backalley_n,199,1696.4,125.184,83.4558,114,26,64,backward
lt_backalley_n,200,1810.6,139.255,85.2132,126,19,64,backward
lt_backalley_n,201,1592.4,95.8701,87.9706,88,14,64,backward
lt_backalley_n,202,1792.4,93.1838,85.2843,82,20,64,backward
lt_backalley_n,203,1124.8,85.9828,84.5685,69,12,64,backward
lt_backalley_n,204,1678.8,121.669,84.9706,108,18,64,backward
lt_backalley_n,205,1441.6,85.8995,85.8995,83,25,64,backward
lt_backalley_n,206,1207.4,99.2132,86.2132,93,14,64,backward
lt_backalley_n,207,2262,170.711,87.9411,150,36,64,backward
lt_backalley_n,208,1813.2,109.669,86.0711,96,24,64,backward
lt_backalley_n,209,1042.4,87.0833,85.669,73,12,64,backward
lt_backalley_n,210,1458.8,110.024,89.6985,86,11,64,backward
lt_backalley_n,211,1464.8,93.6274,91.6274,87,30,64,backward
lt_backalley_n,212,1071.2,104.87,91.2132,97,13,64,backward
lt_backalley_n,213,1090,102.841,89.1838,90,13,64,backward
lt_backalley_n,214,1339.4,89.4975,88.0833,75,14,64,backward
lt_backalley_n,215,1378.6,125.912,91.9117,111,22,64,backward
lt_backalley_n,216,1460.8,111.941,89.9411,102,31,64,backward
lt_backalley_n,217,1910,111.77,89.2132,101,17,64,backward
lt_backalley_n,218,2150,136.296,91.8406,116,23,64,backward
lt_backalley_n,219,1579.6,91.5563,91.5563,87,20,64,backward
lt_backalley_n,220,1546,93.1127,93.1127,84,31,64,backward
lt_backalley_n,221,1788.2,104.598,93.3848,93,11,64,backward
lt_backalley_n,222,1781,150.255,93.3848,137,36,64,backward
lt_backalley_n,223,1618.2,97.5563,93.799,93,2,64,backward
lt_backalley_n,224,1242,95.468,94.0538,76,15,64,backward
lt_backalley_n,225,1885.4,134.941,93.0416,125,15,64,backward
lt_backalley_n,226,1260.8,95.9828,94.5685,79,14,64,backward
lt_backalley_n,227,1356.6,95.2132,95.2132,89,15,64,backward
lt_backalley_n,228,2240,158.539,95.1838,137,37,64,backward
lt_backalley_n,229,2149.8,136.054,94.4975,117,21,64,backward
lt_backalley_n,230,1754.6,136.569,98.4264,120,21,64,backward
lt_backalley_n,231,1487.2,118.681,96.1838,93,13,64,backward
lt_backalley_n,232,1871.6,122.497,96.6985,108,25,64,backward
lt_backalley_n,233,1794,114.154,96.799,98,12,64,backward
lt_backalley_n,234,1164.6,106.598,96.6985,95,18,64,backward
lt_backalley_n,235,998.6,96.9828,96.397,80,14,64,backward
lt_backalley_n,236,1634.6,110.64,96.2132,92,17,64,backward
lt_backalley_n,237,1839,103.213,96.9706,97,29,64,backward
lt_backalley_n,238,1975.6,138.581,99.598,110,21,64,backward
lt_backalley_n,239,1513.2,98.3553,98.3553,88,10,64,backward
lt_backalley_n,240,1798,111.912,100.799,97,32,64,backward
lt_backalley_n,241,2287.6,161.167,103.012,133,29,64,backward
