map,scenid,tcost,distance,expect,steps,access,r,itype
lt_darktown,0,890.8,20.6569,4,19,6,32,backward
lt_darktown,1,874.2,21.8995,7.82843,19,3,32,backward
lt_darktown,2,533.6,12.6569,6.65685,11,4,32,backward
lt_darktown,3,1351.8,32.0416,4.41421,25,8,32,backward
lt_darktown,4,770,28.0416,4,21,8,32,backward
lt_darktown,5,1365.2,38.4853,4,36,4,32,backward
lt_darktown,6,658.8,31.2132,6.65685,25,2,32,backward
lt_darktown,7,1008.2,28.6274,6.41421,22,10,32,backward
lt_darktown,8,1271.4,54.6569,4.41421,53,5,32,backward
lt_darktown,9,989.6,38.2843,7.82843,30,12,32,backward
lt_darktown,10,980.6,20.7279,9.65685,17,10,32,backward
lt_darktown,11,540.8,26.8284,10.8284,26,2,32,backward
lt_darktown,12,1055.6,25.3137,10.8995,22,14,32,backward
lt_darktown,13,744.4,15.2426,8.24264,14,8,32,backward
lt_darktown,14,904.4,30.2132,8.41421,24,7,32,backward
lt_darktown,15,611.6,23.4853,10.8995,21,2,32,backward
lt_darktown,16,765,20.2426,11.0711,19,4,32,backward
lt_darktown,17,545.8,14.8284,11.6569,14,4,32,backward
lt_darktown,18,353.8,9.89949,9.89949,7,4,32,backward
lt_darktown,19,556.4,24.7279,9.65685,21,2,32,backward
lt_darktown,20,575.8,29.8995,15.8995,27,5,32,backward
lt_darktown,21,593,14.8284,13.0711,14,4,32,backward
lt_darktown,22,1050.2,34.3848,14.4142,29,9,32,backward
lt_darktown,23,682.4,20.3137,15.4853,17,5,32,backward
lt_darktown,24,502.6,27.799,14.8284,22,4,32,backward
lt_darktown,25,1097,50.1421,14.8995,46,6,32,backward
lt_darktown,26,937.6,32.8995,14.0711,30,3,32,backward
lt_darktown,27,669.2,24.0711,15.6569,22,4,32,backward
lt_darktown,28,1038.4,46.9706,14.7279,42,7,32,backward
lt_darktown,29,1105.2,54.5563,14.3137,50,7,32,backward
lt_darktown,30,821.8,42.1421,18.4853,38,3,32,backward
lt_darktown,31,1133,45.0416,18.2426,38,8,32,backward
lt_darktown,32,674.2,26.3848,16.4853,21,5,32,backward
lt_darktown,33,689.4,22.7279,16.4853,19,7,32,backward
lt_darktown,34,964.2,32.8995,16.4142,30,5,32,backward
lt_darktown,35,907.8,23.0711,17.3137,21,11,32,backward
lt_darktown,36,576.6,21.4853,17.4853,19,5,32,backward
lt_darktown,37,616.8,26.0711,17.0711,24,3,32,backward
lt_darktown,38,539.8,25.5563,19.3137,21,3,32,backward
lt_darktown,39,482.6,16.0711,16.0711,14,5,32,backward
lt_darktown,40,793.4,28.4853,20.7279,26,8,32,backward
lt_darktown,41,1095.2,33.8995,22,31,6,32,backward
lt_darktown,42,1379.6,53.6985,21.6569,45,15,32,backward
lt_darktown,43,994.6,41.3848,21.2426,36,10,32,backward
lt_darktown,44,654.6,29.1421,22.6569,25,3,32,backward
lt_darktown,45,1310.4,59.5563,23.3137,55,7,32,backward
lt_darktown,46,1214,40.8995,20.4853,38,7,32,backward
lt_darktown,47,1283.4,50.6274,20.7279,44,15,32,backward
lt_darktown,48,669.2,23.8995,23.8995,21,6,32,backward
lt_darktown,49,1148,44.8995,20.4142,42,8,32,backward
lt_darktown,50,1059,43.4853,27.6569,41,8,32,backward
lt_darktown,51,1092.2,48.9411,27.7279,39,9,32,backward
lt_darktown,52,591.4,27.8995,27.0711,25,5,32,backward
lt_darktown,53,1190.2,44.8701,25.6569,37,13,32,backward
lt_darktown,54,703.8,25.4142,24,25,3,32,backward
lt_darktown,55,1347.8,58.7279,25.6569,55,17,32,backward
lt_darktown,56,1268,77.3137,27.3137,74,6,32,backward
lt_darktown,57,1359.6,50.0416,26.5563,43,15,32,backward
lt_darktown,58,1414.2,63.7279,27.3137,60,10,32,backward
lt_darktown,59,1085,56.6274,27.6569,50,15,32,backward
lt_darktown,60,929.8,40.9706,28.8995,36,10,32,backward
lt_darktown,61,1760.4,72.8406,31.7279,60,17,32,backward
lt_darktown,62,660.8,33.6985,28.9706,25,4,32,backward
lt_darktown,63,900.2,41.1127,30.9706,32,10,32,backward
lt_darktown,64,1067.8,35.1421,29.7279,31,11,32,backward
lt_darktown,65,931.4,39.2132,29.8995,33,11,32,backward
lt_darktown,66,1113.4,56.6274,31.3137,50,16,32,backward
lt_darktown,67,973.8,30.0711,28.4142,28,9,32,backward
lt_darktown,68,977.2,36.3137,31.0416,33,9,32,backward
lt_darktown,69,1213.2,52.7279,30.4142,49,5,32,backward
lt_darktown,70,932,51.6274,33.2426,45,4,32,backward
lt_darktown,71,665.4,45.6569,34.4853,44,8,32,backward
lt_darktown,72,1107.4,57.9411,32.7279,48,14,32,backward
lt_darktown,73,1447,56.3137,33.8995,53,16,32,backward
lt_darktown,74,790.4,42.2132,35.7279,36,11,32,backward
lt_darktown,75,1553.2,59.6985,33.6569,51,18,32,backward
lt_darktown,76,1532.4,73.3848,35.8284,68,15,32,backward
lt_darktown,77,824,43.1421,32.8995,39,5,32,backward
lt_darktown,78,705.8,34.3137,33.4853,31,3,32,backward
lt_darktown,79,907.6,36.3137,34.5563,33,6,32,backward
lt_darktown,80,814.8,42.3848,39.0711,37,3,32,backward
lt_darktown,81,1738.6,97.9706,37.9706,93,8,32,backward
lt_darktown,82,857.8,42.6274,37.3137,36,4,32,backward
lt_darktown,83,1283.4,51.5563,38.2843,47,11,32,backward
lt_darktown,84,962.2,52.5563,39.8284,48,6,32,backward
lt_darktown,85,985.4,40.1421,39.5563,36,12,32,backward
lt_darktown,86,761.8,41.2132,38.7279,35,3,32,backward
lt_darktown,87,1184.2,69.0416,37.4853,62,11,32,backward
lt_darktown,88,998.6,57.5269,36.2132,48,14,32,backward
lt_darktown,89,679.2,39.3137,36.3137,36,6,32,backward
lt_darktown,90,1462.2,65.2843,43.3848,57,15,32,backward
lt_darktown,91,1381,74.3259,43.6274,59,10,32,backward
lt_darktown,92,1260.2,79.669,43.3137,66,9,32,backward
lt_darktown,93,1570.6,76.0833,42.1421,62,17,32,backward
lt_darktown,94,1118,53.7279,41.7279,50,7,32,backward
lt_darktown,95,1647.8,64.598,41.9706,53,17,32,backward
lt_darktown,96,969.6,47.799,40.7279,42,6,32,backward
lt_darktown,97,1127.2,46.3137,40.4853,43,9,32,backward
lt_darktown,98,1466,97.0538,40.8995,78,11,32,backward
lt_darktown,99,1054.8,60.4558,41.7279,53,11,32,backward
lt_darktown,100,683.2,51.3848,47.3848,46,7,32,backward
lt_darktown,101,1049.2,48.3848,45.799,43,8,32,backward
lt_darktown,102,930.6,83.8701,45.8701,76,7,32,backward
lt_darktown,103,1076.8,48.6274,47.4558,42,9,32,backward
lt_darktown,104,958,52.799,46.3137,47,16,32,backward
lt_darktown,105,4408.4,73.2132,44.3848,67,24,32,backward
lt_darktown,106,1597.8,77.1838,46.799,66,11,32,backward
lt_darktown,107,1241.6,54.0416,47.0416,47,16,32,backward
lt_darktown,108,1583.6,94.5563,44.2132,90,6,32,backward
lt_darktown,109,1370.6,61.4264,44.8995,49,11,32,backward
lt_darktown,110,1901,62.4853,50.6569,60,4,32,backward
lt_darktown,111,1334.6,68.669,48.8701,55,12,32,backward
lt_darktown,112,1690,70.5269,50.8995,61,20,32,backward
lt_darktown,113,1751.4,81.1838,50.0711,70,22,32,backward
lt_darktown,114,1804,66.6985,49.9706,58,18,32,backward
lt_darktown,115,1310.2,61.9411,50.6274,52,12,32,backward
lt_darktown,116,822.8,68.9706,50.2426,64,10,32,backward
lt_darktown,117,1173,58.7696,48.1421,48,15,32,backward
lt_darktown,118,1102.4,50.3137,49.1421,47,3,32,backward
lt_darktown,119,754.8,61.9706,50.2132,57,5,32,backward
lt_darktown,120,1576,62.8701,55.2548,55,16,32,backward
lt_darktown,121,1652.2,88.1127,55.7279,79,16,32,backward
lt_darktown,122,1593.8,75.0416,54,68,20,32,backward
lt_darktown,123,642.6,61.2426,53.8284,60,7,32,backward
lt_darktown,124,1067.8,83.5269,54.1421,74,15,32,backward
lt_darktown,125,1498.8,60.8701,53.8995,53,12,32,backward
lt_darktown,126,961.4,58.8995,55.7279,56,4,32,backward
lt_darktown,127,1348.4,70.0122,52.9411,58,16,32,backward
lt_darktown,128,2125.6,81.0416,52.0416,74,34,32,backward
lt_darktown,129,1234,70.4558,53.4853,63,11,32,backward
lt_darktown,130,1593,68.1421,57.5563,64,7,32,backward
lt_darktown,131,1281.6,68.1421,59.5563,64,9,32,backward
lt_darktown,132,1884.2,95.5563,56.1421,91,28,32,backward
lt_darktown,133,909.6,82.3848,57.4142,77,9,32,backward
lt_darktown,134,1226.2,76.3553,59.3848,66,16,32,backward
lt_darktown,135,1144.8,62.0711,58.0711,60,13,32,backward
lt_darktown,136,1336,60.9706,58.1421,56,17,32,backward
lt_darktown,137,1429.4,60.0416,56.0416,53,19,32,backward
lt_darktown,138,943.2,70.6274,57.3137,64,10,32,backward
lt_darktown,139,1802.6,87.7696,59.5269,77,16,32,backward
lt_darktown,140,1213,69.1838,61.5269,58,17,32,backward
lt_darktown,141,1337.4,76.0416,61.8995,69,17,32,backward
lt_darktown,142,1405.2,63.1127,60.6985,54,21,32,backward
lt_darktown,143,1523,69.8701,60.6985,62,15,32,backward
lt_darktown,144,1425.8,73.4558,63.8701,66,9,32,backward
lt_darktown,145,1289,66.7696,62.9411,56,12,32,backward
lt_darktown,146,1252.6,69.9706,63.5563,65,14,32,backward
lt_darktown,147,1799.4,88.9706,62.4853,84,29,32,backward
lt_darktown,148,1437,91.1127,63.7279,82,16,32,backward
lt_darktown,149,1269,67.9411,60.6274,58,15,32,backward
lt_darktown,150,1567.6,67.9706,65.4853,63,9,32,backward
