map,scenid,tcost,distance,expect,steps,access,r,itype
lt_gallowscourtyard,0,722.4,14.4853,6,12,4,16,backward
lt_gallowscourtyard,1,699.2,9.24264,4.24264,8,5,16,backward
lt_gallowscourtyard,2,746,19.0711,6.24264,17,4,16,backward
lt_gallowscourtyard,3,830.4,13.2426,4,12,4,16,backward
lt_gallowscourtyard,4,532,10.2426,5.41421,9,3,16,backward
lt_gallowscourtyard,5,485,7.41421,6.82843,7,2,16,backward
lt_gallowscourtyard,6,477.4,14.4853,7.41421,12,2,16,backward
lt_gallowscourtyard,7,936,32.4853,6.65685,30,2,16,backward
lt_gallowscourtyard,8,361.4,7.41421,6,7,2,16,backward
lt_gallowscourtyard,9,619.4,12.6569,4.41421,11,2,16,backward
lt_gallowscourtyard,10,1033,29.799,11.4142,24,6,16,backward
lt_gallowscourtyard,11,573.4,12.0711,9.24264,10,3,16,backward
lt_gallowscourtyard,12,1467.2,25.8995,8.82843,23,14,16,backward
lt_gallowscourtyard,13,814.6,23.3137,8.07107,20,2,16,backward
lt_gallowscourtyard,14,799.6,15.8284,11,15,4,16,backward
lt_gallowscourtyard,15,380,10.8995,9.24264,8,2,16,backward
lt_gallowscourtyard,16,546.2,17.6569,10.2426,16,2,16,backward
lt_gallowscourtyard,17,318.8,8.41421,8.41421,8,3,16,backward
lt_gallowscourtyard,18,455.2,12.6569,8.41421,11,2,16,backward
lt_gallowscourtyard,19,1186.8,24.9706,9.89949,20,10,16,backward
lt_gallowscourtyard,20,623.8,14.1421,13.3137,10,2,16,backward
lt_gallowscourtyard,21,713,20.3137,12.8995,17,6,16,backward
lt_gallowscourtyard,22,903.2,30.6274,15.8995,24,4,16,backward
lt_gallowscourtyard,23,974.4,25.4142,14.4142,25,10,16,backward
lt_gallowscourtyard,24,982.2,28.7279,14.2426,25,8,16,backward
lt_gallowscourtyard,25,1107.8,37.9706,13.7279,33,3,16,backward
lt_gallowscourtyard,26,1208.6,32.7279,13.4853,29,8,16,backward
lt_gallowscourtyard,27,891.8,23.8284,14.4142,23,7,16,backward
lt_gallowscourtyard,28,1063,35.2843,14.8995,27,6,16,backward
lt_gallowscourtyard,29,1077.4,40.3137,14.0711,37,5,16,backward
lt_gallowscourtyard,30,916.4,39.5563,19.5563,35,10,16,backward
lt_gallowscourtyard,31,846.6,26.3137,18.0711,23,2,16,backward
lt_gallowscourtyard,32,609,21.0711,17.3137,19,4,16,backward
lt_gallowscourtyard,33,554.4,23.799,19.3137,18,3,16,backward
lt_gallowscourtyard,34,926.8,22.8284,18.4853,22,6,16,backward
lt_gallowscourtyard,35,1371.8,38.6274,19.0711,32,9,16,backward
lt_gallowscourtyard,36,635.2,17.8284,17.8284,17,4,16,backward
lt_gallowscourtyard,37,751,24.8284,17.8995,24,7,16,backward
lt_gallowscourtyard,38,916,27.9706,18.5563,23,8,16,backward
lt_gallowscourtyard,39,619,23.0711,17.6569,21,4,16,backward
lt_gallowscourtyard,40,1323.4,46.7279,20.7279,43,3,16,backward
lt_gallowscourtyard,41,916.8,24.5563,20.4142,20,11,16,backward
lt_gallowscourtyard,42,693.6,26.4142,20.5563,26,6,16,backward
lt_gallowscourtyard,43,942.4,30.0416,20.2426,23,10,16,backward
lt_gallowscourtyard,44,1161.4,27.8284,20.8284,27,12,16,backward
lt_gallowscourtyard,45,753.6,30.0416,23.5563,23,3,16,backward
lt_gallowscourtyard,46,1274.8,36.1421,20.7279,32,10,16,backward
lt_gallowscourtyard,47,670,27.3848,22.8995,22,4,16,backward
lt_gallowscourtyard,48,914.2,22.2426,22.2426,21,7,16,backward
lt_gallowscourtyard,49,628.4,20.2426,20.2426,19,4,16,backward
lt_gallowscourtyard,50,1116.2,42.4853,24.4853,40,4,16,backward
lt_gallowscourtyard,51,1297,47.2843,24.8995,39,15,16,backward
lt_gallowscourtyard,52,723.2,27.8284,26.0711,27,2,16,backward
lt_gallowscourtyard,53,1185.8,40.4558,25.799,33,7,16,backward
lt_gallowscourtyard,54,1052.4,36.2426,25.2132,35,6,16,backward
lt_gallowscourtyard,55,1155.2,40.2843,26.6274,32,7,16,backward
lt_gallowscourtyard,56,1038.6,33.1421,25.0711,29,8,16,backward
lt_gallowscourtyard,57,914,35.7279,27.2426,32,9,16,backward
lt_gallowscourtyard,58,639.8,25.6274,25.6274,19,3,16,backward
lt_gallowscourtyard,59,889.8,47.2843,24.6569,39,5,16,backward
lt_gallowscourtyard,60,1277.8,46.3137,31.8284,43,2,16,backward
lt_gallowscourtyard,61,1284.6,39.6274,28.7279,33,10,16,backward
lt_gallowscourtyard,62,1430.6,44.8701,28.7279,37,14,16,backward
lt_gallowscourtyard,63,943.6,33.0416,30.5563,26,8,16,backward
lt_gallowscourtyard,64,763.6,29.1421,29.1421,25,5,16,backward
lt_gallowscourtyard,65,1135,46.2843,31.3137,38,10,16,backward
lt_gallowscourtyard,66,859.8,42.7279,29.4142,39,4,16,backward
lt_gallowscourtyard,67,857.8,34.5269,30.6274,25,3,16,backward
lt_gallowscourtyard,68,1384,56.9706,28.9706,52,8,16,backward
lt_gallowscourtyard,69,1190.4,56.4853,30.4853,54,4,16,backward
lt_gallowscourtyard,70,1034.4,35.3553,35.3553,25,9,16,backward
lt_gallowscourtyard,71,817.6,33.5563,32.7279,29,3,16,backward
lt_gallowscourtyard,72,994.6,45.4558,33.1127,38,7,16,backward
