map,scenid,tcost,distance,expect,steps,access,r,itype
lt_gallowscourtyard,0,316.8,6,6,6,0,2,forward
lt_gallowscourtyard,1,176.2,6.24264,4.24264,5,0,2,forward
lt_gallowscourtyard,2,165.4,6.24264,6.24264,5,0,2,forward
lt_gallowscourtyard,3,161.8,4,4,4,0,2,forward
lt_gallowscourtyard,4,193,6.41421,5.41421,6,0,2,forward
lt_gallowscourtyard,5,552,6.82843,6.82843,6,3,2,forward
lt_gallowscourtyard,6,234.8,7.41421,7.41421,7,0,2,forward
lt_gallowscourtyard,7,186.4,6.65685,6.65685,5,0,2,forward
lt_gallowscourtyard,8,185.6,7.41421,6,7,0,2,forward
lt_gallowscourtyard,9,156.6,5.82843,4.41421,5,0,2,forward
lt_gallowscourtyard,10,319.8,11.4142,11.4142,11,0,2,forward
lt_gallowscourtyard,11,193.6,9.24264,9.24264,8,0,2,forward
lt_gallowscourtyard,12,495.8,10.2426,8.82843,9,7,2,forward
lt_gallowscourtyard,13,246.2,9.07107,8.07107,7,0,2,forward
lt_gallowscourtyard,14,408.6,12.4142,11,12,1,2,forward
lt_gallowscourtyard,15,163.6,9.24264,9.24264,8,0,2,forward
lt_gallowscourtyard,16,227.4,10.8284,10.2426,10,0,2,forward
lt_gallowscourtyard,17,133.4,8.41421,8.41421,8,0,2,forward
lt_gallowscourtyard,18,205,8.41421,8.41421,8,0,2,forward
lt_gallowscourtyard,19,264.6,10.8995,9.89949,8,0,2,forward
lt_gallowscourtyard,20,604.2,13.3137,13.3137,10,3,2,forward
lt_gallowscourtyard,21,505.6,13.4853,12.8995,11,3,2,forward
lt_gallowscourtyard,22,394.8,17.3137,15.8995,14,1,2,forward
lt_gallowscourtyard,23,450.2,15,14.4142,15,2,2,forward
lt_gallowscourtyard,24,810,14.2426,14.2426,13,11,2,forward
lt_gallowscourtyard,25,329.4,13.7279,13.7279,10,0,2,forward
lt_gallowscourtyard,26,590.4,14.8995,13.4853,12,4,2,forward
lt_gallowscourtyard,27,286.8,15.8284,14.4142,15,0,2,forward
lt_gallowscourtyard,28,516,16.3137,14.8995,13,1,2,forward
lt_gallowscourtyard,29,321.2,14.0711,14.0711,12,0,2,forward
lt_gallowscourtyard,30,530.4,19.5563,19.5563,15,3,2,forward
lt_gallowscourtyard,31,320.4,18.0711,18.0711,16,0,2,forward
lt_gallowscourtyard,32,389.2,18.3137,17.3137,15,0,2,forward
lt_gallowscourtyard,33,332.4,20.3137,19.3137,17,0,2,forward
lt_gallowscourtyard,34,517.4,18.4853,18.4853,16,4,2,forward
lt_gallowscourtyard,35,734.6,19.0711,19.0711,17,9,2,forward
lt_gallowscourtyard,36,803.6,19.8284,17.8284,19,15,2,forward
lt_gallowscourtyard,37,489,18.4853,17.8995,16,2,2,forward
lt_gallowscourtyard,38,789.2,19.5563,18.5563,15,8,2,forward
lt_gallowscourtyard,39,335.6,19.0711,17.6569,17,0,2,forward
lt_gallowscourtyard,40,535,21.7279,20.7279,18,2,2,forward
lt_gallowscourtyard,41,367.2,21.2426,20.4142,20,0,2,forward
lt_gallowscourtyard,42,310.8,20.5563,20.5563,16,0,2,forward
lt_gallowscourtyard,43,528.2,21.0711,20.2426,19,7,2,forward
lt_gallowscourtyard,44,1257.6,21.8284,20.8284,21,19,2,forward
lt_gallowscourtyard,45,406.4,24.3848,23.5563,19,0,2,forward
lt_gallowscourtyard,46,674.8,21.3137,20.7279,18,10,2,forward
lt_gallowscourtyard,47,427.4,24.8995,22.8995,22,1,2,forward
lt_gallowscourtyard,48,527.6,22.2426,22.2426,21,3,2,forward
lt_gallowscourtyard,49,633.6,20.2426,20.2426,19,10,2,forward
lt_gallowscourtyard,50,838.4,25.4853,24.4853,23,14,2,forward
lt_gallowscourtyard,51,1290.4,27.7279,24.8995,24,18,2,forward
lt_gallowscourtyard,52,449,26.6569,26.0711,25,0,2,forward
lt_gallowscourtyard,53,498,26.3848,25.799,21,1,2,forward
lt_gallowscourtyard,54,475.8,26.2132,25.2132,20,0,2,forward
lt_gallowscourtyard,55,507.8,26.6274,26.6274,20,1,2,forward
lt_gallowscourtyard,56,1046,25.0711,25.0711,23,20,2,forward
lt_gallowscourtyard,57,556,27.8284,27.2426,27,2,2,forward
lt_gallowscourtyard,58,529.8,26.2132,25.6274,20,2,2,forward
lt_gallowscourtyard,59,403.8,25.6569,24.6569,24,0,2,forward
lt_gallowscourtyard,60,1183.6,33.8284,31.8284,33,22,2,forward
lt_gallowscourtyard,61,1182.2,29.7279,28.7279,26,21,2,forward
lt_gallowscourtyard,62,1324,29.7279,28.7279,26,14,2,forward
lt_gallowscourtyard,63,777.8,30.5563,30.5563,26,3,2,forward
lt_gallowscourtyard,64,1060.4,29.1421,29.1421,25,19,2,forward
lt_gallowscourtyard,65,1135,31.3137,31.3137,28,12,2,forward
