map,scenid,tcost,distance,expect,steps,access,r,itype
lt_gallowscourtyard_n,0,713,25.3848,7,20,2,16,backward
lt_gallowscourtyard_n,1,712,23.4853,5.41421,21,2,16,backward
lt_gallowscourtyard_n,2,497.2,24.6274,4.82843,18,2,16,backward
lt_gallowscourtyard_n,3,330.2,9.89949,7.41421,7,2,16,backward
lt_gallowscourtyard_n,4,420.2,15.2426,5.24264,14,2,16,backward
lt_gallowscourtyard_n,5,581.2,20.6569,5.65685,19,2,16,backward
lt_gallowscourtyard_n,6,431.2,13.0711,5.82843,11,2,16,backward
lt_gallowscourtyard_n,7,444.4,8.07107,7.24264,6,4,16,backward
lt_gallowscourtyard_n,8,672.6,21.4853,6.41421,19,4,16,backward
lt_gallowscourtyard_n,9,571.8,29.5563,4.24264,25,4,16,backward
lt_gallowscourtyard_n,10,365,9.48528,8.65685,7,3,16,backward
lt_gallowscourtyard_n,11,558,18.0711,8.07107,16,5,16,backward
lt_gallowscourtyard_n,12,493.4,12.6569,11.4853,11,6,16,backward
lt_gallowscourtyard_n,13,1021,24.8284,10.8284,24,4,16,backward
lt_gallowscourtyard_n,14,764.6,25.1421,8.07107,21,2,16,backward
lt_gallowscourtyard_n,15,537.6,15.3137,8.82843,12,4,16,backward
lt_gallowscourtyard_n,16,563.4,17.6569,9.82843,16,4,16,backward
lt_gallowscourtyard_n,17,523,19.8995,10.2426,17,4,16,backward
lt_gallowscourtyard_n,18,348,10.8284,10.8284,10,2,16,backward
lt_gallowscourtyard_n,19,560,26.9706,9.41421,22,3,16,backward
lt_gallowscourtyard_n,20,506.6,24.1421,15.6569,20,3,16,backward
lt_gallowscourtyard_n,21,529.8,27.8995,15.4142,25,4,16,backward
lt_gallowscourtyard_n,22,905.2,26.1421,15.0711,22,6,16,backward
lt_gallowscourtyard_n,23,562.2,28.9706,14.2426,24,3,16,backward
lt_gallowscourtyard_n,24,920.4,27.4853,15.4853,25,7,16,backward
lt_gallowscourtyard_n,25,382,12.0711,12.0711,10,4,16,backward
lt_gallowscourtyard_n,26,740,29.3137,12.7279,26,7,16,backward
lt_gallowscourtyard_n,27,569.4,22.2426,15.6569,21,2,16,backward
lt_gallowscourtyard_n,28,514.2,18.3137,15,15,2,16,backward
lt_gallowscourtyard_n,29,648.4,16.4853,14.7279,14,5,16,backward
lt_gallowscourtyard_n,30,836.8,23.2426,17.2426,22,9,16,backward
lt_gallowscourtyard_n,31,526.2,22.9706,16.1421,18,2,16,backward
lt_gallowscourtyard_n,32,661.6,34.3137,17.1421,31,2,16,backward
lt_gallowscourtyard_n,33,583.6,28.5563,18.6569,24,2,16,backward
lt_gallowscourtyard_n,34,459.4,18.6569,18.6569,17,2,16,backward
lt_gallowscourtyard_n,35,541.6,17.9706,17.9706,13,4,16,backward
lt_gallowscourtyard_n,36,755.2,26.0416,18,19,7,16,backward
lt_gallowscourtyard_n,37,1240.2,42.4853,17.4853,40,14,16,backward
lt_gallowscourtyard_n,38,930,35.3137,17.4853,32,10,16,backward
lt_gallowscourtyard_n,39,415.2,25.3137,19.6569,22,3,16,backward
lt_gallowscourtyard_n,40,573.2,27.6569,20.7279,26,2,16,backward
lt_gallowscourtyard_n,41,1089.8,38.2843,23.7279,30,13,16,backward
lt_gallowscourtyard_n,42,1216.6,29.2426,20.2426,28,15,16,backward
lt_gallowscourtyard_n,43,1037.2,39.0711,23.4142,37,5,16,backward
lt_gallowscourtyard_n,44,582.2,24.4142,21.8284,24,3,16,backward
lt_gallowscourtyard_n,45,831.2,36.6274,23.5563,30,10,16,backward
lt_gallowscourtyard_n,46,568.2,27.0711,23.5563,25,4,16,backward
lt_gallowscourtyard_n,47,722.2,22.8995,22.8995,20,8,16,backward
lt_gallowscourtyard_n,48,699,29.1421,22.0711,25,3,16,backward
lt_gallowscourtyard_n,49,546.6,28.799,21.1421,23,2,16,backward
lt_gallowscourtyard_n,50,920.6,29.1421,24.1421,25,10,16,backward
lt_gallowscourtyard_n,51,1049.6,31.6274,24.0711,25,11,16,backward
lt_gallowscourtyard_n,52,881.2,36.7279,24.8284,33,2,16,backward
lt_gallowscourtyard_n,53,834.2,27.6569,27.6569,26,11,16,backward
lt_gallowscourtyard_n,54,1056.2,30.799,25.3848,25,13,16,backward
lt_gallowscourtyard_n,55,885.2,38.799,26.4142,33,8,16,backward
lt_gallowscourtyard_n,56,812,37.3553,27.4558,27,9,16,backward
lt_gallowscourtyard_n,57,748.4,27.8284,24.3137,27,4,16,backward
lt_gallowscourtyard_n,58,950,46.6274,27.8995,40,8,16,backward
lt_gallowscourtyard_n,59,515.8,28.4853,27.8995,26,5,16,backward
lt_gallowscourtyard_n,60,894.8,41.4558,28.7279,34,9,16,backward
lt_gallowscourtyard_n,61,983.4,35.0711,29.8995,33,12,16,backward
lt_gallowscourtyard_n,62,830.2,28.4853,28.4853,26,8,16,backward
lt_gallowscourtyard_n,63,989.6,32.4853,30.2426,30,10,16,backward
lt_gallowscourtyard_n,64,649,31.0711,31.0711,29,2,16,backward
lt_gallowscourtyard_n,65,752.8,34.9706,29.3137,30,5,16,backward
lt_gallowscourtyard_n,66,1137.8,53.2426,29.4142,52,8,16,backward
lt_gallowscourtyard_n,67,631.8,32.4142,31.8284,32,3,16,backward
lt_gallowscourtyard_n,68,781.4,37.8284,29.1421,37,2,16,backward
lt_gallowscourtyard_n,69,680.6,44.7279,28.3848,41,7,16,backward
lt_gallowscourtyard_n,70,1151.8,51.6569,35.2426,50,2,16,backward
lt_gallowscourtyard_n,71,669,37.6569,32.8284,36,6,16,backward
lt_gallowscourtyard_n,72,1270.4,44.6274,33.6569,38,16,16,backward
lt_gallowscourtyard_n,73,1107,36.1421,32.8284,32,13,16,backward
lt_gallowscourtyard_n,74,1071.4,40.9411,32.4558,31,12,16,backward
lt_gallowscourtyard_n,75,1158,48.4853,34.8284,46,5,16,backward
lt_gallowscourtyard_n,76,1475.6,54.4558,35.8284,47,19,16,backward
lt_gallowscourtyard_n,77,964.2,45.9706,34.6569,41,6,16,backward
