map,scenid,tcost,distance,expect,steps,access,r,itype
lt_gallowscourtyard_n,0,356.4,7,7,7,0,0,forward
lt_gallowscourtyard_n,1,169.4,5.41421,5.41421,5,0,0,forward
lt_gallowscourtyard_n,2,166.6,4.82843,4.82843,4,0,0,forward
lt_gallowscourtyard_n,3,289.6,7.41421,7.41421,7,0,0,forward
lt_gallowscourtyard_n,4,152.2,5.24264,5.24264,4,0,0,forward
lt_gallowscourtyard_n,5,169.4,5.65685,5.65685,4,0,0,forward
lt_gallowscourtyard_n,6,216.6,5.82843,5.82843,5,0,0,forward
lt_gallowscourtyard_n,7,183.6,7.24264,7.24264,6,0,0,forward
lt_gallowscourtyard_n,8,208.2,6.41421,6.41421,6,0,0,forward
lt_gallowscourtyard_n,9,122,4.24264,4.24264,3,0,0,forward
lt_gallowscourtyard_n,10,227.8,8.65685,8.65685,7,0,0,forward
lt_gallowscourtyard_n,11,253.4,8.07107,8.07107,6,0,0,forward
lt_gallowscourtyard_n,12,307.6,11.4853,11.4853,9,0,0,forward
lt_gallowscourtyard_n,13,817.4,10.8284,10.8284,10,9,0,forward
lt_gallowscourtyard_n,14,201.4,8.07107,8.07107,6,0,0,forward
lt_gallowscourtyard_n,15,367.2,8.82843,8.82843,8,1,0,forward
lt_gallowscourtyard_n,16,286.2,9.82843,9.82843,9,0,0,forward
lt_gallowscourtyard_n,17,185,10.2426,10.2426,9,0,0,forward
lt_gallowscourtyard_n,18,440.8,10.8284,10.8284,10,2,0,forward
lt_gallowscourtyard_n,19,257.2,9.41421,9.41421,9,0,0,forward
lt_gallowscourtyard_n,20,344.2,15.6569,15.6569,14,0,0,forward
lt_gallowscourtyard_n,21,226,15.4142,15.4142,15,0,0,forward
lt_gallowscourtyard_n,22,804.4,15.0711,15.0711,13,9,0,forward
lt_gallowscourtyard_n,23,312.2,14.2426,14.2426,13,1,0,forward
lt_gallowscourtyard_n,24,713.2,15.4853,15.4853,13,10,0,forward
lt_gallowscourtyard_n,25,306.4,12.0711,12.0711,10,1,0,forward
