map,scenid,tcost,distance,expect,steps,access,r,itype
lt_gallowsprison_n,0,540.4,16.1421,7.65685,12,0,16,forward
lt_gallowsprison_n,1,611.6,13.4142,7.41421,13,3,16,forward
lt_gallowsprison_n,2,607.6,15.8995,6.65685,13,1,16,forward
lt_gallowsprison_n,3,599.4,20.6569,7.65685,19,0,16,forward
lt_gallowsprison_n,4,300.8,10.2426,5.41421,9,0,16,forward
lt_gallowsprison_n,5,219.4,8.65685,6.65685,7,0,16,forward
lt_gallowsprison_n,6,296,13.6569,6.24264,12,0,16,forward
lt_gallowsprison_n,7,348.2,13.4853,6.41421,11,0,16,forward
lt_gallowsprison_n,8,866.2,28.799,6.65685,23,7,16,forward
lt_gallowsprison_n,9,371.8,9.24264,6.24264,8,2,16,forward
lt_gallowsprison_n,10,751.8,30.3848,11.2426,25,4,16,forward
lt_gallowsprison_n,11,564,22.5563,9.24264,18,4,16,forward
lt_gallowsprison_n,12,194.4,9.65685,9.65685,8,0,16,forward
lt_gallowsprison_n,13,286.8,13.8284,9.24264,13,0,16,forward
lt_gallowsprison_n,14,536.4,15.8995,10.2426,13,5,16,forward
lt_gallowsprison_n,15,887.2,31.7279,11.8995,28,12,16,forward
lt_gallowsprison_n,16,770,20.8995,8.65685,18,11,16,forward
lt_gallowsprison_n,17,602.2,30.2843,11.8995,22,5,16,forward
lt_gallowsprison_n,18,652.4,33.2132,11,27,4,16,forward
lt_gallowsprison_n,19,556.4,29.3848,10.4142,24,3,16,forward
lt_gallowsprison_n,20,376.6,22.3848,14,17,0,16,forward
lt_gallowsprison_n,21,541.4,34.0416,14.2426,27,0,16,forward
lt_gallowsprison_n,22,658.4,23.4853,12.0711,21,3,16,forward
lt_gallowsprison_n,23,486.2,20.9706,14.8995,16,5,16,forward
lt_gallowsprison_n,24,490.6,32.6985,14.7279,24,2,16,forward
lt_gallowsprison_n,25,716.2,23.4853,15.2426,21,12,16,forward
lt_gallowsprison_n,26,623.4,34.8701,14.8995,27,5,16,forward
lt_gallowsprison_n,27,383.6,15.3137,15.3137,12,3,16,forward
lt_gallowsprison_n,28,573,16.8995,14.3137,14,5,16,forward
lt_gallowsprison_n,29,298,12.0711,12.0711,10,2,16,forward
lt_gallowsprison_n,30,710.2,35.9706,19,31,9,16,forward
lt_gallowsprison_n,31,721.6,29.4853,17.4853,27,8,16,forward
