map,scenid,tcost,distance,expect,steps,access,r,itype
lt_gallowsprison_n,0,574,7.65685,7.65685,6,2,2,backward
lt_gallowsprison_n,1,554.4,8.82843,7.41421,8,3,2,backward
lt_gallowsprison_n,2,404.8,6.65685,6.65685,5,1,2,backward
lt_gallowsprison_n,3,552.4,9.65685,7.65685,8,3,2,backward
lt_gallowsprison_n,4,306.4,5.41421,5.41421,5,1,2,backward
lt_gallowsprison_n,5,407.8,7.24264,6.65685,6,2,2,backward
lt_gallowsprison_n,6,422,8.24264,6.24264,7,2,2,backward
lt_gallowsprison_n,7,381,7.24264,6.41421,6,3,2,backward
lt_gallowsprison_n,8,567.2,8.65685,6.65685,7,3,2,backward
lt_gallowsprison_n,9,554.6,8.24264,6.24264,7,5,2,backward
lt_gallowsprison_n,10,624.4,14.0711,11.2426,12,3,2,backward
lt_gallowsprison_n,11,519.8,9.24264,9.24264,8,3,2,backward
lt_gallowsprison_n,12,555.4,11.0711,9.65685,9,3,2,backward
lt_gallowsprison_n,13,447.6,9.24264,9.24264,8,1,2,backward
lt_gallowsprison_n,14,465.8,10.8284,10.2426,10,2,2,backward
lt_gallowsprison_n,15,504.8,13.3137,11.8995,10,2,2,backward
lt_gallowsprison_n,16,399.8,8.65685,8.65685,7,2,2,backward
lt_gallowsprison_n,17,632.2,13.3137,11.8995,10,5,2,backward
lt_gallowsprison_n,18,487.8,12.4142,11,12,2,2,backward
lt_gallowsprison_n,19,531.2,11.4142,10.4142,11,3,2,backward
lt_gallowsprison_n,20,538.8,14,14,14,2,2,backward
lt_gallowsprison_n,21,683,17.0711,14.2426,15,5,2,backward
lt_gallowsprison_n,22,758.2,12.0711,12.0711,10,3,2,backward
lt_gallowsprison_n,23,574.2,14.8995,14.8995,12,5,2,backward
lt_gallowsprison_n,24,595.2,16.1421,14.7279,12,3,2,backward
lt_gallowsprison_n,25,854.8,17.2426,15.2426,16,4,2,backward
lt_gallowsprison_n,26,548.8,14.8995,14.8995,12,3,2,backward
lt_gallowsprison_n,27,810,15.3137,15.3137,12,7,2,backward
lt_gallowsprison_n,28,650.4,16.3137,14.3137,13,3,2,backward
lt_gallowsprison_n,29,496.8,12.0711,12.0711,10,2,2,backward
lt_gallowsprison_n,30,703.4,19,19,19,1,2,backward
lt_gallowsprison_n,31,592.8,19.4853,17.4853,17,2,2,backward
lt_gallowsprison_n,32,715.8,19.6569,19.6569,18,4,2,backward
lt_gallowsprison_n,33,702.2,16.4853,16.4853,14,5,2,backward
lt_gallowsprison_n,34,665.6,20.9706,18.9706,16,3,2,backward
lt_gallowsprison_n,35,676.6,16.6569,16.6569,15,3,2,backward
lt_gallowsprison_n,36,689.4,19.5563,17.5563,15,4,2,backward
lt_gallowsprison_n,37,758.8,18.4142,16.4142,18,4,2,backward
lt_gallowsprison_n,38,676.2,18.4853,18.4853,16,4,2,backward
lt_gallowsprison_n,39,731,16.6569,16.6569,15,5,2,backward
lt_gallowsprison_n,40,859.2,22.7279,22.7279,19,5,2,backward
lt_gallowsprison_n,41,857.8,22.0711,22.0711,20,9,2,backward
lt_gallowsprison_n,42,916.4,21.4142,21.4142,21,6,2,backward
lt_gallowsprison_n,43,1048.8,22.6569,21.2426,21,11,2,backward
lt_gallowsprison_n,44,757.2,20.7279,20.7279,17,5,2,backward
lt_gallowsprison_n,45,758.8,21.2426,21.2426,20,4,2,backward
lt_gallowsprison_n,46,650.6,22.3848,22.3848,17,2,2,backward
lt_gallowsprison_n,47,848.8,23.4142,23.4142,23,2,2,backward
lt_gallowsprison_n,48,1075.6,24.3137,22.8995,21,10,2,backward
lt_gallowsprison_n,49,710.6,21.7279,21.7279,18,3,2,backward
lt_gallowsprison_n,50,721.4,24.6274,24.6274,18,4,2,backward
lt_gallowsprison_n,51,910,24.2426,24.2426,23,5,2,backward
lt_gallowsprison_n,52,1063.2,28.6569,27.2426,27,5,2,backward
lt_gallowsprison_n,53,913,25.4853,25.4853,23,5,2,backward
lt_gallowsprison_n,54,789.4,24.9706,24.9706,20,3,2,backward
lt_gallowsprison_n,55,769,25.3848,25.3848,20,3,2,backward
lt_gallowsprison_n,56,873.2,28.799,26.799,23,3,2,backward
lt_gallowsprison_n,57,857.8,26.4142,26.4142,26,1,2,backward
lt_gallowsprison_n,58,851.2,27.799,27.799,22,3,2,backward
lt_gallowsprison_n,59,976,28.8995,27.4853,26,6,2,backward
lt_gallowsprison_n,60,1317.2,31.8995,31.8995,29,12,2,backward
lt_gallowsprison_n,61,934.6,31.5563,31.5563,27,3,2,backward
lt_gallowsprison_n,62,1078.2,32.2132,30.2132,26,5,2,backward
lt_gallowsprison_n,63,916.4,28.5563,28.5563,24,6,2,backward
lt_gallowsprison_n,64,1112,30.8284,29.4142,30,3,2,backward
lt_gallowsprison_n,65,898.2,29.8995,29.8995,27,3,2,backward
lt_gallowsprison_n,66,1588.2,31.4142,31.4142,31,13,2,backward
lt_gallowsprison_n,67,884.8,30.1421,30.1421,26,2,2,backward
lt_gallowsprison_n,68,1163.2,32.2426,30.2426,31,3,2,backward
lt_gallowsprison_n,69,1020.6,32.4853,30.4853,30,2,2,backward
lt_gallowsprison_n,70,873,35.6274,33.6274,29,6,2,backward
lt_gallowsprison_n,71,995.6,32.1421,32.1421,28,6,2,backward
lt_gallowsprison_n,72,1134.6,35.0711,33.6569,33,3,2,backward
lt_gallowsprison_n,73,1072.8,36.5563,35.1421,32,3,2,backward
lt_gallowsprison_n,74,1104.4,33.5563,33.5563,29,4,2,backward
lt_gallowsprison_n,75,1435.6,35.8284,35.8284,35,10,2,backward
lt_gallowsprison_n,76,1479.8,37.3137,35.3137,34,13,2,backward
lt_gallowsprison_n,77,1380.8,33.4142,32.8284,33,9,2,backward
lt_gallowsprison_n,78,1091.2,35.1421,35.1421,31,3,2,backward
lt_gallowsprison_n,79,1094.2,35.799,33.799,30,5,2,backward
lt_gallowsprison_n,80,1130.4,39.6274,39.6274,33,4,2,backward
lt_gallowsprison_n,81,1473.4,38.1421,38.1421,34,11,2,backward
lt_gallowsprison_n,82,1253.2,39.2132,37.2132,33,7,2,backward
lt_gallowsprison_n,83,1423.2,40.0416,38.0416,33,6,2,backward
lt_gallowsprison_n,84,1310.6,40.8995,38.8995,38,5,2,backward
lt_gallowsprison_n,85,1185.2,38.4142,36.4142,38,2,2,backward
lt_gallowsprison_n,86,1184.8,37.6569,37.6569,36,1,2,backward
lt_gallowsprison_n,87,1141,36.4142,36.4142,36,1,2,backward
lt_gallowsprison_n,88,1416.8,40.2426,38.8284,39,3,2,backward
lt_gallowsprison_n,89,1169.2,37.8995,37.8995,35,2,2,backward
lt_gallowsprison_n,90,1381.8,40.4853,40.4853,38,5,2,backward
lt_gallowsprison_n,91,1416.8,42.7279,40.7279,39,6,2,backward
lt_gallowsprison_n,92,1254.4,40.8995,40.8995,38,1,2,backward
lt_gallowsprison_n,93,1263.2,42.6274,42.0416,36,6,2,backward
lt_gallowsprison_n,94,1717,44.8995,43.4853,42,14,2,backward
lt_gallowsprison_n,95,1364.8,42.0416,40.6274,35,9,2,backward
lt_gallowsprison_n,96,1860.6,43.4142,42.4142,43,18,2,backward
lt_gallowsprison_n,97,1312.8,40.6274,40.6274,34,6,2,backward
lt_gallowsprison_n,98,1441.6,43.2132,43.2132,37,11,2,backward
lt_gallowsprison_n,99,1334.8,44.5563,43.1421,40,4,2,backward
lt_gallowsprison_n,100,1418,46.8995,44.8995,44,3,2,backward
lt_gallowsprison_n,101,1478.8,47.8284,47.8284,47,2,2,backward
lt_gallowsprison_n,102,1438.4,47.1127,46.2843,38,5,2,backward
lt_gallowsprison_n,103,1418.8,47.9706,47.9706,43,4,2,backward
lt_gallowsprison_n,104,1279.6,44.9411,44.1127,35,6,2,backward
lt_gallowsprison_n,105,1349.4,45.3848,45.3848,40,4,2,backward
lt_gallowsprison_n,106,1447.6,45.5563,44.1421,41,5,2,backward
lt_gallowsprison_n,107,1519.8,45.2843,44.6985,37,7,2,backward
