map,scenid,tcost,distance,expect,steps,access,r,itype
lt_gallowstemplar,0,1087.6,30.4853,7.24264,28,14,32,forward
lt_gallowstemplar,1,541,14.0711,5,12,4,32,forward
lt_gallowstemplar,2,1320.6,35.4853,6.24264,33,29,32,forward
lt_gallowstemplar,3,1688.2,54.2426,5.24264,53,48,32,forward
lt_gallowstemplar,4,201.6,7.41421,7.41421,7,0,32,forward
lt_gallowstemplar,5,1111.8,31.8995,4,29,30,32,forward
lt_gallowstemplar,6,973.2,34.8995,6.41421,32,20,32,forward
lt_gallowstemplar,7,1098,31.8284,5.41421,31,35,32,forward
lt_gallowstemplar,8,656.8,30.5563,6.65685,26,21,32,forward
lt_gallowstemplar,9,1438.2,50.5563,7.82843,46,33,32,forward
lt_gallowstemplar,10,615.4,24.7279,11.6569,21,15,32,forward
lt_gallowstemplar,11,1633.2,60.0711,9.07107,58,39,32,forward
lt_gallowstemplar,12,608.6,18.0711,9.65685,16,10,32,forward
lt_gallowstemplar,13,350.4,16.1421,10,12,2,32,forward
lt_gallowstemplar,14,1343.2,43.1421,11.4853,39,36,32,forward
lt_gallowstemplar,15,1027.8,41.0416,10.8995,34,14,32,forward
lt_gallowstemplar,16,858.4,22.4853,8.24264,20,19,32,forward
lt_gallowstemplar,17,1219.8,50.4558,11.8284,43,31,32,forward
lt_gallowstemplar,18,345,15.4853,9.07107,13,1,32,forward
lt_gallowstemplar,19,543.4,18.1421,9.89949,14,3,32,forward
lt_gallowstemplar,20,1885.6,44.799,14.2426,39,56,32,forward
lt_gallowstemplar,21,636.8,36.1127,15.3137,27,4,32,forward
lt_gallowstemplar,22,605.2,39.6274,15.8284,33,10,32,forward
lt_gallowstemplar,23,557.2,36.6274,14,30,6,32,forward
lt_gallowstemplar,24,1126.4,36.4853,15.2426,34,26,32,forward
lt_gallowstemplar,25,311.6,16.7279,13.6569,13,1,32,forward
lt_gallowstemplar,26,418.4,26.1421,15.1421,22,1,32,forward
lt_gallowstemplar,27,1053.4,40.9706,13.2426,36,40,32,forward
lt_gallowstemplar,28,392.8,21.3848,14.3137,16,1,32,forward
lt_gallowstemplar,29,484.2,18.8995,15.8995,16,5,32,forward
lt_gallowstemplar,30,576.8,19.0711,18.2426,17,13,32,forward
lt_gallowstemplar,31,588.2,19.0711,17.0711,17,10,32,forward
lt_gallowstemplar,32,999.8,39.2132,19,33,30,32,forward
lt_gallowstemplar,33,578.4,30.2132,16.2426,24,5,32,forward
lt_gallowstemplar,34,286.8,17.2426,17.2426,16,0,32,forward
lt_gallowstemplar,35,316.8,17.0711,17.0711,15,2,32,forward
lt_gallowstemplar,36,407.4,26.8995,19.9706,24,2,32,forward
lt_gallowstemplar,37,640.8,30.2132,17.0711,24,4,32,forward
lt_gallowstemplar,38,737.6,32.3848,17.1421,27,10,32,forward
lt_gallowstemplar,39,365.8,18.8284,18.8284,18,2,32,forward
lt_gallowstemplar,40,636.8,25.2426,20.4142,24,8,32,forward
lt_gallowstemplar,41,959.2,62.1838,20.4853,51,19,32,forward
lt_gallowstemplar,42,1567.2,44.9706,20.3137,40,51,32,forward
lt_gallowstemplar,43,853.2,63.598,20.8284,52,14,32,forward
lt_gallowstemplar,44,700.4,39.6985,21.4142,31,8,32,forward
lt_gallowstemplar,45,528.2,32.1421,20.8284,28,2,32,forward
lt_gallowstemplar,46,1690.4,62.799,21.9706,57,38,32,forward
lt_gallowstemplar,47,864.2,24.8995,23.1421,22,14,32,forward
