map,scenid,tcost,distance,expect,steps,access,r,itype
lt_gallowstemplar,0,2562.8,11.6569,7.24264,10,2,4,backward
lt_gallowstemplar,1,1836.4,7.24264,5,6,2,4,backward
lt_gallowstemplar,2,2359.6,11.8995,6.24264,9,3,4,backward
lt_gallowstemplar,3,1675.4,7.82843,5.24264,7,2,4,backward
lt_gallowstemplar,4,2615.8,11.6569,7.41421,10,6,4,backward
lt_gallowstemplar,5,1258,6.82843,4,6,2,4,backward
lt_gallowstemplar,6,2326.2,9.41421,6.41421,9,3,4,backward
lt_gallowstemplar,7,1757.4,9.41421,5.41421,9,2,4,backward
lt_gallowstemplar,8,2277,9.65685,6.65685,8,5,4,backward
lt_gallowstemplar,9,2049.4,14.4853,7.82843,12,3,4,backward
lt_gallowstemplar,10,2081.8,14.0711,11.6569,12,3,4,backward
lt_gallowstemplar,11,2164.6,13.0711,9.07107,11,3,4,backward
lt_gallowstemplar,12,2093,9.65685,9.65685,8,3,4,backward
lt_gallowstemplar,13,2375,10.8284,10,10,4,4,backward
lt_gallowstemplar,14,2182.2,12.0711,11.4853,10,3,4,backward
lt_gallowstemplar,15,2641.8,15.3137,10.8995,12,5,4,backward
lt_gallowstemplar,16,1630.2,8.24264,8.24264,7,2,4,backward
lt_gallowstemplar,17,2925.6,14.0711,11.8284,12,5,4,backward
lt_gallowstemplar,18,1474.8,9.07107,9.07107,7,3,4,backward
lt_gallowstemplar,19,1499.6,9.89949,9.89949,7,1,4,backward
lt_gallowstemplar,20,2726,14.8284,14.2426,14,6,4,backward
lt_gallowstemplar,21,1958.2,15.3137,15.3137,12,2,4,backward
lt_gallowstemplar,22,2119.6,20.0711,15.8284,18,2,4,backward
lt_gallowstemplar,23,2133.2,19.6569,14,18,2,4,backward
lt_gallowstemplar,24,3093,20.6569,15.2426,19,4,4,backward
lt_gallowstemplar,25,2479.6,14.8284,13.6569,14,4,4,backward
lt_gallowstemplar,26,1975.2,20.1421,15.1421,16,2,4,backward
lt_gallowstemplar,27,1938.2,15.2426,13.2426,14,2,4,backward
lt_gallowstemplar,28,1936.6,16.3137,14.3137,13,2,4,backward
lt_gallowstemplar,29,1744.8,16.4853,15.8995,14,2,4,backward
lt_gallowstemplar,30,2603.4,20.2426,18.2426,19,4,4,backward
lt_gallowstemplar,31,3175.2,21.0711,17.0711,19,3,4,backward
lt_gallowstemplar,32,2606.4,21.8284,19,21,5,4,backward
lt_gallowstemplar,33,2536.2,19.8995,16.2426,17,5,4,backward
lt_gallowstemplar,34,2252.2,17.2426,17.2426,16,2,4,backward
lt_gallowstemplar,35,2448.2,17.6569,17.0711,16,3,4,backward
lt_gallowstemplar,36,2336.6,19.9706,19.9706,15,3,4,backward
lt_gallowstemplar,37,2414,18.8284,17.0711,18,2,4,backward
lt_gallowstemplar,38,2294.6,21.3848,17.1421,16,3,4,backward
lt_gallowstemplar,39,2927.6,18.8284,18.8284,18,6,4,backward
lt_gallowstemplar,40,2490.2,21.8284,20.4142,21,2,4,backward
lt_gallowstemplar,41,3683.4,22.8995,20.4853,20,7,4,backward
lt_gallowstemplar,42,3150,22.3137,20.3137,19,7,4,backward
lt_gallowstemplar,43,2075.8,20.8284,20.8284,20,1,4,backward
lt_gallowstemplar,44,2679.4,21.4142,21.4142,21,3,4,backward
lt_gallowstemplar,45,2316,22.2426,20.8284,21,2,4,backward
lt_gallowstemplar,46,4078,26.9706,21.9706,22,9,4,backward
lt_gallowstemplar,47,4177,27.1421,23.1421,23,9,4,backward
lt_gallowstemplar,48,3057,20.4853,20.4853,18,7,4,backward
lt_gallowstemplar,49,3003.2,25.4853,22.6569,23,3,4,backward
lt_gallowstemplar,50,2479.8,29.7279,26.8995,26,3,4,backward
lt_gallowstemplar,51,4176.4,24.3137,24.3137,21,10,4,backward
lt_gallowstemplar,52,3578.2,26.4853,25.6569,24,5,4,backward
lt_gallowstemplar,53,3498.2,26.5563,25.7279,22,8,4,backward
lt_gallowstemplar,54,3138,26.8284,26,26,3,4,backward
lt_gallowstemplar,55,2979,28.8995,27.4853,26,5,4,backward
lt_gallowstemplar,56,4489,32.3848,26.7279,27,10,4,backward
lt_gallowstemplar,57,4157,27.8995,27.8995,25,12,4,backward
lt_gallowstemplar,58,3562.4,24.3848,24.3848,19,9,4,backward
lt_gallowstemplar,59,3513.8,27.5563,25.3137,23,9,4,backward
lt_gallowstemplar,60,4092.4,28.6569,28.6569,27,10,4,backward
lt_gallowstemplar,61,3300,31.4853,31.4853,29,5,4,backward
lt_gallowstemplar,62,2256.6,30.8284,30.2426,30,3,4,backward
