map,scenid,tcost,distance,expect,steps,access,r,itype
lt_gallowstemplar_f,0,401.6,6.41421,5.41421,6,3,2,forward
lt_gallowstemplar_f,1,199.4,5.82843,5.82843,5,0,2,forward
lt_gallowstemplar_f,2,160.8,8.07107,6.65685,6,0,2,forward
lt_gallowstemplar_f,3,130.8,4.82843,4.82843,4,0,2,forward
lt_gallowstemplar_f,4,137.8,5.65685,5.65685,4,0,2,forward
lt_gallowstemplar_f,5,129.6,5.41421,4,5,0,2,forward
lt_gallowstemplar_f,6,220.8,9.24264,7.82843,8,0,2,forward
lt_gallowstemplar_f,7,149.4,6.65685,5.24264,5,0,2,forward
lt_gallowstemplar_f,8,170.2,7.82843,7.82843,7,0,2,forward
lt_gallowstemplar_f,9,188,8.65685,7.82843,7,0,2,forward
lt_gallowstemplar_f,10,596.4,14.2426,11.4142,13,6,2,forward
lt_gallowstemplar_f,11,223,10.8995,9.89949,8,0,2,forward
lt_gallowstemplar_f,12,328.8,8.82843,8,8,2,2,forward
lt_gallowstemplar_f,13,217,11.4853,11.4853,9,0,2,forward
lt_gallowstemplar_f,14,495.2,12.4142,11.4142,12,8,2,forward
lt_gallowstemplar_f,15,294,10.4142,10.4142,10,0,2,forward
lt_gallowstemplar_f,16,517.4,10.4853,10.4853,8,4,2,forward
lt_gallowstemplar_f,17,357.8,9.24264,9.24264,8,2,2,forward
lt_gallowstemplar_f,18,263.2,12.0711,10.6569,10,0,2,forward
lt_gallowstemplar_f,19,274.2,8.65685,8.65685,7,1,2,forward
lt_gallowstemplar_f,20,544,15.8995,15.8995,13,10,2,forward
lt_gallowstemplar_f,21,344.6,14.7279,13.3137,11,1,2,forward
lt_gallowstemplar_f,22,246.2,16.0711,14.0711,14,0,2,forward
lt_gallowstemplar_f,23,431.4,16.3137,15.4853,13,8,2,forward
lt_gallowstemplar_f,24,252.2,12.4142,12.4142,12,0,2,forward
lt_gallowstemplar_f,25,397.2,17.2426,15.8284,16,1,2,forward
lt_gallowstemplar_f,26,360.4,15.2426,15.2426,14,1,2,forward
lt_gallowstemplar_f,27,478.6,13.6569,13.6569,12,5,2,forward
lt_gallowstemplar_f,28,512.2,15.3137,15.3137,12,3,2,forward
lt_gallowstemplar_f,29,256.6,15.4142,14.4142,15,0,2,forward
lt_gallowstemplar_f,30,551,17.8284,17.8284,17,16,2,forward
lt_gallowstemplar_f,31,970.2,19,18.4142,19,12,2,forward
lt_gallowstemplar_f,32,281.2,19.3137,17.8995,16,0,2,forward
lt_gallowstemplar_f,33,291.4,19.9706,19.1421,15,0,2,forward
lt_gallowstemplar_f,34,803.6,17.6569,17.0711,16,13,2,forward
lt_gallowstemplar_f,35,711.6,20.8995,19.8995,18,11,2,forward
lt_gallowstemplar_f,36,524,19.4142,18.4142,19,17,2,forward
lt_gallowstemplar_f,37,238.2,17.3137,17.3137,14,0,2,forward
lt_gallowstemplar_f,38,277.6,16.8284,16.8284,16,0,2,forward
lt_gallowstemplar_f,39,949,18.2426,18.2426,17,13,2,forward
lt_gallowstemplar_f,40,1053.2,22.7279,21.7279,19,17,2,forward
lt_gallowstemplar_f,41,750.2,23.2426,23.2426,22,13,2,forward
lt_gallowstemplar_f,42,454.4,20.1421,20.1421,16,3,2,forward
lt_gallowstemplar_f,43,548.2,23.9706,23.3848,19,5,2,forward
lt_gallowstemplar_f,44,966.8,22.2426,22.2426,21,14,2,forward
lt_gallowstemplar_f,45,574.4,22.799,22.799,17,4,2,forward
lt_gallowstemplar_f,46,645.2,22.6569,22.6569,21,18,2,forward
lt_gallowstemplar_f,47,728.4,21.4142,20.8284,21,10,2,forward
lt_gallowstemplar_f,48,776.4,23.7279,22.3137,20,12,2,forward
lt_gallowstemplar_f,49,343.6,23.6569,22.2426,22,0,2,forward
lt_gallowstemplar_f,50,400.4,26.4558,25.4558,19,2,2,forward
lt_gallowstemplar_f,51,1083.2,28.6569,25.8284,27,14,2,forward
lt_gallowstemplar_f,52,822,27.8284,26.4142,27,11,2,forward
lt_gallowstemplar_f,53,617,24.0711,24.0711,22,6,2,forward
lt_gallowstemplar_f,54,566.2,26.2426,25.4142,25,18,2,forward
lt_gallowstemplar_f,55,923,27.4142,26,27,17,2,forward
lt_gallowstemplar_f,56,466.8,27.4558,27.4558,20,3,2,forward
lt_gallowstemplar_f,57,470.8,25.6274,24.2132,19,3,2,forward
lt_gallowstemplar_f,58,600.6,28.4853,27.0711,26,9,2,forward
lt_gallowstemplar_f,59,971,25.7279,25.7279,22,17,2,forward
lt_gallowstemplar_f,60,951.6,30.5563,29.9706,26,15,2,forward
lt_gallowstemplar_f,61,892,30.3848,29.799,25,13,2,forward
lt_gallowstemplar_f,62,1026.4,28.8995,28.8995,26,16,2,forward
lt_gallowstemplar_f,63,751.4,29.2132,28.3848,23,12,2,forward
lt_gallowstemplar_f,64,821,28.6569,28.6569,27,16,2,forward
lt_gallowstemplar_f,65,1194,30.6569,29.6569,29,27,2,forward
lt_gallowstemplar_f,66,848,31.2426,29.8284,30,17,2,forward
lt_gallowstemplar_f,67,991.6,29.8701,29.8701,22,12,2,forward
lt_gallowstemplar_f,68,1321.2,31.3137,31.3137,28,26,2,forward
lt_gallowstemplar_f,69,1098.6,28.5563,28.5563,24,18,2,forward
lt_gallowstemplar_f,70,1041.2,35.8701,35.8701,28,11,2,forward
lt_gallowstemplar_f,71,1465.6,33.4853,32.6569,31,29,2,forward
lt_gallowstemplar_f,72,1215.2,35.3137,35.3137,32,25,2,forward
lt_gallowstemplar_f,73,1163.4,37.0416,35.6274,30,28,2,forward
