map,scenid,tcost,distance,expect,steps,access,r,itype
lt_gallowstemplar_n,0,773.2,6.65685,5.24264,5,0,4,forward
lt_gallowstemplar_n,1,1071.4,9,6,9,2,4,forward
lt_gallowstemplar_n,2,603.8,6.24264,4,5,0,4,forward
lt_gallowstemplar_n,3,514.6,7.65685,6,6,0,4,forward
lt_gallowstemplar_n,4,551.2,9.48528,5.24264,7,0,4,forward
lt_gallowstemplar_n,5,541,8.41421,7.24264,8,0,4,forward
lt_gallowstemplar_n,6,907,5,4,5,4,4,forward
lt_gallowstemplar_n,7,1071.4,10.4853,7.24264,8,2,4,forward
lt_gallowstemplar_n,8,478.4,7.82843,7.24264,7,0,4,forward
lt_gallowstemplar_n,9,3164.4,11.2426,7,10,2,4,forward
lt_gallowstemplar_n,10,1244.8,12.0711,10.4142,10,3,4,forward
lt_gallowstemplar_n,11,470.8,9.07107,8.48528,7,0,4,forward
lt_gallowstemplar_n,12,520.4,10.8284,10.2426,10,0,4,forward
lt_gallowstemplar_n,13,939,14.2426,10.2426,13,1,4,forward
lt_gallowstemplar_n,14,715.2,12.3137,8.48528,9,0,4,forward
lt_gallowstemplar_n,15,405.6,8.07107,8.07107,6,0,4,forward
lt_gallowstemplar_n,16,668.8,13.8284,10.4142,13,0,4,forward
lt_gallowstemplar_n,17,1074.8,11.8284,11,11,6,4,forward
lt_gallowstemplar_n,18,690,12.3137,11.4853,9,1,4,forward
lt_gallowstemplar_n,19,546.8,11.0711,9.65685,9,0,4,forward
lt_gallowstemplar_n,20,1411.6,12.8284,12.8284,12,11,4,forward
lt_gallowstemplar_n,21,1116.4,17.7279,13.4853,14,2,4,forward
lt_gallowstemplar_n,22,1704.8,17.2426,14.4142,16,12,4,forward
lt_gallowstemplar_n,23,1361.8,16.2426,12,15,11,4,forward
lt_gallowstemplar_n,24,809,14.7279,14.7279,11,1,4,forward
lt_gallowstemplar_n,25,809.2,16.4853,12.4853,14,0,4,forward
lt_gallowstemplar_n,26,625.4,17.0711,14,15,0,4,forward
lt_gallowstemplar_n,27,1698.4,17.4142,14.4142,17,13,4,forward
lt_gallowstemplar_n,28,1818.4,17.2426,15.2426,16,10,4,forward
