map,scenid,tcost,distance,expect,steps,access,r,itype
lt_gallowstemplar_n,0,517.2,6.65685,5.24264,5,3,8,backward
lt_gallowstemplar_n,1,357.6,7.41421,6,7,2,8,backward
lt_gallowstemplar_n,2,425.6,8.24264,4,7,2,8,backward
lt_gallowstemplar_n,3,471.6,11.6569,6,10,4,8,backward
lt_gallowstemplar_n,4,584.6,12.0711,5.24264,10,2,8,backward
lt_gallowstemplar_n,5,487.8,11.4853,7.24264,9,2,8,backward
lt_gallowstemplar_n,6,446.6,5,4,5,3,8,backward
lt_gallowstemplar_n,7,689.4,11.4853,7.24264,9,5,8,backward
lt_gallowstemplar_n,8,390.2,7.24264,7.24264,6,2,8,backward
lt_gallowstemplar_n,9,337.4,7.82843,7,7,2,8,backward
lt_gallowstemplar_n,10,483,12.0711,10.4142,10,3,8,backward
lt_gallowstemplar_n,11,365.2,10.2426,8.48528,9,2,8,backward
lt_gallowstemplar_n,12,382.6,10.8284,10.2426,10,3,8,backward
lt_gallowstemplar_n,13,819.8,21.2426,10.2426,20,6,8,backward
lt_gallowstemplar_n,14,355,9.07107,8.48528,7,2,8,backward
lt_gallowstemplar_n,15,586.4,15.4853,8.07107,13,3,8,backward
lt_gallowstemplar_n,16,520.6,12.0711,10.4142,10,4,8,backward
lt_gallowstemplar_n,17,549,16.8995,11,14,5,8,backward
lt_gallowstemplar_n,18,410.6,12.3137,11.4853,9,3,8,backward
lt_gallowstemplar_n,19,437,17.3137,9.65685,14,2,8,backward
lt_gallowstemplar_n,20,587.8,12.8284,12.8284,12,4,8,backward
lt_gallowstemplar_n,21,462.6,17.1421,13.4853,13,4,8,backward
lt_gallowstemplar_n,22,826.2,22.8995,14.4142,20,7,8,backward
lt_gallowstemplar_n,23,607.6,15.8284,12,15,7,8,backward
lt_gallowstemplar_n,24,652.4,16.4853,14.7279,14,4,8,backward
lt_gallowstemplar_n,25,592.2,16.4853,12.4853,14,5,8,backward
lt_gallowstemplar_n,26,447.8,15,14,15,2,8,backward
lt_gallowstemplar_n,27,717,17.4142,14.4142,17,6,8,backward
lt_gallowstemplar_n,28,950.8,25.1421,15.2426,21,8,8,backward
lt_gallowstemplar_n,29,613.4,18.5563,14.4142,14,5,8,backward
lt_gallowstemplar_n,30,627.4,19.0711,16.7279,17,3,8,backward
lt_gallowstemplar_n,31,1043.4,23.1421,18.3137,19,10,8,backward
lt_gallowstemplar_n,32,711.2,28.0711,18.8284,26,2,8,backward
lt_gallowstemplar_n,33,647.6,20.4853,19.0711,18,6,8,backward
lt_gallowstemplar_n,34,617.4,22.5563,18.6569,18,4,8,backward
lt_gallowstemplar_n,35,600.8,22.7279,18.8995,19,2,8,backward
lt_gallowstemplar_n,36,718.6,28.8995,19,26,4,8,backward
lt_gallowstemplar_n,37,646.6,16.6569,16.6569,15,3,8,backward
lt_gallowstemplar_n,38,613.4,25.4853,17,23,4,8,backward
lt_gallowstemplar_n,39,670.4,18.6569,18.6569,17,4,8,backward
lt_gallowstemplar_n,40,625.4,22.6569,21.4853,21,2,8,backward
lt_gallowstemplar_n,41,857.6,28.8284,23.6569,28,9,8,backward
lt_gallowstemplar_n,42,678.2,27.5563,20.4853,23,5,8,backward
lt_gallowstemplar_n,43,775.8,22.3848,21.5563,17,7,8,backward
lt_gallowstemplar_n,44,769,23.7279,23.7279,20,6,8,backward
lt_gallowstemplar_n,45,973.2,26.3137,22.3137,23,11,8,backward
lt_gallowstemplar_n,46,969.2,26.0711,22.5563,24,6,8,backward
lt_gallowstemplar_n,47,750.2,32.8284,20.4142,32,2,8,backward
lt_gallowstemplar_n,48,769.6,29.8995,23.0711,27,4,8,backward
lt_gallowstemplar_n,49,889,27.6569,23.8995,26,6,8,backward
lt_gallowstemplar_n,50,835,26.4853,25.6569,24,6,8,backward
lt_gallowstemplar_n,51,996.2,24.8284,24.8284,24,10,8,backward
lt_gallowstemplar_n,52,542.4,34.1421,27.0711,30,4,8,backward
lt_gallowstemplar_n,53,538.4,26.0416,26.0416,19,2,8,backward
lt_gallowstemplar_n,54,997,36.3848,24.8995,31,9,8,backward
