map,scenid,tcost,distance,expect,steps,access,r,itype
lt_gallowstemplar_n,0,323.2,5.24264,5.24264,4,0,0,forward
lt_gallowstemplar_n,1,280.2,6,6,6,1,0,forward
lt_gallowstemplar_n,2,163.6,4,4,4,0,0,forward
lt_gallowstemplar_n,3,215,6,6,6,0,0,forward
lt_gallowstemplar_n,4,165.8,5.24264,5.24264,4,0,0,forward
lt_gallowstemplar_n,5,203.2,7.24264,7.24264,6,0,0,forward
lt_gallowstemplar_n,6,398.2,4,4,4,4,0,forward
lt_gallowstemplar_n,7,422.8,7.24264,7.24264,6,2,0,forward
lt_gallowstemplar_n,8,161.2,7.24264,7.24264,6,0,0,forward
lt_gallowstemplar_n,9,348,7,7,7,1,0,forward
lt_gallowstemplar_n,10,566,10.4142,10.4142,10,5,0,forward
lt_gallowstemplar_n,11,174.8,8.48528,8.48528,6,0,0,forward
lt_gallowstemplar_n,12,246.8,10.2426,10.2426,9,0,0,forward
lt_gallowstemplar_n,13,209.2,10.2426,10.2426,9,0,0,forward
lt_gallowstemplar_n,14,171.6,8.48528,8.48528,6,0,0,forward
lt_gallowstemplar_n,15,145.8,8.07107,8.07107,6,0,0,forward
lt_gallowstemplar_n,16,219.2,10.4142,10.4142,10,0,0,forward
lt_gallowstemplar_n,17,471.4,11,11,11,6,0,forward
lt_gallowstemplar_n,18,355.8,11.4853,11.4853,9,1,0,forward
lt_gallowstemplar_n,19,189.4,9.65685,9.65685,8,0,0,forward
lt_gallowstemplar_n,20,656.2,12.8284,12.8284,12,11,0,forward
lt_gallowstemplar_n,21,571,13.4853,13.4853,11,3,0,forward
lt_gallowstemplar_n,22,768.8,14.4142,14.4142,14,13,0,forward
lt_gallowstemplar_n,23,238,12,12,12,0,0,forward
lt_gallowstemplar_n,24,423,14.7279,14.7279,11,4,0,forward
lt_gallowstemplar_n,25,283.4,12.4853,12.4853,10,0,0,forward
lt_gallowstemplar_n,26,258,14,14,14,0,0,forward
lt_gallowstemplar_n,27,683.6,14.4142,14.4142,14,12,0,forward
lt_gallowstemplar_n,28,762.8,15.2426,15.2426,14,8,0,forward
lt_gallowstemplar_n,29,257.4,14.4142,14.4142,14,0,0,forward
lt_gallowstemplar_n,30,759.2,16.7279,16.7279,13,5,0,forward
lt_gallowstemplar_n,31,796.4,18.3137,18.3137,15,8,0,forward
lt_gallowstemplar_n,32,829.2,18.8284,18.8284,18,14,0,forward
lt_gallowstemplar_n,33,498.2,19.0711,19.0711,17,3,0,forward
lt_gallowstemplar_n,34,740.4,18.6569,18.6569,17,8,0,forward
lt_gallowstemplar_n,35,552.8,18.8995,18.8995,16,4,0,forward
lt_gallowstemplar_n,36,900.2,19,19,19,11,0,forward
lt_gallowstemplar_n,37,941.2,16.6569,16.6569,15,10,0,forward
lt_gallowstemplar_n,38,359.8,17,17,17,1,0,forward
lt_gallowstemplar_n,39,1103.2,18.6569,18.6569,17,14,0,forward
lt_gallowstemplar_n,40,1063.2,21.4853,21.4853,19,15,0,forward
lt_gallowstemplar_n,41,1217.6,23.6569,23.6569,22,14,0,forward
lt_gallowstemplar_n,42,639.6,20.4853,20.4853,18,10,0,forward
lt_gallowstemplar_n,43,1030,21.5563,21.5563,17,11,0,forward
lt_gallowstemplar_n,44,863.2,23.7279,23.7279,20,9,0,forward
lt_gallowstemplar_n,45,611.6,22.3137,22.3137,19,14,0,forward
