map,scenid,tcost,distance,expect,steps,access,r,itype
lt_gamlenshouse_n,0,855.6,6.65685,6.65685,5,2,0,backward
lt_gamlenshouse_n,1,841.6,7.82843,7.82843,7,2,0,backward
lt_gamlenshouse_n,2,732.8,7.41421,7.41421,7,2,0,backward
lt_gamlenshouse_n,3,631.8,7.41421,7.41421,7,1,0,backward
lt_gamlenshouse_n,4,473.2,5.24264,5.24264,4,1,0,backward
lt_gamlenshouse_n,5,492.6,4.82843,4.82843,4,1,0,backward
lt_gamlenshouse_n,6,605.4,6.24264,6.24264,5,3,0,backward
lt_gamlenshouse_n,7,656.8,7.24264,7.24264,6,1,0,backward
lt_gamlenshouse_n,8,545.4,7.07107,7.07107,5,1,0,backward
lt_gamlenshouse_n,9,430.6,5.24264,5.24264,4,1,0,backward
lt_gamlenshouse_n,10,710,8.24264,8.24264,7,1,0,backward
lt_gamlenshouse_n,11,654.2,11.3137,11.3137,8,1,0,backward
lt_gamlenshouse_n,12,722,10.2426,10.2426,9,1,0,backward
lt_gamlenshouse_n,13,558.6,10.8284,10.8284,10,2,0,backward
lt_gamlenshouse_n,14,612,8.82843,8.82843,8,1,0,backward
lt_gamlenshouse_n,15,720.8,9.41421,9.41421,9,1,0,backward
lt_gamlenshouse_n,16,607.6,8.48528,8.48528,6,1,0,backward
lt_gamlenshouse_n,17,13759.6,9,9,9,1,0,backward
lt_gamlenshouse_n,18,859.2,11.2426,11.2426,10,1,0,backward
lt_gamlenshouse_n,19,794.8,8.82843,8.82843,8,3,0,backward
lt_gamlenshouse_n,20,1175,14.2426,14.2426,13,3,0,backward
lt_gamlenshouse_n,21,1104.4,13.2426,13.2426,12,3,0,backward
lt_gamlenshouse_n,22,825.4,12.6569,12.6569,11,1,0,backward
lt_gamlenshouse_n,23,1083.2,13.4142,13.4142,13,3,0,backward
lt_gamlenshouse_n,24,837.6,13.4853,13.4853,11,3,0,backward
lt_gamlenshouse_n,25,1126.4,15.8284,15.8284,15,3,0,backward
lt_gamlenshouse_n,26,951.2,14.0711,14.0711,12,2,0,backward
lt_gamlenshouse_n,27,1014,13.8284,13.8284,13,2,0,backward
lt_gamlenshouse_n,28,905.4,13.2426,13.2426,12,3,0,backward
lt_gamlenshouse_n,29,1051.2,13.4142,13.4142,13,3,0,backward
lt_gamlenshouse_n,30,1477.6,18.4853,18.4853,16,10,0,backward
lt_gamlenshouse_n,31,1029,17.6569,17.6569,16,1,0,backward
lt_gamlenshouse_n,32,1106,18.0711,18.0711,16,2,0,backward
lt_gamlenshouse_n,33,1401.6,18.6569,18.6569,17,6,0,backward
lt_gamlenshouse_n,34,1149.6,18.4853,18.4853,16,4,0,backward
lt_gamlenshouse_n,35,1194.2,19.3137,19.3137,16,3,0,backward
lt_gamlenshouse_n,36,1028.4,18.8995,18.8995,16,1,0,backward
lt_gamlenshouse_n,37,1051,17.3137,17.3137,14,3,0,backward
lt_gamlenshouse_n,38,1118.6,17.4142,17.4142,17,1,0,backward
lt_gamlenshouse_n,39,1084.4,17.8995,17.8995,15,3,0,backward
lt_gamlenshouse_n,40,1532.8,23.8284,23.8284,23,1,0,backward
