map,scenid,tcost,distance,expect,steps,access,r,itype
lt_hangedman,0,915.6,19.6569,4.82843,18,7,16,backward
lt_hangedman,1,960,31.5563,7.41421,27,8,16,backward
lt_hangedman,2,480.4,18.9706,4.82843,14,2,16,backward
lt_hangedman,3,897.4,26.4142,7,26,4,16,backward
lt_hangedman,4,216.2,4,4,4,1,16,backward
lt_hangedman,5,1033.2,27.2426,4.24264,26,12,16,backward
lt_hangedman,6,411.6,12.6569,7,11,2,16,backward
lt_hangedman,7,964.6,30.2132,7,24,8,16,backward
lt_hangedman,8,419.4,15.0711,7.65685,13,2,16,backward
lt_hangedman,9,843.8,26.1421,7.82843,22,7,16,backward
lt_hangedman,10,556.8,35.6569,11.6569,34,4,16,backward
lt_hangedman,11,609,11.8995,10.4853,9,5,16,backward
lt_hangedman,12,516.2,11.2426,8.65685,10,4,16,backward
lt_hangedman,13,985.6,28.4853,11.4853,26,9,16,backward
lt_hangedman,14,488.6,9.24264,8.65685,8,5,16,backward
lt_hangedman,15,892.6,16.4853,8.24264,14,11,16,backward
lt_hangedman,16,585.2,14.2426,11.4142,13,4,16,backward
lt_hangedman,17,658.2,19.4853,11.2426,17,5,16,backward
lt_hangedman,18,552.4,24.7279,11.4853,21,2,16,backward
lt_hangedman,19,432.8,13.2426,11.8284,12,5,16,backward
lt_hangedman,20,499.8,15,12.6569,15,2,16,backward
lt_hangedman,21,363.2,16.0711,13.7279,14,2,16,backward
lt_hangedman,22,356.4,15.6569,14.4853,14,2,16,backward
lt_hangedman,23,1082.8,30.2132,15.7279,24,13,16,backward
lt_hangedman,24,715.2,20.2426,15.2426,19,9,16,backward
lt_hangedman,25,741,27.1421,13.8284,23,2,16,backward
lt_hangedman,26,585.2,14.8284,12.8284,14,2,16,backward
lt_hangedman,27,883,40.3137,12.3137,37,3,16,backward
lt_hangedman,28,920,27.4853,14.3137,25,10,16,backward
lt_hangedman,29,418.8,15.4142,15.4142,15,3,16,backward
lt_hangedman,30,1065.2,42.8701,19.0711,35,13,16,backward
lt_hangedman,31,918.8,42.2426,17.2426,41,2,16,backward
lt_hangedman,32,1023.2,42.2132,19.6569,36,11,16,backward
lt_hangedman,33,508,23.3137,19.3137,20,2,16,backward
lt_hangedman,34,940,40.8701,17.0711,33,9,16,backward
lt_hangedman,35,498.6,19.4853,19.4853,17,3,16,backward
lt_hangedman,36,540.4,18.4853,17.3137,16,5,16,backward
lt_hangedman,37,569.8,17.4853,16.8995,15,6,16,backward
lt_hangedman,38,761.6,23,19,23,7,16,backward
lt_hangedman,39,663.8,19.7279,19.7279,16,9,16,backward
lt_hangedman,40,660.6,26.6569,21.2426,25,3,16,backward
lt_hangedman,41,646.2,24.2426,23.4142,23,4,16,backward
lt_hangedman,42,590.6,25.0711,20.4853,23,3,16,backward
lt_hangedman,43,472.8,22.4142,21.2426,22,4,16,backward
lt_hangedman,44,748,34.3848,21.0711,29,6,16,backward
lt_hangedman,45,780.2,25.4853,23.7279,23,6,16,backward
lt_hangedman,46,696.6,24,22.4142,24,3,16,backward
lt_hangedman,47,924.6,32.7279,21.0711,29,7,16,backward
lt_hangedman,48,887.2,32.3848,23.3137,27,6,16,backward
lt_hangedman,49,1219.8,51.4558,23.8284,44,15,16,backward
lt_hangedman,50,872.2,28.3137,26.3137,25,9,16,backward
lt_hangedman,51,859.6,26.8995,26.3137,24,12,16,backward
lt_hangedman,52,963.4,40.3848,27.799,35,9,16,backward
lt_hangedman,53,615,26.8284,26.2426,26,2,16,backward
lt_hangedman,54,874,29.0711,25.0711,27,6,16,backward
lt_hangedman,55,844,25.6569,25.6569,24,11,16,backward
lt_hangedman,56,818,31.2426,27.4853,30,7,16,backward
lt_hangedman,57,1183.4,32.9706,25.3137,28,12,16,backward
lt_hangedman,58,673.8,27.4853,27.4853,25,7,16,backward
lt_hangedman,59,889.4,37.5563,25.7279,33,5,16,backward
lt_hangedman,60,888.4,32.3137,31.1421,29,8,16,backward
lt_hangedman,61,1124.6,44.3137,29.4853,41,14,16,backward
lt_hangedman,62,851.8,44.1421,28,40,7,16,backward
lt_hangedman,63,937.2,45.3137,28.8284,42,8,16,backward
lt_hangedman,64,1131.2,42.1127,30.6274,33,18,16,backward
lt_hangedman,65,714.4,31.4853,31.4853,29,5,16,backward
lt_hangedman,66,1080,42.6985,31.4853,34,11,16,backward
lt_hangedman,67,890.6,45.5563,31.2426,41,5,16,backward
lt_hangedman,68,1297,53.8701,29.799,46,18,16,backward
lt_hangedman,69,951.2,41.2132,28.799,35,7,16,backward
lt_hangedman,70,922,37.3848,33.9706,32,7,16,backward
lt_hangedman,71,771.6,35.7279,32.3137,32,3,16,backward
lt_hangedman,72,1080.6,51.6985,34.2132,43,7,16,backward
lt_hangedman,73,1011.2,35.5563,34.3848,31,12,16,backward
lt_hangedman,74,671.8,32.0711,32.0711,30,7,16,backward
lt_hangedman,75,1143.4,39.3137,33.6569,36,15,16,backward
lt_hangedman,76,1167,46.799,34.7279,41,16,16,backward
lt_hangedman,77,1061.8,45.9411,35.2132,36,8,16,backward
lt_hangedman,78,997.6,46.1421,34.4853,42,3,16,backward
lt_hangedman,79,738.4,35.6569,35.6569,34,2,16,backward
lt_hangedman,80,1066.6,47.0416,36.5563,40,11,16,backward
lt_hangedman,81,981.2,37.4853,36.6569,35,7,16,backward
lt_hangedman,82,942.6,39.9706,36.2132,35,10,16,backward
lt_hangedman,83,902.6,39.2843,38.4558,31,13,16,backward
lt_hangedman,84,1122,43.4558,37.2132,36,18,16,backward
lt_hangedman,85,776.4,37.2132,37.2132,31,4,16,backward
lt_hangedman,86,907.6,40.5269,37.4558,31,10,16,backward
lt_hangedman,87,1286.2,53.7696,37.8701,43,19,16,backward
lt_hangedman,88,877.2,43.8995,36.2426,41,11,16,backward
lt_hangedman,89,1481.4,64.2132,39.2132,58,17,16,backward
lt_hangedman,90,1100.2,49.8701,40.0416,42,9,16,backward
lt_hangedman,91,1318.6,44.2132,40.2132,38,22,16,backward
lt_hangedman,92,1142.4,48.3137,40.0711,45,12,16,backward
lt_hangedman,93,776,45.8284,43.4142,45,10,16,backward
lt_hangedman,94,859.4,48.0711,42.2132,46,9,16,backward
lt_hangedman,95,1120,48.9411,41.7279,39,12,16,backward
lt_hangedman,96,945.4,41.799,41.2132,36,10,16,backward
lt_hangedman,97,711,46.6274,43.799,40,8,16,backward
lt_hangedman,98,1157.6,52.6985,40.799,44,11,16,backward
lt_hangedman,99,1090.4,47.0416,43.8701,40,11,16,backward
lt_hangedman,100,1346.8,46.799,46.799,41,18,16,backward
lt_hangedman,101,686.8,52.8995,44.4853,50,6,16,backward
lt_hangedman,102,2437.4,69.4853,45.4853,67,9,16,backward
lt_hangedman,103,1001.6,63.3848,46.4853,58,5,16,backward
lt_hangedman,104,1051.6,47.0711,47.0711,45,3,16,backward
lt_hangedman,105,1014.8,47.0711,47.0711,45,6,16,backward
lt_hangedman,106,1023.4,49.2426,45.4853,48,4,16,backward
lt_hangedman,107,1452.6,59.8995,44.8995,57,16,16,backward
lt_hangedman,108,1148.4,68.8701,46.8701,61,5,16,backward
lt_hangedman,109,927.2,75.4558,47.4558,68,13,16,backward
lt_hangedman,110,1747.6,64.6274,48.5563,58,24,16,backward
lt_hangedman,111,1105.4,50.1127,50.1127,41,11,16,backward
lt_hangedman,112,1024,50.6569,50.6569,49,14,16,backward
lt_hangedman,113,1255.8,68.1838,48.4558,57,16,16,backward
lt_hangedman,114,1400.2,68.8701,51.799,61,10,16,backward
lt_hangedman,115,1274.4,56.3848,48.3848,51,20,16,backward
lt_hangedman,116,1192.4,73.3848,51.3848,68,13,16,backward
lt_hangedman,117,1180.6,54.5269,50.1127,45,15,16,backward
lt_hangedman,118,1252.8,53.5563,51.2132,49,14,16,backward
lt_hangedman,119,1033.2,49.9706,49.3848,45,9,16,backward
lt_hangedman,120,1319,54.6274,54.6274,48,15,16,backward
lt_hangedman,121,1050.4,57.2843,54.8701,49,14,16,backward
lt_hangedman,122,999.8,59.8995,52.9706,57,9,16,backward
lt_hangedman,123,1075,56.799,53.2843,51,12,16,backward
lt_hangedman,124,1561.4,72.4853,53.6569,70,26,16,backward
lt_hangedman,125,1290,67.1838,55.7696,56,18,16,backward
lt_hangedman,126,1236.4,56.9706,55.5563,52,14,16,backward
lt_hangedman,127,1044.2,53.5563,52.9706,49,9,16,backward
lt_hangedman,128,1257.8,55.5269,55.5269,46,18,16,backward
lt_hangedman,129,1104.4,52.8995,52.8995,50,6,16,backward
lt_hangedman,130,1421.8,57.8701,57.8701,50,21,16,backward
lt_hangedman,131,1449.6,84.0416,56.0416,77,17,16,backward
lt_hangedman,132,1298,57.1421,57.1421,53,24,16,backward
lt_hangedman,133,1179.6,81.0122,56.799,69,13,16,backward
lt_hangedman,134,1573,80.0416,58.8284,73,8,16,backward
lt_hangedman,135,1023.6,64.4558,58.4558,57,12,16,backward
lt_hangedman,136,1286.8,60.8701,59.4558,53,15,16,backward
lt_hangedman,137,1000.6,59.2843,58.1127,51,14,16,backward
lt_hangedman,138,971.6,57.3137,57.3137,54,15,16,backward
lt_hangedman,139,1329.8,63.1127,59.3553,54,16,16,backward
lt_hangedman,140,1823,81.9706,61.3137,77,23,16,backward
