map,scenid,tcost,distance,expect,steps,access,r,itype
lt_hangedman,0,588.8,6.82843,4.82843,6,4,4,forward
lt_hangedman,1,472,10.4142,7.41421,10,3,4,forward
lt_hangedman,2,296,7.65685,4.82843,6,1,4,forward
lt_hangedman,3,636.6,10.4142,7,10,8,4,forward
lt_hangedman,4,153.2,5.65685,4,4,0,4,forward
lt_hangedman,5,189,6,4.24264,6,0,4,forward
lt_hangedman,6,604.8,10,7,10,9,4,forward
lt_hangedman,7,322.4,11.8284,7,11,0,4,forward
lt_hangedman,8,193.8,7.65685,7.65685,6,0,4,forward
lt_hangedman,9,238.8,10.0711,7.82843,8,0,4,forward
lt_hangedman,10,455.4,14.2426,11.6569,13,5,4,forward
lt_hangedman,11,463.8,13.8995,10.4853,11,2,4,forward
lt_hangedman,12,489,10.0711,8.65685,8,3,4,forward
lt_hangedman,13,378.8,13.4853,11.4853,11,3,4,forward
lt_hangedman,14,404.8,9.24264,8.65685,8,2,4,forward
lt_hangedman,15,291.4,9.07107,8.24264,7,0,4,forward
lt_hangedman,16,288.2,11.4142,11.4142,11,0,4,forward
lt_hangedman,17,293.4,11.2426,11.2426,10,0,4,forward
lt_hangedman,18,243,11.4853,11.4853,9,0,4,forward
lt_hangedman,19,374.8,13.2426,11.8284,12,2,4,forward
lt_hangedman,20,294,12.6569,12.6569,11,0,4,forward
lt_hangedman,21,329.4,13.7279,13.7279,10,2,4,forward
lt_hangedman,22,441.4,14.4853,14.4853,12,4,4,forward
lt_hangedman,23,791,18.7279,15.7279,15,12,4,forward
lt_hangedman,24,634.8,16.2426,15.2426,15,6,4,forward
lt_hangedman,25,678.4,18.6569,13.8284,17,8,4,forward
lt_hangedman,26,503.2,12.8284,12.8284,12,6,4,forward
lt_hangedman,27,453.4,16.3137,12.3137,13,4,4,forward
lt_hangedman,28,329,15.3137,14.3137,12,0,4,forward
lt_hangedman,29,610.2,16.8284,15.4142,16,11,4,forward
lt_hangedman,30,818.2,19.6569,19.0711,18,12,4,forward
lt_hangedman,31,526.2,19.8284,17.2426,19,5,4,forward
lt_hangedman,32,604,25.3137,19.6569,22,14,4,forward
lt_hangedman,33,626.8,20.7279,19.3137,17,9,4,forward
lt_hangedman,34,698.4,19.0711,17.0711,17,11,4,forward
lt_hangedman,35,563,19.4853,19.4853,17,5,4,forward
lt_hangedman,36,416.8,17.3137,17.3137,14,4,4,forward
lt_hangedman,37,950.8,20.7279,16.8995,17,13,4,forward
lt_hangedman,38,464.6,19,19,19,2,4,forward
lt_hangedman,39,755.2,20.3137,19.7279,17,10,4,forward
lt_hangedman,40,916.4,24.2426,21.2426,23,15,4,forward
lt_hangedman,41,617.6,24.2426,23.4142,23,8,4,forward
lt_hangedman,42,449.6,20.4853,20.4853,18,3,4,forward
lt_hangedman,43,859.8,22.4142,21.2426,22,19,4,forward
lt_hangedman,44,793.8,21.6569,21.0711,20,14,4,forward
lt_hangedman,45,623.4,25.3848,23.7279,20,11,4,forward
lt_hangedman,46,926.4,24,22.4142,24,22,4,forward
lt_hangedman,47,935,25.6569,21.0711,24,18,4,forward
lt_hangedman,48,860.4,30.3848,23.3137,25,16,4,forward
lt_hangedman,49,1002.6,24.8284,23.8284,24,21,4,forward
lt_hangedman,50,974.2,26.3137,26.3137,23,22,4,forward
lt_hangedman,51,1059.6,26.3137,26.3137,23,18,4,forward
lt_hangedman,52,855.8,30.9706,27.799,26,16,4,forward
lt_hangedman,53,816.2,26.2426,26.2426,25,15,4,forward
lt_hangedman,54,1157,29.0711,25.0711,27,22,4,forward
lt_hangedman,55,1083.8,25.6569,25.6569,24,21,4,forward
lt_hangedman,56,689.6,28.3137,27.4853,25,18,4,forward
lt_hangedman,57,1262.6,27.7279,25.3137,24,21,4,forward
lt_hangedman,58,770.4,27.4853,27.4853,25,16,4,forward
lt_hangedman,59,774.8,29.5563,25.7279,25,17,4,forward
lt_hangedman,60,996.8,35.1421,31.1421,31,22,4,forward
lt_hangedman,61,877.4,30.6569,29.4853,29,17,4,forward
lt_hangedman,62,724.6,29.6569,28,28,21,4,forward
lt_hangedman,63,727.4,30.2426,28.8284,29,15,4,forward
lt_hangedman,64,915,30.6274,30.6274,24,18,4,forward
lt_hangedman,65,1415.8,31.4853,31.4853,29,25,4,forward
lt_hangedman,66,1375,33.4853,31.4853,31,31,4,forward
lt_hangedman,67,960.8,35.4853,31.2426,33,28,4,forward
lt_hangedman,68,1005.4,32.6274,29.799,26,17,4,forward
lt_hangedman,69,1018.8,35.6274,28.799,29,19,4,forward
lt_hangedman,70,1365.4,36.3848,33.9706,31,31,4,forward
lt_hangedman,71,855,32.3137,32.3137,29,19,4,forward
lt_hangedman,72,1033.2,35.2132,34.2132,29,18,4,forward
lt_hangedman,73,1077.2,34.9706,34.3848,30,25,4,forward
lt_hangedman,74,944.2,33.2426,32.0711,32,28,4,forward
lt_hangedman,75,1375.8,38.0711,33.6569,36,33,4,forward
lt_hangedman,76,1090.2,38.5563,34.7279,34,26,4,forward
lt_hangedman,77,954.6,35.799,35.2132,30,27,4,forward
lt_hangedman,78,953.2,38.7279,34.4853,35,18,4,forward
lt_hangedman,79,1038.2,35.6569,35.6569,34,28,4,forward
lt_hangedman,80,947.4,37.1421,36.5563,33,24,4,forward
lt_hangedman,81,1300.6,39.2426,36.6569,38,27,4,forward
lt_hangedman,82,812.8,37.0416,36.2132,30,20,4,forward
lt_hangedman,83,899.8,38.4558,38.4558,31,20,4,forward
lt_hangedman,84,1012.4,38.8701,37.2132,31,23,4,forward
lt_hangedman,85,1062.4,37.2132,37.2132,31,24,4,forward
lt_hangedman,86,1057.8,39.6985,37.4558,31,19,4,forward
lt_hangedman,87,910.4,42.1127,37.8701,33,21,4,forward
lt_hangedman,88,1249,39.0711,36.2426,37,35,4,forward
lt_hangedman,89,984.2,41.2132,39.2132,35,26,4,forward
lt_hangedman,90,1014.8,41.8701,40.0416,34,27,4,forward
lt_hangedman,91,1172.8,44.0416,40.2132,37,33,4,forward
lt_hangedman,92,1478.8,40.0711,40.0711,38,36,4,forward
lt_hangedman,93,1672,47.2426,43.4142,46,38,4,forward
lt_hangedman,94,1039.8,42.2132,42.2132,36,26,4,forward
lt_hangedman,95,1375.2,41.7279,41.7279,38,37,4,forward
lt_hangedman,96,1642.6,41.799,41.2132,36,32,4,forward
lt_hangedman,97,1358.2,46.6274,43.799,40,35,4,forward
lt_hangedman,98,1405.6,44.2132,40.799,38,34,4,forward
lt_hangedman,99,1367.2,43.8701,43.8701,36,30,4,forward
lt_hangedman,100,1378,47.3848,46.799,42,35,4,forward
lt_hangedman,101,1676.2,47.3137,44.4853,44,40,4,forward
lt_hangedman,102,1357.4,46.0711,45.4853,44,41,4,forward
lt_hangedman,103,1530.6,50.1421,46.4853,46,39,4,forward
lt_hangedman,104,1591.4,48.8284,47.0711,48,42,4,forward
lt_hangedman,105,1363.8,47.0711,47.0711,45,36,4,forward
lt_hangedman,106,1316.2,46.8995,45.4853,44,36,4,forward
lt_hangedman,107,1066.2,46.0711,44.8995,44,31,4,forward
lt_hangedman,108,1375.4,51.8701,46.8701,44,35,4,forward
lt_hangedman,109,1707.2,50.4558,47.4558,43,41,4,forward
lt_hangedman,110,1503.4,50.2132,48.5563,44,39,4,forward
lt_hangedman,111,1610.4,50.1127,50.1127,41,34,4,forward
lt_hangedman,112,1548,50.6569,50.6569,49,47,4,forward
lt_hangedman,113,1191.8,49.2843,48.4558,41,31,4,forward
lt_hangedman,114,1387,56.0416,51.799,49,39,4,forward
lt_hangedman,115,1568.6,52.6274,48.3848,46,40,4,forward
lt_hangedman,116,1444.8,56.2132,51.3848,50,44,4,forward
lt_hangedman,117,1682,53.5269,50.1127,44,45,4,forward
lt_hangedman,118,1357,51.2132,51.2132,45,35,4,forward
lt_hangedman,119,1378.4,49.9706,49.3848,45,37,4,forward
lt_hangedman,120,1451.4,54.6274,54.6274,48,40,4,forward
lt_hangedman,121,1504,58.6985,54.8701,50,39,4,forward
lt_hangedman,122,1466,53.5563,52.9706,49,45,4,forward
lt_hangedman,123,1241.2,53.2843,53.2843,45,33,4,forward
lt_hangedman,124,1558.2,54.2426,53.6569,53,47,4,forward
lt_hangedman,125,1474.6,59.1838,55.7696,48,40,4,forward
lt_hangedman,126,1676.4,56.9706,55.5563,52,40,4,forward
lt_hangedman,127,1184,53.5563,52.9706,49,37,4,forward
lt_hangedman,128,1278.2,55.5269,55.5269,46,38,4,forward
lt_hangedman,129,1830,52.8995,52.8995,50,45,4,forward
lt_hangedman,130,1532.2,58.4558,57.8701,51,42,4,forward
lt_hangedman,131,1664.4,59.0416,56.0416,52,43,4,forward
lt_hangedman,132,1869.4,57.1421,57.1421,53,51,4,forward
lt_hangedman,133,1637.8,56.799,56.799,51,47,4,forward
lt_hangedman,134,1860.4,62.6569,58.8284,61,53,4,forward
lt_hangedman,135,1463.6,59.0416,58.4558,52,42,4,forward
lt_hangedman,136,1566,60.8701,59.4558,53,47,4,forward
lt_hangedman,137,1517.6,59.2843,58.1127,51,42,4,forward
lt_hangedman,138,1739.8,58.3137,57.3137,55,54,4,forward
lt_hangedman,139,1457.8,59.3553,59.3553,49,42,4,forward
lt_hangedman,140,1808.8,66.9706,61.3137,62,57,4,forward
lt_hangedman,141,1728,63.4853,63.4853,61,53,4,forward
lt_hangedman,142,1646,62.6569,62.6569,61,55,4,forward
lt_hangedman,143,1817.4,67.2843,63.0416,59,50,4,forward
lt_hangedman,144,1751.8,66.5269,60.5269,57,49,4,forward
lt_hangedman,145,1463.8,60.9706,60.9706,56,47,4,forward
lt_hangedman,146,1586.4,66.8701,63.799,59,50,4,forward
lt_hangedman,147,1818.6,67.6985,63.4558,59,47,4,forward
lt_hangedman,148,2056.8,64.6274,62.6274,58,56,4,forward
lt_hangedman,149,1875.8,67.9706,63.1421,63,48,4,forward
lt_hangedman,150,1482.6,69.1127,66.2843,60,45,4,forward
lt_hangedman,151,2070.2,70.7279,67.3137,67,56,4,forward
lt_hangedman,152,2044,67.0416,67.0416,60,54,4,forward
lt_hangedman,153,1771,66.4558,65.4558,59,49,4,forward
lt_hangedman,154,1609.8,66.1421,64.7279,62,52,4,forward
lt_hangedman,155,1715.4,68.1838,66.5269,57,46,4,forward
lt_hangedman,156,1756.4,66.3137,66.3137,63,58,4,forward
lt_hangedman,157,1952.4,66.799,65.9706,61,53,4,forward
lt_hangedman,158,2210,67.5563,66.9706,63,56,4,forward
lt_hangedman,159,1842,65.4558,64.6274,58,53,4,forward
lt_hangedman,160,2230.8,70.8995,68.2132,68,65,4,forward
lt_hangedman,161,1917.2,70.6274,70.6274,64,51,4,forward
lt_hangedman,162,1550.2,69.669,68.0122,56,42,4,forward
lt_hangedman,163,2251.6,69.0416,69.0416,62,58,4,forward
lt_hangedman,164,1740.8,68.799,68.799,63,53,4,forward
lt_hangedman,165,1659.8,72.3848,71.2132,67,55,4,forward
lt_hangedman,166,2140.2,70.3848,70.3848,65,59,4,forward
lt_hangedman,167,2265.4,72.7279,69.3137,69,65,4,forward
lt_hangedman,168,1781,71.1421,71.1421,67,59,4,forward
lt_hangedman,169,1948.2,70.6985,70.6985,62,54,4,forward
lt_hangedman,170,1995.4,73.9706,73.9706,69,61,4,forward
lt_hangedman,171,2008.4,76.5563,75.5563,72,67,4,forward
lt_hangedman,172,2187,77.6274,74.799,71,62,4,forward
lt_hangedman,173,2298,81.2843,74.2132,73,58,4,forward
lt_hangedman,174,2247.4,73.6985,72.5269,65,58,4,forward
lt_hangedman,175,2155.6,77.2843,75.2843,69,61,4,forward
lt_hangedman,176,2261.4,75.7279,75.7279,72,68,4,forward
lt_hangedman,177,2008.4,73.799,73.799,68,62,4,forward
lt_hangedman,178,1948.4,76.8701,74.0416,69,62,4,forward
lt_hangedman,179,2072.2,72.799,72.799,67,62,4,forward
lt_hangedman,180,1861,76.1127,76.1127,67,55,4,forward
lt_hangedman,181,2123,77.3137,77.3137,74,66,4,forward
lt_hangedman,182,2300,76.1127,76.1127,67,63,4,forward
lt_hangedman,183,2124.8,81.4558,77.6274,74,71,4,forward
lt_hangedman,184,1847.2,78.3848,78.3848,73,61,4,forward
lt_hangedman,185,1882.6,82.6985,79.8701,74,69,4,forward
lt_hangedman,186,2240,78.5563,77.9706,74,65,4,forward
lt_hangedman,187,3716,81.3848,78.5563,76,71,4,forward
lt_hangedman,188,2827.6,78.4558,78.4558,71,64,4,forward
lt_hangedman,189,2524.2,83.2843,79.7696,75,70,4,forward
lt_hangedman,190,2159.6,80.4558,80.4558,73,65,4,forward
lt_hangedman,191,2438,84.2843,81.6985,76,67,4,forward
lt_hangedman,192,2123.2,83.4853,83.4853,81,75,4,forward
lt_hangedman,193,2232.8,85.4558,80.6274,78,69,4,forward
lt_hangedman,194,2088.6,83.8701,82.4558,76,68,4,forward
