map,scenid,tcost,distance,expect,steps,access,r,itype
lt_hangedman_n,0,707.6,16.0711,5.82843,14,3,16,backward
lt_hangedman_n,1,461.6,14.4142,4.41421,14,2,16,backward
lt_hangedman_n,2,300.2,6,6,6,1,16,backward
lt_hangedman_n,3,885.8,20.6569,7.41421,19,8,16,backward
lt_hangedman_n,4,351.4,5.41421,4.82843,5,2,16,backward
lt_hangedman_n,5,833.4,20.7279,5.41421,17,6,16,backward
lt_hangedman_n,6,470.2,13.4853,6.41421,11,2,16,backward
lt_hangedman_n,7,800.2,21.8284,6.82843,21,8,16,backward
lt_hangedman_n,8,701.4,16.8284,6,16,2,16,backward
lt_hangedman_n,9,287.4,11.0711,5.41421,9,2,16,backward
lt_hangedman_n,10,475.4,15.0711,8.82843,13,3,16,backward
lt_hangedman_n,11,443.2,15.7279,9.41421,12,2,16,backward
lt_hangedman_n,12,735.8,28.1421,10.6569,24,6,16,backward
lt_hangedman_n,13,1093.2,18.4853,8.82843,16,9,16,backward
lt_hangedman_n,14,449.2,10.8284,8,10,2,16,backward
lt_hangedman_n,15,731.4,16.6569,8.24264,15,5,16,backward
lt_hangedman_n,16,343.4,10,10,10,1,16,backward
lt_hangedman_n,17,507.2,12.4853,10.2426,10,4,16,backward
lt_hangedman_n,18,497.2,9.41421,8.82843,9,6,16,backward
lt_hangedman_n,19,530.4,17.4853,11.6569,15,6,16,backward
lt_hangedman_n,20,506.4,15.2426,15.2426,14,5,16,backward
lt_hangedman_n,21,393.6,19.2426,12.8284,18,4,16,backward
lt_hangedman_n,22,912.4,30.0711,15.0711,28,11,16,backward
lt_hangedman_n,23,442.6,15.8284,15.8284,15,4,16,backward
lt_hangedman_n,24,450.4,19.5563,14.4853,15,2,16,backward
lt_hangedman_n,25,470.4,14.8284,12.8284,14,7,16,backward
lt_hangedman_n,26,648,18.6569,15.1421,17,5,16,backward
lt_hangedman_n,27,482.4,13.8284,12.4142,13,5,16,backward
lt_hangedman_n,28,463.2,15.3137,13.3137,12,3,16,backward
lt_hangedman_n,29,910.8,30.6569,13.6569,29,9,16,backward
lt_hangedman_n,30,595.6,30.2843,16.1421,22,4,16,backward
lt_hangedman_n,31,791.8,32.3848,17.6569,27,9,16,backward
lt_hangedman_n,32,617,23.0711,19.0711,21,7,16,backward
lt_hangedman_n,33,681.8,23.2426,18.8284,22,6,16,backward
lt_hangedman_n,34,564.6,21.4853,17.8284,19,7,16,backward
lt_hangedman_n,35,442.8,17.6569,16.8284,16,3,16,backward
lt_hangedman_n,36,518.2,20.0711,17.0711,18,5,16,backward
lt_hangedman_n,37,601.2,22.0711,17.7279,20,8,16,backward
lt_hangedman_n,38,1143.2,34.1421,17.8995,30,11,16,backward
lt_hangedman_n,39,660,21.7279,18.8995,18,3,16,backward
lt_hangedman_n,40,912.4,34.8995,20.2426,32,9,16,backward
lt_hangedman_n,41,856,29.1421,21.2426,25,7,16,backward
lt_hangedman_n,42,742.4,25.1421,20.8995,21,10,16,backward
lt_hangedman_n,43,570.8,27.7279,21.7279,24,7,16,backward
lt_hangedman_n,44,836.8,34.9706,20.9706,30,7,16,backward
