map,scenid,tcost,distance,expect,steps,access,r,itype
lt_house,0,1740.4,8.41421,4.41421,8,6,32,forward
lt_house,1,4332.2,30.3848,4,25,30,32,forward
lt_house,2,689,7.65685,4.82843,6,0,32,forward
lt_house,3,3377.6,26.0711,4.41421,24,28,32,forward
lt_house,4,4151.2,40.0711,4.41421,38,43,32,forward
lt_house,5,2000,22.1421,4,18,11,32,forward
lt_house,6,3280.6,40.9706,5.41421,36,31,32,forward
lt_house,7,1229.2,10,4.82843,10,9,32,forward
lt_house,8,4631,40.7279,5.65685,37,46,32,forward
lt_house,9,2892.8,24.5563,4,20,19,32,forward
lt_house,10,4350.2,42.3137,8.65685,39,45,32,forward
lt_house,11,2433.2,35.0416,9.82843,28,14,32,forward
lt_house,12,3443,33.0711,9.65685,31,36,32,forward
lt_house,13,5197,53.8995,11.6569,51,56,32,forward
lt_house,14,2296.4,33.0416,8.82843,26,15,32,forward
lt_house,15,1355,17.3137,9.24264,14,4,32,forward
lt_house,16,1605.2,13.6569,11.6569,12,9,32,forward
lt_house,17,2047.8,27.7279,10,24,9,32,forward
lt_house,18,1681.8,24.4853,11.3137,22,8,32,forward
lt_house,19,1636,25.5563,8.24264,21,7,32,forward
lt_house,20,1579,21.1421,13.8995,17,7,32,forward
lt_house,21,1404.8,17.1421,15.4853,13,5,32,forward
lt_house,22,1007.8,15.3137,12.2426,12,3,32,forward
lt_house,23,1357.2,17.7279,12.7279,14,5,32,forward
lt_house,24,3804,36.7279,15.0711,33,40,32,forward
lt_house,25,3860.2,40.6274,13.0711,34,35,32,forward
lt_house,26,2192,36.6274,12.2426,30,15,32,forward
lt_house,27,2686.6,42.4558,15.8284,35,20,32,forward
lt_house,28,2969.4,30.3137,14.4142,27,25,32,forward
lt_house,29,2337,18.4853,15.0711,16,17,32,forward
lt_house,30,1813.8,26.5563,19.0711,22,11,32,forward
lt_house,31,3937,38.3137,17.4853,35,43,32,forward
lt_house,32,2127.8,25.0711,18.2426,23,22,32,forward
