map,scenid,tcost,distance,expect,steps,access,r,itype
lt_house,0,739.8,7.82843,4.41421,7,3,4,backward
lt_house,1,330.4,4,4,4,2,4,backward
lt_house,2,311.4,6.24264,4.82843,5,2,4,backward
lt_house,3,391.6,5.24264,4.41421,4,4,4,backward
lt_house,4,352.8,5,4.41421,5,4,4,backward
lt_house,5,453.4,5,4,5,3,4,backward
lt_house,6,449.6,11.6569,5.41421,10,2,4,backward
lt_house,7,411.4,7.41421,4.82843,7,3,4,backward
lt_house,8,284.2,5.65685,5.65685,4,2,4,backward
lt_house,9,328.4,7.65685,4,6,3,4,backward
lt_house,10,391.6,8.65685,8.65685,7,3,4,backward
lt_house,11,697.6,13.6569,9.82843,12,7,4,backward
lt_house,12,634.2,15.3137,9.65685,12,7,4,backward
lt_house,13,586.4,16.4853,11.6569,14,4,4,backward
lt_house,14,394,9.65685,8.82843,8,3,4,backward
lt_house,15,500,9.24264,9.24264,8,5,4,backward
lt_house,16,567.2,12.2426,11.6569,11,6,4,backward
lt_house,17,422.4,10,10,10,3,4,backward
lt_house,18,332,11.3137,11.3137,8,1,4,backward
lt_house,19,316.8,8.24264,8.24264,7,2,4,backward
lt_house,20,566.4,16.7279,13.8995,13,5,4,backward
lt_house,21,494.2,16.3137,15.4853,13,3,4,backward
lt_house,22,577.6,15.0711,12.2426,13,5,4,backward
lt_house,23,533,13.3137,12.7279,10,5,4,backward
lt_house,24,587.8,15.6569,15.0711,14,6,4,backward
lt_house,25,590.4,16.8995,13.0711,14,3,4,backward
lt_house,26,503,14.8284,12.2426,14,2,4,backward
lt_house,27,801.6,20.8284,15.8284,20,8,4,backward
lt_house,28,689,20.4142,14.4142,20,3,4,backward
lt_house,29,565.6,15.6569,15.0711,14,4,4,backward
lt_house,30,742.8,19.0711,19.0711,17,7,4,backward
lt_house,31,637,18.0711,17.4853,16,7,4,backward
lt_house,32,631.2,18.2426,18.2426,17,3,4,backward
lt_house,33,688.2,23.5563,17.8995,19,6,4,backward
lt_house,34,777.2,17.2426,16.6569,16,9,4,backward
lt_house,35,608.8,17.3137,16.4853,14,8,4,backward
lt_house,36,806.2,20.7279,16.8995,17,12,4,backward
lt_house,37,623,18.8284,18.2426,18,3,4,backward
lt_house,38,674.8,19.0711,16.4853,17,7,4,backward
lt_house,39,826.6,21.0711,18.2426,19,10,4,backward
lt_house,40,967.6,29.799,23.9706,24,14,4,backward
lt_house,41,726.6,23.4853,20.3137,21,5,4,backward
lt_house,42,799.4,22.1421,22.1421,18,9,4,backward
lt_house,43,788.6,22.5563,21.9706,18,10,4,backward
lt_house,44,703,23.8284,21.8284,23,2,4,backward
lt_house,45,737,23.4142,20.8284,23,2,4,backward
lt_house,46,760.6,22.0711,20.4142,20,7,4,backward
lt_house,47,855.4,25.0711,22.8284,23,6,4,backward
lt_house,48,706.4,22.8995,22.8995,20,4,4,backward
lt_house,49,768,24.2426,22.2426,23,3,4,backward
lt_house,50,864.4,27.6569,26.2426,26,6,4,backward
lt_house,51,777.4,25.6569,25.6569,24,2,4,backward
lt_house,52,1017.8,30.7279,27.8995,27,8,4,backward
lt_house,53,793.4,29.7279,26.6569,26,8,4,backward
lt_house,54,804.6,26.8995,24.4142,24,6,4,backward
lt_house,55,820.8,26.3137,25.4853,23,5,4,backward
lt_house,56,777.8,27.8995,25.8995,25,6,4,backward
lt_house,57,886.8,28.7279,27.8995,25,11,4,backward
lt_house,58,971,30.5563,26.7279,26,7,4,backward
lt_house,59,764.4,29.3137,27.3137,26,7,4,backward
lt_house,60,979.6,34.3137,31.2426,31,8,4,backward
lt_house,61,718.4,29.9706,28.3137,25,9,4,backward
lt_house,62,1096.8,31.1421,31.1421,27,12,4,backward
lt_house,63,1214.6,33.1421,28.1421,29,13,4,backward
lt_house,64,1088.6,32.5563,29.1421,28,10,4,backward
lt_house,65,927.8,35.3848,31.3848,30,5,4,backward
lt_house,66,788,30.5563,30.5563,26,6,4,backward
lt_house,67,948.8,31.6569,31.6569,30,5,4,backward
lt_house,68,905.6,28.5563,28.5563,24,8,4,backward
lt_house,69,753.4,34.3848,28.7279,29,6,4,backward
lt_house,70,728.4,36.9706,34.1421,32,7,4,backward
lt_house,71,934.8,34.2426,34.2426,33,7,4,backward
lt_house,72,985,33.8995,33.8995,31,4,4,backward
lt_house,73,1237.8,34.1421,32.1421,30,19,4,backward
lt_house,74,1304.6,35.4853,34.3137,33,18,4,backward
lt_house,75,835.8,34.6569,34.6569,33,9,4,backward
lt_house,76,1079.8,34.8995,32.0711,32,6,4,backward
lt_house,77,891.6,33.3137,32.7279,30,12,4,backward
lt_house,78,1079.4,33.9706,33.3848,29,15,4,backward
lt_house,79,1067,35.4853,35.4853,33,7,4,backward
lt_house,80,1066.2,38.7279,38.7279,35,9,4,backward
lt_house,81,1241.6,41.3137,39.8995,38,19,4,backward
lt_house,82,1169,38.5563,37.7279,34,16,4,backward
lt_house,83,1285.6,42.5563,38.3137,38,12,4,backward
lt_house,84,1142.8,43.3137,37.6569,40,12,4,backward
lt_house,85,1167.8,36.8284,36,36,12,4,backward
lt_house,86,1240.6,41.2132,38.6274,35,19,4,backward
lt_house,87,1111.6,40.7279,38.3137,37,13,4,backward
lt_house,88,1126,36.3848,36.3848,31,12,4,backward
lt_house,89,819.2,37.6569,37.6569,36,9,4,backward
lt_house,90,1007.8,43.4853,42.6569,41,11,4,backward
lt_house,91,1287.8,43.2132,43.2132,37,18,4,backward
lt_house,92,781.4,41.5563,40.9706,37,10,4,backward
lt_house,93,1275.2,42.7279,42.7279,39,10,4,backward
lt_house,94,1286.2,44.1421,43.1421,40,15,4,backward
lt_house,95,1029.2,42.3137,41.4853,39,9,4,backward
lt_house,96,1168.2,44.8701,43.4558,37,9,4,backward
lt_house,97,927.4,41.3848,41.3848,36,12,4,backward
lt_house,98,1059,47.9706,43.7279,43,11,4,backward
lt_house,99,942.4,41.0416,40.4558,34,12,4,backward
lt_house,100,954.2,48.3137,46.3137,45,13,4,backward
lt_house,101,1322.6,46.2132,46.2132,40,8,4,backward
lt_house,102,1421.8,48.2843,46.8701,40,14,4,backward
lt_house,103,1240,47.1127,45.6985,38,12,4,backward
lt_house,104,1437.8,52.8701,47.6985,45,25,4,backward
lt_house,105,1317.6,51.8701,47.6274,44,15,4,backward
lt_house,106,1443,45.3137,44.7279,42,20,4,backward
lt_house,107,1654,46.7279,45.7279,43,17,4,backward
lt_house,108,1420.4,49.9411,46.5269,40,12,4,backward
lt_house,109,1127,49.6985,47.1127,41,19,4,backward
lt_house,110,1473.6,49.1421,49.1421,45,20,4,backward
lt_house,111,1306.8,52.8701,51.4558,45,16,4,backward
lt_house,112,1288.6,52.8701,51.4558,45,15,4,backward
lt_house,113,949,50.2132,48.2132,44,18,4,backward
lt_house,114,1357.2,49.799,48.6274,44,27,4,backward
lt_house,115,1449,52.4558,49.4558,45,17,4,backward
lt_house,116,1435,54.9706,49.799,50,27,4,backward
lt_house,117,1253.6,53.3848,49.1421,48,13,4,backward
lt_house,118,1149.8,49.3848,49.3848,44,14,4,backward
lt_house,119,1120.4,50.1421,50.1421,46,18,4,backward
lt_house,120,1351.4,58.6274,53.4558,52,23,4,backward
lt_house,121,1196.4,52.2132,52.2132,46,18,4,backward
lt_house,122,1057.4,53.3848,53.3848,48,14,4,backward
lt_house,123,1215.4,59.3848,54.2132,54,19,4,backward
lt_house,124,1177.2,53.4558,52.2843,46,19,4,backward
lt_house,125,1498.6,53.4558,53.4558,46,23,4,backward
lt_house,126,1300.2,52.2843,52.2843,44,22,4,backward
lt_house,127,978,56.1421,54.9706,52,11,4,backward
lt_house,128,1003.2,54.4558,52.4558,47,19,4,backward
lt_house,129,1198.2,55.7279,55.7279,52,11,4,backward
lt_house,130,1423,58.4558,58.4558,51,18,4,backward
lt_house,131,1211,59.9706,56.2132,55,19,4,backward
lt_house,132,1165.4,58.0416,58.0416,51,13,4,backward
lt_house,133,1007.2,58.5563,57.3848,54,11,4,backward
lt_house,134,1579,57.5563,57.5563,53,19,4,backward
lt_house,135,954.6,58.0416,58.0416,51,19,4,backward
lt_house,136,1280.4,57.8701,57.2843,50,18,4,backward
lt_house,137,987.6,56.2132,56.2132,50,11,4,backward
lt_house,138,1442.4,58.799,58.2132,53,22,4,backward
lt_house,139,1295.4,56.2132,56.2132,50,23,4,backward
